"erwst","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","1-pers.-HH","(0) in school","","","",""
"Full-time","1984","1-pers.-HH","(1a) inadequately completed","58","0.566069404479197","0.458137321413948","0.674001487544446"
"Full-time","1984","1-pers.-HH","(1b) general elementary school","85","0.126717215092936","0.0924491908799698","0.160985239305902"
"Full-time","1984","1-pers.-HH","(1c) basic vocational qualification","181","0.351143836141965","0.304827440886929","0.397460231397"
"Full-time","1984","1-pers.-HH","(2b) intermediate general qualification","8","","",""
"Full-time","1984","1-pers.-HH","(2a) intermediate vocational","99","0.430473729584689","0.361679539816376","0.499267919353003"
"Full-time","1984","1-pers.-HH","(2c_gen) general maturity certificate","6","","",""
"Full-time","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","43","0.531915369468037","0.417451052450672","0.646379686485402"
"Full-time","1984","1-pers.-HH","(3a) lower tertiary education","23","","",""
"Full-time","1984","1-pers.-HH","(3b) higher tertiary education","51","0.536449925197584","0.431056920138197","0.641842930256972"
"Full-time","1984","(Married) couple without C. ","(0) in school","1","","",""
"Full-time","1984","(Married) couple without C. ","(1a) inadequately completed","83","0.485252395524984","0.403337839186658","0.567166951863309"
"Full-time","1984","(Married) couple without C. ","(1b) general elementary school","181","0.184256102584423","0.154474678989078","0.214037526179767"
"Full-time","1984","(Married) couple without C. ","(1c) basic vocational qualification","506","0.391866399907799","0.363174176047669","0.420558623767929"
"Full-time","1984","(Married) couple without C. ","(2b) intermediate general qualification","17","","",""
"Full-time","1984","(Married) couple without C. ","(2a) intermediate vocational","206","0.532194535515505","0.480290423524644","0.584098647506365"
"Full-time","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","10","","",""
"Full-time","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","61","0.424242942758854","0.338623961811763","0.509861923705945"
"Full-time","1984","(Married) couple without C. ","(3a) lower tertiary education","49","0.500289816413983","0.395823402579214","0.604756230248752"
"Full-time","1984","(Married) couple without C. ","(3b) higher tertiary education","74","0.593483187267132","0.504098615766819","0.682867758767446"
"Full-time","1984","Single parent ","(0) in school","","","",""
"Full-time","1984","Single parent ","(1a) inadequately completed","25","","",""
"Full-time","1984","Single parent ","(1b) general elementary school","53","0.248381724289771","0.182653404347014","0.314110044232529"
"Full-time","1984","Single parent ","(1c) basic vocational qualification","101","0.511097714835536","0.440019863007533","0.582175566663539"
"Full-time","1984","Single parent ","(2b) intermediate general qualification","4","","",""
"Full-time","1984","Single parent ","(2a) intermediate vocational","35","0.598888504099625","0.472752334911964","0.725024673287286"
"Full-time","1984","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Full-time","1984","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"Full-time","1984","Single parent ","(3a) lower tertiary education","2","","",""
"Full-time","1984","Single parent ","(3b) higher tertiary education","7","","",""
"Full-time","1984","Couple + C. LE 16 ","(0) in school","","","",""
