"erwst","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","no migration background","in school","1","","",""
"Full-time","1984","no migration background","inadequately","23","","",""
"Full-time","1984","no migration background","general elemantary","461","0.181192294470361","0.165599278986627","0.196785309954094"
"Full-time","1984","no migration background","middle vocational","2274","0.468505557404605","0.454144399539817","0.482866715269393"
"Full-time","1984","no migration background","vocational + Abi","98","0.525967017541389","0.45401453835599","0.597919496726789"
"Full-time","1984","no migration background","higher vocational","358","0.564723067225922","0.525183654739791","0.604262479712053"
"Full-time","1984","no migration background","higher education","456","0.656164917006152","0.620145103762381","0.692184730249922"
"Full-time","1984","direct migration background","in school","","","",""
"Full-time","1984","direct migration background","inadequately","519","0.517664745853485","0.485687175024327","0.549642316682642"
"Full-time","1984","direct migration background","general elemantary","590","0.447371095158206","0.417592506257001","0.477149684059411"
"Full-time","1984","direct migration background","middle vocational","678","0.584147880936753","0.55409204631025","0.614203715563257"
"Full-time","1984","direct migration background","vocational + Abi","91","0.626196873174195","0.541719630374229","0.710674115974161"
"Full-time","1984","direct migration background","higher vocational","26","","",""
"Full-time","1984","direct migration background","higher education","80","0.57633684637578","0.488653580781348","0.664020111970212"
"Full-time","1984","indirect migration background","in school","","","",""
"Full-time","1984","indirect migration background","inadequately","2","","",""
"Full-time","1984","indirect migration background","general elemantary","10","","",""
"Full-time","1984","indirect migration background","middle vocational","20","","",""
"Full-time","1984","indirect migration background","vocational + Abi","","","",""
"Full-time","1984","indirect migration background","higher vocational","2","","",""
"Full-time","1984","indirect migration background","higher education","1","","",""
"Part-time","1984","no migration background","in school","1","","",""
"Part-time","1984","no migration background","inadequately","2","","",""
"Part-time","1984","no migration background","general elemantary","132","0.0515507837936306","0.0425993219510179","0.0605022456362434"
"Part-time","1984","no migration background","middle vocational","296","0.0566207589618969","0.0499693489499194","0.0632721689738744"
"Part-time","1984","no migration background","vocational + Abi","9","","",""
"Part-time","1984","no migration background","higher vocational","38","0.0572788149009223","0.0387469866321559","0.0758106431696887"
"Part-time","1984","no migration background","higher education","48","0.070585001730595","0.0511617958806783","0.0900082075805117"
"Part-time","1984","direct migration background","in school","","","",""
"Part-time","1984","direct migration background","inadequately","26","","",""
"Part-time","1984","direct migration background","general elemantary","46","0.0633264483066472","0.0487403193152509","0.0779125772980435"
"Part-time","1984","direct migration background","middle vocational","32","0.0508327997501582","0.0374378432839457","0.0642277562163708"
"Part-time","1984","direct migration background","vocational + Abi","6","","",""
"Part-time","1984","direct migration background","higher vocational","6","","",""
"Part-time","1984","direct migration background","higher education","9","","",""
