"hlf0071_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"1","1984","Schleswig-Holstein","Not Employed","6","","",""
"1","1984","Schleswig-Holstein","Employed","8","","",""
"1","1984","Hamburg","Not Employed","3","","",""
"1","1984","Hamburg","Employed","10","","",""
"1","1984","Lower Saxony","Not Employed","13","","",""
"1","1984","Lower Saxony","Employed","21","","",""
"1","1984","Bremen","Not Employed","4","","",""
"1","1984","Bremen","Employed","3","","",""
"1","1984","North Rhine-Westphalia","Not Employed","63","0.0280867054981684","0.0192005641903177","0.0369728468060192"
"1","1984","North Rhine-Westphalia","Employed","81","0.0250454196731742","0.0180919178207129","0.0319989215256355"
"1","1984","Hesse","Not Employed","24","","",""
"1","1984","Hesse","Employed","36","0.0171104979416082","0.00806165059295082","0.0261593452902655"
"1","1984","Rhineland-Palatinate,Saarland","Not Employed","13","","",""
"1","1984","Rhineland-Palatinate,Saarland","Employed","21","","",""
"1","1984","Baden-Württemberg","Not Employed","28","","",""
"1","1984","Baden-Württemberg","Employed","61","0.0285616806617405","0.0201517781827248","0.0369715831407562"
"1","1984","Bavaria","Not Employed","23","","",""
"1","1984","Bavaria","Employed","50","0.0257773753942566","0.0173890007802402","0.0341657500082729"
"1","1984","Berlin","Not Employed","3","","",""
"1","1984","Berlin","Employed","12","","",""
"1","1984","Brandenburg","Not Employed","","","",""
"1","1984","Brandenburg","Employed","","","",""
"1","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"1","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"1","1984","Saxony","Not Employed","","","",""
"1","1984","Saxony","Employed","","","",""
"1","1984","Saxony-Anhalt","Not Employed","","","",""
"1","1984","Saxony-Anhalt","Employed","","","",""
"1","1984","Thuringia","Not Employed","","","",""
"1","1984","Thuringia","Employed","","","",""
"2","1984","Schleswig-Holstein","Not Employed","18","","",""
"2","1984","Schleswig-Holstein","Employed","40","0.16687398552231","0.119403509683134","0.214344461361487"
"2","1984","Hamburg","Not Employed","24","","",""
"2","1984","Hamburg","Employed","40","0.203628731062365","0.146369091527128","0.260888370597602"
"2","1984","Lower Saxony","Not Employed","71","0.105252601980715","0.0793213434095211","0.131183860551909"
"2","1984","Lower Saxony","Employed","96","0.111721802006756","0.0883515256970803","0.135092078316431"
"2","1984","Bremen","Not Employed","9","","",""
"2","1984","Bremen","Employed","10","","",""
"2","1984","North Rhine-Westphalia","Not Employed","179","0.100185211389354","0.0840368884405967","0.116333534338111"
"2","1984","North Rhine-Westphalia","Employed","363","0.167893293599992","0.15126095140593","0.184525635794055"
"2","1984","Hesse","Not Employed","64","0.0879920388767474","0.0620480734345502","0.113936004318945"
"2","1984","Hesse","Employed","129","0.118165418973483","0.0956412720365796","0.140689565910387"
"2","1984","Rhineland-Palatinate,Saarland","Not Employed","26","","",""
"2","1984","Rhineland-Palatinate,Saarland","Employed","72","0.121461480602223","0.0925380541908342","0.150384907013613"
"2","1984","Baden-Württemberg","Not Employed","99","0.081926688465693","0.0624157308838705","0.101437646047516"
"2","1984","Baden-Württemberg","Employed","276","0.149238248094926","0.131248067857301","0.167228428332552"
"2","1984","Bavaria","Not Employed","101","0.116002322338299","0.092883098434789","0.139121546241808"
"2","1984","Bavaria","Employed","261","0.180950376554027","0.160572251796386","0.201328501311668"
"2","1984","Berlin","Not Employed","28","","",""
"2","1984","Berlin","Employed","87","0.262845407809916","0.211194795547026","0.314496020072806"
"2","1984","Brandenburg","Not Employed","","","",""
"2","1984","Brandenburg","Employed","","","",""
"2","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"2","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"2","1984","Saxony","Not Employed","","","",""
"2","1984","Saxony","Employed","","","",""
"2","1984","Saxony-Anhalt","Not Employed","","","",""
"2","1984","Saxony-Anhalt","Employed","","","",""
"2","1984","Thuringia","Not Employed","","","",""
"2","1984","Thuringia","Employed","","","",""
"3","1984","Schleswig-Holstein","Not Employed","107","0.699796543542982","0.626447204933333","0.773145882152632"
"3","1984","Schleswig-Holstein","Employed","160","0.668153742880704","0.608204930677489","0.728102555083919"
"3","1984","Hamburg","Not Employed","89","0.745944678750816","0.668378416570709","0.823510940930923"
"3","1984","Hamburg","Employed","133","0.7003065148139","0.635165574262646","0.765447455365154"
"3","1984","Lower Saxony","Not Employed","411","0.78446005229513","0.74971393702918","0.819206167561079"
"3","1984","Lower Saxony","Employed","525","0.773396332776482","0.742339661809266","0.804453003743699"
"3","1984","Bremen","Not Employed","54","0.790679260441913","0.696050049103556","0.885308471780269"
