"hlf0071_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","1-pers.-HH","West Germany","48","0.0216636743977155","0.013851348973213","0.0294759998222179"
"Much too small","1984","1-pers.-HH","East Germany","","","",""
"Much too small","1984","(Married) couple without C. ","West Germany","33","0.0070947038436189","0.00392828983676449","0.0102611178504733"
"Much too small","1984","(Married) couple without C. ","East Germany","","","",""
"Much too small","1984","Single parent ","West Germany","22","","",""
"Much too small","1984","Single parent ","East Germany","","","",""
"Much too small","1984","Couple + C. LE 16 ","West Germany","203","0.0497038956563679","0.0420285592113973","0.0573792321013384"
"Much too small","1984","Couple + C. LE 16 ","East Germany","","","",""
"Much too small","1984","Couple + C. GT 16 ","West Germany","30","0.00900594330829287","0.00485836522401476","0.013153521392571"
"Much too small","1984","Couple + C. GT 16 ","East Germany","","","",""
"Much too small","1984","Couple + C. LE and GT 16","West Germany","113","0.0555536768007258","0.0447286517114292","0.0663787018900225"
"Much too small","1984","Couple + C. LE and GT 16","East Germany","","","",""
"A little too small","1984","1-pers.-HH","West Germany","146","0.0913439413922609","0.0758839298768973","0.106803952907624"
"A little too small","1984","1-pers.-HH","East Germany","","","",""
"A little too small","1984","(Married) couple without C. ","West Germany","316","0.104128601453938","0.0926058948917896","0.115651308016086"
"A little too small","1984","(Married) couple without C. ","East Germany","","","",""
"A little too small","1984","Single parent ","West Germany","82","0.127855933841616","0.100656280524683","0.155055587158549"
"A little too small","1984","Single parent ","East Germany","","","",""
"A little too small","1984","Couple + C. LE 16 ","West Germany","721","0.211275729065391","0.196859218986113","0.22569223914467"
"A little too small","1984","Couple + C. LE 16 ","East Germany","","","",""
"A little too small","1984","Couple + C. GT 16 ","West Germany","249","0.0881505389217478","0.0757034297001831","0.100597648143313"
"A little too small","1984","Couple + C. GT 16 ","East Germany","","","",""
"A little too small","1984","Couple + C. LE and GT 16","West Germany","318","0.165015975100883","0.14747369885054","0.182558251351226"
"A little too small","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Just right","1984","1-pers.-HH","West Germany","983","0.755489563354342","0.732425643967546","0.778553482741138"
"Just right","1984","1-pers.-HH","East Germany","","","",""
"Just right","1984","(Married) couple without C. ","West Germany","2140","0.801243780379796","0.7861884826542","0.816299078105392"
"Just right","1984","(Married) couple without C. ","East Germany","","","",""
"Just right","1984","Single parent ","West Germany","437","0.781854500275463","0.748215358417785","0.815493642133141"
"Just right","1984","Single parent ","East Germany","","","",""
"Just right","1984","Couple + C. LE 16 ","West Germany","2030","0.687461062995548","0.671091056537032","0.703831069454064"
"Just right","1984","Couple + C. LE 16 ","East Germany","","","",""
"Just right","1984","Couple + C. GT 16 ","West Germany","1592","0.833245237190831","0.816880087386987","0.849610386994675"
"Just right","1984","Couple + C. GT 16 ","East Germany","","","",""
"Just right","1984","Couple + C. LE and GT 16","West Germany","1239","0.742595948026283","0.721934162711127","0.763257733341438"
"Just right","1984","Couple + C. LE and GT 16","East Germany","","","",""
"A little too big","1984","1-pers.-HH","West Germany","123","0.105674339708463","0.0891774225477432","0.122171256869182"
"A little too big","1984","1-pers.-HH","East Germany","","","",""
"A little too big","1984","(Married) couple without C. ","West Germany","192","0.0807988167159189","0.0705173650915617","0.0910802683402761"
"A little too big","1984","(Married) couple without C. ","East Germany","","","",""
"A little too big","1984","Single parent ","West Germany","32","0.0549362938059653","0.0363766759336279","0.0734959116783026"
"A little too big","1984","Single parent ","East Germany","","","",""
"A little too big","1984","Couple + C. LE 16 ","West Germany","116","0.0468993985120049","0.0394327494262568","0.054366047597753"
"A little too big","1984","Couple + C. LE 16 ","East Germany","","","",""
"A little too big","1984","Couple + C. GT 16 ","West Germany","111","0.0635352548573236","0.05282628870357","0.0742442210110773"
"A little too big","1984","Couple + C. GT 16 ","East Germany","","","",""
"A little too big","1984","Couple + C. LE and GT 16","West Germany","41","0.0293414377339421","0.0213659397838692","0.037316935684015"
"A little too big","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Much too big","1984","1-pers.-HH","West Germany","34","0.0258284811472189","0.0173163692433986","0.0343405930510391"
"Much too big","1984","1-pers.-HH","East Germany","","","",""
"Much too big","1984","(Married) couple without C. ","West Germany","18","","",""
"Much too big","1984","(Married) couple without C. ","East Germany","","","",""
"Much too big","1984","Single parent ","West Germany","6","","",""
"Much too big","1984","Single parent ","East Germany","","","",""
"Much too big","1984","Couple + C. LE 16 ","West Germany","10","","",""
"Much too big","1984","Couple + C. LE 16 ","East Germany","","","",""
"Much too big","1984","Couple + C. GT 16 ","West Germany","11","","",""
"Much too big","1984","Couple + C. GT 16 ","East Germany","","","",""
"Much too big","1984","Couple + C. LE and GT 16","West Germany","9","","",""
"Much too big","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Much too small","1985","1-pers.-HH","West Germany","38","0.0226365666648923","0.0141281771370712","0.0311449561927134"
"Much too small","1985","1-pers.-HH","East Germany","","","",""
"Much too small","1985","(Married) couple without C. ","West Germany","43","0.0103072002385398","0.00628566437637515","0.0143287361007044"
"Much too small","1985","(Married) couple without C. ","East Germany","","","",""
"Much too small","1985","Single parent ","West Germany","18","","",""
"Much too small","1985","Single parent ","East Germany","","","",""
"Much too small","1985","Couple + C. LE 16 ","West Germany","151","0.0448831114954525","0.0370148820997351","0.0527513408911699"
"Much too small","1985","Couple + C. LE 16 ","East Germany","","","",""
"Much too small","1985","Couple + C. GT 16 ","West Germany","65","0.0219809820017311","0.0155790985846465","0.0283828654188157"
"Much too small","1985","Couple + C. GT 16 ","East Germany","","","",""
"Much too small","1985","Couple + C. LE and GT 16","West Germany","68","0.0361278291837253","0.0266431365627221","0.0456125218047286"
"Much too small","1985","Couple + C. LE and GT 16","East Germany","","","",""
"A little too small","1985","1-pers.-HH","West Germany","129","0.0894327216790563","0.0731090336458249","0.105756409712288"
"A little too small","1985","1-pers.-HH","East Germany","","","",""
"A little too small","1985","(Married) couple without C. ","West Germany","218","0.0785610062362281","0.0678480779889694","0.0892739344834867"
"A little too small","1985","(Married) couple without C. ","East Germany","","","",""
"A little too small","1985","Single parent ","West Germany","94","0.144632688201579","0.115048631233944","0.174216745169215"
"A little too small","1985","Single parent ","East Germany","","","",""
"A little too small","1985","Couple + C. LE 16 ","West Germany","619","0.204474272435617","0.189147393634104","0.21980115123713"
"A little too small","1985","Couple + C. LE 16 ","East Germany","","","",""
"A little too small","1985","Couple + C. GT 16 ","West Germany","216","0.0956246703447565","0.0827845263341268","0.108464814355386"
"A little too small","1985","Couple + C. GT 16 ","East Germany","","","",""
"A little too small","1985","Couple + C. LE and GT 16","West Germany","263","0.14524666464591","0.127337880869653","0.163155448422167"
"A little too small","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Just right","1985","1-pers.-HH","West Germany","876","0.764939506107321","0.740683605169559","0.789195407045083"
"Just right","1985","1-pers.-HH","East Germany","","","",""
"Just right","1985","(Married) couple without C. ","West Germany","1952","0.817983371444244","0.802619553425317","0.833347189463171"
"Just right","1985","(Married) couple without C. ","East Germany","","","",""
"Just right","1985","Single parent ","West Germany","382","0.727257559539253","0.689797483082326","0.76471763599618"
"Just right","1985","Single parent ","East Germany","","","",""
"Just right","1985","Couple + C. LE 16 ","West Germany","1788","0.701149665033996","0.683754061075648","0.718545268992344"
"Just right","1985","Couple + C. LE 16 ","East Germany","","","",""
"Just right","1985","Couple + C. GT 16 ","West Germany","1615","0.815811461462809","0.798886146157285","0.832736776768334"
"Just right","1985","Couple + C. GT 16 ","East Germany","","","",""
"Just right","1985","Couple + C. LE and GT 16","West Germany","1097","0.766036759476497","0.74451928849461","0.787554230458383"
"Just right","1985","Couple + C. LE and GT 16","East Germany","","","",""
"A little too big","1985","1-pers.-HH","West Germany","106","0.0997417798124362","0.0826007801191615","0.116882779505711"
"A little too big","1985","1-pers.-HH","East Germany","","","",""
"A little too big","1985","(Married) couple without C. ","West Germany","196","0.0867763410236501","0.0755675021040331","0.0979851799432671"
"A little too big","1985","(Married) couple without C. ","East Germany","","","",""
"A little too big","1985","Single parent ","West Germany","40","0.0878250582239415","0.0640185079280839","0.111631608519799"
"A little too big","1985","Single parent ","East Germany","","","",""
"A little too big","1985","Couple + C. LE 16 ","West Germany","88","0.0434882003015585","0.0357375497541096","0.0512388508490074"
"A little too big","1985","Couple + C. LE 16 ","East Germany","","","",""
"A little too big","1985","Couple + C. GT 16 ","West Germany","109","0.0606239763294703","0.0502043412173255","0.071043611441615"
"A little too big","1985","Couple + C. GT 16 ","East Germany","","","",""
"A little too big","1985","Couple + C. LE and GT 16","West Germany","56","0.0502025067345723","0.0391038398207277","0.061301173648417"
"A little too big","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Much too big","1985","1-pers.-HH","West Germany","25","","",""
"Much too big","1985","1-pers.-HH","East Germany","","","",""
"Much too big","1985","(Married) couple without C. ","West Germany","14","","",""
"Much too big","1985","(Married) couple without C. ","East Germany","","","",""
"Much too big","1985","Single parent ","West Germany","9","","",""
"Much too big","1985","Single parent ","East Germany","","","",""
"Much too big","1985","Couple + C. LE 16 ","West Germany","14","","",""
"Much too big","1985","Couple + C. LE 16 ","East Germany","","","",""
"Much too big","1985","Couple + C. GT 16 ","West Germany","10","","",""
"Much too big","1985","Couple + C. GT 16 ","East Germany","","","",""
"Much too big","1985","Couple + C. LE and GT 16","West Germany","3","","",""
"Much too big","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Much too small","1986","1-pers.-HH","West Germany","13","","",""
"Much too small","1986","1-pers.-HH","East Germany","","","",""
"Much too small","1986","(Married) couple without C. ","West Germany","8","","",""
"Much too small","1986","(Married) couple without C. ","East Germany","","","",""
"Much too small","1986","Single parent ","West Germany","5","","",""
"Much too small","1986","Single parent ","East Germany","","","",""
"Much too small","1986","Couple + C. LE 16 ","West Germany","12","","",""
"Much too small","1986","Couple + C. LE 16 ","East Germany","","","",""
"Much too small","1986","Couple + C. GT 16 ","West Germany","12","","",""
"Much too small","1986","Couple + C. GT 16 ","East Germany","","","",""
"Much too small","1986","Couple + C. LE and GT 16","West Germany","","","",""
"Much too small","1986","Couple + C. LE and GT 16","East Germany","","","",""
"A little too small","1986","1-pers.-HH","West Germany","52","0.235657332247065","0.177560066853505","0.293754597640625"
"A little too small","1986","1-pers.-HH","East Germany","","","",""
"A little too small","1986","(Married) couple without C. ","West Germany","30","0.0913110655874796","0.0609156651907851","0.121706465984174"
"A little too small","1986","(Married) couple without C. ","East Germany","","","",""
"A little too small","1986","Single parent ","West Germany","6","","",""
"A little too small","1986","Single parent ","East Germany","","","",""
"A little too small","1986","Couple + C. LE 16 ","West Germany","66","0.162658123861284","0.12337214968208","0.201944098040488"
"A little too small","1986","Couple + C. LE 16 ","East Germany","","","",""
"A little too small","1986","Couple + C. GT 16 ","West Germany","13","","",""
"A little too small","1986","Couple + C. GT 16 ","East Germany","","","",""
"A little too small","1986","Couple + C. LE and GT 16","West Germany","6","","",""
"A little too small","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Just right","1986","1-pers.-HH","West Germany","129","0.663188623078618","0.59849178282429","0.727885463332946"
"Just right","1986","1-pers.-HH","East Germany","","","",""
"Just right","1986","(Married) couple without C. ","West Germany","274","0.771875693285791","0.72759667261048","0.816154713961102"
"Just right","1986","(Married) couple without C. ","East Germany","","","",""
"Just right","1986","Single parent ","West Germany","52","0.852294365404935","0.766039271409473","0.938549459400398"
"Just right","1986","Single parent ","East Germany","","","",""
