"hlf0071_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","no migration background","in school","5","","",""
"Much too small","1984","no migration background","inadequately","7","","",""
"Much too small","1984","no migration background","general elemantary","53","0.0199375302687657","0.0142774250321909","0.0255976355053405"
"Much too small","1984","no migration background","middle vocational","104","0.0204200149963536","0.0163470395171893","0.0244929904755178"
"Much too small","1984","no migration background","vocational + Abi","8","","",""
"Much too small","1984","no migration background","higher vocational","13","","",""
"Much too small","1984","no migration background","higher education","15","","",""
"Much too small","1984","direct migration background","in school","1","","",""
"Much too small","1984","direct migration background","inadequately","85","0.0913411922230244","0.0728947738740287","0.10978761057202"
"Much too small","1984","direct migration background","general elemantary","94","0.0829908117248944","0.0664690937146643","0.0995125297351245"
"Much too small","1984","direct migration background","middle vocational","66","0.0435426670346772","0.0310857930177518","0.0559995410516027"
"Much too small","1984","direct migration background","vocational + Abi","14","","",""
"Much too small","1984","direct migration background","higher vocational","2","","",""
"Much too small","1984","direct migration background","higher education","8","","",""
"Much too small","1984","indirect migration background","in school","","","",""
"Much too small","1984","indirect migration background","inadequately","1","","",""
"Much too small","1984","indirect migration background","general elemantary","1","","",""
"Much too small","1984","indirect migration background","middle vocational","3","","",""
"Much too small","1984","indirect migration background","vocational + Abi","","","",""
"Much too small","1984","indirect migration background","higher vocational","","","",""
"Much too small","1984","indirect migration background","higher education","","","",""
"A little too small","1984","no migration background","in school","26","","",""
"A little too small","1984","no migration background","inadequately","15","","",""
"A little too small","1984","no migration background","general elemantary","259","0.100785496565946","0.088595807769823","0.112975185362069"
"A little too small","1984","no migration background","middle vocational","653","0.130855904606843","0.121143956130051","0.140567853083635"
"A little too small","1984","no migration background","vocational + Abi","28","","",""
"A little too small","1984","no migration background","higher vocational","94","0.148159322624833","0.119827579143185","0.176491066106481"
"A little too small","1984","no migration background","higher education","111","0.15269437566413","0.125397261319889","0.179991490008372"
"A little too small","1984","direct migration background","in school","5","","",""
"A little too small","1984","direct migration background","inadequately","196","0.199517186621514","0.173928708457803","0.225105664785225"
"A little too small","1984","direct migration background","general elemantary","247","0.175447645159815","0.152668561714098","0.198226728605532"
"A little too small","1984","direct migration background","middle vocational","246","0.196570006820512","0.172312207159313","0.220827806481711"
"A little too small","1984","direct migration background","vocational + Abi","29","","",""
"A little too small","1984","direct migration background","higher vocational","12","","",""
"A little too small","1984","direct migration background","higher education","30","0.194679855908955","0.124419076195216","0.264940635622693"
"A little too small","1984","indirect migration background","in school","2","","",""
"A little too small","1984","indirect migration background","inadequately","","","",""
"A little too small","1984","indirect migration background","general elemantary","15","","",""
"A little too small","1984","indirect migration background","middle vocational","10","","",""
"A little too small","1984","indirect migration background","vocational + Abi","","","",""
"A little too small","1984","indirect migration background","higher vocational","","","",""
"A little too small","1984","indirect migration background","higher education","1","","",""
"Just right","1984","no migration background","in school","119","0.744801456907996","0.676821810445583","0.812781103370408"
"Just right","1984","no migration background","inadequately","47","0.608928411571349","0.499931553275751","0.717925269866946"
"Just right","1984","no migration background","general elemantary","1842","0.793980341965739","0.777603839585334","0.810356844346143"
"Just right","1984","no migration background","middle vocational","3554","0.774905397311481","0.762878026537914","0.786932768085048"
"Just right","1984","no migration background","vocational + Abi","131","0.729591910347052","0.665587180064608","0.793596640629496"
"Just right","1984","no migration background","higher vocational","433","0.71857180231354","0.682708645773768","0.754434958853312"
"Just right","1984","no migration background","higher education","489","0.739241321840166","0.705921883118364","0.772560760561968"
"Just right","1984","direct migration background","in school","15","","",""
"Just right","1984","direct migration background","inadequately","632","0.677487816352476","0.647558134307158","0.707417498397793"
"Just right","1984","direct migration background","general elemantary","704","0.702502201345316","0.675123106981632","0.729881295709001"
"Just right","1984","direct migration background","middle vocational","686","0.707549874212864","0.679783242903201","0.735316505522527"
"Just right","1984","direct migration background","vocational + Abi","78","0.555475542775601","0.468710832758379","0.642240252792824"
"Just right","1984","direct migration background","higher vocational","36","0.711267802008889","0.588096196510727","0.83443940750705"
"Just right","1984","direct migration background","higher education","78","0.672452246150257","0.589173109777238","0.755731382523277"
"Just right","1984","indirect migration background","in school","6","","",""
"Just right","1984","indirect migration background","inadequately","3","","",""
"Just right","1984","indirect migration background","general elemantary","34","0.75161362228513","0.635289076716047","0.867938167854214"
"Just right","1984","indirect migration background","middle vocational","40","0.883317422686405","0.797690050518405","0.968944794854406"
"Just right","1984","indirect migration background","vocational + Abi","1","","",""
"Just right","1984","indirect migration background","higher vocational","4","","",""
"Just right","1984","indirect migration background","higher education","2","","",""
"A little too big","1984","no migration background","in school","7","","",""
"A little too big","1984","no migration background","inadequately","8","","",""
"A little too big","1984","no migration background","general elemantary","168","0.0756646217858982","0.0649562567510902","0.0863729868207062"
"A little too big","1984","no migration background","middle vocational","279","0.0642336330355992","0.0571732416770584","0.0712940243941401"
"A little too big","1984","no migration background","vocational + Abi","18","","",""
"A little too big","1984","no migration background","higher vocational","54","0.093335646773826","0.0701362515843187","0.116535041963333"
"A little too big","1984","no migration background","higher education","42","0.069583709062133","0.0502739162352828","0.0888935018889832"
"A little too big","1984","direct migration background","in school","","","",""
"A little too big","1984","direct migration background","inadequately","22","","",""
"A little too big","1984","direct migration background","general elemantary","25","","",""
"A little too big","1984","direct migration background","middle vocational","30","0.0473384612314998","0.0343757710013944","0.0603011514616051"
"A little too big","1984","direct migration background","vocational + Abi","4","","",""
"A little too big","1984","direct migration background","higher vocational","2","","",""
"A little too big","1984","direct migration background","higher education","5","","",""
"A little too big","1984","indirect migration background","in school","","","",""
"A little too big","1984","indirect migration background","inadequately","","","",""
"A little too big","1984","indirect migration background","general elemantary","3","","",""
"A little too big","1984","indirect migration background","middle vocational","1","","",""
"A little too big","1984","indirect migration background","vocational + Abi","","","",""
"A little too big","1984","indirect migration background","higher vocational","","","",""
"A little too big","1984","indirect migration background","higher education","","","",""
"Much too big","1984","no migration background","in school","1","","",""
"Much too big","1984","no migration background","inadequately","","","",""
"Much too big","1984","no migration background","general elemantary","21","","",""
"Much too big","1984","no migration background","middle vocational","42","0.00958505004972314","0.00677916676581545","0.0123909333336308"
"Much too big","1984","no migration background","vocational + Abi","","","",""
"Much too big","1984","no migration background","higher vocational","10","","",""
"Much too big","1984","no migration background","higher education","10","","",""
"Much too big","1984","direct migration background","in school","","","",""
"Much too big","1984","direct migration background","inadequately","2","","",""
"Much too big","1984","direct migration background","general elemantary","1","","",""
"Much too big","1984","direct migration background","middle vocational","3","","",""
"Much too big","1984","direct migration background","vocational + Abi","1","","",""
"Much too big","1984","direct migration background","higher vocational","","","",""
"Much too big","1984","direct migration background","higher education","1","","",""
"Much too big","1984","indirect migration background","in school","","","",""
"Much too big","1984","indirect migration background","inadequately","","","",""
"Much too big","1984","indirect migration background","general elemantary","","","",""
"Much too big","1984","indirect migration background","middle vocational","","","",""
"Much too big","1984","indirect migration background","vocational + Abi","","","",""
"Much too big","1984","indirect migration background","higher vocational","","","",""
"Much too big","1984","indirect migration background","higher education","","","",""
"Much too small","1985","no migration background","in school","3","","",""
"Much too small","1985","no migration background","inadequately","6","","",""
"Much too small","1985","no migration background","general elemantary","48","0.0189933871565287","0.0131300494814085","0.024856724831649"
"Much too small","1985","no migration background","middle vocational","92","0.0190114146360612","0.0148896282122196","0.0231332010599027"
"Much too small","1985","no migration background","vocational + Abi","9","","",""
"Much too small","1985","no migration background","higher vocational","13","","",""
"Much too small","1985","no migration background","higher education","16","","",""
"Much too small","1985","direct migration background","in school","2","","",""
"Much too small","1985","direct migration background","inadequately","49","0.0674526791431335","0.0495151275222658","0.0853902307640012"
"Much too small","1985","direct migration background","general elemantary","77","0.0649339209600274","0.0489505025830389","0.0809173393370158"
"Much too small","1985","direct migration background","middle vocational","54","0.0435690749280371","0.0302694382823697","0.0568687115737045"
"Much too small","1985","direct migration background","vocational + Abi","12","","",""
"Much too small","1985","direct migration background","higher vocational","1","","",""
"Much too small","1985","direct migration background","higher education","10","","",""
"Much too small","1985","indirect migration background","in school","","","",""
"Much too small","1985","indirect migration background","inadequately","","","",""
"Much too small","1985","indirect migration background","general elemantary","4","","",""
"Much too small","1985","indirect migration background","middle vocational","2","","",""
"Much too small","1985","indirect migration background","vocational + Abi","","","",""
"Much too small","1985","indirect migration background","higher vocational","","","",""
"Much too small","1985","indirect migration background","higher education","1","","",""
"A little too small","1985","no migration background","in school","16","","",""
"A little too small","1985","no migration background","inadequately","12","","",""
"A little too small","1985","no migration background","general elemantary","210","0.0898094128956982","0.0775283819126205","0.102090443878776"
"A little too small","1985","no migration background","middle vocational","534","0.116490736987311","0.106808013259526","0.126173460715096"
"A little too small","1985","no migration background","vocational + Abi","24","","",""
"A little too small","1985","no migration background","higher vocational","76","0.121681195767126","0.0947723923202947","0.148589999213958"
"A little too small","1985","no migration background","higher education","94","0.136106390579898","0.109519530429476","0.162693250730321"
"A little too small","1985","direct migration background","in school","6","","",""
"A little too small","1985","direct migration background","inadequately","166","0.241408253617116","0.210802136466124","0.272014370768107"
"A little too small","1985","direct migration background","general elemantary","194","0.177992794956805","0.153181368940549","0.202804220973062"
"A little too small","1985","direct migration background","middle vocational","210","0.220426785009524","0.193419281630829","0.247434288388218"
"A little too small","1985","direct migration background","vocational + Abi","29","","",""
"A little too small","1985","direct migration background","higher vocational","14","","",""
"A little too small","1985","direct migration background","higher education","24","","",""
"A little too small","1985","indirect migration background","in school","2","","",""
"A little too small","1985","indirect migration background","inadequately","2","","",""
"A little too small","1985","indirect migration background","general elemantary","9","","",""
"A little too small","1985","indirect migration background","middle vocational","8","","",""
"A little too small","1985","indirect migration background","vocational + Abi","","","",""
"A little too small","1985","indirect migration background","higher vocational","","","",""
"A little too small","1985","indirect migration background","higher education","","","",""
"Just right","1985","no migration background","in school","129","0.841399927076621","0.783704597710698","0.899095256442544"
"Just right","1985","no migration background","inadequately","63","0.77059325521064","0.680679913082193","0.860506597339087"
"Just right","1985","no migration background","general elemantary","1659","0.803860987528927","0.786804869340523","0.820917105717331"
"Just right","1985","no migration background","middle vocational","3257","0.781579055028449","0.769108669284759","0.794049440772139"
"Just right","1985","no migration background","vocational + Abi","127","0.745697989208221","0.680429070348776","0.810966908067665"
"Just right","1985","no migration background","higher vocational","424","0.758473882671094","0.723244184131008","0.79370358121118"
"Just right","1985","no migration background","higher education","467","0.732678209852604","0.698364199327701","0.766992220377506"
"Just right","1985","direct migration background","in school","12","","",""
"Just right","1985","direct migration background","inadequately","520","0.668480975402785","0.634812234427094","0.702149716378475"
"Just right","1985","direct migration background","general elemantary","622","0.722826381490698","0.693792463518326","0.75186029946307"
"Just right","1985","direct migration background","middle vocational","610","0.685637232889518","0.655389937358053","0.715884528420982"
"Just right","1985","direct migration background","vocational + Abi","62","0.564917681896643","0.469635932472093","0.660199431321193"
"Just right","1985","direct migration background","higher vocational","31","0.679105845231083","0.547044076442414","0.811167614019753"
"Just right","1985","direct migration background","higher education","74","0.747620440271807","0.666445977890173","0.82879490265344"
"Just right","1985","indirect migration background","in school","8","","",""
"Just right","1985","indirect migration background","inadequately","3","","",""
"Just right","1985","indirect migration background","general elemantary","46","0.81452748076043","0.716179573749391","0.91287538777147"
"Just right","1985","indirect migration background","middle vocational","46","0.884882256254259","0.802026146019143","0.967738366489375"
"Just right","1985","indirect migration background","vocational + Abi","","","",""
"Just right","1985","indirect migration background","higher vocational","4","","",""
"Just right","1985","indirect migration background","higher education","3","","",""
"A little too big","1985","no migration background","in school","4","","",""
"A little too big","1985","no migration background","inadequately","3","","",""
"A little too big","1985","no migration background","general elemantary","139","0.0716720358483088","0.0605922002780032","0.0827518714186144"
"A little too big","1985","no migration background","middle vocational","311","0.0764840640101895","0.068462593972748","0.084505534047631"
"A little too big","1985","no migration background","vocational + Abi","10","","",""
"A little too big","1985","no migration background","higher vocational","47","0.0849342372131383","0.0619873326067665","0.10788114181951"
"A little too big","1985","no migration background","higher education","55","0.0936878316681466","0.071094610107783","0.11628105322851"
"A little too big","1985","direct migration background","in school","2","","",""
"A little too big","1985","direct migration background","inadequately","12","","",""
"A little too big","1985","direct migration background","general elemantary","14","","",""
"A little too big","1985","direct migration background","middle vocational","26","","",""
"A little too big","1985","direct migration background","vocational + Abi","1","","",""
"A little too big","1985","direct migration background","higher vocational","2","","",""
"A little too big","1985","direct migration background","higher education","2","","",""
"A little too big","1985","indirect migration background","in school","","","",""
"A little too big","1985","indirect migration background","inadequately","","","",""
"A little too big","1985","indirect migration background","general elemantary","1","","",""
"A little too big","1985","indirect migration background","middle vocational","1","","",""
"A little too big","1985","indirect migration background","vocational + Abi","","","",""
"A little too big","1985","indirect migration background","higher vocational","","","",""
"A little too big","1985","indirect migration background","higher education","","","",""
"Much too big","1985","no migration background","in school","2","","",""
"Much too big","1985","no migration background","inadequately","","","",""
"Much too big","1985","no migration background","general elemantary","26","","",""
"Much too big","1985","no migration background","middle vocational","23","","",""
"Much too big","1985","no migration background","vocational + Abi","1","","",""
"Much too big","1985","no migration background","higher vocational","7","","",""
"Much too big","1985","no migration background","higher education","7","","",""
"Much too big","1985","direct migration background","in school","","","",""
"Much too big","1985","direct migration background","inadequately","4","","",""
"Much too big","1985","direct migration background","general elemantary","6","","",""
"Much too big","1985","direct migration background","middle vocational","5","","",""
"Much too big","1985","direct migration background","vocational + Abi","","","",""
"Much too big","1985","direct migration background","higher vocational","","","",""
"Much too big","1985","direct migration background","higher education","","","",""
"Much too big","1985","indirect migration background","in school","","","",""
"Much too big","1985","indirect migration background","inadequately","","","",""
"Much too big","1985","indirect migration background","general elemantary","","","",""
"Much too big","1985","indirect migration background","middle vocational","","","",""
"Much too big","1985","indirect migration background","vocational + Abi","","","",""
"Much too big","1985","indirect migration background","higher vocational","","","",""
"Much too big","1985","indirect migration background","higher education","","","",""
"Much too small","1986","no migration background","in school","","","",""
"Much too small","1986","no migration background","inadequately","1","","",""
"Much too small","1986","no migration background","general elemantary","10","","",""
"Much too small","1986","no migration background","middle vocational","9","","",""
"Much too small","1986","no migration background","vocational + Abi","","","",""
"Much too small","1986","no migration background","higher vocational","2","","",""
"Much too small","1986","no migration background","higher education","4","","",""
"Much too small","1986","direct migration background","in school","","","",""
"Much too small","1986","direct migration background","inadequately","6","","",""
"Much too small","1986","direct migration background","general elemantary","9","","",""
"Much too small","1986","direct migration background","middle vocational","3","","",""
"Much too small","1986","direct migration background","vocational + Abi","2","","",""
"Much too small","1986","direct migration background","higher vocational","","","",""
"Much too small","1986","direct migration background","higher education","","","",""
"Much too small","1986","indirect migration background","in school","","","",""
"Much too small","1986","indirect migration background","inadequately","","","",""
"Much too small","1986","indirect migration background","general elemantary","1","","",""
"Much too small","1986","indirect migration background","middle vocational","1","","",""
"Much too small","1986","indirect migration background","vocational + Abi","","","",""
"Much too small","1986","indirect migration background","higher vocational","","","",""
"Much too small","1986","indirect migration background","higher education","","","",""
"A little too small","1986","no migration background","in school","","","",""
"A little too small","1986","no migration background","inadequately","1","","",""
"A little too small","1986","no migration background","general elemantary","22","","",""
"A little too small","1986","no migration background","middle vocational","61","0.13084657507194","0.0995840731033508","0.162109077040529"
"A little too small","1986","no migration background","vocational + Abi","1","","",""
"A little too small","1986","no migration background","higher vocational","4","","",""
"A little too small","1986","no migration background","higher education","23","","",""
"A little too small","1986","direct migration background","in school","1","","",""
"A little too small","1986","direct migration background","inadequately","13","","",""
"A little too small","1986","direct migration background","general elemantary","23","","",""
"A little too small","1986","direct migration background","middle vocational","23","","",""
"A little too small","1986","direct migration background","vocational + Abi","1","","",""
"A little too small","1986","direct migration background","higher vocational","2","","",""
"A little too small","1986","direct migration background","higher education","4","","",""
"A little too small","1986","indirect migration background","in school","","","",""
"A little too small","1986","indirect migration background","inadequately","","","",""
"A little too small","1986","indirect migration background","general elemantary","","","",""
"A little too small","1986","indirect migration background","middle vocational","","","",""
"A little too small","1986","indirect migration background","vocational + Abi","","","",""
"A little too small","1986","indirect migration background","higher vocational","","","",""
"A little too small","1986","indirect migration background","higher education","1","","",""
"Just right","1986","no migration background","in school","6","","",""
"Just right","1986","no migration background","inadequately","15","","",""
"Just right","1986","no migration background","general elemantary","150","0.775865856819414","0.71672620854766","0.835005505091168"
"Just right","1986","no migration background","middle vocational","342","0.764713407547424","0.725390803357706","0.804036011737142"
"Just right","1986","no migration background","vocational + Abi","17","","",""
"Just right","1986","no migration background","higher vocational","47","0.798156756415072","0.693958160070407","0.902355352759736"
"Just right","1986","no migration background","higher education","54","0.552465661889051","0.450302759751637","0.654628564026464"
"Just right","1986","direct migration background","in school","1","","",""
