"hlf0094","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","16-34 y.","no migration background","280","0.234997686090484","0.211028183344144","0.258967188836825"
"Very Inexpensive","1984","16-34 y.","direct migration background","9","","",""
"Very Inexpensive","1984","16-34 y.","indirect migration background","6","","",""
"Very Inexpensive","1984","35-65 y.","no migration background","617","0.265140409046949","0.247316597064281","0.282964221029617"
"Very Inexpensive","1984","35-65 y.","direct migration background","33","0.215893717011629","0.158728873161063","0.273058560862195"
"Very Inexpensive","1984","35-65 y.","indirect migration background","","","",""
"Very Inexpensive","1984","66 and older","no migration background","167","0.312403733927393","0.273492526912205","0.351314940942581"
"Very Inexpensive","1984","66 and older","direct migration background","5","","",""
"Very Inexpensive","1984","66 and older","indirect migration background","","","",""
"Inexpensive","1984","16-34 y.","no migration background","362","0.308252143180248","0.28214719588523","0.334357090475267"
"Inexpensive","1984","16-34 y.","direct migration background","26","","",""
"Inexpensive","1984","16-34 y.","indirect migration background","5","","",""
"Inexpensive","1984","35-65 y.","no migration background","737","0.317937243973268","0.299133543771173","0.336740944175364"
"Inexpensive","1984","35-65 y.","direct migration background","58","0.345608609291293","0.27953430218544","0.411682916397145"
"Inexpensive","1984","35-65 y.","indirect migration background","4","","",""
"Inexpensive","1984","66 and older","no migration background","168","0.3148692185364","0.275874868758981","0.353863568313818"
"Inexpensive","1984","66 and older","direct migration background","2","","",""
"Inexpensive","1984","66 and older","indirect migration background","","","",""
"Reasonable","1984","16-34 y.","no migration background","406","0.330071535094771","0.303487915770302","0.356655154419241"
"Reasonable","1984","16-34 y.","direct migration background","40","0.418493025412098","0.314232372175685","0.52275367864851"
"Reasonable","1984","16-34 y.","indirect migration background","13","","",""
"Reasonable","1984","35-65 y.","no migration background","754","0.31616380683202","0.297388261258244","0.334939352405797"
"Reasonable","1984","35-65 y.","direct migration background","75","0.295710198751915","0.232304191777529","0.359116205726301"
"Reasonable","1984","35-65 y.","indirect migration background","3","","",""
"Reasonable","1984","66 and older","no migration background","188","0.332491196890142","0.292939200055524","0.372043193724761"
"Reasonable","1984","66 and older","direct migration background","3","","",""
"Reasonable","1984","66 and older","indirect migration background","1","","",""
"Slightly Expensive","1984","16-34 y.","no migration background","106","0.0875358064187561","0.0715587546920211","0.103512858145491"
"Slightly Expensive","1984","16-34 y.","direct migration background","10","","",""
"Slightly Expensive","1984","16-34 y.","indirect migration background","","","",""
"Slightly Expensive","1984","35-65 y.","no migration background","180","0.0735661911225325","0.0630245850931979","0.0841077971518671"
"Slightly Expensive","1984","35-65 y.","direct migration background","27","","",""
"Slightly Expensive","1984","35-65 y.","indirect migration background","","","",""
"Slightly Expensive","1984","66 and older","no migration background","19","","",""
"Slightly Expensive","1984","66 and older","direct migration background","","","",""
"Slightly Expensive","1984","66 and older","indirect migration background","","","",""
"Too Expensive","1984","16-34 y.","no migration background","48","0.0391428292157398","0.0281792746746827","0.0501063837567969"
"Too Expensive","1984","16-34 y.","direct migration background","1","","",""
