"hlf0094","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1985","Not Employed","Urban Area","306","0.270272364779843","0.244933432844621","0.295611296715066"
"Very Inexpensive","1985","Not Employed","Rural Area","148","0.284342199960683","0.246081683624014","0.322602716297351"
"Very Inexpensive","1985","Employed","Urban Area","339","0.205094293693186","0.18620376440146","0.223984822984911"
"Very Inexpensive","1985","Employed","Rural Area","162","0.22110982020106","0.191209601768356","0.251010038633764"
"Inexpensive","1985","Not Employed","Urban Area","374","0.322930903493458","0.296251360439511","0.349610446547404"
"Inexpensive","1985","Not Employed","Rural Area","162","0.308345578640028","0.26917672113964","0.347514436140416"
"Inexpensive","1985","Employed","Urban Area","550","0.321840216484638","0.299982957298354","0.343697475670923"
"Inexpensive","1985","Employed","Rural Area","207","0.2801800887825","0.247823495251084","0.312536682313915"
"Reasonable","1985","Not Employed","Urban Area","394","0.320262303419205","0.293640916561941","0.346883690276469"
"Reasonable","1985","Not Employed","Rural Area","179","0.330758778934763","0.290854038157676","0.37066351971185"
"Reasonable","1985","Employed","Urban Area","653","0.36402912947583","0.341518055704801","0.386540203246859"
"Reasonable","1985","Employed","Rural Area","285","0.385568968404757","0.350500254533856","0.420637682275658"
"Slightly Expensive","1985","Not Employed","Urban Area","88","0.0703263510949164","0.0557371540414726","0.0849155481483603"
"Slightly Expensive","1985","Not Employed","Rural Area","37","0.0651185854271033","0.04419152615115","0.0860456447030565"
"Slightly Expensive","1985","Employed","Urban Area","167","0.0838212384766763","0.070856114402644","0.0967863625507086"
"Slightly Expensive","1985","Employed","Rural Area","58","0.0748237007296772","0.0558669424376046","0.0937804590217498"
"Too Expensive","1985","Not Employed","Urban Area","18","","",""
"Too Expensive","1985","Not Employed","Rural Area","8","","",""
"Too Expensive","1985","Employed","Urban Area","46","0.0252151218696702","0.0178802174654978","0.0325500262738426"
"Too Expensive","1985","Employed","Rural Area","28","","",""
"Very Inexpensive","1986","Not Employed","Urban Area","266","0.221795081849251","0.198726971974695","0.244863191723807"
"Very Inexpensive","1986","Not Employed","Rural Area","118","0.235299626182328","0.199014828224537","0.271584424140119"
"Very Inexpensive","1986","Employed","Urban Area","270","0.152846817648691","0.136064114411267","0.169629520886115"
"Very Inexpensive","1986","Employed","Rural Area","120","0.160137665362615","0.134384527012852","0.185890803712379"
"Inexpensive","1986","Not Employed","Urban Area","405","0.341101324228587","0.314778038981941","0.367424609475233"
"Inexpensive","1986","Not Employed","Rural Area","154","0.306071491910116","0.266649619831244","0.345493363988989"
"Inexpensive","1986","Employed","Urban Area","525","0.303524137348793","0.282080305497865","0.324967969199721"
"Inexpensive","1986","Employed","Rural Area","227","0.296255406815909","0.264191234013243","0.328319579618575"
"Reasonable","1986","Not Employed","Urban Area","460","0.356419655404602","0.329826413824744","0.383012896984461"
"Reasonable","1986","Not Employed","Rural Area","203","0.364641077827018","0.323468240007518","0.405813915646517"
"Reasonable","1986","Employed","Urban Area","720","0.412541713574343","0.389581538644206","0.43550188850448"
"Reasonable","1986","Employed","Rural Area","308","0.392654493900904","0.358361724467085","0.426947263334722"
"Slightly Expensive","1986","Not Employed","Urban Area","91","0.0635371303248164","0.0499930927785509","0.0770811678710819"
"Slightly Expensive","1986","Not Employed","Rural Area","36","0.0692085544548623","0.047497819770254","0.0909192891394707"
"Slightly Expensive","1986","Employed","Urban Area","205","0.108367903427057","0.0938703097438831","0.122865497110232"
"Slightly Expensive","1986","Employed","Rural Area","90","0.110191441423726","0.0882026386673586","0.132180244180094"
"Too Expensive","1986","Not Employed","Urban Area","24","","",""
"Too Expensive","1986","Not Employed","Rural Area","14","","",""
"Too Expensive","1986","Employed","Urban Area","46","0.0227194280011156","0.0157698078055401","0.0296690481966912"
"Too Expensive","1986","Employed","Rural Area","34","0.0407609924968454","0.0268753764354829","0.0546466085582078"
"Very Inexpensive","1987","Not Employed","Urban Area","213","0.178818619275766","0.157092105070738","0.200545133480795"
"Very Inexpensive","1987","Not Employed","Rural Area","115","0.235176690065027","0.196752664800739","0.273600715329316"
"Very Inexpensive","1987","Employed","Urban Area","287","0.163964313828482","0.147083857474369","0.180844770182595"
"Very Inexpensive","1987","Employed","Rural Area","135","0.173008880604968","0.146343796053172","0.199673965156764"
"Inexpensive","1987","Not Employed","Urban Area","441","0.385972220611046","0.358370498926752","0.413573942295341"
"Inexpensive","1987","Not Employed","Rural Area","169","0.379252189909018","0.335293290439232","0.423211089378804"
"Inexpensive","1987","Employed","Urban Area","614","0.3365065381395","0.314963240345078","0.358049835933923"
"Inexpensive","1987","Employed","Rural Area","229","0.287689205084592","0.255777141385148","0.319601268784036"
"Reasonable","1987","Not Employed","Urban Area","422","0.347542220870934","0.320543441423909","0.374541000317959"
"Reasonable","1987","Not Employed","Rural Area","139","0.305874924533546","0.264128818781696","0.347621030285396"
"Reasonable","1987","Employed","Urban Area","708","0.378123233986379","0.356014394069941","0.400232073902817"
"Reasonable","1987","Employed","Rural Area","320","0.431409236462935","0.396494966641001","0.466323506284869"
"Slightly Expensive","1987","Not Employed","Urban Area","84","0.0588760765730449","0.0455298966376649","0.0722222565084249"
"Slightly Expensive","1987","Not Employed","Rural Area","30","0.0547430123309253","0.0341336545594871","0.0753523701023634"
"Slightly Expensive","1987","Employed","Urban Area","193","0.0959808363729799","0.0825507690099321","0.109410903736028"
"Slightly Expensive","1987","Employed","Rural Area","70","0.0854939642052379","0.0657824784879499","0.105205449922526"
"Too Expensive","1987","Not Employed","Urban Area","35","0.0287908626692089","0.0193099999703383","0.0382717253680795"
"Too Expensive","1987","Not Employed","Rural Area","15","","",""
"Too Expensive","1987","Employed","Urban Area","46","0.0254250776726588","0.0182481946485011","0.0326019606968166"
"Too Expensive","1987","Employed","Rural Area","19","","",""
"Very Inexpensive","1988","Not Employed","Urban Area","238","0.214617706850605","0.190476199147963","0.238759214553248"
"Very Inexpensive","1988","Not Employed","Rural Area","86","0.212308557675199","0.172916403226419","0.251700712123979"
"Very Inexpensive","1988","Employed","Urban Area","292","0.169281069678221","0.151884635759043","0.186677503597399"
"Very Inexpensive","1988","Employed","Rural Area","108","0.154233584587062","0.127852263679009","0.180614905495114"
"Inexpensive","1988","Not Employed","Urban Area","403","0.379888244150539","0.351348244004524","0.408428244296554"
"Inexpensive","1988","Not Employed","Rural Area","149","0.37089515140047","0.324364941182788","0.417425361618153"
"Inexpensive","1988","Employed","Urban Area","599","0.332837245315881","0.310976707773673","0.354697782858089"
"Inexpensive","1988","Employed","Rural Area","236","0.324046161163738","0.289860514253085","0.358231808074392"
"Reasonable","1988","Not Employed","Urban Area","378","0.329780659457162","0.302135943585873","0.357425375328452"
"Reasonable","1988","Not Employed","Rural Area","152","0.359636502381662","0.313409781550164","0.405863223213159"
"Reasonable","1988","Employed","Urban Area","699","0.393520412904612","0.370857240249254","0.416183585559969"
"Reasonable","1988","Employed","Rural Area","312","0.430490920211712","0.394323780235561","0.466658060187862"
"Slightly Expensive","1988","Not Employed","Urban Area","81","0.0639831342757938","0.0495929732422978","0.0783732953092898"
