"hlf0094","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","1-pers.-HH","West Germany","74","0.321800270531777","0.262071143357474","0.38152939770608","2"
"Inexpensive","1984","Single parent ","West Germany","63","0.370654221139165","0.298474864854695","0.442833577423635","2"
"Inexpensive","1984","Single parent ","East Germany","","","","","2"
"Inexpensive","1984","(Married) couple without C. ","West Germany","310","0.324704546809359","0.295251544334138","0.354157549284581","2"
"Inexpensive","1984","1-pers.-HH","East Germany","","","","","2"
"Inexpensive","1984","(Married) couple without C. ","East Germany","","","","","2"
"Inexpensive","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"Inexpensive","1984","Couple + C. LE 16 ","West Germany","273","0.297960823518039","0.268534611489383","0.327387035546695","2"
"Inexpensive","1984","Couple + C. GT 16 ","West Germany","320","0.338209570540878","0.30881346904045","0.367605672041307","2"
"Inexpensive","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"Inexpensive","1984","Couple + C. LE and GT 16","West Germany","228","0.304994079758355","0.27204392823903","0.337944231277679","2"
"Inexpensive","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"Reasonable","1984","1-pers.-HH","East Germany","","","","","3"
"Reasonable","1984","1-pers.-HH","West Germany","65","0.269412734092455","0.212689724084567","0.326135744100343","3"
"Reasonable","1984","Single parent ","East Germany","","","","","3"
"Reasonable","1984","Single parent ","West Germany","60","0.339683665193576","0.268905839082264","0.410461491304887","3"
"Reasonable","1984","(Married) couple without C. ","West Germany","317","0.321249762966096","0.291879023481934","0.350620502450258","3"
"Reasonable","1984","(Married) couple without C. ","East Germany","","","","","3"
"Reasonable","1984","Couple + C. GT 16 ","East Germany","","","","","3"
"Reasonable","1984","Couple + C. LE 16 ","East Germany","","","","","3"
"Reasonable","1984","Couple + C. GT 16 ","West Germany","329","0.320293223543556","0.291301687518015","0.349284759569097","3"
"Reasonable","1984","Couple + C. LE 16 ","West Germany","360","0.378319091218336","0.347116763265818","0.409521419170853","3"
"Reasonable","1984","Couple + C. LE and GT 16","East Germany","","","","","3"
"Reasonable","1984","Couple + C. LE and GT 16","West Germany","206","0.266330487213515","0.234694737030521","0.297966237396509","3"
"Slightly Expensive","1984","1-pers.-HH","East Germany","","","","","4"
"Slightly Expensive","1984","1-pers.-HH","West Germany","16","","","","4"
"Slightly Expensive","1984","Single parent ","East Germany","","","","","4"
"Slightly Expensive","1984","Single parent ","West Germany","9","","","","4"
"Slightly Expensive","1984","(Married) couple without C. ","West Germany","50","0.0491967769968549","0.0355932311485038","0.062800322845206","4"
"Slightly Expensive","1984","(Married) couple without C. ","East Germany","","","","","4"
"Slightly Expensive","1984","Couple + C. LE 16 ","East Germany","","","","","4"
"Slightly Expensive","1984","Couple + C. LE 16 ","West Germany","100","0.10466392437393","0.0849684859782659","0.124359362769594","4"
"Slightly Expensive","1984","Couple + C. GT 16 ","West Germany","56","0.0446486933791903","0.0318158622703839","0.0574815244879966","4"
"Slightly Expensive","1984","Couple + C. GT 16 ","East Germany","","","","","4"
"Slightly Expensive","1984","Couple + C. LE and GT 16","West Germany","90","0.121426107292471","0.0980505139972329","0.144801700587709","4"
"Slightly Expensive","1984","Couple + C. LE and GT 16","East Germany","","","","","4"
"Too Expensive","1984","1-pers.-HH","West Germany","2","","","","5"
"Too Expensive","1984","1-pers.-HH","East Germany","","","","","5"
"Too Expensive","1984","(Married) couple without C. ","West Germany","18","","","","5"
"Too Expensive","1984","Couple + C. LE 16 ","East Germany","","","","","5"
"Too Expensive","1984","(Married) couple without C. ","East Germany","","","","","5"
"Too Expensive","1984","Single parent ","West Germany","3","","","","5"
"Too Expensive","1984","Single parent ","East Germany","","","","","5"
"Too Expensive","1984","Couple + C. GT 16 ","West Germany","18","","","","5"
"Too Expensive","1984","Couple + C. GT 16 ","East Germany","","","","","5"
"Too Expensive","1984","Couple + C. LE 16 ","West Germany","32","0.0315322909065708","0.0202889743700271","0.0427756074431145","5"
"Too Expensive","1984","Couple + C. LE and GT 16","West Germany","32","0.043294081612549","0.0287287305947662","0.0578594326303318","5"
"Too Expensive","1984","Couple + C. LE and GT 16","East Germany","","","","","5"
"Very Inexpensive","1984","1-pers.-HH","West Germany","78","0.335563558126986","0.275192570981267","0.395934545272705","1"
"Very Inexpensive","1984","1-pers.-HH","East Germany","","","","","1"
"Very Inexpensive","1984","(Married) couple without C. ","West Germany","276","0.288217872881255","0.259729183520667","0.316706562241843","1"
"Very Inexpensive","1984","(Married) couple without C. ","East Germany","","","","","1"
"Very Inexpensive","1984","Single parent ","West Germany","37","0.218531697901538","0.156773193382155","0.28029020242092","1"
"Very Inexpensive","1984","Single parent ","East Germany","","","","","1"
"Very Inexpensive","1984","Couple + C. LE 16 ","West Germany","163","0.187523869983125","0.16241034434476","0.212637395621489","1"
"Very Inexpensive","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Very Inexpensive","1984","Couple + C. GT 16 ","West Germany","272","0.279585986981683","0.251700044526928","0.307471929436438","1"
"Very Inexpensive","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Very Inexpensive","1984","Couple + C. LE and GT 16","West Germany","194","0.26395524412311","0.23240994004464","0.295500548201581","1"
"Very Inexpensive","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"Inexpensive","1985","1-pers.-HH","East Germany","","","","","2"
"Inexpensive","1985","(Married) couple without C. ","West Germany","289","0.339006401166348","0.307239404924498","0.370773397408199","2"
"Inexpensive","1985","(Married) couple without C. ","East Germany","","","","","2"
"Inexpensive","1985","Single parent ","West Germany","74","0.387334896716458","0.316947635878963","0.457722157553953","2"
"Inexpensive","1985","Single parent ","East Germany","","","","","2"
"Inexpensive","1985","1-pers.-HH","West Germany","64","0.326920520990054","0.26254996305255","0.391291078927558","2"
"Inexpensive","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"Inexpensive","1985","Couple + C. LE 16 ","West Germany","235","0.272508544203124","0.242939109369876","0.302077979036373","2"
"Inexpensive","1985","Couple + C. GT 16 ","West Germany","332","0.315198477484231","0.2873739518034","0.343023003165062","2"
"Inexpensive","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"Inexpensive","1985","Couple + C. LE and GT 16","West Germany","201","0.299603170233845","0.264865143275376","0.334341197192315","2"
"Inexpensive","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Reasonable","1985","1-pers.-HH","East Germany","","","","","3"
"Reasonable","1985","1-pers.-HH","West Germany","63","0.307658181507519","0.244325551415451","0.370990811599587","3"
"Reasonable","1985","Single parent ","East Germany","","","","","3"
"Reasonable","1985","(Married) couple without C. ","East Germany","","","","","3"
"Reasonable","1985","Single parent ","West Germany","58","0.333526459362572","0.265403142962878","0.401649775762266","3"
"Reasonable","1985","(Married) couple without C. ","West Germany","227","0.262805891154429","0.233267825492593","0.292343956816264","3"
"Reasonable","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"Reasonable","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"Reasonable","1985","Couple + C. GT 16 ","West Germany","407","0.379230471585775","0.35017217420582","0.40828876896573","3"
"Reasonable","1985","Couple + C. LE 16 ","West Germany","341","0.386219130125949","0.353884896019319","0.41855336423258","3"
"Reasonable","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"Reasonable","1985","Couple + C. LE and GT 16","West Germany","278","0.423252739675443","0.385785429225768","0.460720050125118","3"
"Slightly Expensive","1985","1-pers.-HH","East Germany","","","","","4"
"Slightly Expensive","1985","1-pers.-HH","West Germany","12","","","","4"
"Slightly Expensive","1985","Single parent ","East Germany","","","","","4"
"Slightly Expensive","1985","(Married) couple without C. ","East Germany","","","","","4"
"Slightly Expensive","1985","Single parent ","West Germany","9","","","","4"
"Slightly Expensive","1985","(Married) couple without C. ","West Germany","69","0.0740498187132593","0.0564774872864353","0.0916221501400832","4"
"Slightly Expensive","1985","Couple + C. LE 16 ","West Germany","109","0.115498259894025","0.0942718728017752","0.136724646986275","4"
