"m11104","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","16-34 y.","Schleswig-Holstein","57","0.398482586836745","0.316500950304399","0.480464223369091","1"
"Almost never or never","1984","16-34 y.","Hamburg","54","0.407036171152866","0.3168528409399","0.497219501365832","1"
"Almost never or never","1984","16-34 y.","Lower Saxony","198","0.424231500655908","0.378156816870289","0.470306184441527","1"
"Almost never or never","1984","16-34 y.","Bremen","19","","","","1"
"Almost never or never","1984","16-34 y.","North Rhine-Westphalia","607","0.436101368555931","0.408934639507968","0.463268097603895","1"
"Almost never or never","1984","16-34 y.","Hesse","240","0.440188176888064","0.397105446117228","0.483270907658899","1"
"Almost never or never","1984","16-34 y.","Rhineland-Palatinate,Saarland","143","0.443463082445345","0.388688348778152","0.498237816112538","1"
"Almost never or never","1984","16-34 y.","Baden-Württemberg","443","0.469216072024849","0.435646982081683","0.502785161968016","1"
"Almost never or never","1984","16-34 y.","Bavaria","340","0.429301426924759","0.393947703322144","0.464655150527374","1"
"Almost never or never","1984","16-34 y.","Berlin","56","0.378661396732428","0.297733503914327","0.45958928955053","1"
"Almost never or never","1984","16-34 y.","Brandenburg","","","","","1"
"Almost never or never","1984","16-34 y.","Mecklenburg-Western Pomerania","","","","","1"
"Almost never or never","1984","16-34 y.","Saxony","","","","","1"
"Almost never or never","1984","16-34 y.","Saxony-Anhalt","","","","","1"
"Almost never or never","1984","16-34 y.","Thuringia","","","","","1"
"Almost never or never","1984","35-65 y.","Schleswig-Holstein","121","0.573112841925616","0.505403627418771","0.640822056432462","1"
"Almost never or never","1984","35-65 y.","Hamburg","103","0.662784979889012","0.586619704354359","0.738950255423665","1"
"Almost never or never","1984","35-65 y.","Lower Saxony","418","0.65996764553358","0.622709285522922","0.697226005544237","1"
"Almost never or never","1984","35-65 y.","Bremen","49","0.705052900832197","0.595036092972197","0.815069708692197","1"
"Almost never or never","1984","35-65 y.","North Rhine-Westphalia","1207","0.700941409688819","0.678923186252558","0.72295963312508","1"
"Almost never or never","1984","35-65 y.","Hesse","470","0.709399290522296","0.67394477735924","0.744853803685352","1"
"Almost never or never","1984","35-65 y.","Rhineland-Palatinate,Saarland","309","0.716429972152399","0.673425967349795","0.759433976955003","1"
"Almost never or never","1984","35-65 y.","Baden-Württemberg","897","0.718024797253797","0.692340577990588","0.743709016517006","1"
"Almost never or never","1984","35-65 y.","Bavaria","723","0.652359652798691","0.623905176995886","0.680814128601496","1"
"Almost never or never","1984","35-65 y.","Berlin","153","0.678294587092297","0.617121212091939","0.739467962092656","1"
"Almost never or never","1984","35-65 y.","Brandenburg","","","","","1"
"Almost never or never","1984","35-65 y.","Mecklenburg-Western Pomerania","","","","","1"
"Almost never or never","1984","35-65 y.","Saxony","","","","","1"
"Almost never or never","1984","35-65 y.","Saxony-Anhalt","","","","","1"
"Almost never or never","1984","35-65 y.","Thuringia","","","","","1"
"Almost never or never","1984","66 and older","Schleswig-Holstein","42","0.965616252786832","0.911776799784231","1.01945570578943","1"
"Almost never or never","1984","66 and older","Hamburg","35","0.818102705804671","0.702802283716229","0.933403127893112","1"
"Almost never or never","1984","66 and older","Lower Saxony","133","0.905800896061767","0.858580548163378","0.953021243960156","1"
"Almost never or never","1984","66 and older","Bremen","30","0.898111974681551","0.794902887452904","1.0013210619102","1"
"Almost never or never","1984","66 and older","North Rhine-Westphalia","253","0.910448584460833","0.877003444677049","0.943893724244616","1"
"Almost never or never","1984","66 and older","Hesse","87","0.851698408711331","0.783063461796877","0.920333355625785","1"
"Almost never or never","1984","66 and older","Rhineland-Palatinate,Saarland","109","0.974120062096952","0.944714672450832","1.00352545174307","1"
"Almost never or never","1984","66 and older","Baden-Württemberg","185","0.89970046965132","0.858578909463778","0.940822029838862","1"
"Almost never or never","1984","66 and older","Bavaria","189","0.841731840606989","0.794146024147869","0.889317657066109","1"
"Almost never or never","1984","66 and older","Berlin","34","0.823468779522998","0.708161220951153","0.938776338094842","1"
"Almost never or never","1984","66 and older","Brandenburg","","","","","1"
"Almost never or never","1984","66 and older","Mecklenburg-Western Pomerania","","","","","1"
"Almost never or never","1984","66 and older","Saxony","","","","","1"
"Almost never or never","1984","66 and older","Saxony-Anhalt","","","","","1"
"Almost never or never","1984","66 and older","Thuringia","","","","","1"
"At lease once a week","1984","16-34 y.","Thuringia","","","","","4"
"At lease once a week","1984","16-34 y.","Saxony-Anhalt","","","","","4"
"At lease once a week","1984","16-34 y.","Bavaria","","","","","4"
"At lease once a week","1984","16-34 y.","Berlin","","","","","4"
"At lease once a week","1984","16-34 y.","Brandenburg","","","","","4"
"At lease once a week","1984","16-34 y.","Mecklenburg-Western Pomerania","","","","","4"
"At lease once a week","1984","16-34 y.","Saxony","","","","","4"
"At lease once a week","1984","35-65 y.","Schleswig-Holstein","","","","","4"
"At lease once a week","1984","35-65 y.","Hamburg","","","","","4"
"At lease once a week","1984","35-65 y.","Bremen","","","","","4"
"At lease once a week","1984","16-34 y.","North Rhine-Westphalia","","","","","4"
"At lease once a week","1984","16-34 y.","Hesse","","","","","4"
"At lease once a week","1984","16-34 y.","Rhineland-Palatinate,Saarland","","","","","4"
"At lease once a week","1984","16-34 y.","Baden-Württemberg","","","","","4"
"At lease once a week","1984","35-65 y.","Lower Saxony","","","","","4"
"At lease once a week","1984","16-34 y.","Schleswig-Holstein","","","","","4"
"At lease once a week","1984","16-34 y.","Hamburg","","","","","4"
"At lease once a week","1984","16-34 y.","Lower Saxony","","","","","4"
"At lease once a week","1984","16-34 y.","Bremen","","","","","4"
"At lease once a week","1984","35-65 y.","North Rhine-Westphalia","","","","","4"
"At lease once a week","1984","35-65 y.","Hesse","","","","","4"
"At lease once a week","1984","35-65 y.","Rhineland-Palatinate,Saarland","","","","","4"
"At lease once a week","1984","35-65 y.","Baden-Württemberg","","","","","4"
"At lease once a week","1984","35-65 y.","Bavaria","","","","","4"
"At lease once a week","1984","35-65 y.","Berlin","","","","","4"
"At lease once a week","1984","35-65 y.","Brandenburg","","","","","4"
"At lease once a week","1984","35-65 y.","Mecklenburg-Western Pomerania","","","","","4"
"At lease once a week","1984","35-65 y.","Saxony","","","","","4"
"At lease once a week","1984","35-65 y.","Saxony-Anhalt","","","","","4"
