"m11104","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Not Employed","Male","796","0.671414938631191","0.645813272127939","0.697016605134443","1"
"Almost never or never","1984","Not Employed","Female","2471","0.762083944598168","0.747471617206619","0.776696271989717","1"
"Almost never or never","1984","Employed","Male","2622","0.545673089668417","0.53133423989557","0.560011939441264","1"
"Almost never or never","1984","Employed","Female","1815","0.586679774263344","0.568604147323038","0.604755401203649","1"
"At lease once a week","1984","Not Employed","Male","","","","","4"
"At lease once a week","1984","Not Employed","Female","","","","","4"
"At lease once a week","1984","Employed","Male","","","","","4"
"At lease once a week","1984","Employed","Female","","","","","4"
"At least once a month","1984","Not Employed","Female","379","0.121766666052378","0.110544536479834","0.132988795624921","3"
"At least once a month","1984","Not Employed","Male","283","0.179649336067095","0.158724531821701","0.200574140312488","3"
"At least once a month","1984","Employed","Male","1002","0.23566017741998","0.223437955656765","0.247882399183194","3"
"At least once a month","1984","Employed","Female","454","0.198025211092471","0.183397038264374","0.212653383920567","3"
"Several times a year","1984","Not Employed","Male","214","0.148935725301714","0.129530019136223","0.168341431467206","2"
"Several times a year","1984","Not Employed","Female","412","0.116149389349454","0.105154167126517","0.12714461157239","2"
"Several times a year","1984","Employed","Male","1008","0.218666732911603","0.206763269765652","0.230570196057555","2"
"Several times a year","1984","Employed","Female","582","0.215295014644186","0.200207431549992","0.230382597738379","2"
"Almost never or never","1985","Not Employed","Male","736","0.662123906930827","0.635495502311231","0.688752311550423","1"
"Almost never or never","1985","Not Employed","Female","2129","0.732755528283066","0.71678948129267","0.748721575273463","1"
"Almost never or never","1985","Employed","Male","2140","0.477609719553872","0.462460091579432","0.492759347528313","1"
"Almost never or never","1985","Employed","Female","1499","0.50658443470629","0.487403923368974","0.525764946043606","1"
"At lease once a week","1985","Not Employed","Male","305","0.216335819627413","0.193155149005191","0.239516490249635","4"
"At lease once a week","1985","Not Employed","Female","458","0.157490761508705","0.14434825007141","0.170633272945999","4"
"At lease once a week","1985","Employed","Male","1119","0.295559726651127","0.281720476400572","0.309398976901681","4"
"At lease once a week","1985","Employed","Female","588","0.275966620561717","0.258817754464513","0.293115486658922","4"
"At least once a month","1985","Not Employed","Female","98","0.0322711071267121","0.0258951223329039","0.0386470919205203","3"
"At least once a month","1985","Employed","Female","110","0.045566690971546","0.0375660574619828","0.0535673244811093","3"
"At least once a month","1985","Not Employed","Male","61","0.0428098815514642","0.0314134759510572","0.0542062871518711","3"
"At least once a month","1985","Employed","Male","273","0.0663870545258571","0.0588362543262492","0.073937854725465","3"
"Several times a year","1985","Not Employed","Male","110","0.0787303918902955","0.0635682219526299","0.0938925618279612","2"
"Several times a year","1985","Not Employed","Female","266","0.0774826030815169","0.0678364784234295","0.0871287277396043","2"
"Several times a year","1985","Employed","Male","644","0.160443499269144","0.149311994593193","0.171575003945095","2"
"Several times a year","1985","Employed","Female","413","0.171882253760447","0.157408225944439","0.186356281576455","2"
"Almost never or never","1986","Not Employed","Male","684","0.655063484924862","0.62775592582827","0.682371044021455","1"
"Almost never or never","1986","Not Employed","Female","1987","0.756661531755985","0.740541709707772","0.772781353804197","1"
"Almost never or never","1986","Employed","Male","2025","0.464995013919614","0.449624376047615","0.480365651791612","1"
"Almost never or never","1986","Employed","Female","1442","0.489812441299708","0.470582605101198","0.509042277498219","1"
"At lease once a week","1986","Not Employed","Female","435","0.148489084742365","0.135130931987011","0.16184723749772","4"
"At lease once a week","1986","Not Employed","Male","350","0.248706567215512","0.223874091253267","0.273539043177756","4"
"At lease once a week","1986","Employed","Male","1141","0.305344863405959","0.291152041178097","0.319537685633821","4"
"At lease once a week","1986","Employed","Female","617","0.281860989899304","0.264554161294509","0.299167818504098","4"
"At least once a month","1986","Not Employed","Male","40","0.0284189617974918","0.0188730982928396","0.037964825302144","3"
"At least once a month","1986","Not Employed","Female","94","0.0312585844984351","0.0247213717652266","0.0377957972316435","3"
"At least once a month","1986","Employed","Male","285","0.0722445818590952","0.0642663212461264","0.0802228424720639","3"
"At least once a month","1986","Employed","Female","148","0.0653120664129358","0.0558076429584589","0.0748164898674127","3"
"Several times a year","1986","Not Employed","Male","90","0.0678109860621344","0.0533674469811027","0.082254525143166","2"
"Several times a year","1986","Not Employed","Female","206","0.063590799003215","0.0544236559688438","0.0727579420375862","2"
"Several times a year","1986","Employed","Male","594","0.157415540815332","0.146192272306049","0.168638809324615","2"
"Several times a year","1986","Employed","Female","389","0.163014502388052","0.148805361030479","0.177223643745626","2"
"Almost never or never","1987","Employed","Female","","","","","1"
"Almost never or never","1987","Not Employed","Male","","","","","1"
"Almost never or never","1987","Not Employed","Female","","","","","1"
"Almost never or never","1987","Employed","Male","","","","","1"
"At lease once a week","1987","Not Employed","Male","","","","","4"
"At lease once a week","1987","Not Employed","Female","","","","","4"
"At lease once a week","1987","Employed","Male","","","","","4"
"At lease once a week","1987","Employed","Female","","","","","4"
"At least once a month","1987","Not Employed","Male","","","","","3"
"At least once a month","1987","Not Employed","Female","","","","","3"
"At least once a month","1987","Employed","Male","","","","","3"
"At least once a month","1987","Employed","Female","","","","","3"
"Several times a year","1987","Not Employed","Male","","","","","2"
"Several times a year","1987","Not Employed","Female","","","","","2"
"Several times a year","1987","Employed","Male","","","","","2"
"Several times a year","1987","Employed","Female","","","","","2"
"Almost never or never","1988","Employed","Female","1394","0.48344221544199","0.464057723415707","0.502826707468272","1"
"Almost never or never","1988","Not Employed","Male","657","0.662422725885936","0.634180790693404","0.690664661078467","1"
"Almost never or never","1988","Not Employed","Female","1714","0.716129652525362","0.698276254310313","0.733983050740411","1"
"Almost never or never","1988","Employed","Male","1878","0.455422129468765","0.439660450907842","0.471183808029688","1"
"At lease once a week","1988","Not Employed","Male","284","0.219975377599521","0.195236418005418","0.244714337193625","4"
"At lease once a week","1988","Not Employed","Female","427","0.169190833429549","0.154345016406322","0.184036650452776","4"
"At lease once a week","1988","Employed","Male","1098","0.304448689869462","0.289884475987406","0.319012903751519","4"
"At lease once a week","1988","Employed","Female","610","0.279504938003367","0.26209757722522","0.296912298781514","4"
"At least once a month","1988","Not Employed","Male","40","0.0336502386032409","0.022880591188393","0.0444198860180887","3"
"At least once a month","1988","Not Employed","Female","83","0.0315284333989044","0.0246091728880641","0.0384476939097448","3"
"At least once a month","1988","Employed","Male","251","0.0680130224354372","0.0600447097786313","0.0759813350922431","3"
"At least once a month","1988","Employed","Female","147","0.0675250234504757","0.0577914200107323","0.0772586268902191","3"
"Several times a year","1988","Not Employed","Male","96","0.083951657911302","0.067389608557221","0.100513707265383","2"
"Several times a year","1988","Not Employed","Female","226","0.0831510806461845","0.0722178656986757","0.0940842955936932","2"
"Several times a year","1988","Employed","Male","608","0.172116158226335","0.160169101331972","0.184063215120699","2"
"Several times a year","1988","Employed","Female","402","0.169527823104168","0.154973040609845","0.184082605598491","2"
"Almost never or never","1989","Employed","Female","","","","","1"
"Almost never or never","1989","Not Employed","Male","","","","","1"
"Almost never or never","1989","Not Employed","Female","","","","","1"
"Almost never or never","1989","Employed","Male","","","","","1"
"At lease once a week","1989","Not Employed","Male","","","","","4"
"At lease once a week","1989","Not Employed","Female","","","","","4"
"At lease once a week","1989","Employed","Male","","","","","4"
"At lease once a week","1989","Employed","Female","","","","","4"
"At least once a month","1989","Not Employed","Male","","","","","3"
"At least once a month","1989","Not Employed","Female","","","","","3"
"At least once a month","1989","Employed","Male","","","","","3"
"At least once a month","1989","Employed","Female","","","","","3"
"Several times a year","1989","Not Employed","Male","","","","","2"
"Several times a year","1989","Not Employed","Female","","","","","2"
"Several times a year","1989","Employed","Male","","","","","2"
"Several times a year","1989","Employed","Female","","","","","2"
"Almost never or never","1990","Employed","Female","1004","0.320817629938487","0.30262857454532","0.339006685331653","1"
"Almost never or never","1990","Not Employed","Male","564","0.560320152228355","0.530440085712568","0.590200218744142","1"
"Almost never or never","1990","Not Employed","Female","1419","0.635305743436331","0.615460806454144","0.655150680418518","1"
"Almost never or never","1990","Employed","Male","1266","0.295806569746654","0.28090797357726","0.310705165916048","1"
"At lease once a week","1990","Not Employed","Female","450","0.202789416058065","0.186212526589289","0.219366305526841","4"
"At lease once a week","1990","Not Employed","Male","281","0.246863822913206","0.220906455866536","0.272821189959877","4"
"At lease once a week","1990","Employed","Female","732","0.331103237531293","0.31276535902616","0.349441116036426","4"
"At lease once a week","1990","Employed","Male","1135","0.339151915387335","0.323697826304398","0.354606004470272","4"
"At least once a month","1990","Not Employed","Female","103","0.0435527441812917","0.0351381699438486","0.0519673184187349","3"
