"m11104","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","1-pers.-HH","West Germany","878","0.704410760078984","0.67974795243703","0.729073567720937"
"Almost never or never","1984","1-pers.-HH","East Germany","","","",""
"Almost never or never","1984","(Married) couple without C. ","West Germany","1856","0.710344875985785","0.693084323217605","0.727605428753966"
"Almost never or never","1984","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1984","Single parent ","West Germany","353","0.611843661437734","0.572045736993054","0.651641585882414"
"Almost never or never","1984","Single parent ","East Germany","","","",""
"Almost never or never","1984","Couple + C. LE 16 ","West Germany","1896","0.573843273670357","0.556273003627698","0.591413543713016"
"Almost never or never","1984","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1984","Couple + C. GT 16 ","West Germany","1133","0.568197068199509","0.546217875131128","0.590176261267891"
"Almost never or never","1984","Couple + C. GT 16 ","East Germany","","","",""
"Almost never or never","1984","Couple + C. LE and GT 16","West Germany","1035","0.570539847548154","0.546946980787509","0.594132714308798"
"Almost never or never","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Several times a year","1984","1-pers.-HH","West Germany","194","0.128229057692471","0.110158163853255","0.146299951531686"
"Several times a year","1984","1-pers.-HH","East Germany","","","",""
"Several times a year","1984","(Married) couple without C. ","West Germany","391","0.138962126981325","0.125799613782158","0.152124640180493"
"Several times a year","1984","(Married) couple without C. ","East Germany","","","",""
"Several times a year","1984","Single parent ","West Germany","106","0.180099966281655","0.148718436029067","0.211481496534243"
"Several times a year","1984","Single parent ","East Germany","","","",""
"Several times a year","1984","Couple + C. LE 16 ","West Germany","647","0.22478466355809","0.209952939686925","0.239616387429256"
"Several times a year","1984","Couple + C. LE 16 ","East Germany","","","",""
"Several times a year","1984","Couple + C. GT 16 ","West Germany","412","0.218149894569906","0.199824273186809","0.236475515953003"
"Several times a year","1984","Couple + C. GT 16 ","East Germany","","","",""
"Several times a year","1984","Couple + C. LE and GT 16","West Germany","326","0.200317061575369","0.18124076029429","0.219393362856448"
"Several times a year","1984","Couple + C. LE and GT 16","East Germany","","","",""
"At least once a month","1984","1-pers.-HH","West Germany","243","0.167360182228545","0.147183959087145","0.187536405369946"
"At least once a month","1984","1-pers.-HH","East Germany","","","",""
"At least once a month","1984","(Married) couple without C. ","West Germany","406","0.150692997032889","0.137079855689941","0.164306138375837"
"At least once a month","1984","(Married) couple without C. ","East Germany","","","",""
"At least once a month","1984","Single parent ","West Germany","117","0.208056372280611","0.174907062167378","0.241205682393845"
"At least once a month","1984","Single parent ","East Germany","","","",""
"At least once a month","1984","Couple + C. LE 16 ","West Germany","500","0.201372062771553","0.187123568456365","0.21562055708674"
"At least once a month","1984","Couple + C. LE 16 ","East Germany","","","",""
"At least once a month","1984","Couple + C. GT 16 ","West Germany","406","0.213653037230585","0.195465198334419","0.23184087612675"
"At least once a month","1984","Couple + C. GT 16 ","East Germany","","","",""
"At least once a month","1984","Couple + C. LE and GT 16","West Germany","330","0.229143090876477","0.209111448630693","0.249174733122262"
"At least once a month","1984","Couple + C. LE and GT 16","East Germany","","","",""
"At lease once a week","1984","1-pers.-HH","West Germany","","","",""
"At lease once a week","1984","1-pers.-HH","East Germany","","","",""
"At lease once a week","1984","(Married) couple without C. ","West Germany","","","",""
"At lease once a week","1984","(Married) couple without C. ","East Germany","","","",""
"At lease once a week","1984","Single parent ","West Germany","","","",""
"At lease once a week","1984","Single parent ","East Germany","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","West Germany","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","East Germany","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","West Germany","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","East Germany","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","West Germany","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Almost never or never","1985","1-pers.-HH","West Germany","737","0.672651814220072","0.645694803647646","0.699608824792498"
"Almost never or never","1985","1-pers.-HH","East Germany","","","",""
"Almost never or never","1985","(Married) couple without C. ","West Germany","1569","0.66366088817403","0.64473536837531","0.68258640797275"
"Almost never or never","1985","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1985","Single parent ","West Germany","308","0.55705992293312","0.515124873988958","0.598994971877281"
"Almost never or never","1985","Single parent ","East Germany","","","",""
"Almost never or never","1985","Couple + C. LE 16 ","West Germany","1492","0.493958257199377","0.474929973082657","0.512986541316097"
"Almost never or never","1985","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1985","Couple + C. GT 16 ","West Germany","1075","0.520393244900487","0.498542074302776","0.542244415498197"
"Almost never or never","1985","Couple + C. GT 16 ","East Germany","","","",""
"Almost never or never","1985","Couple + C. LE and GT 16","West Germany","852","0.493260773865145","0.467789668919441","0.518731878810848"
"Almost never or never","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Several times a year","1985","1-pers.-HH","West Germany","103","0.0743591453711036","0.0592875213011288","0.0894307694410785"
"Several times a year","1985","1-pers.-HH","East Germany","","","",""
"Several times a year","1985","(Married) couple without C. ","West Germany","266","0.108417165531538","0.0959629639272698","0.120871367135806"
"Several times a year","1985","(Married) couple without C. ","East Germany","","","",""
"Several times a year","1985","Single parent ","West Germany","74","0.142072501290077","0.112598844917555","0.1715461576626"
"Several times a year","1985","Single parent ","East Germany","","","",""
"Several times a year","1985","Couple + C. LE 16 ","West Germany","426","0.179769648163873","0.165155031336103","0.194384264991642"
"Several times a year","1985","Couple + C. LE 16 ","East Germany","","","",""
"Several times a year","1985","Couple + C. GT 16 ","West Germany","274","0.131823125042729","0.117026381554221","0.146619868531237"
"Several times a year","1985","Couple + C. GT 16 ","East Germany","","","",""
"Several times a year","1985","Couple + C. LE and GT 16","West Germany","215","0.165301953130054","0.146377605183158","0.184226301076949"
"Several times a year","1985","Couple + C. LE and GT 16","East Germany","","","",""
"At least once a month","1985","1-pers.-HH","West Germany","47","0.0353946108778662","0.0247797327105328","0.0460094890451997"
"At least once a month","1985","1-pers.-HH","East Germany","","","",""
"At least once a month","1985","(Married) couple without C. ","West Germany","98","0.0380784381316334","0.0304119686510483","0.0457449076122186"
"At least once a month","1985","(Married) couple without C. ","East Germany","","","",""
"At least once a month","1985","Single parent ","West Germany","30","0.0533367958180204","0.0343669012164939","0.0723066904195468"
"At least once a month","1985","Single parent ","East Germany","","","",""
"At least once a month","1985","Couple + C. LE 16 ","West Germany","137","0.0540772620308556","0.0454693759430451","0.0626851481186661"
"At least once a month","1985","Couple + C. LE 16 ","East Germany","","","",""
"At least once a month","1985","Couple + C. GT 16 ","West Germany","123","0.0657661742875738","0.054924525853293","0.0766078227218547"
"At least once a month","1985","Couple + C. GT 16 ","East Germany","","","",""
"At least once a month","1985","Couple + C. LE and GT 16","West Germany","71","0.0562610703421289","0.0445216362067435","0.0680005044775143"
"At least once a month","1985","Couple + C. LE and GT 16","East Germany","","","",""
"At lease once a week","1985","1-pers.-HH","West Germany","277","0.217594429530958","0.193890985379312","0.241297873682604"
"At lease once a week","1985","1-pers.-HH","East Germany","","","",""
"At lease once a week","1985","(Married) couple without C. ","West Germany","461","0.189843508162799","0.174133791526517","0.20555322479908"
"At lease once a week","1985","(Married) couple without C. ","East Germany","","","",""
"At lease once a week","1985","Single parent ","West Germany","127","0.247530779958782","0.211096290911311","0.283965269006254"
"At lease once a week","1985","Single parent ","East Germany","","","",""
"At lease once a week","1985","Couple + C. LE 16 ","West Germany","597","0.272194832605895","0.255255010836458","0.289134654375333"
"At lease once a week","1985","Couple + C. LE 16 ","East Germany","","","",""
"At lease once a week","1985","Couple + C. GT 16 ","West Germany","536","0.282017455769211","0.262335820710236","0.301699090828185"
"At lease once a week","1985","Couple + C. GT 16 ","East Germany","","","",""
"At lease once a week","1985","Couple + C. LE and GT 16","West Germany","342","0.285176202662673","0.262173790799016","0.308178614526329"
"At lease once a week","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Almost never or never","1986","1-pers.-HH","West Germany","676","0.660086064797157","0.632220274243829","0.687951855350485"
"Almost never or never","1986","1-pers.-HH","East Germany","","","",""
"Almost never or never","1986","(Married) couple without C. ","West Germany","1505","0.659835380266905","0.640696909568368","0.678973850965442"
"Almost never or never","1986","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1986","Single parent ","West Germany","268","0.52443416219015","0.480834448760607","0.568033875619693"
"Almost never or never","1986","Single parent ","East Germany","","","",""
"Almost never or never","1986","Couple + C. LE 16 ","West Germany","1345","0.493910728527939","0.473891723921572","0.513929733134306"
"Almost never or never","1986","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1986","Couple + C. GT 16 ","West Germany","1103","0.512016522407743","0.490550676736654","0.533482368078831"
"Almost never or never","1986","Couple + C. GT 16 ","East Germany","","","",""
"Almost never or never","1986","Couple + C. LE and GT 16","West Germany","783","0.510564725934349","0.484304315481404","0.536825136387293"
"Almost never or never","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Several times a year","1986","1-pers.-HH","West Germany","112","0.0875720394061061","0.0709429439525791","0.104201134859633"
"Several times a year","1986","1-pers.-HH","East Germany","","","",""
