"m11124","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","Schleswig-Holstein","363","0.935214625708725","0.910627268123776","0.959801983293674"
"Not disabled","1984","Hamburg","286","0.908322848745924","0.876199714074215","0.940445983417632"
"Not disabled","1984","Lower Saxony","1121","0.89407814357331","0.876908114037552","0.911248173109067"
"Not disabled","1984","Bremen","114","0.82930090833876","0.765116018373893","0.893485798303627"
"Not disabled","1984","North Rhine-Westphalia","2918","0.858730261280276","0.846768581651645","0.870691940908906"
"Not disabled","1984","Hesse","1146","0.891631358966095","0.874378568610739","0.90888414932145"
"Not disabled","1984","Rhineland-Palatinate,Saarland","776","0.899648017403095","0.879460514455117","0.919835520351073"
"Not disabled","1984","Baden-Württemberg","2122","0.915963018628935","0.904549767998872","0.927376269258998"
"Not disabled","1984","Bavaria","1925","0.894743709868207","0.881624578178238","0.907862841558177"
"Not disabled","1984","Berlin","357","0.830426220040186","0.794147073881637","0.866705366198735"
"Not disabled","1984","Brandenburg","","","",""
"Not disabled","1984","Mecklenburg-Western Pomerania","","","",""
"Not disabled","1984","Saxony","","","",""
"Not disabled","1984","Saxony-Anhalt","","","",""
"Not disabled","1984","Thuringia","","","",""
"Disabled","1984","Schleswig-Holstein","22","","",""
"Disabled","1984","Hamburg","24","","",""
"Disabled","1984","Lower Saxony","113","0.105921856426691","0.0887518268909327","0.123091885962448"
"Disabled","1984","Bremen","18","","",""
"Disabled","1984","North Rhine-Westphalia","339","0.141269738719724","0.129308059091094","0.153231418348355"
"Disabled","1984","Hesse","101","0.108368641033906","0.0911158506785503","0.125621431389261"
"Disabled","1984","Rhineland-Palatinate,Saarland","75","0.100351982596905","0.0801644796489267","0.120539485544883"
"Disabled","1984","Baden-Württemberg","148","0.084036981371065","0.0726237307410016","0.0954502320011284"
"Disabled","1984","Bavaria","177","0.105256290131793","0.0921371584418235","0.118375421821762"
"Disabled","1984","Berlin","54","0.169573779959814","0.133294633801265","0.205852926118363"
"Disabled","1984","Brandenburg","","","",""
"Disabled","1984","Mecklenburg-Western Pomerania","","","",""
"Disabled","1984","Saxony","","","",""
"Disabled","1984","Saxony-Anhalt","","","",""
"Disabled","1984","Thuringia","","","",""
"Not disabled","1985","Schleswig-Holstein","325","0.910575668314345","0.88072318907583","0.940428147552861"
"Not disabled","1985","Hamburg","262","0.927126121584854","0.89673475132493","0.957517491844779"
"Not disabled","1985","Lower Saxony","1003","0.899103511175739","0.881312636313382","0.916894386038096"
"Not disabled","1985","Bremen","98","0.825904810006585","0.756600929159089","0.89520869085408"
"Not disabled","1985","North Rhine-Westphalia","2671","0.867214168289658","0.855001752865879","0.879426583713436"
"Not disabled","1985","Hesse","1043","0.89288521368499","0.874861705962685","0.910908721407295"
"Not disabled","1985","Rhineland-Palatinate,Saarland","706","0.895625718647042","0.874058235463199","0.917193201830884"
"Not disabled","1985","Baden-Württemberg","1930","0.918013530448519","0.906154964593346","0.929872096303692"
"Not disabled","1985","Bavaria","1753","0.895742597469815","0.882026902794106","0.909458292145525"
"Not disabled","1985","Berlin","320","0.839956377652931","0.802342404435547","0.877570350870315"
"Not disabled","1985","Brandenburg","","","",""
"Not disabled","1985","Mecklenburg-Western Pomerania","","","",""
"Not disabled","1985","Saxony","","","",""
"Not disabled","1985","Saxony-Anhalt","","","",""
"Not disabled","1985","Thuringia","","","",""
"Disabled","1985","Schleswig-Holstein","26","","",""
"Disabled","1985","Hamburg","19","","",""
"Disabled","1985","Lower Saxony","98","0.100896488824261","0.0831056139619039","0.118687363686618"
"Disabled","1985","Bremen","17","","",""
"Disabled","1985","North Rhine-Westphalia","295","0.132785831710342","0.120573416286564","0.144998247134121"
"Disabled","1985","Hesse","88","0.10711478631501","0.0890912785927052","0.125138294037315"
"Disabled","1985","Rhineland-Palatinate,Saarland","66","0.104374281352959","0.0828067981691159","0.125941764536801"
"Disabled","1985","Baden-Württemberg","126","0.0819864695514808","0.070127903696308","0.0938450354066536"
"Disabled","1985","Bavaria","154","0.104257402530185","0.0905417078544752","0.117973097205894"
"Disabled","1985","Berlin","45","0.160043622347069","0.122429649129685","0.197657595564453"
"Disabled","1985","Brandenburg","","","",""
"Disabled","1985","Mecklenburg-Western Pomerania","","","",""
"Disabled","1985","Saxony","","","",""
"Disabled","1985","Saxony-Anhalt","","","",""
"Disabled","1985","Thuringia","","","",""
"Not disabled","1986","Schleswig-Holstein","324","1","1","1"
"Not disabled","1986","Hamburg","256","1","1","1"
