"m11126","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Part Time","Couple + C. LE 16 ","13","","","","5"
"Bad ","1992","Full Time","1-pers.-HH","10","","","","5"
"Bad ","1992","Full Time","(Married) couple without C. ","25","","","","5"
"Bad ","1992","Full Time","Single parent ","6","","","","5"
"Bad ","1992","Full Time","Couple + C. LE 16 ","13","","","","5"
"Bad ","1992","Full Time","Couple + C. GT 16 ","24","","","","5"
"Bad ","1992","Full Time","Couple + C. LE and GT 16","11","","","","5"
"Bad ","1992","Part Time","1-pers.-HH","5","","","","5"
"Bad ","1992","Part Time","(Married) couple without C. ","16","","","","5"
"Bad ","1992","Part Time","Single parent ","3","","","","5"
"Bad ","1992","Part Time","Couple + C. GT 16 ","14","","","","5"
"Bad ","1992","Part Time","Couple + C. LE and GT 16","4","","","","5"
"Bad ","1992","Not Working","1-pers.-HH","78","0.123759551382501","0.0990266226105671","0.148492480154436","5"
"Bad ","1992","Not Working","(Married) couple without C. ","147","0.113554115066276","0.0967477450987428","0.130360485033809","5"
"Bad ","1992","Not Working","Single parent ","19","","","","5"
"Bad ","1992","Not Working","Couple + C. LE 16 ","11","","","","5"
"Bad ","1992","Not Working","Couple + C. GT 16 ","43","0.0572106237978933","0.0410970331363016","0.0733242144594849","5"
"Bad ","1992","Not Working","Couple + C. LE and GT 16","15","","","","5"
"Good","1992","Full Time","Couple + C. LE 16 ","1053","0.534081263477744","0.511774160734222","0.556388366221267","2"
"Good","1992","Full Time","1-pers.-HH","247","0.443616918187848","0.401636383927396","0.485597452448299","2"
"Good","1992","Not Working","1-pers.-HH","122","0.16687970469928","0.138875054426582","0.194884354971977","2"
"Good","1992","Not Working","(Married) couple without C. ","310","0.213907294098018","0.192185482268373","0.235629105927663","2"
"Good","1992","Not Working","Couple + C. GT 16 ","252","0.342461197557746","0.309537164881957","0.375385230233536","2"
"Good","1992","Full Time","Couple + C. GT 16 ","616","0.434326333059692","0.408127146729475","0.46052551938991","2"
"Good","1992","Full Time","(Married) couple without C. ","662","0.448357163258277","0.422847030952311","0.473867295564243","2"
"Good","1992","Full Time","Single parent ","138","0.485099965874133","0.427776327494288","0.542423604253979","2"
"Good","1992","Full Time","Couple + C. LE and GT 16","260","0.438516428656676","0.39894414779844","0.478088709514912","2"
"Good","1992","Part Time","Single parent ","71","0.420114516028011","0.344342428652217","0.495886603403805","2"
"Good","1992","Part Time","Couple + C. LE 16 ","388","0.479593705464597","0.444712379155463","0.51447503177373","2"
"Good","1992","Part Time","1-pers.-HH","60","0.469658454758037","0.383866747152766","0.555450162363308","2"
"Good","1992","Part Time","(Married) couple without C. ","169","0.385008770909202","0.340149868186276","0.429867673632128","2"
"Good","1992","Part Time","Couple + C. GT 16 ","250","0.441152498960957","0.400065190845574","0.48223980707634","2"
"Good","1992","Part Time","Couple + C. LE and GT 16","121","0.495543123025368","0.433812512696822","0.557273733353915","2"
"Good","1992","Not Working","Single parent ","57","0.356369598064895","0.287169329801999","0.425569866327792","2"
"Good","1992","Not Working","Couple + C. LE 16 ","298","0.518220257760367","0.477729899592837","0.558710615927897","2"
"Good","1992","Not Working","Couple + C. LE and GT 16","118","0.403915923283931","0.34857532282405","0.459256523743812","2"
"Poor","1992","Full Time","(Married) couple without C. ","125","0.0831906815710547","0.0690246399405998","0.0973567232015095","4"
"Poor","1992","Full Time","1-pers.-HH","47","0.0883146296300651","0.0643375783520734","0.112291680908057","4"
"Poor","1992","Not Working","Couple + C. LE 16 ","56","0.103073701151099","0.0784347354764752","0.127712666825723","4"
"Poor","1992","Not Working","Couple + C. LE and GT 16","22","","","","4"
"Poor","1992","Part Time","Couple + C. GT 16 ","56","0.0946682494137696","0.0704427516469772","0.118893747180562","4"
"Poor","1992","Full Time","Single parent ","21","","","","4"
"Poor","1992","Full Time","Couple + C. LE 16 ","93","0.0477592066235793","0.0382227650655483","0.0572956481816103","4"
"Poor","1992","Full Time","Couple + C. GT 16 ","109","0.086791239835053","0.0719106645094685","0.101671815160637","4"
"Poor","1992","Full Time","Couple + C. LE and GT 16","54","0.088171782355584","0.0655591591773789","0.110784405533789","4"
"Poor","1992","Part Time","1-pers.-HH","13","","","","4"
"Poor","1992","Part Time","(Married) couple without C. ","51","0.113005000713326","0.0838180791844095","0.142191922242243","4"
"Poor","1992","Part Time","Single parent ","12","","","","4"
"Poor","1992","Part Time","Couple + C. LE 16 ","50","0.0548281767936857","0.0389338452562716","0.0707225083310998","4"
"Poor","1992","Part Time","Couple + C. LE and GT 16","19","","","","4"
"Poor","1992","Not Working","1-pers.-HH","167","0.263899615060365","0.230796989933919","0.297002240186812","4"
"Poor","1992","Not Working","(Married) couple without C. ","292","0.223838210041652","0.201758691021331","0.245917729061973","4"
