"party","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","35-65 y.","general elemantary","","","","","7"
"AfD","1984","16-34 y.","general elemantary","","","","","7"
"AfD","1984","16-34 y.","in school","","","","","7"
"AfD","1984","16-34 y.","inadequately","","","","","7"
"AfD","1984","16-34 y.","middle vocational","","","","","7"
"AfD","1984","16-34 y.","vocational + Abi","","","","","7"
"AfD","1984","16-34 y.","higher vocational","","","","","7"
"AfD","1984","16-34 y.","higher education","","","","","7"
"AfD","1984","35-65 y.","middle vocational","","","","","7"
"AfD","1984","35-65 y.","vocational + Abi","","","","","7"
"AfD","1984","35-65 y.","higher vocational","","","","","7"
"AfD","1984","35-65 y.","in school","","","","","7"
"AfD","1984","35-65 y.","inadequately","","","","","7"
"AfD","1984","35-65 y.","higher education","","","","","7"
"AfD","1984","66 and older","in school","","","","","7"
"AfD","1984","66 and older","inadequately","","","","","7"
"AfD","1984","66 and older","general elemantary","","","","","7"
"AfD","1984","66 and older","middle vocational","","","","","7"
"AfD","1984","66 and older","vocational + Abi","","","","","7"
"AfD","1984","66 and older","higher vocational","","","","","7"
"AfD","1984","66 and older","higher education","","","","","7"
"CDU/CSU","1984","66 and older","middle vocational","187","0.51298387317911","0.461565503083144","0.564402243275076","2"
"CDU/CSU","1984","66 and older","vocational + Abi","5","","","","2"
"CDU/CSU","1984","16-34 y.","inadequately","10","","","","2"
"CDU/CSU","1984","16-34 y.","middle vocational","387","0.39085747396665","0.362074727993849","0.41964021993945","2"
"CDU/CSU","1984","16-34 y.","in school","22","","","","2"
"CDU/CSU","1984","16-34 y.","general elemantary","128","0.332326797096637","0.289695718209664","0.37495787598361","2"
"CDU/CSU","1984","16-34 y.","higher education","37","0.269644762045219","0.196654153056305","0.342635371034134","2"
"CDU/CSU","1984","35-65 y.","in school","","","","","2"
"CDU/CSU","1984","35-65 y.","inadequately","18","","","","2"
"CDU/CSU","1984","35-65 y.","general elemantary","392","0.465129674534239","0.432846614107916","0.497412734960563","2"
"CDU/CSU","1984","35-65 y.","middle vocational","794","0.462629217246366","0.439627352715528","0.485631081777204","2"
"CDU/CSU","1984","35-65 y.","vocational + Abi","25","","","","2"
"CDU/CSU","1984","35-65 y.","higher vocational","154","0.638869155907974","0.578723633561813","0.699014678254135","2"
"CDU/CSU","1984","35-65 y.","higher education","150","0.500146231697201","0.445448973055714","0.554843490338688","2"
"CDU/CSU","1984","66 and older","in school","","","","","2"
"CDU/CSU","1984","66 and older","inadequately","3","","","","2"
"CDU/CSU","1984","66 and older","general elemantary","155","0.502563013059428","0.446078532184508","0.559047493934348","2"
"CDU/CSU","1984","66 and older","higher vocational","34","0.586186562543031","0.457191139424384","0.715181985661679","2"
"CDU/CSU","1984","66 and older","higher education","33","0.781429850916837","0.657905014853122","0.904954686980552","2"
"CDU/CSU","1984","16-34 y.","vocational + Abi","20","","","","2"
"CDU/CSU","1984","16-34 y.","higher vocational","52","0.419729439120423","0.334233971780881","0.505224906459966","2"
"FDP","1984","35-65 y.","middle vocational","41","0.0241371932855153","0.0170569650939852","0.0312174214770453","3"
