"party","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Schleswig-Holstein","in school","","","","","7"
"AfD","1984","Schleswig-Holstein","inadequately","","","","","7"
"AfD","1984","Schleswig-Holstein","general elemantary","","","","","7"
"AfD","1984","Schleswig-Holstein","middle vocational","","","","","7"
"AfD","1984","Schleswig-Holstein","vocational + Abi","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","higher education","","","","","7"
"AfD","1984","Saxony","in school","","","","","7"
"AfD","1984","Saxony","inadequately","","","","","7"
"AfD","1984","Saxony","general elemantary","","","","","7"
"AfD","1984","Saxony","middle vocational","","","","","7"
"AfD","1984","Saxony","vocational + Abi","","","","","7"
"AfD","1984","Saxony","higher vocational","","","","","7"
"AfD","1984","Saxony","higher education","","","","","7"
"AfD","1984","Saxony-Anhalt","in school","","","","","7"
"AfD","1984","Saxony-Anhalt","inadequately","","","","","7"
"AfD","1984","Saxony-Anhalt","general elemantary","","","","","7"
"AfD","1984","Saxony-Anhalt","middle vocational","","","","","7"
"AfD","1984","Saxony-Anhalt","vocational + Abi","","","","","7"
"AfD","1984","Saxony-Anhalt","higher vocational","","","","","7"
"AfD","1984","Saxony-Anhalt","higher education","","","","","7"
"AfD","1984","Thuringia","in school","","","","","7"
"AfD","1984","Thuringia","inadequately","","","","","7"
"AfD","1984","Thuringia","general elemantary","","","","","7"
"AfD","1984","Thuringia","middle vocational","","","","","7"
"AfD","1984","Thuringia","vocational + Abi","","","","","7"
"AfD","1984","Thuringia","higher vocational","","","","","7"
"AfD","1984","Thuringia","higher education","","","","","7"
"AfD","1984","Schleswig-Holstein","higher vocational","","","","","7"
"AfD","1984","Schleswig-Holstein","higher education","","","","","7"
"AfD","1984","Hamburg","in school","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","7"
"AfD","1984","Hamburg","vocational + Abi","","","","","7"
