"party","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1985","Schleswig-Holstein","Urban Area","25","","",""
"CDU/CSU","1985","Schleswig-Holstein","Rural Area","53","0.493824669695294","0.401642750083384","0.586006589307205"
"CDU/CSU","1985","Hamburg","Urban Area","50","0.386761480014386","0.308034109953223","0.465488850075549"
"CDU/CSU","1985","Hamburg","Rural Area","1","","",""
"CDU/CSU","1985","Lower Saxony","Urban Area","115","0.391153968288199","0.337176703058779","0.445131233517619"
"CDU/CSU","1985","Lower Saxony","Rural Area","122","0.425373132571391","0.369240171693555","0.481506093449227"
"CDU/CSU","1985","Bremen","Urban Area","25","","",""
"CDU/CSU","1985","Bremen","Rural Area","","","",""
"CDU/CSU","1985","North Rhine-Westphalia","Urban Area","615","0.428478862046996","0.404223670486266","0.452734053607725"
"CDU/CSU","1985","North Rhine-Westphalia","Rural Area","17","","",""
"CDU/CSU","1985","Hesse","Urban Area","156","0.39427558615215","0.350419852188297","0.438131320116002"
"CDU/CSU","1985","Hesse","Rural Area","24","","",""
"CDU/CSU","1985","Rhineland-Palatinate,Saarland","Urban Area","129","0.446567916591984","0.391316448551506","0.501819384632463"
"CDU/CSU","1985","Rhineland-Palatinate,Saarland","Rural Area","14","","",""
"CDU/CSU","1985","Baden-Württemberg","Urban Area","305","0.440305255344994","0.405883956771932","0.474726553918056"
"CDU/CSU","1985","Baden-Württemberg","Rural Area","79","0.629363689579388","0.550751677274338","0.707975701884438"
"CDU/CSU","1985","Bavaria","Urban Area","223","0.448899261068342","0.406554459881976","0.491244062254708"
"CDU/CSU","1985","Bavaria","Rural Area","308","0.678874591761132","0.636797120439787","0.720952063082477"
"CDU/CSU","1985","Berlin","Urban Area","64","0.375155338072626","0.307373763623983","0.442936912521268"
"CDU/CSU","1985","Berlin","Rural Area","","","",""
"CDU/CSU","1985","Brandenburg","Urban Area","","","",""
"CDU/CSU","1985","Brandenburg","Rural Area","","","",""
"CDU/CSU","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"CDU/CSU","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"CDU/CSU","1985","Saxony","Urban Area","","","",""
"CDU/CSU","1985","Saxony","Rural Area","","","",""
"CDU/CSU","1985","Saxony-Anhalt","Urban Area","","","",""
"CDU/CSU","1985","Saxony-Anhalt","Rural Area","","","",""
"CDU/CSU","1985","Thuringia","Urban Area","","","",""
"CDU/CSU","1985","Thuringia","Rural Area","","","",""
"SPD","1985","Schleswig-Holstein","Urban Area","82","0.655408354379374","0.570731685590185","0.740085023168563"
"SPD","1985","Schleswig-Holstein","Rural Area","53","0.461951989920847","0.370030341233914","0.553873638607781"
"SPD","1985","Hamburg","Urban Area","80","0.506152975361079","0.425331543276504","0.586974407445654"
"SPD","1985","Hamburg","Rural Area","2","","",""
"SPD","1985","Lower Saxony","Urban Area","153","0.467511530523565","0.412324816678496","0.522698244368633"
"SPD","1985","Lower Saxony","Rural Area","144","0.45723458831569","0.400673783703147","0.513795392928233"
"SPD","1985","Bremen","Urban Area","42","0.569719103635179","0.453733124118874","0.685705083151483"
"SPD","1985","Bremen","Rural Area","","","",""
"SPD","1985","North Rhine-Westphalia","Urban Area","810","0.475257241603381","0.450780057317414","0.499734425889348"
"SPD","1985","North Rhine-Westphalia","Rural Area","11","","",""
"SPD","1985","Hesse","Urban Area","238","0.450607347395779","0.405956525294735","0.495258169496823"
"SPD","1985","Hesse","Rural Area","52","0.604822540607288","0.500890681803767","0.708754399410808"
"SPD","1985","Rhineland-Palatinate,Saarland","Urban Area","149","0.444032166053442","0.388811715557678","0.499252616549207"
"SPD","1985","Rhineland-Palatinate,Saarland","Rural Area","42","0.650876468266766","0.533165573052444","0.768587363481087"
"SPD","1985","Baden-Württemberg","Urban Area","404","0.425995974101831","0.391708545364923","0.46028340283874"
"SPD","1985","Baden-Württemberg","Rural Area","55","0.29482288235344","0.220607523883226","0.369038240823653"
"SPD","1985","Bavaria","Urban Area","252","0.442118729027733","0.399837217605937","0.484400240449529"
"SPD","1985","Bavaria","Rural Area","143","0.277042204574382","0.236710464432496","0.317373944716267"
"SPD","1985","Berlin","Urban Area","96","0.454471378054928","0.384763462784996","0.52417929332486"
"SPD","1985","Berlin","Rural Area","","","",""
"SPD","1985","Brandenburg","Urban Area","","","",""
"SPD","1985","Brandenburg","Rural Area","","","",""
"SPD","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"SPD","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"SPD","1985","Saxony","Urban Area","","","",""
"SPD","1985","Saxony","Rural Area","","","",""
"SPD","1985","Saxony-Anhalt","Urban Area","","","",""
"SPD","1985","Saxony-Anhalt","Rural Area","","","",""
"SPD","1985","Thuringia","Urban Area","","","",""
"SPD","1985","Thuringia","Rural Area","","","",""
"FDP","1985","Schleswig-Holstein","Urban Area","1","","",""
"FDP","1985","Schleswig-Holstein","Rural Area","5","","",""
"FDP","1985","Hamburg","Urban Area","5","","",""
"FDP","1985","Hamburg","Rural Area","","","",""
"FDP","1985","Lower Saxony","Urban Area","22","","",""
"FDP","1985","Lower Saxony","Rural Area","13","","",""
"FDP","1985","Bremen","Urban Area","","","",""
"FDP","1985","Bremen","Rural Area","","","",""
"FDP","1985","North Rhine-Westphalia","Urban Area","51","0.031833924076499","0.0232290627099448","0.0404387854430533"
"FDP","1985","North Rhine-Westphalia","Rural Area","1","","",""
"FDP","1985","Hesse","Urban Area","14","","",""
"FDP","1985","Hesse","Rural Area","2","","",""
"FDP","1985","Rhineland-Palatinate,Saarland","Urban Area","8","","",""
"FDP","1985","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"FDP","1985","Baden-Württemberg","Urban Area","39","0.0671825805906043","0.0498245133652135","0.0845406478159951"
"FDP","1985","Baden-Württemberg","Rural Area","2","","",""
"FDP","1985","Bavaria","Urban Area","18","","",""
"FDP","1985","Bavaria","Rural Area","9","","",""
"FDP","1985","Berlin","Urban Area","6","","",""
"FDP","1985","Berlin","Rural Area","","","",""
"FDP","1985","Brandenburg","Urban Area","","","",""
"FDP","1985","Brandenburg","Rural Area","","","",""
"FDP","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"FDP","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"FDP","1985","Saxony","Urban Area","","","",""
"FDP","1985","Saxony","Rural Area","","","",""
"FDP","1985","Saxony-Anhalt","Urban Area","","","",""
"FDP","1985","Saxony-Anhalt","Rural Area","","","",""
"FDP","1985","Thuringia","Urban Area","","","",""
"FDP","1985","Thuringia","Rural Area","","","",""
"Grüne","1985","Schleswig-Holstein","Urban Area","11","","",""
"Grüne","1985","Schleswig-Holstein","Rural Area","2","","",""
"Grüne","1985","Hamburg","Urban Area","10","","",""
"Grüne","1985","Hamburg","Rural Area","","","",""
"Grüne","1985","Lower Saxony","Urban Area","20","","",""
"Grüne","1985","Lower Saxony","Rural Area","17","","",""
"Grüne","1985","Bremen","Urban Area","3","","",""
"Grüne","1985","Bremen","Rural Area","","","",""
"Grüne","1985","North Rhine-Westphalia","Urban Area","119","0.0616247393128447","0.0498381084747747","0.0734113701509148"
"Grüne","1985","North Rhine-Westphalia","Rural Area","2","","",""
"Grüne","1985","Hesse","Urban Area","66","0.116850861074324","0.0880223717541143","0.145679350394535"
"Grüne","1985","Hesse","Rural Area","7","","",""
"Grüne","1985","Rhineland-Palatinate,Saarland","Urban Area","21","","",""
"Grüne","1985","Rhineland-Palatinate,Saarland","Rural Area","3","","",""
"Grüne","1985","Baden-Württemberg","Urban Area","46","0.0594268764331055","0.0430337255704604","0.0758200272957507"
"Grüne","1985","Baden-Württemberg","Rural Area","9","","",""
"Grüne","1985","Bavaria","Urban Area","33","0.0540789542071161","0.0348235897765918","0.0733343186376403"
"Grüne","1985","Bavaria","Rural Area","9","","",""
"Grüne","1985","Berlin","Urban Area","30","0.129908287319494","0.0828408015454341","0.176975773093553"
"Grüne","1985","Berlin","Rural Area","","","",""
"Grüne","1985","Brandenburg","Urban Area","","","",""
"Grüne","1985","Brandenburg","Rural Area","","","",""
"Grüne","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Grüne","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Grüne","1985","Saxony","Urban Area","","","",""
"Grüne","1985","Saxony","Rural Area","","","",""
"Grüne","1985","Saxony-Anhalt","Urban Area","","","",""
"Grüne","1985","Saxony-Anhalt","Rural Area","","","",""
"Grüne","1985","Thuringia","Urban Area","","","",""
"Grüne","1985","Thuringia","Rural Area","","","",""
"PDS/Linke","1985","Schleswig-Holstein","Urban Area","","","",""
"PDS/Linke","1985","Schleswig-Holstein","Rural Area","","","",""
"PDS/Linke","1985","Hamburg","Urban Area","","","",""
"PDS/Linke","1985","Hamburg","Rural Area","","","",""
"PDS/Linke","1985","Lower Saxony","Urban Area","","","",""
"PDS/Linke","1985","Lower Saxony","Rural Area","","","",""
"PDS/Linke","1985","Bremen","Urban Area","","","",""
"PDS/Linke","1985","Bremen","Rural Area","","","",""
"PDS/Linke","1985","North Rhine-Westphalia","Urban Area","","","",""
"PDS/Linke","1985","North Rhine-Westphalia","Rural Area","","","",""
"PDS/Linke","1985","Hesse","Urban Area","","","",""
"PDS/Linke","1985","Hesse","Rural Area","","","",""
"PDS/Linke","1985","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"PDS/Linke","1985","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"PDS/Linke","1985","Baden-Württemberg","Urban Area","","","",""
"PDS/Linke","1985","Baden-Württemberg","Rural Area","","","",""
"PDS/Linke","1985","Bavaria","Urban Area","","","",""
"PDS/Linke","1985","Bavaria","Rural Area","","","",""
"PDS/Linke","1985","Berlin","Urban Area","","","",""
"PDS/Linke","1985","Berlin","Rural Area","","","",""
"PDS/Linke","1985","Brandenburg","Urban Area","","","",""
"PDS/Linke","1985","Brandenburg","Rural Area","","","",""
"PDS/Linke","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"PDS/Linke","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"PDS/Linke","1985","Saxony","Urban Area","","","",""
"PDS/Linke","1985","Saxony","Rural Area","","","",""
"PDS/Linke","1985","Saxony-Anhalt","Urban Area","","","",""
"PDS/Linke","1985","Saxony-Anhalt","Rural Area","","","",""
"PDS/Linke","1985","Thuringia","Urban Area","","","",""
"PDS/Linke","1985","Thuringia","Rural Area","","","",""
"NPD Combination","1985","Schleswig-Holstein","Urban Area","","","",""
"NPD Combination","1985","Schleswig-Holstein","Rural Area","","","",""
"NPD Combination","1985","Hamburg","Urban Area","","","",""
"NPD Combination","1985","Hamburg","Rural Area","","","",""
"NPD Combination","1985","Lower Saxony","Urban Area","","","",""
"NPD Combination","1985","Lower Saxony","Rural Area","","","",""
"NPD Combination","1985","Bremen","Urban Area","","","",""
"NPD Combination","1985","Bremen","Rural Area","","","",""
"NPD Combination","1985","North Rhine-Westphalia","Urban Area","","","",""
"NPD Combination","1985","North Rhine-Westphalia","Rural Area","","","",""
"NPD Combination","1985","Hesse","Urban Area","","","",""
"NPD Combination","1985","Hesse","Rural Area","","","",""
"NPD Combination","1985","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"NPD Combination","1985","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"NPD Combination","1985","Baden-Württemberg","Urban Area","","","",""
"NPD Combination","1985","Baden-Württemberg","Rural Area","","","",""
"NPD Combination","1985","Bavaria","Urban Area","","","",""
"NPD Combination","1985","Bavaria","Rural Area","","","",""
"NPD Combination","1985","Berlin","Urban Area","","","",""
"NPD Combination","1985","Berlin","Rural Area","","","",""
"NPD Combination","1985","Brandenburg","Urban Area","","","",""
"NPD Combination","1985","Brandenburg","Rural Area","","","",""
"NPD Combination","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"NPD Combination","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"NPD Combination","1985","Saxony","Urban Area","","","",""
"NPD Combination","1985","Saxony","Rural Area","","","",""
"NPD Combination","1985","Saxony-Anhalt","Urban Area","","","",""
"NPD Combination","1985","Saxony-Anhalt","Rural Area","","","",""
"NPD Combination","1985","Thuringia","Urban Area","","","",""
"NPD Combination","1985","Thuringia","Rural Area","","","",""
