"party","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Full Time","in school","1","","",""
"CDU/CSU","1984","Full Time","inadequately","20","","",""
"CDU/CSU","1984","Full Time","general elemantary","173","0.397641683759614","0.355896676864592","0.439386690654635"
"CDU/CSU","1984","Full Time","middle vocational","678","0.438776218227268","0.414976082774836","0.4625763536797"
"CDU/CSU","1984","Full Time","vocational + Abi","30","0.358111833230613","0.267268047797203","0.448955618664023"
"CDU/CSU","1984","Full Time","higher vocational","142","0.587550983203235","0.526034931614184","0.649067034792287"
"CDU/CSU","1984","Full Time","higher education","134","0.461887254257356","0.405659692917175","0.518114815597536"
"CDU/CSU","1984","Part Time","in school","1","","",""
"CDU/CSU","1984","Part Time","inadequately","4","","",""
"CDU/CSU","1984","Part Time","general elemantary","87","0.385070836243464","0.323507048885279","0.446634623601648"
"CDU/CSU","1984","Part Time","middle vocational","208","0.434874436655071","0.392017517521519","0.477731355788624"
"CDU/CSU","1984","Part Time","vocational + Abi","11","","",""
"CDU/CSU","1984","Part Time","higher vocational","32","0.511701481112085","0.392010416424214","0.631392545799955"
"CDU/CSU","1984","Part Time","higher education","37","0.425839568150864","0.328925298482673","0.522753837819054"
"CDU/CSU","1984","Not Working","in school","20","","",""
"CDU/CSU","1984","Not Working","inadequately","7","","",""
"CDU/CSU","1984","Not Working","general elemantary","415","0.479437589523468","0.447138314213778","0.511736864833157"
"CDU/CSU","1984","Not Working","middle vocational","482","0.46869604745781","0.439044264518773","0.498347830396848"
"CDU/CSU","1984","Not Working","vocational + Abi","9","","",""
"CDU/CSU","1984","Not Working","higher vocational","66","0.571177457399974","0.481115075305254","0.661239839494693"
"CDU/CSU","1984","Not Working","higher education","49","0.554350747194574","0.458825024645587","0.649876469743562"
"SPD","1984","Full Time","in school","","","",""
"SPD","1984","Full Time","inadequately","115","0.636236309212688","0.557109652217944","0.715362966207432"
"SPD","1984","Full Time","general elemantary","310","0.520515838470054","0.477903512828739","0.563128164111368"
"SPD","1984","Full Time","middle vocational","887","0.498991904927628","0.475011363898172","0.522972445957083"
"SPD","1984","Full Time","vocational + Abi","57","0.456545245152868","0.362165280439774","0.550925209865962"
"SPD","1984","Full Time","higher vocational","82","0.321569893062193","0.263202434408651","0.379937351715734"
"SPD","1984","Full Time","higher education","117","0.366351823776333","0.312012041612697","0.420691605939969"
"SPD","1984","Part Time","in school","1","","",""
"SPD","1984","Part Time","inadequately","37","0.958774882365559","0.899352078652912","1.01819768607821"
"SPD","1984","Part Time","general elemantary","123","0.511837980278933","0.448598146719378","0.575077813838488"
"SPD","1984","Part Time","middle vocational","258","0.477624130782","0.43444228370333","0.52080597786067"
"SPD","1984","Part Time","vocational + Abi","9","","",""
"SPD","1984","Part Time","higher vocational","22","","",""
"SPD","1984","Part Time","higher education","33","0.275655110808471","0.188075337728522","0.36323488388842"
"SPD","1984","Not Working","in school","30","0.374991542532163","0.260762317828487","0.489220767235839"
"SPD","1984","Not Working","inadequately","61","0.683192296342813","0.578597364328514","0.787787228357113"
"SPD","1984","Not Working","general elemantary","438","0.459488241342663","0.42726790204544","0.491708580639886"
"SPD","1984","Not Working","middle vocational","486","0.43686014614843","0.407387916769212","0.466332375527649"
"SPD","1984","Not Working","vocational + Abi","22","","",""
"SPD","1984","Not Working","higher vocational","40","0.346230989900985","0.259651657983158","0.432810321818812"
"SPD","1984","Not Working","higher education","30","0.225291708003614","0.144999550593036","0.305583865414192"
"FDP","1984","Full Time","in school","","","",""
"FDP","1984","Full Time","inadequately","","","",""
"FDP","1984","Full Time","general elemantary","10","","",""
"FDP","1984","Full Time","middle vocational","33","0.0229259772244871","0.0157477447840751","0.030104209664899"
"FDP","1984","Full Time","vocational + Abi","8","","",""
"FDP","1984","Full Time","higher vocational","9","","",""
"FDP","1984","Full Time","higher education","27","","",""
"FDP","1984","Part Time","in school","","","",""
"FDP","1984","Part Time","inadequately","","","",""
"FDP","1984","Part Time","general elemantary","6","","",""
"FDP","1984","Part Time","middle vocational","3","","",""
"FDP","1984","Part Time","vocational + Abi","","","",""
