"party","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","Couple + C. LE 16 ","Urban Area","","","","","7"
"AfD","1985","(Married) couple without C. ","Rural Area","","","","","7"
"AfD","1985","Single parent ","Urban Area","","","","","7"
"AfD","1985","Single parent ","Rural Area","","","","","7"
"AfD","1985","1-pers.-HH","Urban Area","","","","","7"
"AfD","1985","1-pers.-HH","Rural Area","","","","","7"
"AfD","1985","(Married) couple without C. ","Urban Area","","","","","7"
"AfD","1985","Couple + C. LE 16 ","Rural Area","","","","","7"
"AfD","1985","Couple + C. GT 16 ","Urban Area","","","","","7"
"AfD","1985","Couple + C. GT 16 ","Rural Area","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","Urban Area","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","Rural Area","","","","","7"
"CDU/CSU","1985","1-pers.-HH","Urban Area","204","0.398768949841275","0.358032519732429","0.43950537995012","1"
"CDU/CSU","1985","1-pers.-HH","Rural Area","50","0.514699444467549","0.417708709763651","0.611690179171448","1"
"CDU/CSU","1985","(Married) couple without C. ","Urban Area","485","0.43014474450204","0.401896160906589","0.45839332809749","1"
"CDU/CSU","1985","Single parent ","Rural Area","28","","","","1"
"CDU/CSU","1985","Couple + C. LE 16 ","Urban Area","349","0.363150621581862","0.334910454871607","0.391390788292118","1"
"CDU/CSU","1985","Couple + C. LE 16 ","Rural Area","131","0.480827563720486","0.42332336138963","0.538331766051343","1"
"CDU/CSU","1985","Couple + C. LE and GT 16","Rural Area","88","0.616479542047914","0.539931190253464","0.693027893842364","1"
"CDU/CSU","1985","(Married) couple without C. ","Rural Area","154","0.535732003180595","0.478431324518966","0.593032681842223","1"
"CDU/CSU","1985","Single parent ","Urban Area","67","0.37643083010409","0.308429768072057","0.444431892136123","1"
"CDU/CSU","1985","Couple + C. GT 16 ","Urban Area","322","0.434081945678456","0.400137495669682","0.468026395687231","1"
"CDU/CSU","1985","Couple + C. GT 16 ","Rural Area","102","0.521289976859755","0.453073320522305","0.589506633197204","1"
"CDU/CSU","1985","Couple + C. LE and GT 16","Urban Area","181","0.487294311154971","0.441863409798986","0.532725212510957","1"
"FDP","1985","Couple + C. GT 16 ","Rural Area","4","","","","3"
"FDP","1985","Couple + C. LE and GT 16","Urban Area","14","","","","3"
"FDP","1985","Couple + C. LE 16 ","Rural Area","10","","","","3"
"FDP","1985","Couple + C. GT 16 ","Urban Area","24","","","","3"
"FDP","1985","Couple + C. LE and GT 16","Rural Area","3","","","","3"
"FDP","1985","1-pers.-HH","Urban Area","29","","","","3"
"FDP","1985","1-pers.-HH","Rural Area","7","","","","3"
"FDP","1985","(Married) couple without C. ","Urban Area","53","0.0460871130286207","0.0341238074134471","0.0580504186437942","3"
"FDP","1985","Couple + C. LE 16 ","Urban Area","36","0.0394452273786517","0.0280147651043754","0.0508756896529281","3"
"FDP","1985","(Married) couple without C. ","Rural Area","6","","","","3"
"FDP","1985","Single parent ","Rural Area","1","","","","3"
"FDP","1985","Single parent ","Urban Area","2","","","","3"
"NPD Combination","1985","Couple + C. LE 16 ","Rural Area","","","","","6"
"NPD Combination","1985","(Married) couple without C. ","Rural Area","","","","","6"
"NPD Combination","1985","1-pers.-HH","Urban Area","","","","","6"
"NPD Combination","1985","1-pers.-HH","Rural Area","","","","","6"
"NPD Combination","1985","Single parent ","Urban Area","","","","","6"
"NPD Combination","1985","Couple + C. LE 16 ","Urban Area","","","","","6"
"NPD Combination","1985","Couple + C. GT 16 ","Urban Area","","","","","6"
"NPD Combination","1985","Couple + C. GT 16 ","Rural Area","","","","","6"
"NPD Combination","1985","Couple + C. LE and GT 16","Urban Area","","","","","6"
"NPD Combination","1985","Couple + C. LE and GT 16","Rural Area","","","","","6"
"NPD Combination","1985","Single parent ","Rural Area","","","","","6"
"NPD Combination","1985","(Married) couple without C. ","Urban Area","","","","","6"
"Other","1985","(Married) couple without C. ","Rural Area","1","","","","8"
"Other","1985","Single parent ","Urban Area","1","","","","8"
"Other","1985","Single parent ","Rural Area","","","","","8"
"Other","1985","1-pers.-HH","Urban Area","3","","","","8"
"Other","1985","1-pers.-HH","Rural Area","","","","","8"
"Other","1985","Couple + C. LE 16 ","Urban Area","4","","","","8"
"Other","1985","Couple + C. GT 16 ","Urban Area","6","","","","8"
"Other","1985","Couple + C. GT 16 ","Rural Area","4","","","","8"
"Other","1985","Couple + C. LE and GT 16","Urban Area","3","","","","8"
"Other","1985","Couple + C. LE and GT 16","Rural Area","2","","","","8"
"Other","1985","(Married) couple without C. ","Urban Area","10","","","","8"
"Other","1985","Couple + C. LE 16 ","Rural Area","","","","","8"
"PDS/Linke","1985","Single parent ","Urban Area","","","","","5"
"PDS/Linke","1985","(Married) couple without C. ","Rural Area","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","Urban Area","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","Rural Area","","","","","5"
"PDS/Linke","1985","Single parent ","Rural Area","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","Urban Area","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","Rural Area","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","Urban Area","","","","","5"
"PDS/Linke","1985","1-pers.-HH","Urban Area","","","","","5"
"PDS/Linke","1985","1-pers.-HH","Rural Area","","","","","5"
"PDS/Linke","1985","(Married) couple without C. ","Urban Area","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","Rural Area","","","","","5"
"SPD","1985","Single parent ","Urban Area","111","0.531353332157006","0.461313474259556","0.601393190054455","2"
"SPD","1985","Single parent ","Rural Area","21","","","","2"
"SPD","1985","(Married) couple without C. ","Rural Area","123","0.415365529500192","0.358746941844071","0.471984117156313","2"
"SPD","1985","Couple + C. LE 16 ","Urban Area","641","0.518619632926728","0.489278683744206","0.547960582109249","2"
"SPD","1985","1-pers.-HH","Urban Area","270","0.4675731219945","0.426062775906797","0.509083468082202","2"
"SPD","1985","1-pers.-HH","Rural Area","42","0.382610578979108","0.288290081251693","0.476931076706523","2"
"SPD","1985","(Married) couple without C. ","Urban Area","565","0.46556229175343","0.437101660231804","0.494022923275056","2"
"SPD","1985","Couple + C. GT 16 ","Urban Area","402","0.453061551585203","0.418969434503492","0.487153668666913","2"
"SPD","1985","Couple + C. LE 16 ","Rural Area","139","0.446968390712826","0.389746464231262","0.504190317194391","2"
"SPD","1985","Couple + C. GT 16 ","Rural Area","79","0.363837856028069","0.29813982804873","0.429535884007408","2"
"SPD","1985","Couple + C. LE and GT 16","Rural Area","58","0.321715262859364","0.248175183047003","0.395255342671725","2"
"SPD","1985","Couple + C. LE and GT 16","Urban Area","226","0.385445475422469","0.341208716433931","0.429682234411006","2"
"AfD","1986","(Married) couple without C. ","Rural Area","","","","","7"
"AfD","1986","Single parent ","Urban Area","","","","","7"
"AfD","1986","Single parent ","Rural Area","","","","","7"
"AfD","1986","Couple + C. LE 16 ","Urban Area","","","","","7"
"AfD","1986","1-pers.-HH","Urban Area","","","","","7"
"AfD","1986","1-pers.-HH","Rural Area","","","","","7"
"AfD","1986","(Married) couple without C. ","Urban Area","","","","","7"
"AfD","1986","Couple + C. LE 16 ","Rural Area","","","","","7"
"AfD","1986","Couple + C. GT 16 ","Urban Area","","","","","7"
"AfD","1986","Couple + C. GT 16 ","Rural Area","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","Urban Area","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","Rural Area","","","","","7"
"CDU/CSU","1986","1-pers.-HH","Urban Area","189","0.395814463738737","0.354376138742122","0.437252788735352","1"
"CDU/CSU","1986","1-pers.-HH","Rural Area","50","0.549729077523819","0.44750841285765","0.651949742189988","1"
"CDU/CSU","1986","(Married) couple without C. ","Urban Area","487","0.43885414148768","0.410135468817911","0.46757281415745","1"
"CDU/CSU","1986","Single parent ","Rural Area","19","","","","1"
"CDU/CSU","1986","Couple + C. LE 16 ","Urban Area","319","0.362613969707409","0.332787190704775","0.392440748710043","1"
"CDU/CSU","1986","Couple + C. LE 16 ","Rural Area","120","0.463133983858384","0.404518551215597","0.521749416501171","1"
"CDU/CSU","1986","Couple + C. LE and GT 16","Rural Area","90","0.579262753831837","0.502527875088993","0.65599763257468","1"
"CDU/CSU","1986","Couple + C. GT 16 ","Urban Area","347","0.455812853025997","0.422052080482901","0.489573625569093","1"
