"pgfamstd","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","16-34 y.","Single parent ","27","","","","4"
"Divorced","1984","16-34 y.","(Married) couple without C. ","15","","","","4"
"Divorced","1984","16-34 y.","1-pers.-HH","18","","","","4"
"Divorced","1984","35-65 y.","1-pers.-HH","101","0.259962652637096","0.218262665137248","0.301662640136945","4"
"Divorced","1984","16-34 y.","Couple + C. LE 16 ","12","","","","4"
"Divorced","1984","16-34 y.","Couple + C. GT 16 ","3","","","","4"
"Divorced","1984","35-65 y.","(Married) couple without C. ","22","","","","4"
"Divorced","1984","35-65 y.","Single parent ","63","0.284634002825314","0.22445724957391","0.344810756076718","4"
"Divorced","1984","35-65 y.","Couple + C. LE 16 ","13","","","","4"
"Divorced","1984","35-65 y.","Couple + C. GT 16 ","8","","","","4"
"Divorced","1984","35-65 y.","Couple + C. LE and GT 16","4","","","","4"
"Divorced","1984","66 and older","(Married) couple without C. ","1","","","","4"
"Divorced","1984","66 and older","Single parent ","1","","","","4"
"Divorced","1984","66 and older","Couple + C. LE 16 ","","","","","4"
"Divorced","1984","16-34 y.","Couple + C. LE and GT 16","4","","","","4"
"Divorced","1984","66 and older","1-pers.-HH","22","","","","4"
"Divorced","1984","66 and older","Couple + C. GT 16 ","","","","","4"
"Divorced","1984","66 and older","Couple + C. LE and GT 16","","","","","4"
"Married","1984","16-34 y.","1-pers.-HH","","","","","1"
"Married","1984","16-34 y.","(Married) couple without C. ","405","0.684961528489093","0.647221564245654","0.722701492732532","1"
"Married","1984","16-34 y.","Single parent ","3","","","","1"
"Married","1984","16-34 y.","Couple + C. LE 16 ","1305","0.960902375277798","0.950562958852746","0.971241791702849","1"
"Married","1984","16-34 y.","Couple + C. GT 16 ","9","","","","1"
"Married","1984","16-34 y.","Couple + C. LE and GT 16","25","","","","1"
"Married","1984","35-65 y.","1-pers.-HH","1","","","","1"
"Married","1984","35-65 y.","(Married) couple without C. ","1245","0.959114825171471","0.948362704873694","0.969866945469247","1"
"Married","1984","35-65 y.","Single parent ","4","","","","1"
"Married","1984","35-65 y.","Couple + C. LE 16 ","1418","0.976243616219835","0.968394274899333","0.984092957540337","1"
"Married","1984","35-65 y.","Couple + C. GT 16 ","992","0.972494901645258","0.962438294042753","0.982551509247763","1"
"Married","1984","35-65 y.","Couple + C. LE and GT 16","902","0.983354640990275","0.97504675416506","0.99166252781549","1"
"Married","1984","66 and older","1-pers.-HH","","","","","1"
"Married","1984","66 and older","(Married) couple without C. ","457","0.968492195602876","0.952732993514634","0.984251397691119","1"
"Married","1984","66 and older","Single parent ","","","","","1"
"Married","1984","66 and older","Couple + C. LE 16 ","3","","","","1"
"Married","1984","66 and older","Couple + C. GT 16 ","39","1","1","1","1"
"Married","1984","66 and older","Couple + C. LE and GT 16","","","","","1"
"Married, but separated","1984","16-34 y.","(Married) couple without C. ","","","","","2"
"Married, but separated","1984","16-34 y.","Couple + C. LE and GT 16","11","","","","2"
"Married, but separated","1984","66 and older","(Married) couple without C. ","1","","","","2"
"Married, but separated","1984","16-34 y.","1-pers.-HH","20","","","","2"
"Married, but separated","1984","16-34 y.","Couple + C. GT 16 ","7","","","","2"
"Married, but separated","1984","35-65 y.","Couple + C. LE 16 ","5","","","","2"
"Married, but separated","1984","66 and older","1-pers.-HH","4","","","","2"
"Married, but separated","1984","35-65 y.","Single parent ","29","","","","2"
"Married, but separated","1984","16-34 y.","Couple + C. LE 16 ","","","","","2"
"Married, but separated","1984","35-65 y.","1-pers.-HH","85","0.113200869343526","0.0830783607887041","0.143323377898348","2"
"Married, but separated","1984","35-65 y.","(Married) couple without C. ","7","","","","2"
"Married, but separated","1984","16-34 y.","Single parent ","23","","","","2"
"Married, but separated","1984","35-65 y.","Couple + C. GT 16 ","","","","","2"
"Married, but separated","1984","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"Married, but separated","1984","66 and older","Couple + C. GT 16 ","","","","","2"
"Married, but separated","1984","66 and older","Couple + C. LE and GT 16","","","","","2"
"Married, but separated","1984","66 and older","Single parent ","","","","","2"
"Married, but separated","1984","66 and older","Couple + C. LE 16 ","","","","","2"
"Single","1984","66 and older","Couple + C. LE 16 ","","","","","3"
"Single","1984","35-65 y.","Couple + C. GT 16 ","16","","","","3"
"Single","1984","66 and older","(Married) couple without C. ","2","","","","3"
"Single","1984","66 and older","Single parent ","","","","","3"
"Single","1984","66 and older","Couple + C. GT 16 ","","","","","3"
"Single","1984","66 and older","Couple + C. LE and GT 16","","","","","3"
"Single","1984","16-34 y.","1-pers.-HH","267","0.886648020206077","0.851069461511277","0.922226578900877","3"
"Single","1984","16-34 y.","Couple + C. GT 16 ","660","0.982972659534041","0.973241662658675","0.992703656409408","3"
"Single","1984","16-34 y.","Couple + C. LE and GT 16","579","0.966774520104867","0.952678369860066","0.980870670349667","3"
"Single","1984","35-65 y.","(Married) couple without C. ","18","","","","3"
"Single","1984","35-65 y.","Single parent ","31","0.178363897650685","0.12731169913063","0.229416096170741","3"
"Single","1984","35-65 y.","Couple + C. LE 16 ","5","","","","3"
"Single","1984","35-65 y.","Couple + C. LE and GT 16","1","","","","3"
"Single","1984","66 and older","1-pers.-HH","39","0.104723719106132","0.0737328664631465","0.135714571749117","3"
"Single","1984","16-34 y.","(Married) couple without C. ","160","0.289534249832622","0.252686739911903","0.326381759753341","3"
"Single","1984","16-34 y.","Single parent ","191","0.783667146669375","0.732214514502656","0.835119778836095","3"
"Single","1984","16-34 y.","Couple + C. LE 16 ","30","0.0253933168847548","0.0170015074046407","0.0337851263648688","3"
"Single","1984","35-65 y.","1-pers.-HH","130","0.300561596501189","0.256970769600029","0.344152423402348","3"
"Widowed","1984","16-34 y.","Single parent ","2","","","","5"
