"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","no migration background","1148","0.383168367188835","0.365106209449175","0.401230524928494"
"1","1984","16-34 y.","direct migration background","652","0.543327245338261","0.514625077192856","0.572029413483666"
"1","1984","16-34 y.","indirect migration background","17","","",""
"1","1984","35-65 y.","no migration background","3263","0.813563386632113","0.801335703144093","0.825791070120132"
"1","1984","35-65 y.","direct migration background","1492","0.816087421792896","0.797703733992352","0.834471109593439"
"1","1984","35-65 y.","indirect migration background","13","","",""
"1","1984","66 and older","no migration background","509","0.439526741901622","0.408810525094686","0.470242958708559"
"1","1984","66 and older","direct migration background","12","","",""
"1","1984","66 and older","indirect migration background","3","","",""
"2","1984","16-34 y.","no migration background","31","0.0116854568969467","0.00769280056583048","0.0156781132280629"
"2","1984","16-34 y.","direct migration background","15","","",""
"2","1984","16-34 y.","indirect migration background","","","",""
"2","1984","35-65 y.","no migration background","47","0.0134919630346707","0.00986977682070013","0.0171141492486412"
"2","1984","35-65 y.","direct migration background","17","","",""
"2","1984","35-65 y.","indirect migration background","1","","",""
"2","1984","66 and older","no migration background","6","","",""
"2","1984","66 and older","direct migration background","","","",""
"2","1984","66 and older","indirect migration background","","","",""
"3","1984","16-34 y.","no migration background","1530","0.578358983274439","0.560012127093121","0.596705839455757"
"3","1984","16-34 y.","direct migration background","448","0.385366511499464","0.357323380097627","0.413409642901301"
"3","1984","16-34 y.","indirect migration background","72","0.669761868037892","0.572054591928405","0.767469144147379"
"3","1984","35-65 y.","no migration background","188","0.054934798966769","0.0477809866199763","0.0620886113135618"
"3","1984","35-65 y.","direct migration background","43","0.0349804513608194","0.0262620002288759","0.0436989024927629"
"3","1984","35-65 y.","indirect migration background","1","","",""
"3","1984","66 and older","no migration background","62","0.0689379196613243","0.0532590037481818","0.0846168355744667"
"3","1984","66 and older","direct migration background","1","","",""
"3","1984","66 and older","indirect migration background","1","","",""
"4","1984","16-34 y.","no migration background","68","0.0247692050557389","0.0189948800356965","0.0305435300757813"
"4","1984","16-34 y.","direct migration background","18","","",""
"4","1984","16-34 y.","indirect migration background","","","",""
"4","1984","35-65 y.","no migration background","194","0.0545608197678099","0.0474299890013303","0.0616916505342894"
"4","1984","35-65 y.","direct migration background","41","0.0398401598409686","0.0305592429800331","0.049121076701904"
"4","1984","35-65 y.","indirect migration background","3","","",""
"4","1984","66 and older","no migration background","25","","",""
"4","1984","66 and older","direct migration background","2","","",""
"4","1984","66 and older","indirect migration background","","","",""
"5","1984","16-34 y.","no migration background","6","","",""
"5","1984","16-34 y.","direct migration background","4","","",""
"5","1984","16-34 y.","indirect migration background","","","",""
"5","1984","35-65 y.","no migration background","205","0.0634490315986377","0.0557955138134075","0.0711025493838679"
"5","1984","35-65 y.","direct migration background","44","0.0521200332427248","0.0415728232709654","0.0626672432144843"
"5","1984","35-65 y.","indirect migration background","","","",""
"5","1984","66 and older","no migration background","401","0.459130799250295","0.428290970072784","0.489970628427805"
"5","1984","66 and older","direct migration background","16","","",""
"5","1984","66 and older","indirect migration background","1","","",""
"6","1984","16-34 y.","no migration background","","","",""
"6","1984","16-34 y.","direct migration background","20","","",""
"6","1984","16-34 y.","indirect migration background","","","",""
"6","1984","35-65 y.","no migration background","","","",""
"6","1984","35-65 y.","direct migration background","69","0.0402301854692119","0.030905844667836","0.0495545262705877"
"6","1984","35-65 y.","indirect migration background","","","",""
"6","1984","66 and older","no migration background","","","",""
"6","1984","66 and older","direct migration background","","","",""
"6","1984","66 and older","indirect migration background","","","",""
"7","1984","16-34 y.","no migration background","","","",""
"7","1984","16-34 y.","direct migration background","","","",""
"7","1984","16-34 y.","indirect migration background","","","",""
"7","1984","35-65 y.","no migration background","","","",""
"7","1984","35-65 y.","direct migration background","","","",""
"7","1984","35-65 y.","indirect migration background","","","",""
"7","1984","66 and older","no migration background","","","",""
