"pgfamstd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","1-pers.-HH","indirect migration background","2","","","","4"
"Divorced","1984","1-pers.-HH","direct migration background","26","","","","4"
"Divorced","1984","1-pers.-HH","no migration background","113","0.115957756315151","0.0952009083657701","0.136714604264532","4"
"Divorced","1984","Single parent ","no migration background","76","0.191749915895618","0.151851765761031","0.231648066030206","4"
"Divorced","1984","(Married) couple without C. ","no migration background","33","0.0139074510056652","0.00872300132932558","0.0190919006820048","4"
"Divorced","1984","(Married) couple without C. ","direct migration background","5","","","","4"
"Divorced","1984","Single parent ","direct migration background","14","","","","4"
"Divorced","1984","Single parent ","indirect migration background","1","","","","4"
"Divorced","1984","Couple + C. LE 16 ","no migration background","22","","","","4"
"Divorced","1984","Couple + C. LE 16 ","direct migration background","3","","","","4"
"Divorced","1984","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Divorced","1984","Couple + C. GT 16 ","direct migration background","2","","","","4"
"Divorced","1984","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Divorced","1984","Couple + C. LE and GT 16","no migration background","7","","","","4"
"Divorced","1984","(Married) couple without C. ","indirect migration background","","","","","4"
"Divorced","1984","Couple + C. GT 16 ","no migration background","9","","","","4"
"Divorced","1984","Couple + C. LE and GT 16","direct migration background","1","","","","4"
"Divorced","1984","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Married","1984","1-pers.-HH","no migration background","","","","","1"
"Married","1984","1-pers.-HH","direct migration background","1","","","","1"
"Married","1984","1-pers.-HH","indirect migration background","","","","","1"
"Married","1984","(Married) couple without C. ","no migration background","1738","0.903828804900117","0.890776546866462","0.916881062933773","1"
"Married","1984","(Married) couple without C. ","direct migration background","363","0.928363305840684","0.902703168326284","0.954023443355084","1"
"Married","1984","(Married) couple without C. ","indirect migration background","6","","","","1"
"Married","1984","Single parent ","no migration background","5","","","","1"
"Married","1984","Single parent ","direct migration background","2","","","","1"
"Married","1984","Single parent ","indirect migration background","","","","","1"
"Married","1984","Couple + C. LE 16 ","no migration background","1679","0.967358926987234","0.959000024364346","0.975717829610122","1"
"Married","1984","Couple + C. LE 16 ","direct migration background","1029","0.978048596871656","0.969164745058256","0.986932448685055","1"
"Married","1984","Couple + C. LE 16 ","indirect migration background","18","","","","1"
"Married","1984","Couple + C. GT 16 ","no migration background","783","0.597348516515917","0.570851395277634","0.6238456377542","1"
"Married","1984","Couple + C. GT 16 ","direct migration background","253","0.72126803308445","0.676363474042501","0.766172592126399","1"
"Married","1984","Couple + C. GT 16 ","indirect migration background","4","","","","1"
"Married","1984","Couple + C. LE and GT 16","no migration background","522","0.571061034300002","0.538618233084702","0.603503835515302","1"
"Married","1984","Couple + C. LE and GT 16","direct migration background","402","0.65181822927519","0.613888648306709","0.689747810243671","1"
"Married","1984","Couple + C. LE and GT 16","indirect migration background","3","","","","1"
"Married, but separated","1984","1-pers.-HH","direct migration background","74","0.282459232804904","0.217586319036035","0.347332146573773","2"
"Married, but separated","1984","(Married) couple without C. ","indirect migration background","","","","","2"
"Married, but separated","1984","Couple + C. GT 16 ","direct migration background","3","","","","2"
"Married, but separated","1984","1-pers.-HH","no migration background","35","0.034518668747546","0.0226835136787982","0.0463538238162938","2"
"Married, but separated","1984","(Married) couple without C. ","direct migration background","4","","","","2"
"Married, but separated","1984","Couple + C. LE 16 ","no migration background","4","","","","2"
"Married, but separated","1984","Couple + C. GT 16 ","no migration background","4","","","","2"
"Married, but separated","1984","Single parent ","indirect migration background","1","","","","2"
"Married, but separated","1984","(Married) couple without C. ","no migration background","4","","","","2"
"Married, but separated","1984","Single parent ","no migration background","31","0.0786557802261231","0.0513730034684366","0.10593855698381","2"
"Married, but separated","1984","Single parent ","direct migration background","20","","","","2"
"Married, but separated","1984","1-pers.-HH","indirect migration background","","","","","2"
"Married, but separated","1984","Couple + C. LE 16 ","direct migration background","1","","","","2"
"Married, but separated","1984","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Married, but separated","1984","Couple + C. LE and GT 16","direct migration background","8","","","","2"
"Married, but separated","1984","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Married, but separated","1984","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Married, but separated","1984","Couple + C. LE and GT 16","no migration background","3","","","","2"
"Single","1984","Couple + C. LE and GT 16","no migration background","356","0.410385845086609","0.378141061344172","0.442630628829046","3"
"Single","1984","Couple + C. LE 16 ","direct migration background","11","","","","3"
"Single","1984","Couple + C. GT 16 ","direct migration background","125","0.265238539979097","0.221026535781047","0.309450544177147","3"
"Single","1984","Couple + C. GT 16 ","indirect migration background","31","0.802672007993128","0.670822814970565","0.934521201015691","3"
"Single","1984","Couple + C. LE and GT 16","direct migration background","195","0.340322366639816","0.302597917660656","0.378046815618976","3"
"Single","1984","Couple + C. LE and GT 16","indirect migration background","29","","","","3"
"Single","1984","1-pers.-HH","no migration background","373","0.347655537166797","0.316781881314493","0.3785291930191","3"
"Single","1984","(Married) couple without C. ","direct migration background","14","","","","3"
"Single","1984","(Married) couple without C. ","indirect migration background","3","","","","3"
"Single","1984","Single parent ","direct migration background","45","0.370161050937221","0.277362426641238","0.462959675233204","3"
"Single","1984","Single parent ","indirect migration background","6","","","","3"
"Single","1984","Couple + C. LE 16 ","no migration background","24","","","","3"
"Single","1984","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Single","1984","Couple + C. GT 16 ","no migration background","520","0.394900801506619","0.368490251669103","0.421311351344134","3"
"Single","1984","1-pers.-HH","direct migration background","60","0.283496925823875","0.218551968942788","0.348441882704962","3"
"Single","1984","1-pers.-HH","indirect migration background","3","","","","3"
"Single","1984","(Married) couple without C. ","no migration background","163","0.0687709485323028","0.0575675232878705","0.0799743737767351","3"
"Single","1984","Single parent ","no migration background","171","0.457100654191169","0.406613851193681","0.507587457188656","3"
"Widowed","1984","1-pers.-HH","indirect migration background","1","","","","5"
"Widowed","1984","(Married) couple without C. ","indirect migration background","","","","","5"
"Widowed","1984","Couple + C. LE 16 ","no migration background","7","","","","5"
"Widowed","1984","1-pers.-HH","no migration background","393","0.501868037770506","0.469453340760907","0.534282734780106","5"
"Widowed","1984","1-pers.-HH","direct migration background","24","","","","5"
"Widowed","1984","(Married) couple without C. ","no migration background","22","","","","5"
"Widowed","1984","(Married) couple without C. ","direct migration background","2","","","","5"
"Widowed","1984","Single parent ","no migration background","91","0.256881676230793","0.212601653180868","0.301161699280719","5"
"Widowed","1984","Single parent ","indirect migration background","","","","","5"
"Widowed","1984","Single parent ","direct migration background","23","","","","5"
"Widowed","1984","Couple + C. LE 16 ","direct migration background","1","","","","5"
"Widowed","1984","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Widowed","1984","Couple + C. GT 16 ","no migration background","","","","","5"
"Widowed","1984","Couple + C. GT 16 ","direct migration background","","","","","5"
"Widowed","1984","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Widowed","1984","Couple + C. LE and GT 16","no migration background","6","","","","5"
"Widowed","1984","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Widowed","1984","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Divorced","1985","1-pers.-HH","indirect migration background","2","","","","4"
"Divorced","1985","1-pers.-HH","no migration background","117","0.124272738322633","0.102525990050856","0.146019486594409","4"
"Divorced","1985","1-pers.-HH","direct migration background","23","","","","4"
"Divorced","1985","Single parent ","no migration background","74","0.182582460044137","0.143533841693068","0.221631078395205","4"
"Divorced","1985","(Married) couple without C. ","no migration background","33","0.0152070951504855","0.00957247581165282","0.0208417144893181","4"
"Divorced","1985","(Married) couple without C. ","direct migration background","4","","","","4"
"Divorced","1985","(Married) couple without C. ","indirect migration background","","","","","4"
"Divorced","1985","Single parent ","direct migration background","11","","","","4"
"Divorced","1985","Single parent ","indirect migration background","1","","","","4"
"Divorced","1985","Couple + C. LE 16 ","no migration background","18","","","","4"
"Divorced","1985","Couple + C. LE 16 ","direct migration background","3","","","","4"
"Divorced","1985","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Divorced","1985","Couple + C. GT 16 ","direct migration background","2","","","","4"
"Divorced","1985","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Divorced","1985","Couple + C. LE and GT 16","no migration background","4","","","","4"
"Divorced","1985","Couple + C. GT 16 ","no migration background","7","","","","4"
"Divorced","1985","Couple + C. LE and GT 16","direct migration background","2","","","","4"
"Divorced","1985","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Married","1985","1-pers.-HH","no migration background","4","","","","1"
"Married","1985","1-pers.-HH","direct migration background","7","","","","1"
"Married","1985","1-pers.-HH","indirect migration background","","","","","1"
"Married","1985","(Married) couple without C. ","no migration background","1574","0.889726445004477","0.875304197919882","0.904148692089071","1"
"Married","1985","(Married) couple without C. ","direct migration background","343","0.922612581167507","0.895349196263432","0.949875966071582","1"
"Married","1985","(Married) couple without C. ","indirect migration background","5","","","","1"
"Married","1985","Single parent ","no migration background","4","","","","1"
"Married","1985","Single parent ","direct migration background","7","","","","1"
"Married","1985","Single parent ","indirect migration background","","","","","1"
"Married","1985","Couple + C. LE 16 ","no migration background","1506","0.963010927264735","0.953681088255493","0.972340766273977","1"
"Married","1985","Couple + C. LE 16 ","direct migration background","885","0.977884212149432","0.968292433658749","0.987475990640115","1"
"Married","1985","Couple + C. LE 16 ","indirect migration background","16","","","","1"
"Married","1985","Couple + C. GT 16 ","no migration background","816","0.552198988827603","0.526735399751595","0.577662577903611","1"
"Married","1985","Couple + C. GT 16 ","direct migration background","261","0.695907758166836","0.650882686376815","0.740932829956856","1"
"Married","1985","Couple + C. GT 16 ","indirect migration background","2","","","","1"
"Married","1985","Couple + C. LE and GT 16","no migration background","444","0.547588782360234","0.512770510136253","0.582407054584214","1"
"Married","1985","Couple + C. LE and GT 16","direct migration background","386","0.640129224621581","0.601202417358437","0.679056031884724","1"
"Married","1985","Couple + C. LE and GT 16","indirect migration background","3","","","","1"
"Married, but separated","1985","1-pers.-HH","no migration background","28","","","","2"
"Married, but separated","1985","(Married) couple without C. ","indirect migration background","","","","","2"
"Married, but separated","1985","Single parent ","indirect migration background","2","","","","2"
"Married, but separated","1985","1-pers.-HH","direct migration background","60","0.239359937866207","0.175406283524933","0.30331359220748","2"
"Married, but separated","1985","(Married) couple without C. ","direct migration background","8","","","","2"
"Married, but separated","1985","1-pers.-HH","indirect migration background","","","","","2"
"Married, but separated","1985","(Married) couple without C. ","no migration background","19","","","","2"
"Married, but separated","1985","Single parent ","direct migration background","15","","","","2"
