"pgoeffd","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","lower secondary degree","181","0.150671275754568","0.131262596901299","0.170079954607838"
"Yes","1984","16-34 y.","secondary school degree","203","0.293947179920126","0.260246956510805","0.327647403329448"
"Yes","1984","16-34 y.","college entrance qualification","146","0.405945416188632","0.355497364802444","0.45639346757482"
"Yes","1984","16-34 y.","Other degree","30","0.0909858177181283","0.0609850119573169","0.12098662347894"
"Yes","1984","16-34 y.","no degree/no degree yet","12","","",""
"Yes","1984","35-65 y.","lower secondary degree","421","0.216738896650915","0.19847954406324","0.23499824923859"
"Yes","1984","35-65 y.","secondary school degree","158","0.307061735881144","0.267261709268519","0.34686176249377"
"Yes","1984","35-65 y.","college entrance qualification","211","0.496889590963874","0.449465856048589","0.544313325879158"
"Yes","1984","35-65 y.","Other degree","82","0.131164512282431","0.106759368448423","0.155569656116439"
"Yes","1984","35-65 y.","no degree/no degree yet","52","0.105250264400054","0.0782708646061013","0.132229664194007"
"Yes","1984","66 and older","lower secondary degree","2","","",""
"Yes","1984","66 and older","secondary school degree","","","",""
"Yes","1984","66 and older","college entrance qualification","","","",""
"Yes","1984","66 and older","Other degree","","","",""
"Yes","1984","66 and older","no degree/no degree yet","","","",""
"No","1984","16-34 y.","lower secondary degree","1124","0.849328724245432","0.829920045392162","0.868737403098702"
"No","1984","16-34 y.","secondary school degree","499","0.706052820079874","0.672352596670552","0.739753043489195"
"No","1984","16-34 y.","college entrance qualification","218","0.594054583811368","0.543606532425181","0.644502635197556"
"No","1984","16-34 y.","Other degree","323","0.909014182281872","0.87901337652106","0.939014988042683"
"No","1984","16-34 y.","no degree/no degree yet","163","0.873443002914494","0.824183567210023","0.922702438618965"
"No","1984","35-65 y.","lower secondary degree","1535","0.783261103349085","0.76500175076141","0.80152045593676"
"No","1984","35-65 y.","secondary school degree","358","0.692938264118856","0.65313823750623","0.732738290731482"
"No","1984","35-65 y.","college entrance qualification","216","0.503110409036126","0.455686674120842","0.550534143951411"
"No","1984","35-65 y.","Other degree","653","0.868835487717569","0.844430343883561","0.893240631551577"
"No","1984","35-65 y.","no degree/no degree yet","445","0.894749735599946","0.867770335805993","0.921729135393899"
"No","1984","66 and older","lower secondary degree","25","","",""
"No","1984","66 and older","secondary school degree","8","","",""
"No","1984","66 and older","college entrance qualification","11","","",""
"No","1984","66 and older","Other degree","1","","",""
"No","1984","66 and older","no degree/no degree yet","","","",""
"Yes","1985","16-34 y.","lower secondary degree","165","0.170665222554976","0.148462931619963","0.19286751348999"
"Yes","1985","16-34 y.","secondary school degree","188","0.292584153107744","0.257337255550111","0.327831050665376"
"Yes","1985","16-34 y.","college entrance qualification","112","0.354178285557929","0.301777187322071","0.406579383793787"
"Yes","1985","16-34 y.","Other degree","24","","",""
"Yes","1985","16-34 y.","no degree/no degree yet","8","","",""
"Yes","1985","35-65 y.","lower secondary degree","384","0.225133296948178","0.205313831228835","0.244952762667521"
"Yes","1985","35-65 y.","secondary school degree","157","0.318050915163404","0.2768151221256","0.359286708201208"
"Yes","1985","35-65 y.","college entrance qualification","211","0.541730369248922","0.492406494330984","0.59105424416686"
"Yes","1985","35-65 y.","Other degree","71","0.121136320188118","0.0955968274263107","0.146675812949925"
"Yes","1985","35-65 y.","no degree/no degree yet","40","0.0987489837837775","0.0693664192088118","0.128131548358743"
"Yes","1985","66 and older","lower secondary degree","1","","",""
"Yes","1985","66 and older","secondary school degree","","","",""
"Yes","1985","66 and older","college entrance qualification","","","",""
"Yes","1985","66 and older","Other degree","","","",""
"Yes","1985","66 and older","no degree/no degree yet","","","",""
"No","1985","16-34 y.","lower secondary degree","938","0.829334777445024","0.80713248651001","0.851537068380037"
"No","1985","16-34 y.","secondary school degree","452","0.707415846892256","0.672168949334624","0.742662744449889"
"No","1985","16-34 y.","college entrance qualification","208","0.645821714442071","0.593420616206213","0.698222812677929"
"No","1985","16-34 y.","Other degree","233","0.892891920015361","0.855083189724054","0.930700650306669"
"No","1985","16-34 y.","no degree/no degree yet","105","0.890716869834129","0.833192049475653","0.948241690192606"
"No","1985","35-65 y.","lower secondary degree","1322","0.774866703051822","0.755047237332479","0.794686168771165"
"No","1985","35-65 y.","secondary school degree","333","0.681949084836596","0.640713291798792","0.7231848778744"
"No","1985","35-65 y.","college entrance qualification","181","0.458269630751078","0.40894575583314","0.507593505669016"
"No","1985","35-65 y.","Other degree","556","0.878863679811882","0.853324187050075","0.904403172573689"
"No","1985","35-65 y.","no degree/no degree yet","356","0.901251016216223","0.871868451641257","0.930633580791188"
"No","1985","66 and older","lower secondary degree","17","","",""
"No","1985","66 and older","secondary school degree","6","","",""
"No","1985","66 and older","college entrance qualification","8","","",""
"No","1985","66 and older","Other degree","1","","",""
"No","1985","66 and older","no degree/no degree yet","","","",""
"Yes","1986","16-34 y.","lower secondary degree","156","0.169285043419114","0.14677352454872","0.191796562289509"
"Yes","1986","16-34 y.","secondary school degree","183","0.296254478666642","0.260167475524552","0.332341481808732"
"Yes","1986","16-34 y.","college entrance qualification","111","0.33856012294804","0.287580433787481","0.389539812108599"
"Yes","1986","16-34 y.","Other degree","15","","",""
"Yes","1986","16-34 y.","no degree/no degree yet","8","","",""
"Yes","1986","35-65 y.","lower secondary degree","362","0.23142630560672","0.210597856607026","0.252254754606413"
"Yes","1986","35-65 y.","secondary school degree","152","0.319156863903202","0.276650620042071","0.361663107764333"
"Yes","1986","35-65 y.","college entrance qualification","208","0.555005985940733","0.50490709530359","0.605104876577875"
"Yes","1986","35-65 y.","Other degree","62","0.112759068036486","0.0876587226767146","0.137859413396257"
"Yes","1986","35-65 y.","no degree/no degree yet","36","0.117202333493305","0.0829106774926079","0.151493989494002"
"Yes","1986","66 and older","lower secondary degree","1","","",""
"Yes","1986","66 and older","secondary school degree","","","",""
"Yes","1986","66 and older","college entrance qualification","","","",""
"Yes","1986","66 and older","Other degree","","","",""
"Yes","1986","66 and older","no degree/no degree yet","","","",""
"No","1986","16-34 y.","lower secondary degree","910","0.830714956580886","0.808203437710491","0.85322647545128"
"No","1986","16-34 y.","secondary school degree","432","0.703745521333358","0.667658518191268","0.739832524475448"
"No","1986","16-34 y.","college entrance qualification","220","0.66143987705196","0.610460187891401","0.712419566212519"
"No","1986","16-34 y.","Other degree","192","0.913146300086467","0.874782001527657","0.951510598645276"
"No","1986","16-34 y.","no degree/no degree yet","89","0.879905640186873","0.815214980433274","0.944596299940472"
"No","1986","35-65 y.","lower secondary degree","1213","0.76857369439328","0.747745245393587","0.789402143392974"
"No","1986","35-65 y.","secondary school degree","310","0.680843136096798","0.638336892235667","0.723349379957929"
"No","1986","35-65 y.","college entrance qualification","170","0.444994014059268","0.394895123422125","0.49509290469641"
"No","1986","35-65 y.","Other degree","548","0.887240931963514","0.862140586603743","0.912341277323285"
