"pgoeffd","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","(0) in school","","","",""
"Yes","1984","Not Employed","(1a) inadequately completed","","","",""
"Yes","1984","Not Employed","(1b) general elementary school","5","","",""
"Yes","1984","Not Employed","(1c) basic vocational qualification","2","","",""
"Yes","1984","Not Employed","(2b) intermediate general qualification","2","","",""
"Yes","1984","Not Employed","(2a) intermediate vocational","2","","",""
"Yes","1984","Not Employed","(2c_gen) general maturity certificate","4","","",""
"Yes","1984","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1984","Not Employed","(3a) lower tertiary education","","","",""
"Yes","1984","Not Employed","(3b) higher tertiary education","9","","",""
"Yes","1984","Employed","(0) in school","1","","",""
"Yes","1984","Employed","(1a) inadequately completed","62","0.109511892407947","0.0856332237064342","0.13339056110946"
"Yes","1984","Employed","(1b) general elementary school","177","0.16088253946588","0.141412318614307","0.180352760317452"
"Yes","1984","Employed","(1c) basic vocational qualification","483","0.197956748588921","0.18289914008098","0.213014357096863"
"Yes","1984","Employed","(2b) intermediate general qualification","56","0.280930739520085","0.220571566309746","0.341289912730423"
"Yes","1984","Employed","(2a) intermediate vocational","284","0.304500541242861","0.27493977527383","0.334061307211892"
"Yes","1984","Employed","(2c_gen) general maturity certificate","29","","",""
"Yes","1984","Employed","(2c_voc) vocational maturity certificate","83","0.334847311933582","0.280530637050644","0.389163986816521"
"Yes","1984","Employed","(3a) lower tertiary education","59","0.312139929945712","0.247103678807799","0.377176181083625"
"Yes","1984","Employed","(3b) higher tertiary education","239","0.613864209445281","0.566680441152933","0.661047977737628"
"No","1984","Not Employed","(0) in school","1","","",""
"No","1984","Not Employed","(1a) inadequately completed","10","","",""
"No","1984","Not Employed","(1b) general elementary school","43","0.878858046851","0.786551155615183","0.971164938086818"
"No","1984","Not Employed","(1c) basic vocational qualification","48","0.951772182841617","0.892386959308073","1.01115740637516"
"No","1984","Not Employed","(2b) intermediate general qualification","11","","",""
"No","1984","Not Employed","(2a) intermediate vocational","11","","",""
"No","1984","Not Employed","(2c_gen) general maturity certificate","11","","",""
"No","1984","Not Employed","(2c_voc) vocational maturity certificate","13","","",""
"No","1984","Not Employed","(3a) lower tertiary education","4","","",""
"No","1984","Not Employed","(3b) higher tertiary education","3","","",""
"No","1984","Employed","(0) in school","2","","",""
"No","1984","Employed","(1a) inadequately completed","595","0.890488107592053","0.86660943889054","0.914366776293566"
"No","1984","Employed","(1b) general elementary school","1191","0.83911746053412","0.819647239682548","0.858587681385693"
"No","1984","Employed","(1c) basic vocational qualification","2207","0.802043251411079","0.786985642903137","0.81710085991902"
"No","1984","Employed","(2b) intermediate general qualification","157","0.719069260479915","0.658710087269577","0.779428433690254"
"No","1984","Employed","(2a) intermediate vocational","647","0.695499458757139","0.665938692788108","0.72506022472617"
"No","1984","Employed","(2c_gen) general maturity certificate","112","0.738923792446457","0.666426463212378","0.811421121680535"
"No","1984","Employed","(2c_voc) vocational maturity certificate","207","0.665152688066418","0.610836013183479","0.719469362949356"
"No","1984","Employed","(3a) lower tertiary education","136","0.687860070054288","0.622823818916375","0.752896321192201"
"No","1984","Employed","(3b) higher tertiary education","170","0.386135790554719","0.338952022262372","0.433319558847067"
"Yes","1985","Not Employed","(0) in school","","","",""
"Yes","1985","Not Employed","(1a) inadequately completed","2","","",""
"Yes","1985","Not Employed","(1b) general elementary school","2","","",""
"Yes","1985","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","1985","Not Employed","(2b) intermediate general qualification","5","","",""
"Yes","1985","Not Employed","(2a) intermediate vocational","2","","",""
"Yes","1985","Not Employed","(2c_gen) general maturity certificate","3","","",""
"Yes","1985","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Not Employed","(3a) lower tertiary education","1","","",""
"Yes","1985","Not Employed","(3b) higher tertiary education","4","","",""
"Yes","1985","Employed","(0) in school","","","",""
"Yes","1985","Employed","(1a) inadequately completed","45","0.095100493083181","0.0693616288938804","0.120839357272482"
"Yes","1985","Employed","(1b) general elementary school","159","0.169720274395378","0.147986514674055","0.191454034116701"
"Yes","1985","Employed","(1c) basic vocational qualification","444","0.208915199740687","0.192464642016843","0.22536575746453"
"Yes","1985","Employed","(2b) intermediate general qualification","43","0.224143861059127","0.165910882726457","0.282376839391796"
"Yes","1985","Employed","(2a) intermediate vocational","280","0.316855386593253","0.285922170588901","0.347788602597604"
"Yes","1985","Employed","(2c_gen) general maturity certificate","20","","",""
"Yes","1985","Employed","(2c_voc) vocational maturity certificate","74","0.345345514284163","0.287100186719754","0.403590841848573"
"Yes","1985","Employed","(3a) lower tertiary education","53","0.323666853909615","0.254544072323695","0.392789635495534"
"Yes","1985","Employed","(3b) higher tertiary education","225","0.593689274567123","0.544629395747713","0.642749153386532"
"No","1985","Not Employed","(0) in school","1","","",""
"No","1985","Not Employed","(1a) inadequately completed","5","","",""
"No","1985","Not Employed","(1b) general elementary school","21","","",""
"No","1985","Not Employed","(1c) basic vocational qualification","23","","",""
"No","1985","Not Employed","(2b) intermediate general qualification","5","","",""
"No","1985","Not Employed","(2a) intermediate vocational","8","","",""
"No","1985","Not Employed","(2c_gen) general maturity certificate","6","","",""
"No","1985","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"No","1985","Not Employed","(3a) lower tertiary education","1","","",""
"No","1985","Not Employed","(3b) higher tertiary education","3","","",""
"No","1985","Employed","(0) in school","1","","",""
