"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","(0) in school","","","",""
"Yes","1984","1-pers.-HH","(1a) inadequately completed","3","","",""
"Yes","1984","1-pers.-HH","(1b) general elementary school","11","","",""
"Yes","1984","1-pers.-HH","(1c) basic vocational qualification","43","0.243860016873996","0.183278403098035","0.304441630649957"
"Yes","1984","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Yes","1984","1-pers.-HH","(2a) intermediate vocational","35","0.289462851445319","0.204712489659667","0.374213213230971"
"Yes","1984","1-pers.-HH","(2c_gen) general maturity certificate","6","","",""
"Yes","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","20","","",""
"Yes","1984","1-pers.-HH","(3a) lower tertiary education","10","","",""
"Yes","1984","1-pers.-HH","(3b) higher tertiary education","38","0.631348952988148","0.508247110446751","0.754450795529545"
"Yes","1984","(Married) couple without C. ","(0) in school","1","","",""
"Yes","1984","(Married) couple without C. ","(1a) inadequately completed","10","","",""
"Yes","1984","(Married) couple without C. ","(1b) general elementary school","33","0.164601262342941","0.116040268098645","0.213162256587238"
"Yes","1984","(Married) couple without C. ","(1c) basic vocational qualification","123","0.234397224629541","0.199248548365521","0.26954590089356"
"Yes","1984","(Married) couple without C. ","(2b) intermediate general qualification","9","","",""
"Yes","1984","(Married) couple without C. ","(2a) intermediate vocational","84","0.360530043154274","0.298611189961189","0.422448896347358"
"Yes","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","7","","",""
"Yes","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","17","","",""
"Yes","1984","(Married) couple without C. ","(3a) lower tertiary education","18","","",""
"Yes","1984","(Married) couple without C. ","(3b) higher tertiary education","48","0.56615489861163","0.460795420211472","0.671514377011788"
"Yes","1984","Single parent ","(0) in school","","","",""
"Yes","1984","Single parent ","(1a) inadequately completed","4","","",""
"Yes","1984","Single parent ","(1b) general elementary school","14","","",""
"Yes","1984","Single parent ","(1c) basic vocational qualification","20","","",""
"Yes","1984","Single parent ","(2b) intermediate general qualification","5","","",""
"Yes","1984","Single parent ","(2a) intermediate vocational","14","","",""
"Yes","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Yes","1984","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1984","Single parent ","(3b) higher tertiary education","6","","",""
"Yes","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1984","Couple + C. LE 16 ","(1a) inadequately completed","16","","",""
"Yes","1984","Couple + C. LE 16 ","(1b) general elementary school","42","0.159985108524815","0.122428114849515","0.197542102200115"
"Yes","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","146","0.200937388212227","0.173742589576123","0.228132186848332"
"Yes","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","4","","",""
"Yes","1984","Couple + C. LE 16 ","(2a) intermediate vocational","69","0.267100152974819","0.214128920478325","0.320071385471313"
"Yes","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Yes","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","19","","",""
"Yes","1984","Couple + C. LE 16 ","(3a) lower tertiary education","18","","",""
"Yes","1984","Couple + C. LE 16 ","(3b) higher tertiary education","94","0.604167246467864","0.529093387323587","0.679241105612141"
"Yes","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1984","Couple + C. GT 16 ","(1a) inadequately completed","7","","",""
"Yes","1984","Couple + C. GT 16 ","(1b) general elementary school","43","0.213868815813062","0.161555369196947","0.266182262429177"
"Yes","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","73","0.163589922389139","0.131423398088542","0.195756446689736"
"Yes","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","21","","",""
"Yes","1984","Couple + C. GT 16 ","(2a) intermediate vocational","49","0.288099705373842","0.21878790809372","0.357411502653965"
"Yes","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","6","","",""
"Yes","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","10","","",""
"Yes","1984","Couple + C. GT 16 ","(3a) lower tertiary education","5","","",""
"Yes","1984","Couple + C. GT 16 ","(3b) higher tertiary education","26","","",""
"Yes","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1984","Couple + C. LE and GT 16","(1a) inadequately completed","18","","",""
"Yes","1984","Couple + C. LE and GT 16","(1b) general elementary school","31","0.131262752187581","0.0923300861973183","0.170195418177844"
"Yes","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","62","0.166885120786736","0.130206407511093","0.203563834062378"
"Yes","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","13","","",""
"Yes","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","25","","",""
"Yes","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"Yes","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"Yes","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","5","","",""
"Yes","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","23","","",""
"No","1984","1-pers.-HH","(0) in school","","","",""
"No","1984","1-pers.-HH","(1a) inadequately completed","57","0.967641337885306","0.922867435195088","1.01241524057552"
"No","1984","1-pers.-HH","(1b) general elementary school","90","0.846835126763566","0.776598050639314","0.917072202887818"
"No","1984","1-pers.-HH","(1c) basic vocational qualification","150","0.756139983126004","0.695558369350043","0.816721596901965"
"No","1984","1-pers.-HH","(2b) intermediate general qualification","9","","",""
"No","1984","1-pers.-HH","(2a) intermediate vocational","75","0.710537148554681","0.625786786769029","0.795287510340333"
"No","1984","1-pers.-HH","(2c_gen) general maturity certificate","11","","",""
"No","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","27","","",""
"No","1984","1-pers.-HH","(3a) lower tertiary education","14","","",""
"No","1984","1-pers.-HH","(3b) higher tertiary education","21","","",""
"No","1984","(Married) couple without C. ","(0) in school","","","",""
"No","1984","(Married) couple without C. ","(1a) inadequately completed","77","0.85912891520109","0.786027032483017","0.932230797919164"
"No","1984","(Married) couple without C. ","(1b) general elementary school","191","0.835398737657059","0.786837743412762","0.883959731901355"
"No","1984","(Married) couple without C. ","(1c) basic vocational qualification","435","0.765602775370459","0.73045409910644","0.800751451634479"
