"plb0037_h","year","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","688","0.124579429753273","0.116053233514002","0.133105625992544","2"
"Permanent","1985","5075","0.875420570246727","0.866894374007456","0.883946766485997","1"
"Limited","1986","218","0.262998213501214","0.233260832662676","0.292735594339753","2"
"Permanent","1986","624","0.737001786498786","0.707264405660247","0.766739167337324","1"
"Limited","1987","337","0.277684827798996","0.251687116919152","0.303682538678839","2"
"Permanent","1987","803","0.722315172201004","0.696317461321161","0.748312883080848","1"
"Limited","1988","653","0.115638478146003","0.107042785783557","0.124234170508449","2"
"Permanent","1988","4664","0.884361521853997","0.875765829491551","0.892957214216443","1"
"Limited","1989","253","0.248645864645434","0.220360301454646","0.276931427836223","2"
"Permanent","1989","644","0.751354135354566","0.723068572163777","0.779639698545354","1"
"Limited","1990","228","0.225332826434055","0.198567042034391","0.252098610833719","2"
"Permanent","1990","708","0.774667173565945","0.747901389166282","0.801432957965609","1"
"Limited","1991","388","0.230413386421468","0.210180677391913","0.250646095451023","2"
"Permanent","1991","1276","0.769586613578532","0.749353904548977","0.789819322608087","1"
"Limited","1992","395","0.24477923030211","0.223744603183812","0.265813857420407","2"
"Permanent","1992","1210","0.75522076969789","0.734186142579593","0.776255396816188","1"
"Limited","1993","319","0.232930385064923","0.210571853111837","0.255288917018009","2"
"Permanent","1993","1054","0.767069614935077","0.744711082981991","0.789428146888163","1"
"Limited","1994","413","0.314299813520754","0.288543719973135","0.340055907068374","2"
"Permanent","1994","835","0.685700186479246","0.659944092931626","0.711456280026865","1"
"Limited","1995","932","0.123056015203119","0.115471843083583","0.130640187322656","2"
"Permanent","1995","6275","0.876943984796881","0.869359812677344","0.884528156916417","1"
"Limited","1996","867","0.118343400461356","0.110772123475507","0.125914677447205","2"
"Permanent","1996","6125","0.881656599538644","0.874085322552795","0.889227876524493","1"
"Limited","1997","963","0.134684989730568","0.126551730150449","0.142818249310687","2"
"Permanent","1997","5805","0.865315010269432","0.857181750689313","0.873448269849551","1"
"Limited","1998","1033","0.132077864417919","0.124374644853561","0.139781083982278","2"
"Permanent","1998","6388","0.867922135582081","0.860218916017722","0.875625355146439","1"
"Limited","1999","1105","0.139393863642343","0.131472932497772","0.147314794786913","2"
"Permanent","1999","6240","0.860606136357657","0.852685205213087","0.868527067502228","1"
"Limited","2000","1687","0.139787451640198","0.133512396386995","0.146062506893401","2"
"Permanent","2000","10044","0.860212548359802","0.853937493106599","0.866487603613005","1"
"Limited","2001","1531","0.138271965228323","0.131725076245381","0.144818854211265","2"
"Permanent","2001","9148","0.861728034771677","0.855181145788735","0.868274923754619","1"
"Limited","2002","1532","0.141056996368755","0.134610288986656","0.147503703750853","2"
"Permanent","2002","9667","0.858943003631245","0.852496296249147","0.865389711013344","1"
"Limited","2003","1451","0.140749699840868","0.134094128597587","0.147405271084149","2"
"Permanent","2003","9037","0.859250300159132","0.852594728915851","0.865905871402413","1"
"Limited","2004","1448","0.151095126449544","0.144112590413301","0.158077662485787","2"
"Permanent","2004","8658","0.848904873550456","0.841922337514213","0.855887409586699","1"
"Limited","2005","1290","0.145555001388752","0.138557817193429","0.152552185584075","2"
"Permanent","2005","8468","0.854444998611248","0.847447814415925","0.861442182806571","1"
"Limited","2006","1413","0.152682741315342","0.145708039431122","0.159657443199562","2"
"Permanent","2006","8803","0.847317258684658","0.840342556800438","0.854291960568878","1"
"Limited","2007","1404","0.155859285670634","0.148666873393966","0.163051697947302","2"
"Permanent","2007","8366","0.844140714329366","0.836948302052698","0.851333126606034","1"
"Limited","2008","1368","0.158779763891434","0.15138963300241","0.166169894780458","2"
"Permanent","2008","8027","0.841220236108566","0.833830105219542","0.84861036699759","1"
"Limited","2009","1291","0.156750009658745","0.149130094345249","0.16436992497224","2"
"Permanent","2009","7454","0.843249990341255","0.83563007502776","0.850869905654751","1"
"Limited","2010","1855","0.160181101562654","0.153624811054246","0.166737392071062","2"
"Permanent","2010","10167","0.839818898437346","0.833262607928938","0.846375188945754","1"
"Limited","2011","2179","0.160843324243013","0.154884643797626","0.166802004688399","2"
"Permanent","2011","12424","0.839156675756987","0.833197995311601","0.845115356202374","1"
"Limited","2012","2263","0.160917244193351","0.15492764623668","0.166906842150021","2"
"Permanent","2012","12195","0.839082755806649","0.833093157849979","0.84507235376332","1"
"Limited","2013","2900","0.166880375609895","0.161166737127526","0.172594014092265","2"
"Permanent","2013","13460","0.833119624390105","0.827405985907735","0.838833262872474","1"
"Limited","2014","2486","0.173470892227945","0.167298957213895","0.179642827241995","2"
"Permanent","2014","11973","0.826529107772055","0.820357172758005","0.832701042786105","1"
"Limited","2015","2582","0.16848866216162","0.162385799509278","0.174591524813962","2"
"Permanent","2015","11868","0.83151133783838","0.825408475186038","0.837614200490722","1"
"Limited","2016","2621","0.176372026967558","0.169952261593586","0.182791792341529","2"
"Permanent","2016","10919","0.823627973032443","0.817208207658471","0.830047738406414","1"
"Limited","2017","2981","0.169933727596431","0.164034055755107","0.175833399437754","2"
"Permanent","2017","12587","0.830066272403569","0.824166600562246","0.835965944244893","1"
"Limited","2018","3040","0.165514607234744","0.159624610127679","0.17140460434181","2"
"Permanent","2018","12254","0.834485392765256","0.82859539565819","0.840375389872321","1"
"Limited","2019","2914","0.159306372700687","0.153405651410007","0.165207093991367","2"
"Permanent","2019","11862","0.840693627299313","0.834792906008633","0.846594348589993","1"
