"plb0037_h","year","education","n","percent","lower_confidence","upper_confidence"
"Limited","1985","college entrance qualification","132","0.188674309118328","0.15898232822697","0.218366290009686"
"Limited","1985","lower secondary degree","270","0.0893718993967159","0.0784398838886883","0.100303914904743"
"Limited","1985","no degree/no degree yet","29","","",""
"Limited","1985","Other degree","57","0.0906335365651191","0.0714462838512349","0.109820789279003"
"Limited","1985","secondary school degree","185","0.169249350359895","0.146590437403746","0.191908263316044"
"Permanent","1985","college entrance qualification","535","0.811325690881672","0.781633709990314","0.84101767177303"
"Permanent","1985","lower secondary degree","2346","0.910628100603284","0.899696085095257","0.921560116111312"
"Permanent","1985","no degree/no degree yet","469","0.917149162395616","0.892938768338877","0.941359556452355"
"Permanent","1985","Other degree","803","0.909366463434881","0.890179210720997","0.928553716148765"
"Permanent","1985","secondary school degree","867","0.830750649640105","0.808091736683956","0.853409562596254"
"Limited","1986","college entrance qualification","42","0.297438144472991","0.224525939467718","0.370350349478265"
"Limited","1986","lower secondary degree","84","0.190710038303735","0.151719912097432","0.229700164510037"
"Limited","1986","no degree/no degree yet","8","","",""
"Limited","1986","Other degree","10","","",""
"Limited","1986","secondary school degree","70","0.341880911628057","0.277106399410534","0.40665542384558"
"Permanent","1986","college entrance qualification","109","0.702561855527008","0.629649650521735","0.775474060532282"
"Permanent","1986","lower secondary degree","306","0.809289961696265","0.770299835489963","0.848280087902568"
"Permanent","1986","no degree/no degree yet","27","","",""
"Permanent","1986","Other degree","40","0.710404385476267","0.584682207454144","0.836126563498391"
"Permanent","1986","secondary school degree","136","0.658119088371943","0.59334457615442","0.722893600589466"
"Limited","1987","college entrance qualification","66","0.34939054264229","0.280312773320836","0.418468311963743"
"Limited","1987","lower secondary degree","130","0.218881527393632","0.183342181623985","0.254420873163278"
"Limited","1987","no degree/no degree yet","12","","",""
"Limited","1987","Other degree","28","","",""
"Limited","1987","secondary school degree","85","0.297554377742021","0.242300884022486","0.352807871461556"
"Permanent","1987","college entrance qualification","117","0.65060945735771","0.581531688036257","0.719687226679164"
