"plb0050","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Not Working","higher education","23","","","","2"
"No","2001","Not Working","inadequately","2","","","","2"
"No","2001","Not Working","middle vocational","78","0.74599407688682","0.663897353347508","0.828090800426133","2"
"No","2001","Not Working","higher vocational","7","","","","2"
"No","2001","Not Working","general elemantary","31","0.78508415652839","0.650903731408954","0.919264581647826","2"
"No","2001","Not Working","vocational + Abi","7","","","","2"
"No","2001","Full Time","in school","2","","","","2"
"No","2001","Full Time","general elemantary","368","0.488669222098946","0.452918354713759","0.524420089484132","2"
"No","2001","Full Time","higher vocational","386","0.447395055058698","0.413830006721351","0.480960103396044","2"
"No","2001","Part Time","in school","48","0.86972717211167","0.78310031984666","0.956354024376679","2"
"No","2001","Part Time","middle vocational","1162","0.607033802117836","0.585305821845365","0.628761782390307","2"
"No","2001","Part Time","vocational + Abi","120","0.566025020137816","0.498992028220887","0.633058012054745","2"
"No","2001","Part Time","higher vocational","149","0.564657462697831","0.505187105290451","0.624127820105211","2"
"No","2001","Part Time","higher education","243","0.46578791561813","0.424250050558504","0.507325780677756","2"
"No","2001","Not Working","in school","9","","","","2"
"No","2001","Full Time","inadequately","27","","","","2"
"No","2001","Full Time","middle vocational","2139","0.458144038165026","0.443717454578013","0.472570621752038","2"
"No","2001","Full Time","higher education","766","0.3941466413876","0.372638672037779","0.41565461073742","2"
"No","2001","Part Time","inadequately","19","","","","2"
"No","2001","Full Time","vocational + Abi","197","0.40146119012131","0.357699658493609","0.445222721749011","2"
"No","2001","Part Time","general elemantary","285","0.606215247210664","0.562230530818633","0.650199963602695","2"
"Yes","2001","Full Time","in school","2","","","","1"
"Yes","2001","Full Time","inadequately","36","0.538975197217955","0.415884749398578","0.662065645037332","1"
"Yes","2001","Full Time","general elemantary","383","0.511330777901055","0.475579910515868","0.547081645286241","1"
"Yes","2001","Full Time","middle vocational","2443","0.541855961834974","0.527429378247962","0.556282545421986","1"
"Yes","2001","Full Time","vocational + Abi","285","0.59853880987869","0.554777278250989","0.642300341506391","1"
"Yes","2001","Full Time","higher vocational","457","0.552604944941302","0.519039896603956","0.586169993278649","1"
"Yes","2001","Full Time","higher education","1217","0.6058533586124","0.584345389262579","0.627361327962221","1"
"Yes","2001","Part Time","in school","10","","","","1"
