"plb0195_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","16-34 y.","(0) in school","","","",""
"Acclaimed","1984","16-34 y.","(1a) inadequately completed","10","","",""
"Acclaimed","1984","16-34 y.","(1b) general elementary school","46","0.176754513562572","0.132467581445912","0.221041445679232"
"Acclaimed","1984","16-34 y.","(1c) basic vocational qualification","188","0.297225686354935","0.26248900078547","0.3319623719244"
"Acclaimed","1984","16-34 y.","(2b) intermediate general qualification","42","0.473775449794832","0.368246723952793","0.579304175636871"
"Acclaimed","1984","16-34 y.","(2a) intermediate vocational","152","0.429125555868712","0.377638696070603","0.480612415666821"
"Acclaimed","1984","16-34 y.","(2c_gen) general maturity certificate","15","","",""
"Acclaimed","1984","16-34 y.","(2c_voc) vocational maturity certificate","42","0.434488736153894","0.341432660642575","0.527544811665213"
"Acclaimed","1984","16-34 y.","(3a) lower tertiary education","9","","",""
"Acclaimed","1984","16-34 y.","(3b) higher tertiary education","14","","",""
"Acclaimed","1984","35-65 y.","(0) in school","","","",""
"Acclaimed","1984","35-65 y.","(1a) inadequately completed","11","","",""
"Acclaimed","1984","35-65 y.","(1b) general elementary school","88","0.258210413118941","0.217035710730098","0.299385115507784"
"Acclaimed","1984","35-65 y.","(1c) basic vocational qualification","287","0.266217192900115","0.24080472501734","0.29162966078289"
"Acclaimed","1984","35-65 y.","(2b) intermediate general qualification","6","","",""
"Acclaimed","1984","35-65 y.","(2a) intermediate vocational","101","0.332765379858196","0.279796638457418","0.385734121258974"
"Acclaimed","1984","35-65 y.","(2c_gen) general maturity certificate","4","","",""
"Acclaimed","1984","35-65 y.","(2c_voc) vocational maturity certificate","22","","",""
"Acclaimed","1984","35-65 y.","(3a) lower tertiary education","18","","",""
"Acclaimed","1984","35-65 y.","(3b) higher tertiary education","20","","",""
"Acclaimed","1984","66 and older","(0) in school","","","",""
"Acclaimed","1984","66 and older","(1a) inadequately completed","","","",""
"Acclaimed","1984","66 and older","(1b) general elementary school","","","",""
"Acclaimed","1984","66 and older","(1c) basic vocational qualification","2","","",""
"Acclaimed","1984","66 and older","(2b) intermediate general qualification","","","",""
"Acclaimed","1984","66 and older","(2a) intermediate vocational","1","","",""
"Acclaimed","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"Acclaimed","1984","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Acclaimed","1984","66 and older","(3a) lower tertiary education","","","",""
