"plb0195_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","no migration background","931","0.288743825139557","0.273076511683057","0.304411138596057"
"Acclaimed","1984","direct migration background","143","0.210500957205267","0.186657948666994","0.234343965743539"
"Acclaimed","1984","indirect migration background","8","","",""
"Partly, partly","1984","no migration background","378","0.114056341947887","0.103066589089952","0.125046094805823"
"Partly, partly","1984","direct migration background","84","0.079519128720033","0.0636956705530699","0.0953425868869961"
"Partly, partly","1984","indirect migration background","","","",""
"Paid","1984","no migration background","1074","0.337042989555625","0.320700790817363","0.353385188293888"
"Paid","1984","direct migration background","786","0.571627926704912","0.542686128772787","0.600569724637038"
"Paid","1984","indirect migration background","13","","",""
"Not paid","1984","no migration background","831","0.260156843356931","0.244989391940019","0.275324294773843"
"Not paid","1984","direct migration background","110","0.138351987369788","0.118158289268257","0.158545685471319"
"Not paid","1984","indirect migration background","9","","",""
"Acclaimed","1985","no migration background","789","0.279755177984986","0.263298350444381","0.296212005525591"
"Acclaimed","1985","direct migration background","109","0.189283023447771","0.162728689163387","0.215837357732155"
"Acclaimed","1985","indirect migration background","6","","",""
"Partly, partly","1985","no migration background","330","0.115014303748878","0.103317666213677","0.126710941284079"
"Partly, partly","1985","direct migration background","69","0.116712025514546","0.0949472639235676","0.138476787105524"
"Partly, partly","1985","indirect migration background","4","","",""
"Paid","1985","no migration background","905","0.315719053050901","0.298678464186596","0.332759641915206"
"Paid","1985","direct migration background","577","0.559556222051132","0.525904130903932","0.593208313198332"
"Paid","1985","indirect migration background","11","","",""
"Not paid","1985","no migration background","834","0.289511465215235","0.272883909969016","0.306139020461453"
"Not paid","1985","direct migration background","81","0.134448728986551","0.111324370043069","0.157573087930033"
"Not paid","1985","indirect migration background","6","","",""
"Acclaimed","1986","no migration background","831","0.318707585815064","0.300841008497207","0.336574163132922"
"Acclaimed","1986","direct migration background","129","0.205717586686802","0.17884178755248","0.232593385821124"
"Acclaimed","1986","indirect migration background","9","","",""
"Partly, partly","1986","no migration background","316","0.1221942260013","0.109636732988699","0.1347517190139"
"Partly, partly","1986","direct migration background","74","0.0919988562458995","0.0727824303873266","0.111215282104472"
"Partly, partly","1986","indirect migration background","5","","",""
"Paid","1986","no migration background","895","0.345089439209992","0.326861598806609","0.363317279613375"
"Paid","1986","direct migration background","586","0.5625143680977","0.529531614530724","0.595497121664675"
"Paid","1986","indirect migration background","17","","",""
"Not paid","1986","no migration background","571","0.214008748973644","0.198283301720118","0.229734196227171"
"Not paid","1986","direct migration background","80","0.139769188969599","0.116714916468723","0.162823461470475"
"Not paid","1986","indirect migration background","10","","",""
"Acclaimed","1987","no migration background","","","",""
"Acclaimed","1987","direct migration background","","","",""
"Acclaimed","1987","indirect migration background","","","",""
"Partly, partly","1987","no migration background","","","",""
"Partly, partly","1987","direct migration background","","","",""
"Partly, partly","1987","indirect migration background","","","",""
"Paid","1987","no migration background","","","",""
"Paid","1987","direct migration background","","","",""
"Paid","1987","indirect migration background","","","",""
"Not paid","1987","no migration background","","","",""
"Not paid","1987","direct migration background","","","",""
"Not paid","1987","indirect migration background","","","",""
"Acclaimed","1988","no migration background","856","0.33773283759056","0.319293355223987","0.356172319957133"
"Acclaimed","1988","direct migration background","142","0.229818217140942","0.202177969209861","0.257458465072022"
"Acclaimed","1988","indirect migration background","23","","",""
"Partly, partly","1988","no migration background","331","0.130651230962529","0.117511113582728","0.14379134834233"
"Partly, partly","1988","direct migration background","83","0.0889721835660565","0.070267686679088","0.107676680453025"
"Partly, partly","1988","indirect migration background","6","","",""
"Paid","1988","no migration background","818","0.323305234621978","0.305068450939445","0.341542018304512"
"Paid","1988","direct migration background","600","0.565239608460629","0.53267136268772","0.597807854233539"
"Paid","1988","indirect migration background","20","","",""
"Not paid","1988","no migration background","522","0.208310696824933","0.192477134188871","0.224144259460994"
"Not paid","1988","direct migration background","65","0.115969990832373","0.0949341729139622","0.137005808750783"
"Not paid","1988","indirect migration background","4","","",""
"Acclaimed","1989","no migration background","869","0.327984064260126","0.31015628950995","0.345811839010301"
"Acclaimed","1989","direct migration background","153","0.212980296909502","0.18658207823973","0.239378515579274"
"Acclaimed","1989","indirect migration background","25","","",""
"Partly, partly","1989","no migration background","391","0.143896381884681","0.130568256057768","0.157224507711594"
"Partly, partly","1989","direct migration background","123","0.175248678820953","0.150735423333146","0.199761934308761"
"Partly, partly","1989","indirect migration background","13","","",""
"Paid","1989","no migration background","890","0.331055456591309","0.31318538000455","0.348925533178068"
"Paid","1989","direct migration background","596","0.549829475696551","0.517750932129421","0.581908019263681"
"Paid","1989","indirect migration background","31","0.330101713083142","0.223676192800057","0.436527233366227"
"Not paid","1989","no migration background","514","0.197064097263884","0.181958942697449","0.212169251830319"
"Not paid","1989","direct migration background","52","0.0619415485729938","0.0463991484554351","0.0774839486905525"
"Not paid","1989","indirect migration background","6","","",""
"Acclaimed","1990","no migration background","917","0.34717411874069","0.328951780652196","0.365396456829184"
"Acclaimed","1990","direct migration background","134","0.203618683359031","0.177382953814683","0.229854412903379"
"Acclaimed","1990","indirect migration background","26","","",""
"Partly, partly","1990","no migration background","399","0.146680544194596","0.133138824264302","0.160222264124889"
"Partly, partly","1990","direct migration background","122","0.142901288881017","0.120100110335115","0.165702467426918"
"Partly, partly","1990","indirect migration background","18","","",""
"Paid","1990","no migration background","858","0.325782890480525","0.307843992164822","0.343721788796228"
"Paid","1990","direct migration background","597","0.574145584246371","0.541930045883285","0.606361122609457"
"Paid","1990","indirect migration background","37","0.251500302996009","0.163790277962205","0.339210328029814"
"Not paid","1990","no migration background","448","0.180362446584189","0.165645567204447","0.19507932596393"
"Not paid","1990","direct migration background","52","0.0793344435135811","0.0617266215140639","0.0969422655130983"
"Not paid","1990","indirect migration background","13","","",""
"Acclaimed","1991","no migration background","1775","0.364137903349015","0.350220392650384","0.378055414047646"
"Acclaimed","1991","direct migration background","211","0.242949627399346","0.216707749038503","0.26919150576019"
"Acclaimed","1991","indirect migration background","40","0.340692401954184","0.256592896856326","0.424791907052043"
"Partly, partly","1991","no migration background","675","0.145386527097839","0.13519136582327","0.155581688372408"
"Partly, partly","1991","direct migration background","123","0.1280581067828","0.107611477579168","0.148504735986433"
"Partly, partly","1991","indirect migration background","20","","",""
"Paid","1991","no migration background","1415","0.321680209113081","0.308169549058454","0.335190869167708"
"Paid","1991","direct migration background","637","0.548458466672196","0.518007917119238","0.578909016225153"
"Paid","1991","indirect migration background","50","0.345461668323637","0.261082420185206","0.429840916462069"
"Not paid","1991","no migration background","727","0.168795360440065","0.157961546236278","0.179629174643852"
"Not paid","1991","direct migration background","55","0.0805337991456576","0.0638831415929283","0.0971844566983869"
"Not paid","1991","indirect migration background","12","","",""
"Acclaimed","1992","no migration background","1618","0.363811018187597","0.349519289831397","0.378102746543796"
"Acclaimed","1992","direct migration background","198","0.237094218084754","0.209818852041724","0.264369584127784"
"Acclaimed","1992","indirect migration background","36","0.368465407518502","0.281428386105853","0.45550242893115"
"Partly, partly","1992","no migration background","747","0.166601620530725","0.155532332353394","0.177670908708056"
"Partly, partly","1992","direct migration background","133","0.183015243431647","0.158216752034301","0.207813734828993"
"Partly, partly","1992","indirect migration background","14","","",""
"Paid","1992","no migration background","1289","0.307175729510855","0.293471369681356","0.320880089340354"
"Paid","1992","direct migration background","544","0.486597612310259","0.454543143694574","0.518652080925945"
"Paid","1992","indirect migration background","52","0.391236065717555","0.303181681075209","0.479290450359901"
"Not paid","1992","no migration background","699","0.162411631770823","0.15145498549497","0.173368278046677"
"Not paid","1992","direct migration background","59","0.0932929261733391","0.0746406209979402","0.111945231348738"
"Not paid","1992","indirect migration background","16","","",""
"Acclaimed","1993","no migration background","1564","0.356286392696124","0.341939026956247","0.370633758436"
"Acclaimed","1993","direct migration background","189","0.268466916602219","0.238480160735336","0.298453672469103"
"Acclaimed","1993","indirect migration background","51","0.325818757803108","0.252506830125597","0.399130685480618"
"Partly, partly","1993","no migration background","744","0.166221949344139","0.155068848703158","0.177375049985121"
"Partly, partly","1993","direct migration background","128","0.145895499697451","0.122009492237246","0.169781507157655"
"Partly, partly","1993","indirect migration background","30","0.192656053981822","0.130965468542494","0.25434663942115"
"Paid","1993","no migration background","1246","0.300533239487495","0.286797374815569","0.314269104159421"
"Paid","1993","direct migration background","458","0.458589889970178","0.424873386576929","0.492306393363427"
"Paid","1993","indirect migration background","62","0.398125432850167","0.321554978903205","0.474695886797129"
"Not paid","1993","no migration background","726","0.176958418472242","0.165525089249652","0.188391747694833"
"Not paid","1993","direct migration background","64","0.127047693730152","0.104513306038095","0.149582081422209"
"Not paid","1993","indirect migration background","14","","",""
"Acclaimed","1994","no migration background","1660","0.385744133157237","0.371118232132793","0.400370034181681"
"Acclaimed","1994","direct migration background","210","0.284413932377522","0.252590588442113","0.316237276312931"
"Acclaimed","1994","indirect migration background","57","0.309431653985666","0.241138454399024","0.377724853572308"
"Partly, partly","1994","no migration background","772","0.174415478751064","0.163013726711317","0.185817230790812"
"Partly, partly","1994","direct migration background","103","0.139606230466248","0.115158391872982","0.164054069059514"
"Partly, partly","1994","indirect migration background","31","0.193574878308444","0.135203724393618","0.251946032223271"
"Paid","1994","no migration background","1105","0.267852476620533","0.254546540296648","0.281158412944417"
"Paid","1994","direct migration background","405","0.459606976056872","0.424451934649687","0.494762017464058"
"Paid","1994","indirect migration background","63","0.388944035515812","0.31692027238058","0.460967798651045"
"Not paid","1994","no migration background","718","0.171987911471166","0.160649150274561","0.183326672667772"
"Not paid","1994","direct migration background","54","0.116372861099357","0.0937524850906585","0.138993237108056"
"Not paid","1994","indirect migration background","25","","",""
"Acclaimed","1995","no migration background","1741","0.390036982909567","0.375610149443804","0.40446381637533"
"Acclaimed","1995","direct migration background","236","0.268495076515514","0.240475395482488","0.296514757548541"
"Acclaimed","1995","indirect migration background","73","0.360944210048641","0.29283264896666","0.429055771130623"
"Partly, partly","1995","no migration background","827","0.184258979241608","0.172791793320096","0.19572616516312"
"Partly, partly","1995","direct migration background","138","0.128606644517774","0.107441305812846","0.149771983222701"
"Partly, partly","1995","indirect migration background","29","","",""
"Paid","1995","no migration background","1109","0.25487672941589","0.241986948711608","0.267766510120173"
"Paid","1995","direct migration background","509","0.471109368859354","0.439549862272165","0.502668875446542"
"Paid","1995","indirect migration background","62","0.298896220775745","0.233975583634973","0.363816857916516"
"Not paid","1995","no migration background","714","0.170827308432935","0.159695454047718","0.181959162818152"
"Not paid","1995","direct migration background","78","0.131788910107358","0.110402470246752","0.153175349967965"
"Not paid","1995","indirect migration background","27","","",""
"Acclaimed","1996","no migration background","1854","0.425209785865104","0.410412672164029","0.44000689956618"
"Acclaimed","1996","direct migration background","281","0.343184094871353","0.311726213459226","0.37464197628348"
