"plb0195_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","(0) in school","","","",""
"Acclaimed","1984","(1a) inadequately completed","21","","",""
"Acclaimed","1984","(1b) general elementary school","134","0.22633725692465","0.195834941480235","0.256839572369065"
"Acclaimed","1984","(1c) basic vocational qualification","477","0.277496735038461","0.256998536068905","0.297994934008018"
"Acclaimed","1984","(2b) intermediate general qualification","48","0.451705661656395","0.356516371285526","0.546894952027264"
"Acclaimed","1984","(2a) intermediate vocational","254","0.38279034759938","0.345791502284958","0.419789192913803"
"Acclaimed","1984","(2c_gen) general maturity certificate","19","","",""
"Acclaimed","1984","(2c_voc) vocational maturity certificate","64","0.342327552344865","0.277999456020405","0.406655648669325"
"Acclaimed","1984","(3a) lower tertiary education","27","","",""
"Acclaimed","1984","(3b) higher tertiary education","34","0.134438199297435","0.094410892160894","0.174465506433977"
"Partly, partly","1984","(0) in school","","","",""
"Partly, partly","1984","(1a) inadequately completed","20","","",""
"Partly, partly","1984","(1b) general elementary school","54","0.0911638039367505","0.0701824761249487","0.112145131748552"
"Partly, partly","1984","(1c) basic vocational qualification","203","0.112965372773692","0.0984739904238661","0.127456755123518"
"Partly, partly","1984","(2b) intermediate general qualification","9","","",""
"Partly, partly","1984","(2a) intermediate vocational","86","0.123109615275319","0.0980998297230393","0.148119400827598"
"Partly, partly","1984","(2c_gen) general maturity certificate","5","","",""
"Partly, partly","1984","(2c_voc) vocational maturity certificate","24","","",""
"Partly, partly","1984","(3a) lower tertiary education","28","","",""
"Partly, partly","1984","(3b) higher tertiary education","32","0.0823266482038245","0.0500743796993463","0.114578916708303"
"Paid","1984","(0) in school","","","",""
"Paid","1984","(1a) inadequately completed","244","0.759861830009082","0.711524197388479","0.808199462629685"
"Paid","1984","(1b) general elementary school","433","0.513446281932788","0.477013540896787","0.549879022968788"
"Paid","1984","(1c) basic vocational qualification","849","0.438077868981094","0.415364550846003","0.460791187116185"
"Paid","1984","(2b) intermediate general qualification","23","","",""
"Paid","1984","(2a) intermediate vocational","133","0.198916896159764","0.168531426762861","0.229302365556668"
