"plb0195_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","(0) in school","Male","","","",""
"Acclaimed","1984","(0) in school","Female","","","",""
"Acclaimed","1984","(1a) inadequately completed","Male","8","","",""
"Acclaimed","1984","(1a) inadequately completed","Female","13","","",""
"Acclaimed","1984","(1b) general elementary school","Male","58","0.168062819357613","0.132513219604838","0.203612419110389"
"Acclaimed","1984","(1b) general elementary school","Female","76","0.290251778393149","0.238719474387724","0.341784082398574"
"Acclaimed","1984","(1c) basic vocational qualification","Male","305","0.238017242226293","0.215772696290411","0.260261788162175"
"Acclaimed","1984","(1c) basic vocational qualification","Female","172","0.405819761654692","0.359134550918184","0.452504972391201"
"Acclaimed","1984","(2b) intermediate general qualification","Male","14","","",""
"Acclaimed","1984","(2b) intermediate general qualification","Female","34","0.527773687499727","0.406409550772071","0.649137824227383"
"Acclaimed","1984","(2a) intermediate vocational","Male","102","0.28000194383655","0.23393940791128","0.326064479761819"
"Acclaimed","1984","(2a) intermediate vocational","Female","152","0.509140950890114","0.452381605963885","0.565900295816343"
"Acclaimed","1984","(2c_gen) general maturity certificate","Male","11","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","Female","8","","",""
"Acclaimed","1984","(2c_voc) vocational maturity certificate","Male","30","0.253747658855497","0.181145017151118","0.326350300559875"
"Acclaimed","1984","(2c_voc) vocational maturity certificate","Female","34","0.493766503557796","0.377473076738732","0.610059930376859"
"Acclaimed","1984","(3a) lower tertiary education","Male","19","","",""
"Acclaimed","1984","(3a) lower tertiary education","Female","8","","",""
"Acclaimed","1984","(3b) higher tertiary education","Male","21","","",""
"Acclaimed","1984","(3b) higher tertiary education","Female","13","","",""
"Partly, partly","1984","(0) in school","Male","","","",""
"Partly, partly","1984","(0) in school","Female","","","",""
"Partly, partly","1984","(1a) inadequately completed","Male","12","","",""
"Partly, partly","1984","(1a) inadequately completed","Female","8","","",""
"Partly, partly","1984","(1b) general elementary school","Male","39","0.122587187998892","0.0914070413599403","0.153767334637844"
"Partly, partly","1984","(1b) general elementary school","Female","15","","",""
"Partly, partly","1984","(1c) basic vocational qualification","Male","146","0.105796884934827","0.0897311242608984","0.121862645608756"
"Partly, partly","1984","(1c) basic vocational qualification","Female","57","0.136265622858498","0.10364915850864","0.168882087208355"
"Partly, partly","1984","(2b) intermediate general qualification","Male","5","","",""
"Partly, partly","1984","(2b) intermediate general qualification","Female","4","","",""
"Partly, partly","1984","(2a) intermediate vocational","Male","49","0.128893122262649","0.0945173667306198","0.163268877794678"
"Partly, partly","1984","(2a) intermediate vocational","Female","37","0.11600035420856","0.0796427161296764","0.152357992287443"
"Partly, partly","1984","(2c_gen) general maturity certificate","Male","4","","",""
"Partly, partly","1984","(2c_gen) general maturity certificate","Female","1","","",""
"Partly, partly","1984","(2c_voc) vocational maturity certificate","Male","18","","",""
"Partly, partly","1984","(2c_voc) vocational maturity certificate","Female","6","","",""
"Partly, partly","1984","(3a) lower tertiary education","Male","24","","",""
"Partly, partly","1984","(3a) lower tertiary education","Female","4","","",""
"Partly, partly","1984","(3b) higher tertiary education","Male","22","","",""
"Partly, partly","1984","(3b) higher tertiary education","Female","10","","",""
"Paid","1984","(0) in school","Male","","","",""
"Paid","1984","(0) in school","Female","","","",""
"Paid","1984","(1a) inadequately completed","Male","190","0.838886338082485","0.790195889153198","0.887576787011772"
"Paid","1984","(1a) inadequately completed","Female","54","0.554272309651409","0.446028771296851","0.662515848005968"
"Paid","1984","(1b) general elementary school","Male","286","0.592610539794182","0.545896953940725","0.639324125647639"
"Paid","1984","(1b) general elementary school","Female","147","0.426620121615077","0.370465972532468","0.482774270697687"
"Paid","1984","(1c) basic vocational qualification","Male","731","0.490122266025329","0.46401075505218","0.516233776998477"
"Paid","1984","(1c) basic vocational qualification","Female","118","0.268914233092778","0.226759661011524","0.311068805174033"
"Paid","1984","(2b) intermediate general qualification","Male","13","","",""
"Paid","1984","(2b) intermediate general qualification","Female","10","","",""
"Paid","1984","(2a) intermediate vocational","Male","91","0.24472784245234","0.200622105087661","0.288833579817018"
