"plb0196_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Urban Area","Male","","","",""
"Yes","1986","Urban Area","Female","","","",""
"Yes","1986","Rural Area","Male","","","",""
"Yes","1986","Rural Area","Female","","","",""
"No","1986","Urban Area","Male","1946","1","1","1"
"No","1986","Urban Area","Female","1512","1","1","1"
"No","1986","Rural Area","Male","501","1","1","1"
"No","1986","Rural Area","Female","371","1","1","1"
"Yes","1987","Urban Area","Male","","","",""
"Yes","1987","Urban Area","Female","","","",""
"Yes","1987","Rural Area","Male","","","",""
"Yes","1987","Rural Area","Female","","","",""
"No","1987","Urban Area","Male","","","",""
"No","1987","Urban Area","Female","","","",""
"No","1987","Rural Area","Male","","","",""
"No","1987","Rural Area","Female","","","",""
"Yes","1988","Urban Area","Male","","","",""
"Yes","1988","Urban Area","Female","","","",""
"Yes","1988","Rural Area","Male","","","",""
"Yes","1988","Rural Area","Female","","","",""
"No","1988","Urban Area","Male","1838","1","1","1"
"No","1988","Urban Area","Female","1373","1","1","1"
"No","1988","Rural Area","Male","450","1","1","1"
"No","1988","Rural Area","Female","366","1","1","1"
"Yes","1989","Urban Area","Male","","","",""
"Yes","1989","Urban Area","Female","","","",""
"Yes","1989","Rural Area","Male","","","",""
"Yes","1989","Rural Area","Female","","","",""
"No","1989","Urban Area","Male","1756","1","1","1"
"No","1989","Urban Area","Female","1339","1","1","1"
"No","1989","Rural Area","Male","415","1","1","1"
"No","1989","Rural Area","Female","346","1","1","1"
"Yes","1990","Urban Area","Male","","","",""
"Yes","1990","Urban Area","Female","","","",""
"Yes","1990","Rural Area","Male","","","",""
"Yes","1990","Rural Area","Female","","","",""
"No","1990","Urban Area","Male","1619","1","1","1"
"No","1990","Urban Area","Female","1327","1","1","1"
"No","1990","Rural Area","Male","410","1","1","1"
"No","1990","Rural Area","Female","358","1","1","1"
"Yes","1991","Urban Area","Male","","","",""
"Yes","1991","Urban Area","Female","","","",""
"Yes","1991","Rural Area","Male","","","",""
"Yes","1991","Rural Area","Female","","","",""
"No","1991","Urban Area","Male","1880","1","1","1"
"No","1991","Urban Area","Female","1691","1","1","1"
"No","1991","Rural Area","Male","1104","1","1","1"
"No","1991","Rural Area","Female","947","1","1","1"
"Yes","1992","Urban Area","Male","","","",""
"Yes","1992","Urban Area","Female","","","",""
"Yes","1992","Rural Area","Male","","","",""
"Yes","1992","Rural Area","Female","","","",""
"No","1992","Urban Area","Male","1794","1","1","1"
"No","1992","Urban Area","Female","1532","1","1","1"
"No","1992","Rural Area","Male","898","1","1","1"
"No","1992","Rural Area","Female","764","1","1","1"
"Yes","1993","Urban Area","Male","","","",""
"Yes","1993","Urban Area","Female","","","",""
"Yes","1993","Rural Area","Male","","","",""
"Yes","1993","Rural Area","Female","","","",""
"No","1993","Urban Area","Male","1817","1","1","1"
"No","1993","Urban Area","Female","1551","1","1","1"
"No","1993","Rural Area","Male","857","1","1","1"
"No","1993","Rural Area","Female","738","1","1","1"
