"plb0218","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","no migration background","967","0.373096826031718","0.354214354778795","0.391979297284642"
"No, never","2005","16-34 y.","direct migration background","103","0.282678456969803","0.230399254460838","0.334957659478767"
"No, never","2005","16-34 y.","indirect migration background","156","0.420306568602284","0.36874109182898","0.471872045375587"
"No, never","2005","35-65 y.","no migration background","2556","0.35145876997325","0.340381655134022","0.362535884812478"
"No, never","2005","35-65 y.","direct migration background","402","0.423782442889147","0.391640665396539","0.455924220381756"
"No, never","2005","35-65 y.","indirect migration background","45","0.345823071002346","0.259638454483421","0.432007687521271"
"No, never","2005","66 and older","no migration background","49","0.401488066610543","0.314503760508459","0.488472372712627"
"No, never","2005","66 and older","direct migration background","8","","",""
"No, never","2005","66 and older","indirect migration background","","","",""
"Yes, every week","2005","16-34 y.","no migration background","359","0.156868605947609","0.142669419252032","0.171067792643185"
"Yes, every week","2005","16-34 y.","direct migration background","49","0.156491947218375","0.114311005174556","0.198672889262194"
"Yes, every week","2005","16-34 y.","indirect migration background","58","0.15257574666273","0.115011908919646","0.190139584405815"
"Yes, every week","2005","35-65 y.","no migration background","995","0.147536234739518","0.139307975196086","0.155764494282951"
"Yes, every week","2005","35-65 y.","direct migration background","98","0.118580986768006","0.0975526993685104","0.139609274167502"
"Yes, every week","2005","35-65 y.","indirect migration background","13","","",""
"Yes, every week","2005","66 and older","no migration background","31","0.323177338815135","0.240187280164831","0.406167397465438"
"Yes, every week","2005","66 and older","direct migration background","4","","",""
"Yes, every week","2005","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2005","16-34 y.","no migration background","422","0.169629640701466","0.154976368713447","0.184282912689484"
"Yes, every 2 weeks","2005","16-34 y.","direct migration background","51","0.193735254881396","0.14785045675594","0.239620053006851"
"Yes, every 2 weeks","2005","16-34 y.","indirect migration background","52","0.159158578254644","0.120942260990789","0.1973748955185"
"Yes, every 2 weeks","2005","35-65 y.","no migration background","931","0.137413682767272","0.129425703254672","0.145401662279872"
"Yes, every 2 weeks","2005","35-65 y.","direct migration background","118","0.136985357177225","0.114621262496406","0.159349451858045"
"Yes, every 2 weeks","2005","35-65 y.","indirect migration background","15","","",""
"Yes, every 2 weeks","2005","66 and older","no migration background","9","","",""
"Yes, every 2 weeks","2005","66 and older","direct migration background","","","",""
"Yes, every 2 weeks","2005","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","no migration background","208","0.079767758094829","0.0691895955423149","0.090345920647343"
"Yes, every 3-4 weeks","2005","16-34 y.","direct migration background","24","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","indirect migration background","37","0.125856245114172","0.0912060587999881","0.160506431428355"
"Yes, every 3-4 weeks","2005","35-65 y.","no migration background","670","0.0967971324251917","0.0899368093259357","0.103657455524448"
"Yes, every 3-4 weeks","2005","35-65 y.","direct migration background","93","0.0922021572348382","0.0733842951587555","0.111020019310921"
"Yes, every 3-4 weeks","2005","35-65 y.","indirect migration background","5","","",""
"Yes, every 3-4 weeks","2005","66 and older","no migration background","10","","",""
"Yes, every 3-4 weeks","2005","66 and older","direct migration background","","","",""
"Yes, every 3-4 weeks","2005","66 and older","indirect migration background","","","",""
"Rarely","2005","16-34 y.","no migration background","564","0.220637169224378","0.204446790647979","0.236827547800778"
"Rarely","2005","16-34 y.","direct migration background","58","0.266403967745836","0.215079495507133","0.317728439984538"
"Rarely","2005","16-34 y.","indirect migration background","49","0.14210286136617","0.105627821066618","0.178577901665722"
"Rarely","2005","35-65 y.","no migration background","1984","0.266794180094767","0.256532421402573","0.277055938786962"
"Rarely","2005","35-65 y.","direct migration background","197","0.228449055930783","0.201141542615297","0.255756569246268"
"Rarely","2005","35-65 y.","indirect migration background","39","0.417340799041065","0.327988056666863","0.506693541415268"
"Rarely","2005","66 and older","no migration background","23","","",""
"Rarely","2005","66 and older","direct migration background","1","","",""
"Rarely","2005","66 and older","indirect migration background","","","",""
"No, never","2006","16-34 y.","no migration background","","","",""
"No, never","2006","16-34 y.","direct migration background","","","",""
"No, never","2006","16-34 y.","indirect migration background","","","",""
"No, never","2006","35-65 y.","no migration background","","","",""
"No, never","2006","35-65 y.","direct migration background","","","",""
"No, never","2006","35-65 y.","indirect migration background","","","",""
"No, never","2006","66 and older","no migration background","","","",""
"No, never","2006","66 and older","direct migration background","","","",""
"No, never","2006","66 and older","indirect migration background","","","",""
"Yes, every week","2006","16-34 y.","no migration background","","","",""
"Yes, every week","2006","16-34 y.","direct migration background","","","",""
"Yes, every week","2006","16-34 y.","indirect migration background","","","",""
"Yes, every week","2006","35-65 y.","no migration background","","","",""
"Yes, every week","2006","35-65 y.","direct migration background","","","",""
"Yes, every week","2006","35-65 y.","indirect migration background","","","",""
"Yes, every week","2006","66 and older","no migration background","","","",""
"Yes, every week","2006","66 and older","direct migration background","","","",""
"Yes, every week","2006","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2006","16-34 y.","no migration background","","","",""
"Yes, every 2 weeks","2006","16-34 y.","direct migration background","","","",""
"Yes, every 2 weeks","2006","16-34 y.","indirect migration background","","","",""
"Yes, every 2 weeks","2006","35-65 y.","no migration background","","","",""
"Yes, every 2 weeks","2006","35-65 y.","direct migration background","","","",""
"Yes, every 2 weeks","2006","35-65 y.","indirect migration background","","","",""
"Yes, every 2 weeks","2006","66 and older","no migration background","","","",""
"Yes, every 2 weeks","2006","66 and older","direct migration background","","","",""
"Yes, every 2 weeks","2006","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","no migration background","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","direct migration background","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","indirect migration background","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","no migration background","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","direct migration background","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","indirect migration background","","","",""
"Yes, every 3-4 weeks","2006","66 and older","no migration background","","","",""
"Yes, every 3-4 weeks","2006","66 and older","direct migration background","","","",""
"Yes, every 3-4 weeks","2006","66 and older","indirect migration background","","","",""
"Rarely","2006","16-34 y.","no migration background","","","",""
"Rarely","2006","16-34 y.","direct migration background","","","",""
"Rarely","2006","16-34 y.","indirect migration background","","","",""
"Rarely","2006","35-65 y.","no migration background","","","",""
"Rarely","2006","35-65 y.","direct migration background","","","",""
"Rarely","2006","35-65 y.","indirect migration background","","","",""
"Rarely","2006","66 and older","no migration background","","","",""
"Rarely","2006","66 and older","direct migration background","","","",""
"Rarely","2006","66 and older","indirect migration background","","","",""
"No, never","2007","16-34 y.","no migration background","863","0.344191365662562","0.325135903752516","0.363246827572607"
"No, never","2007","16-34 y.","direct migration background","94","0.437613949010017","0.376724667520469","0.498503230499566"
"No, never","2007","16-34 y.","indirect migration background","166","0.432891478251678","0.381494618187751","0.484288338315605"
"No, never","2007","35-65 y.","no migration background","2582","0.339642356567421","0.328829402950974","0.350455310183867"
"No, never","2007","35-65 y.","direct migration background","335","0.396036458041122","0.362602705185078","0.429470210897167"
"No, never","2007","35-65 y.","indirect migration background","55","0.443940132215971","0.361343246928604","0.526537017503337"
"No, never","2007","66 and older","no migration background","59","0.390166326711279","0.3155116945319","0.464820958890658"
"No, never","2007","66 and older","direct migration background","4","","",""
"No, never","2007","66 and older","indirect migration background","","","",""
"Yes, every week","2007","16-34 y.","no migration background","335","0.142406412107452","0.128390012694326","0.156422811520578"
"Yes, every week","2007","16-34 y.","direct migration background","37","0.117573010673121","0.0780389693602622","0.15710705198598"
"Yes, every week","2007","16-34 y.","indirect migration background","61","0.200688022783049","0.15914167326271","0.242234372303387"
"Yes, every week","2007","35-65 y.","no migration background","1098","0.148176315258909","0.140064686545339","0.156287943972478"
"Yes, every week","2007","35-65 y.","direct migration background","98","0.132357321477458","0.109191024452454","0.155523618502463"
"Yes, every week","2007","35-65 y.","indirect migration background","17","","",""
"Yes, every week","2007","66 and older","no migration background","44","0.282482235808225","0.21357924603071","0.35138522558574"
"Yes, every week","2007","66 and older","direct migration background","3","","",""
"Yes, every week","2007","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2007","16-34 y.","no migration background","427","0.180691330545745","0.16525928974365","0.196123371347841"
"Yes, every 2 weeks","2007","16-34 y.","direct migration background","58","0.199632763102016","0.150571518543811","0.248694007660221"
"Yes, every 2 weeks","2007","16-34 y.","indirect migration background","39","0.119547212581225","0.0858932082330959","0.153201216929354"
"Yes, every 2 weeks","2007","35-65 y.","no migration background","1015","0.150021205334359","0.141868078781407","0.15817433188731"
"Yes, every 2 weeks","2007","35-65 y.","direct migration background","130","0.17340296545733","0.14752158935628","0.19928434155838"
"Yes, every 2 weeks","2007","35-65 y.","indirect migration background","19","","",""
"Yes, every 2 weeks","2007","66 and older","no migration background","12","","",""
"Yes, every 2 weeks","2007","66 and older","direct migration background","1","","",""
"Yes, every 2 weeks","2007","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","no migration background","240","0.10631226388573","0.0939495017845309","0.118675025986928"
"Yes, every 3-4 weeks","2007","16-34 y.","direct migration background","21","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","indirect migration background","35","0.144849750332134","0.10834124342825","0.181358257236018"
"Yes, every 3-4 weeks","2007","35-65 y.","no migration background","709","0.100396394013993","0.0935347455625208","0.107258042465465"
"Yes, every 3-4 weeks","2007","35-65 y.","direct migration background","80","0.0870781740806853","0.0678036512930069","0.106352696868364"
"Yes, every 3-4 weeks","2007","35-65 y.","indirect migration background","18","","",""
"Yes, every 3-4 weeks","2007","66 and older","no migration background","12","","",""
"Yes, every 3-4 weeks","2007","66 and older","direct migration background","","","",""
"Yes, every 3-4 weeks","2007","66 and older","indirect migration background","","","",""
"Rarely","2007","16-34 y.","no migration background","523","0.226398627798511","0.209613430879297","0.243183824717726"
"Rarely","2007","16-34 y.","direct migration background","45","0.192452994842605","0.14406649103153","0.24083949865368"
"Rarely","2007","16-34 y.","indirect migration background","56","0.102023536051914","0.0706259220646794","0.133421150039149"
"Rarely","2007","35-65 y.","no migration background","1965","0.261763728825319","0.251726906489819","0.271800551160818"
"Rarely","2007","35-65 y.","direct migration background","179","0.211125080943404","0.183226239344316","0.239023922542491"
"Rarely","2007","35-65 y.","indirect migration background","30","0.210547486338709","0.142771050432329","0.278323922245089"
"Rarely","2007","66 and older","no migration background","37","0.219060052434558","0.155758176543786","0.282361928325329"
"Rarely","2007","66 and older","direct migration background","2","","",""
"Rarely","2007","66 and older","indirect migration background","1","","",""
"No, never","2008","16-34 y.","no migration background","","","",""
"No, never","2008","16-34 y.","direct migration background","","","",""
"No, never","2008","16-34 y.","indirect migration background","","","",""
"No, never","2008","35-65 y.","no migration background","","","",""
"No, never","2008","35-65 y.","direct migration background","","","",""
"No, never","2008","35-65 y.","indirect migration background","","","",""
"No, never","2008","66 and older","no migration background","","","",""
"No, never","2008","66 and older","direct migration background","","","",""
"No, never","2008","66 and older","indirect migration background","","","",""
"Yes, every week","2008","16-34 y.","no migration background","","","",""
"Yes, every week","2008","16-34 y.","direct migration background","","","",""
"Yes, every week","2008","16-34 y.","indirect migration background","","","",""
"Yes, every week","2008","35-65 y.","no migration background","","","",""
"Yes, every week","2008","35-65 y.","direct migration background","","","",""
"Yes, every week","2008","35-65 y.","indirect migration background","","","",""
"Yes, every week","2008","66 and older","no migration background","","","",""
"Yes, every week","2008","66 and older","direct migration background","","","",""
"Yes, every week","2008","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2008","16-34 y.","no migration background","","","",""
"Yes, every 2 weeks","2008","16-34 y.","direct migration background","","","",""
"Yes, every 2 weeks","2008","16-34 y.","indirect migration background","","","",""
"Yes, every 2 weeks","2008","35-65 y.","no migration background","","","",""
"Yes, every 2 weeks","2008","35-65 y.","direct migration background","","","",""
"Yes, every 2 weeks","2008","35-65 y.","indirect migration background","","","",""
"Yes, every 2 weeks","2008","66 and older","no migration background","","","",""
"Yes, every 2 weeks","2008","66 and older","direct migration background","","","",""
"Yes, every 2 weeks","2008","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","no migration background","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","direct migration background","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","indirect migration background","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","no migration background","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","direct migration background","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","indirect migration background","","","",""
"Yes, every 3-4 weeks","2008","66 and older","no migration background","","","",""
"Yes, every 3-4 weeks","2008","66 and older","direct migration background","","","",""
"Yes, every 3-4 weeks","2008","66 and older","indirect migration background","","","",""
"Rarely","2008","16-34 y.","no migration background","","","",""
"Rarely","2008","16-34 y.","direct migration background","","","",""
"Rarely","2008","16-34 y.","indirect migration background","","","",""
"Rarely","2008","35-65 y.","no migration background","","","",""
"Rarely","2008","35-65 y.","direct migration background","","","",""
