"plb0218","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","1-pers.-HH","(0) in school","","","",""
"No, never","2005","1-pers.-HH","(1a) inadequately completed","4","","",""
"No, never","2005","1-pers.-HH","(1b) general elementary school","29","","",""
"No, never","2005","1-pers.-HH","(1c) basic vocational qualification","87","0.321909384416951","0.265868736710231","0.37795003212367"
"No, never","2005","1-pers.-HH","(2b) intermediate general qualification","10","","",""
"No, never","2005","1-pers.-HH","(2a) intermediate vocational","127","0.289506259389498","0.244261993519251","0.334750525259744"
"No, never","2005","1-pers.-HH","(2c_gen) general maturity certificate","30","0.405094050171106","0.293992646014922","0.516195454327289"
"No, never","2005","1-pers.-HH","(2c_voc) vocational maturity certificate","65","0.491369398174776","0.409998448290946","0.572740348058606"
"No, never","2005","1-pers.-HH","(3a) lower tertiary education","56","0.425745994274285","0.344419655599045","0.507072332949525"
"No, never","2005","1-pers.-HH","(3b) higher tertiary education","67","0.342503638876179","0.279938670995412","0.405068606756945"
"No, never","2005","(Married) couple without C. ","(0) in school","1","","",""
"No, never","2005","(Married) couple without C. ","(1a) inadequately completed","8","","",""
"No, never","2005","(Married) couple without C. ","(1b) general elementary school","65","0.529794430907958","0.439356058303073","0.620232803512843"
"No, never","2005","(Married) couple without C. ","(1c) basic vocational qualification","275","0.397078497802458","0.361657183215026","0.432499812389891"
"No, never","2005","(Married) couple without C. ","(2b) intermediate general qualification","15","","",""
"No, never","2005","(Married) couple without C. ","(2a) intermediate vocational","356","0.375218454960399","0.343408776477597","0.407028133443201"
"No, never","2005","(Married) couple without C. ","(2c_gen) general maturity certificate","31","0.317144497362428","0.211824592941411","0.422464401783444"
"No, never","2005","(Married) couple without C. ","(2c_voc) vocational maturity certificate","132","0.443638468557223","0.38694536546725","0.500331571647196"
"No, never","2005","(Married) couple without C. ","(3a) lower tertiary education","135","0.351588147211947","0.302059488350055","0.40111680607384"
"No, never","2005","(Married) couple without C. ","(3b) higher tertiary education","195","0.335974003474403","0.297633378133274","0.374314628815531"
"No, never","2005","Single parent ","(0) in school","","","",""
"No, never","2005","Single parent ","(1a) inadequately completed","2","","",""
"No, never","2005","Single parent ","(1b) general elementary school","20","","",""
"No, never","2005","Single parent ","(1c) basic vocational qualification","42","0.290192397744334","0.212473652230935","0.367911143257732"
"No, never","2005","Single parent ","(2b) intermediate general qualification","14","","",""
"No, never","2005","Single parent ","(2a) intermediate vocational","76","0.436862019710002","0.364201060022207","0.509522979397797"
