"pld0044","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","Male","51","0.021277991018094","0.0159432584112199","0.0266127236249681"
"Very often","2003","16-34 y.","Female","43","0.0135553331592391","0.00945082766420419","0.017659838654274"
"Very often","2003","35-65 y.","Male","15","","",""
"Very often","2003","35-65 y.","Female","14","","",""
"Very often","2003","66 and older","Male","4","","",""
"Very often","2003","66 and older","Female","","","",""
"Often","2003","16-34 y.","Male","241","0.0840427911463459","0.0737861421245154","0.0942994401681765"
"Often","2003","16-34 y.","Female","194","0.0621691789340468","0.0535984216713349","0.0707399361967588"
"Often","2003","35-65 y.","Male","102","0.0205262678059618","0.0169942809300894","0.0240582546818343"
"Often","2003","35-65 y.","Female","89","0.0146439052180247","0.0117075983808261","0.0175802120552234"
"Often","2003","66 and older","Male","6","","",""
"Often","2003","66 and older","Female","10","","",""
"Sometimes","2003","16-34 y.","Male","761","0.264393406225804","0.248090471679077","0.28069634077253"
"Sometimes","2003","16-34 y.","Female","670","0.231209660141983","0.216244673782703","0.246174646501262"
"Sometimes","2003","35-65 y.","Male","718","0.126600720557757","0.118317634139617","0.134883806975897"
"Sometimes","2003","35-65 y.","Female","664","0.115257118584507","0.107451293851553","0.123062943317462"
"Sometimes","2003","66 and older","Male","80","0.0393798968386591","0.029960908377501","0.0487988852998171"
"Sometimes","2003","66 and older","Female","88","0.0434243220645544","0.034485397975084","0.0523632461540248"
"Rarely","2003","16-34 y.","Male","1016","0.356404402221911","0.338699410400067","0.374109394043756"
"Rarely","2003","16-34 y.","Female","1154","0.381384635847243","0.364143680518557","0.39862559117593"
"Rarely","2003","35-65 y.","Male","2138","0.343416282076929","0.331587958830793","0.355244605323065"
"Rarely","2003","35-65 y.","Female","2067","0.308200740675697","0.296913617525077","0.319487863826317"
"Rarely","2003","66 and older","Male","348","0.211296865253328","0.191527421367146","0.23106630913951"
"Rarely","2003","66 and older","Female","344","0.174287609463502","0.157649395077058","0.190925823849947"
"Never","2003","16-34 y.","Male","742","0.273881409387845","0.257395886628633","0.290366932147057"
"Never","2003","16-34 y.","Female","988","0.311681191917488","0.295240522561624","0.328121861273352"
