"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","1-pers.-HH","","","",""
"Very often","2003","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Very often","2003","Schleswig-Holstein","Single parent ","","","",""
"Very often","2003","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Very often","2003","Schleswig-Holstein","Couple + C. GT 16 ","2","","",""
"Very often","2003","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Very often","2003","Hamburg","1-pers.-HH","","","",""
"Very often","2003","Hamburg","(Married) couple without C. ","1","","",""
"Very often","2003","Hamburg","Single parent ","1","","",""
"Very often","2003","Hamburg","Couple + C. LE 16 ","","","",""
"Very often","2003","Hamburg","Couple + C. GT 16 ","1","","",""
"Very often","2003","Hamburg","Couple + C. LE and GT 16","","","",""
"Very often","2003","Lower Saxony","1-pers.-HH","1","","",""
"Very often","2003","Lower Saxony","(Married) couple without C. ","3","","",""
"Very often","2003","Lower Saxony","Single parent ","","","",""
"Very often","2003","Lower Saxony","Couple + C. LE 16 ","3","","",""
"Very often","2003","Lower Saxony","Couple + C. GT 16 ","6","","",""
"Very often","2003","Lower Saxony","Couple + C. LE and GT 16","2","","",""
"Very often","2003","Bremen","1-pers.-HH","","","",""
"Very often","2003","Bremen","(Married) couple without C. ","","","",""
"Very often","2003","Bremen","Single parent ","","","",""
"Very often","2003","Bremen","Couple + C. LE 16 ","","","",""
"Very often","2003","Bremen","Couple + C. GT 16 ","","","",""
"Very often","2003","Bremen","Couple + C. LE and GT 16","","","",""
"Very often","2003","North Rhine-Westphalia","1-pers.-HH","7","","",""
"Very often","2003","North Rhine-Westphalia","(Married) couple without C. ","4","","",""
"Very often","2003","North Rhine-Westphalia","Single parent ","2","","",""
"Very often","2003","North Rhine-Westphalia","Couple + C. LE 16 ","8","","",""
"Very often","2003","North Rhine-Westphalia","Couple + C. GT 16 ","9","","",""
"Very often","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","6","","",""
"Very often","2003","Hesse","1-pers.-HH","2","","",""
"Very often","2003","Hesse","(Married) couple without C. ","2","","",""
"Very often","2003","Hesse","Single parent ","2","","",""
"Very often","2003","Hesse","Couple + C. LE 16 ","1","","",""
"Very often","2003","Hesse","Couple + C. GT 16 ","3","","",""
"Very often","2003","Hesse","Couple + C. LE and GT 16","5","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Single parent ","2","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","3","","",""
"Very often","2003","Baden-Württemberg","1-pers.-HH","","","",""
"Very often","2003","Baden-Württemberg","(Married) couple without C. ","1","","",""
"Very often","2003","Baden-Württemberg","Single parent ","","","",""
"Very often","2003","Baden-Württemberg","Couple + C. LE 16 ","2","","",""
"Very often","2003","Baden-Württemberg","Couple + C. GT 16 ","4","","",""
"Very often","2003","Baden-Württemberg","Couple + C. LE and GT 16","4","","",""
"Very often","2003","Bavaria","1-pers.-HH","5","","",""
"Very often","2003","Bavaria","(Married) couple without C. ","2","","",""
"Very often","2003","Bavaria","Single parent ","2","","",""
"Very often","2003","Bavaria","Couple + C. LE 16 ","2","","",""
"Very often","2003","Bavaria","Couple + C. GT 16 ","7","","",""
"Very often","2003","Bavaria","Couple + C. LE and GT 16","4","","",""
"Very often","2003","Berlin","1-pers.-HH","2","","",""
"Very often","2003","Berlin","(Married) couple without C. ","3","","",""
"Very often","2003","Berlin","Single parent ","","","",""
"Very often","2003","Berlin","Couple + C. LE 16 ","","","",""
"Very often","2003","Berlin","Couple + C. GT 16 ","2","","",""
"Very often","2003","Berlin","Couple + C. LE and GT 16","","","",""
"Very often","2003","Brandenburg","1-pers.-HH","","","",""
"Very often","2003","Brandenburg","(Married) couple without C. ","1","","",""
"Very often","2003","Brandenburg","Single parent ","","","",""
"Very often","2003","Brandenburg","Couple + C. LE 16 ","","","",""
"Very often","2003","Brandenburg","Couple + C. GT 16 ","1","","",""
"Very often","2003","Brandenburg","Couple + C. LE and GT 16","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Very often","2003","Saxony","1-pers.-HH","","","",""
"Very often","2003","Saxony","(Married) couple without C. ","1","","",""
"Very often","2003","Saxony","Single parent ","","","",""
"Very often","2003","Saxony","Couple + C. LE 16 ","","","",""
"Very often","2003","Saxony","Couple + C. GT 16 ","","","",""
"Very often","2003","Saxony","Couple + C. LE and GT 16","","","",""
"Very often","2003","Saxony-Anhalt","1-pers.-HH","","","",""
"Very often","2003","Saxony-Anhalt","(Married) couple without C. ","2","","",""
"Very often","2003","Saxony-Anhalt","Single parent ","","","",""
"Very often","2003","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Very often","2003","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Very often","2003","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Very often","2003","Thuringia","1-pers.-HH","","","",""
"Very often","2003","Thuringia","(Married) couple without C. ","","","",""
"Very often","2003","Thuringia","Single parent ","","","",""
"Very often","2003","Thuringia","Couple + C. LE 16 ","","","",""
"Very often","2003","Thuringia","Couple + C. GT 16 ","2","","",""
"Very often","2003","Thuringia","Couple + C. LE and GT 16","","","",""
"Often","2003","Schleswig-Holstein","1-pers.-HH","2","","",""
"Often","2003","Schleswig-Holstein","(Married) couple without C. ","1","","",""
"Often","2003","Schleswig-Holstein","Single parent ","1","","",""
"Often","2003","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Often","2003","Schleswig-Holstein","Couple + C. GT 16 ","8","","",""
"Often","2003","Schleswig-Holstein","Couple + C. LE and GT 16","4","","",""
"Often","2003","Hamburg","1-pers.-HH","4","","",""
"Often","2003","Hamburg","(Married) couple without C. ","1","","",""
"Often","2003","Hamburg","Single parent ","","","",""
"Often","2003","Hamburg","Couple + C. LE 16 ","1","","",""
"Often","2003","Hamburg","Couple + C. GT 16 ","1","","",""
"Often","2003","Hamburg","Couple + C. LE and GT 16","2","","",""
"Often","2003","Lower Saxony","1-pers.-HH","9","","",""
"Often","2003","Lower Saxony","(Married) couple without C. ","9","","",""
"Often","2003","Lower Saxony","Single parent ","8","","",""
"Often","2003","Lower Saxony","Couple + C. LE 16 ","14","","",""
"Often","2003","Lower Saxony","Couple + C. GT 16 ","17","","",""
"Often","2003","Lower Saxony","Couple + C. LE and GT 16","16","","",""
"Often","2003","Bremen","1-pers.-HH","1","","",""
"Often","2003","Bremen","(Married) couple without C. ","1","","",""
"Often","2003","Bremen","Single parent ","","","",""
"Often","2003","Bremen","Couple + C. LE 16 ","","","",""
"Often","2003","Bremen","Couple + C. GT 16 ","1","","",""
"Often","2003","Bremen","Couple + C. LE and GT 16","1","","",""
"Often","2003","North Rhine-Westphalia","1-pers.-HH","21","","",""
"Often","2003","North Rhine-Westphalia","(Married) couple without C. ","27","","",""
"Often","2003","North Rhine-Westphalia","Single parent ","6","","",""
"Often","2003","North Rhine-Westphalia","Couple + C. LE 16 ","30","0.0456784706386673","0.0325461458767128","0.0588107954006218"
"Often","2003","North Rhine-Westphalia","Couple + C. GT 16 ","50","0.0546755442477889","0.0387310929564321","0.0706199955391456"
"Often","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","32","0.0935912829992016","0.0638332707042438","0.123349295294159"
"Often","2003","Hesse","1-pers.-HH","9","","",""
"Often","2003","Hesse","(Married) couple without C. ","12","","",""
"Often","2003","Hesse","Single parent ","3","","",""
"Often","2003","Hesse","Couple + C. LE 16 ","12","","",""
"Often","2003","Hesse","Couple + C. GT 16 ","8","","",""
"Often","2003","Hesse","Couple + C. LE and GT 16","4","","",""
"Often","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","2","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","4","","",""
"Often","2003","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Often","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","4","","",""
"Often","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","11","","",""
"Often","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","7","","",""
"Often","2003","Baden-Württemberg","1-pers.-HH","7","","",""
"Often","2003","Baden-Württemberg","(Married) couple without C. ","12","","",""
"Often","2003","Baden-Württemberg","Single parent ","7","","",""
"Often","2003","Baden-Württemberg","Couple + C. LE 16 ","8","","",""
"Often","2003","Baden-Württemberg","Couple + C. GT 16 ","19","","",""
"Often","2003","Baden-Württemberg","Couple + C. LE and GT 16","17","","",""
"Often","2003","Bavaria","1-pers.-HH","11","","",""
"Often","2003","Bavaria","(Married) couple without C. ","13","","",""
"Often","2003","Bavaria","Single parent ","9","","",""
"Often","2003","Bavaria","Couple + C. LE 16 ","13","","",""
"Often","2003","Bavaria","Couple + C. GT 16 ","29","","",""
"Often","2003","Bavaria","Couple + C. LE and GT 16","16","","",""
"Often","2003","Berlin","1-pers.-HH","9","","",""
"Often","2003","Berlin","(Married) couple without C. ","6","","",""
"Often","2003","Berlin","Single parent ","4","","",""
"Often","2003","Berlin","Couple + C. LE 16 ","4","","",""
"Often","2003","Berlin","Couple + C. GT 16 ","6","","",""
"Often","2003","Berlin","Couple + C. LE and GT 16","5","","",""
"Often","2003","Brandenburg","1-pers.-HH","2","","",""
"Often","2003","Brandenburg","(Married) couple without C. ","3","","",""
"Often","2003","Brandenburg","Single parent ","","","",""
"Often","2003","Brandenburg","Couple + C. LE 16 ","1","","",""
"Often","2003","Brandenburg","Couple + C. GT 16 ","6","","",""
