"pld0045","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","no migration background","10891","0.599950765665023","0.592938067506739","0.606963463823306","5"
"Never","2003","direct migration background","1689","0.630901379378758","0.61241302830834","0.649389730449175","5"
"Never","2003","indirect migration background","464","0.586964369510388","0.552410203291674","0.621518535729103","5"
"Often","2003","direct migration background","180","0.0709491697344077","0.0611126917020203","0.080785647766795","2"
"Often","2003","no migration background","1550","0.0763260166748104","0.0725252932008538","0.080126740148767","2"
"Often","2003","indirect migration background","62","0.0972065309744027","0.0764170945489091","0.117995967399896","2"
"Rarely","2003","no migration background","3426","0.171511108021139","0.166115255266139","0.176906960776139","4"
"Rarely","2003","direct migration background","370","0.161124527947855","0.147038913171947","0.175210142723763","4"
"Rarely","2003","indirect migration background","152","0.183495861220774","0.156331898769528","0.21065982367202","4"
"Sometimes","2003","direct migration background","257","0.0925481938723075","0.0814451517296256","0.103651236014989","3"
"Sometimes","2003","indirect migration background","58","0.0662497107249922","0.048795180785583","0.0837042406644014","3"
"Sometimes","2003","no migration background","1992","0.104884044109489","0.100498080942329","0.10927000727665","3"
"Very often","2003","no migration background","889","0.0473280655295381","0.0442885687959748","0.0503675622631014","1"
"Very often","2003","direct migration background","121","0.044476729066672","0.0365784352730267","0.0523750228603174","1"
"Very often","2003","indirect migration background","44","0.0660835275694429","0.0486493519541153","0.0835177031847705","1"
"Never","2004","direct migration background","","","","","5"
"Never","2004","indirect migration background","","","","","5"
"Never","2004","no migration background","","","","","5"
"Often","2004","no migration background","","","","","2"
"Often","2004","direct migration background","","","","","2"
"Often","2004","indirect migration background","","","","","2"
"Rarely","2004","no migration background","","","","","4"
"Rarely","2004","direct migration background","","","","","4"
"Rarely","2004","indirect migration background","","","","","4"
"Sometimes","2004","direct migration background","","","","","3"
"Sometimes","2004","no migration background","","","","","3"
"Sometimes","2004","indirect migration background","","","","","3"
"Very often","2004","direct migration background","","","","","1"
"Very often","2004","indirect migration background","","","","","1"
"Very often","2004","no migration background","","","","","1"
"Never","2005","indirect migration background","","","","","5"
"Never","2005","direct migration background","","","","","5"
"Never","2005","no migration background","","","","","5"
"Often","2005","no migration background","","","","","2"
"Often","2005","direct migration background","","","","","2"
"Often","2005","indirect migration background","","","","","2"
"Rarely","2005","no migration background","","","","","4"
"Rarely","2005","direct migration background","","","","","4"
"Rarely","2005","indirect migration background","","","","","4"
"Sometimes","2005","direct migration background","","","","","3"
"Sometimes","2005","indirect migration background","","","","","3"
"Sometimes","2005","no migration background","","","","","3"
"Very often","2005","no migration background","","","","","1"
"Very often","2005","direct migration background","","","","","1"
"Very often","2005","indirect migration background","","","","","1"
"Never","2006","no migration background","","","","","5"
"Never","2006","direct migration background","","","","","5"
"Never","2006","indirect migration background","","","","","5"
"Often","2006","direct migration background","","","","","2"
"Often","2006","no migration background","","","","","2"
"Often","2006","indirect migration background","","","","","2"
"Rarely","2006","no migration background","","","","","4"
"Rarely","2006","direct migration background","","","","","4"
"Rarely","2006","indirect migration background","","","","","4"
"Sometimes","2006","no migration background","","","","","3"
"Sometimes","2006","direct migration background","","","","","3"
