"ple0004","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Strong","2002","16-34 y.","107","0.0188390258282401","0.01544664294969","0.0222314087067902"
"Strong","2002","35-65 y.","1051","0.0885963611695795","0.0837681344733715","0.0934245878657875"
"Strong","2002","66 and older","1089","0.325944473351641","0.31068801109734","0.341200935605941"
"A little","2002","16-34 y.","790","0.137442599969636","0.128851274089216","0.146033925850055"
"A little","2002","35-65 y.","4008","0.319052695984238","0.311132931019049","0.326972460949427"
"A little","2002","66 and older","1673","0.456874677878244","0.440660954439783","0.473088401316705"
"Not at all","2002","16-34 y.","5273","0.843718374202124","0.834657747812989","0.85277900059126"
"Not at all","2002","35-65 y.","8247","0.592350942846182","0.584001507721362","0.600700377971003"
"Not at all","2002","66 and older","864","0.217180848770115","0.20376013311305","0.230601564427181"
"Strong","2003","16-34 y.","","","",""
"Strong","2003","35-65 y.","","","",""
"Strong","2003","66 and older","","","",""
"A little","2003","16-34 y.","","","",""
"A little","2003","35-65 y.","","","",""
"A little","2003","66 and older","","","",""
"Not at all","2003","16-34 y.","","","",""
"Not at all","2003","35-65 y.","","","",""
"Not at all","2003","66 and older","","","",""
"Strong","2004","16-34 y.","80","0.0165002462445356","0.0131744553547612","0.01982603713431"
"Strong","2004","35-65 y.","912","0.0890107234649399","0.083966231438239","0.0940552154916409"
"Strong","2004","66 and older","1180","0.336298881848823","0.321263804870473","0.351333958827173"
"A little","2004","16-34 y.","769","0.13857315542925","0.129553055420551","0.147593255437949"
"A little","2004","35-65 y.","3719","0.320368912795718","0.312102797782555","0.328635027808881"
"A little","2004","66 and older","1671","0.444436348400203","0.428622835147273","0.460249861653132"
"Not at all","2004","16-34 y.","4787","0.844926598326214","0.8354764038368","0.854376792815628"
"Not at all","2004","35-65 y.","7610","0.590620363739342","0.581909585283672","0.599331142195012"
"Not at all","2004","66 and older","942","0.219264769750974","0.206097583254211","0.232431956247738"
"Strong","2005","16-34 y.","","","",""
"Strong","2005","35-65 y.","","","",""
"Strong","2005","66 and older","","","",""
"A little","2005","16-34 y.","","","",""
"A little","2005","35-65 y.","","","",""
"A little","2005","66 and older","","","",""
"Not at all","2005","16-34 y.","","","",""
"Not at all","2005","35-65 y.","","","",""
"Not at all","2005","66 and older","","","",""
"Strong","2006","16-34 y.","59","0.0125645677181244","0.00951951608778698","0.0156096193484618"
"Strong","2006","35-65 y.","905","0.0831656603895199","0.0783085866726754","0.0880227341063644"
"Strong","2006","66 and older","1317","0.320520534692993","0.306848940796164","0.334192128589823"
"A little","2006","16-34 y.","783","0.159999827400351","0.149977560220532","0.170022094580171"
"A little","2006","35-65 y.","3844","0.325360383929645","0.317119467783521","0.333601300075769"
"A little","2006","66 and older","1976","0.44504572963196","0.430486648372229","0.459604810891691"
"Not at all","2006","16-34 y.","4298","0.827435604881524","0.817105392968907","0.837765816794142"
"Not at all","2006","35-65 y.","7667","0.591473955680835","0.582827563573712","0.600120347787959"
"Not at all","2006","66 and older","1183","0.234433735675046","0.222022800710793","0.246844670639299"
"Strong","2007","16-34 y.","","","",""
"Strong","2007","35-65 y.","","","",""
"Strong","2007","66 and older","","","",""
"A little","2007","16-34 y.","","","",""
"A little","2007","35-65 y.","","","",""
"A little","2007","66 and older","","","",""
"Not at all","2007","16-34 y.","","","",""
"Not at all","2007","35-65 y.","","","",""
"Not at all","2007","66 and older","","","",""
"Strong","2008","16-34 y.","58","0.0161628423437109","0.0124219393557951","0.0199037453316268"
"Strong","2008","35-65 y.","785","0.084332366088176","0.0790599265824938","0.0896048055938581"
"Strong","2008","66 and older","1215","0.298883954195688","0.285277355483464","0.312490552907912"
"A little","2008","16-34 y.","667","0.153214836585941","0.142529382114511","0.16390029105737"
