"ple0004","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","35-65 y.","Employed","2805","0.296009092312858","0.287106797835862","0.304911386789855","2"
"A little","2002","16-34 y.","Not Employed","184","0.120368569062344","0.104677591985333","0.136059546139354","2"
"A little","2002","16-34 y.","Employed","606","0.143040227360672","0.132831201792494","0.15324925292885","2"
"A little","2002","35-65 y.","Not Employed","1203","0.38539781028789","0.368548359592774","0.402247260983005","2"
"A little","2002","66 and older","Not Employed","1576","0.457218305114947","0.44052730002686","0.473909310203034","2"
"A little","2002","66 and older","Employed","97","0.450191985022094","0.381920803334937","0.518463166709251","2"
"Not at all","2002","35-65 y.","Not Employed","1403","0.421072001767078","0.403978756143469","0.438165247390686","3"
"Not at all","2002","35-65 y.","Employed","6844","0.651841141588116","0.642550931948214","0.661131351228017","3"
"Not at all","2002","16-34 y.","Not Employed","1431","0.850749405949783","0.833566289592275","0.867932522307291","3"
"Not at all","2002","16-34 y.","Employed","3842","0.8414132890051","0.830761732950171","0.852064845060029","3"
"Not at all","2002","66 and older","Not Employed","779","0.207582142457001","0.193993370502023","0.221170914411979","3"
"Not at all","2002","66 and older","Employed","85","0.403851750420287","0.336519810279362","0.471183690561212","3"
"Strong","2002","16-34 y.","Not Employed","37","0.0288820249878732","0.0208060886711237","0.0369579613046227","1"
"Strong","2002","16-34 y.","Employed","70","0.0155464836342285","0.0119391303897278","0.0191538368787292","1"
"Strong","2002","35-65 y.","Not Employed","599","0.193530187945033","0.179852821239667","0.207207554650399","1"
"Strong","2002","35-65 y.","Employed","452","0.052149766099026","0.0478140389017849","0.0564854932962672","1"
"Strong","2002","66 and older","Not Employed","1067","0.335199552428052","0.31938323199548","0.351015872860624","1"
"Strong","2002","66 and older","Employed","22","","","","1"
"A little","2003","35-65 y.","Employed","","","","","2"
"A little","2003","16-34 y.","Not Employed","","","","","2"
"A little","2003","16-34 y.","Employed","","","","","2"
"A little","2003","35-65 y.","Not Employed","","","","","2"
"A little","2003","66 and older","Not Employed","","","","","2"
"A little","2003","66 and older","Employed","","","","","2"
"Not at all","2003","16-34 y.","Not Employed","","","","","3"
"Not at all","2003","16-34 y.","Employed","","","","","3"
"Not at all","2003","35-65 y.","Not Employed","","","","","3"
"Not at all","2003","35-65 y.","Employed","","","","","3"
"Not at all","2003","66 and older","Not Employed","","","","","3"
"Not at all","2003","66 and older","Employed","","","","","3"
"Strong","2003","16-34 y.","Not Employed","","","","","1"
"Strong","2003","16-34 y.","Employed","","","","","1"
"Strong","2003","35-65 y.","Not Employed","","","","","1"
"Strong","2003","35-65 y.","Employed","","","","","1"
"Strong","2003","66 and older","Not Employed","","","","","1"
"Strong","2003","66 and older","Employed","","","","","1"
"A little","2004","35-65 y.","Not Employed","1090","0.37402822761681","0.356498858171479","0.391557597062141","2"
"A little","2004","35-65 y.","Employed","2629","0.301864851589654","0.292541844812716","0.311187858366592","2"
"A little","2004","16-34 y.","Not Employed","190","0.118829958390162","0.10341150735571","0.134248409424614","2"
"A little","2004","16-34 y.","Employed","579","0.146273626546734","0.13524498551243","0.157302267581039","2"
"A little","2004","66 and older","Not Employed","1572","0.442776822863817","0.426473938522236","0.459079707205398","2"
"A little","2004","66 and older","Employed","99","0.472640569710548","0.407694328788944","0.537586810632151","2"
"Not at all","2004","16-34 y.","Employed","3314","0.839177516631549","0.827712361385557","0.85064267187754","3"
"Not at all","2004","35-65 y.","Not Employed","1312","0.431559209541384","0.413616024262144","0.449502394820624","3"
"Not at all","2004","35-65 y.","Employed","6298","0.645471554862439","0.635756526534041","0.655186583190836","3"
"Not at all","2004","16-34 y.","Not Employed","1473","0.859666638378294","0.843116813122477","0.876216463634111","3"
"Not at all","2004","66 and older","Not Employed","842","0.209067452238594","0.195720861026624","0.222414043450564","3"
"Not at all","2004","66 and older","Employed","100","0.392571774424987","0.329047138863724","0.456096409986249","3"
"Strong","2004","16-34 y.","Not Employed","29","","","","1"
"Strong","2004","16-34 y.","Employed","51","0.014548856821717","0.0108119555702258","0.0182857580732082","1"
"Strong","2004","35-65 y.","Not Employed","525","0.194412562841806","0.180075663537665","0.208749462145947","1"
"Strong","2004","35-65 y.","Employed","387","0.0526635935479071","0.0481274443211763","0.057199742774638","1"
"Strong","2004","66 and older","Not Employed","1152","0.348155724897589","0.332520068432793","0.363791381362384","1"
"Strong","2004","66 and older","Employed","28","","","","1"
"A little","2005","35-65 y.","Not Employed","","","","","2"
"A little","2005","35-65 y.","Employed","","","","","2"
"A little","2005","16-34 y.","Not Employed","","","","","2"
"A little","2005","16-34 y.","Employed","","","","","2"
"A little","2005","66 and older","Not Employed","","","","","2"
"A little","2005","66 and older","Employed","","","","","2"
"Not at all","2005","16-34 y.","Employed","","","","","3"
"Not at all","2005","35-65 y.","Not Employed","","","","","3"
"Not at all","2005","35-65 y.","Employed","","","","","3"
"Not at all","2005","16-34 y.","Not Employed","","","","","3"
"Not at all","2005","66 and older","Not Employed","","","","","3"
"Not at all","2005","66 and older","Employed","","","","","3"
"Strong","2005","16-34 y.","Not Employed","","","","","1"
"Strong","2005","16-34 y.","Employed","","","","","1"
"Strong","2005","35-65 y.","Not Employed","","","","","1"
"Strong","2005","35-65 y.","Employed","","","","","1"
"Strong","2005","66 and older","Not Employed","","","","","1"
"Strong","2005","66 and older","Employed","","","","","1"
"A little","2006","35-65 y.","Not Employed","1071","0.385008165790009","0.367279809442328","0.40273652213769","2"
"A little","2006","35-65 y.","Employed","2773","0.306187950794977","0.296930338911162","0.315445562678792","2"
"A little","2006","16-34 y.","Not Employed","193","0.137759046723328","0.120282839732934","0.155235253713723","2"
"A little","2006","16-34 y.","Employed","590","0.168059322767228","0.155922158128613","0.180196487405844","2"
"A little","2006","66 and older","Not Employed","1864","0.447624310383627","0.432564522136608","0.462684098630647","2"
"A little","2006","66 and older","Employed","112","0.402060105386015","0.345432772968842","0.458687437803189","2"
"Not at all","2006","16-34 y.","Employed","3014","0.821608804187281","0.809182012751875","0.834035595622687","3"
"Not at all","2006","35-65 y.","Not Employed","1328","0.433241568129768","0.415188006944091","0.451295129315445","3"
