"ple0005","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Strong","2002","16-34 y.","Full Time","80","0.0300459720293702","0.0236445501738554","0.0364473938848849"
"Strong","2002","16-34 y.","Part Time","41","0.0205876766166414","0.0139854439028316","0.0271899093304511"
"Strong","2002","16-34 y.","Not Working","57","0.0409906038179046","0.0314268553929213","0.0505543522428878"
"Strong","2002","35-65 y.","Full Time","443","0.0727966208480328","0.0666138906457914","0.0789793510502741"
"Strong","2002","35-65 y.","Part Time","333","0.11820090795344","0.107175833688887","0.129225982217993"
"Strong","2002","35-65 y.","Not Working","794","0.258958566646777","0.24377837138861","0.274138761904943"
"Strong","2002","66 and older","Full Time","3","","",""
"Strong","2002","66 and older","Part Time","23","","",""
"Strong","2002","66 and older","Not Working","1240","0.388923253211821","0.372575088907225","0.405271417516416"
"A little","2002","16-34 y.","Full Time","558","0.212405480270397","0.197068426323284","0.22774253421751"
"A little","2002","16-34 y.","Part Time","358","0.218166070372366","0.198963682466614","0.237368458278118"
"A little","2002","16-34 y.","Not Working","274","0.185042705033691","0.166310971788321","0.203774438279061"
"A little","2002","35-65 y.","Full Time","2380","0.357314851296581","0.345910729463674","0.368718973129487"
"A little","2002","35-65 y.","Part Time","1294","0.402904034730882","0.386154252302856","0.419653817158909"
"A little","2002","35-65 y.","Not Working","1309","0.420834059539501","0.403726111650336","0.437942007428666"
"A little","2002","66 and older","Full Time","25","","",""
"A little","2002","66 and older","Part Time","87","0.537756814910152","0.4605036430677","0.615009986752604"
"A little","2002","66 and older","Not Working","1609","0.461604065809845","0.444886430056825","0.478321701562866"
"Not at all","2002","16-34 y.","Full Time","2094","0.757548547700233","0.741478196295107","0.773618899105359"
"Not at all","2002","16-34 y.","Part Time","1378","0.761246253010992","0.741424500052569","0.781068005969416"
"Not at all","2002","16-34 y.","Not Working","1320","0.773966691148404","0.753791302431635","0.794142079865173"
"Not at all","2002","35-65 y.","Full Time","3960","0.569888527855387","0.558106429253142","0.581670626457631"
"Not at all","2002","35-65 y.","Part Time","1667","0.478895057315678","0.461835448546763","0.495954666084593"
"Not at all","2002","35-65 y.","Not Working","1096","0.320207373813722","0.304039799715534","0.33637494791191"
"Not at all","2002","66 and older","Full Time","15","","",""
"Not at all","2002","66 and older","Part Time","50","0.302193110297903","0.231039325563937","0.373346895031869"
"Not at all","2002","66 and older","Not Working","567","0.149472680978334","0.137515901872621","0.161429460084048"
"Strong","2003","16-34 y.","Full Time","","","",""
"Strong","2003","16-34 y.","Part Time","","","",""
"Strong","2003","16-34 y.","Not Working","","","",""
"Strong","2003","35-65 y.","Full Time","","","",""
"Strong","2003","35-65 y.","Part Time","","","",""
"Strong","2003","35-65 y.","Not Working","","","",""
"Strong","2003","66 and older","Full Time","","","",""
"Strong","2003","66 and older","Part Time","","","",""
"Strong","2003","66 and older","Not Working","","","",""
"A little","2003","16-34 y.","Full Time","","","",""
"A little","2003","16-34 y.","Part Time","","","",""
"A little","2003","16-34 y.","Not Working","","","",""
"A little","2003","35-65 y.","Full Time","","","",""
"A little","2003","35-65 y.","Part Time","","","",""
"A little","2003","35-65 y.","Not Working","","","",""
"A little","2003","66 and older","Full Time","","","",""
"A little","2003","66 and older","Part Time","","","",""
"A little","2003","66 and older","Not Working","","","",""
"Not at all","2003","16-34 y.","Full Time","","","",""
"Not at all","2003","16-34 y.","Part Time","","","",""
"Not at all","2003","16-34 y.","Not Working","","","",""
"Not at all","2003","35-65 y.","Full Time","","","",""
"Not at all","2003","35-65 y.","Part Time","","","",""
"Not at all","2003","35-65 y.","Not Working","","","",""
"Not at all","2003","66 and older","Full Time","","","",""
"Not at all","2003","66 and older","Part Time","","","",""
"Not at all","2003","66 and older","Not Working","","","",""
"Strong","2004","16-34 y.","Full Time","42","0.0253249826946158","0.0189153272458069","0.0317346381434247"
"Strong","2004","16-34 y.","Part Time","37","0.0252312619695919","0.0176295835185476","0.0328329404206361"
"Strong","2004","16-34 y.","Not Working","33","0.0309020438677612","0.0226466212472414","0.039157466488281"
"Strong","2004","35-65 y.","Full Time","377","0.0731097787938157","0.0665793347334855","0.0796402228541458"
"Strong","2004","35-65 y.","Part Time","307","0.124550172877019","0.113114613330257","0.135985732423781"
"Strong","2004","35-65 y.","Not Working","705","0.254527271033363","0.238730608024199","0.270323934042528"
"Strong","2004","66 and older","Full Time","9","","",""
"Strong","2004","66 and older","Part Time","19","","",""
"Strong","2004","66 and older","Not Working","1335","0.403588644753322","0.387463276702287","0.419714012804357"
"A little","2004","16-34 y.","Full Time","482","0.222409361889071","0.205443253686351","0.239375470091791"
"A little","2004","16-34 y.","Part Time","354","0.204494282775017","0.184944071710169","0.224044493839866"
