"ple0005","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Not Working","3192","0.404589883655416","0.394009144573656","0.415170622737177","2"
"A little","2002","Part Time","1739","0.348388086136958","0.335476431926748","0.361299740347167","2"
"A little","2002","Full Time","2963","0.313381904964249","0.304082414395573","0.322681395532924","2"
"Not at all","2002","Not Working","2983","0.305537693603151","0.295607513446076","0.315467873760227","3"
"Not at all","2002","Part Time","3095","0.563399407526326","0.549959196603446","0.576839618449206","3"
"Not at all","2002","Full Time","6069","0.627291882390579","0.617598310453858","0.636985454327301","3"
"Strong","2002","Full Time","526","0.059326212645172","0.0545902593472353","0.0640621659431087","1"
"Strong","2002","Part Time","397","0.0882125063367163","0.08052708596311","0.0958979267103226","1"
"Strong","2002","Not Working","2091","0.289872422741432","0.280091675631942","0.299653169850922","1"
"A little","2003","Not Working","","","","","2"
"A little","2003","Part Time","","","","","2"
"A little","2003","Full Time","","","","","2"
"Not at all","2003","Not Working","","","","","3"
"Not at all","2003","Part Time","","","","","3"
"Not at all","2003","Full Time","","","","","3"
"Strong","2003","Full Time","","","","","1"
"Strong","2003","Part Time","","","","","1"
"Strong","2003","Not Working","","","","","1"
"A little","2004","Not Working","3064","0.388023858429729","0.377454066041357","0.398593650818102","2"
"A little","2004","Part Time","1703","0.33594382195716","0.322878143305161","0.34900950060916","2"
"A little","2004","Full Time","2640","0.323123657816314","0.313155735386006","0.333091580246623","2"
"Not at all","2004","Not Working","3028","0.318745553475401","0.308637983911977","0.328853123038824","3"
"Not at all","2004","Part Time","2954","0.571413736261235","0.557724138283096","0.585103334239373","3"
"Not at all","2004","Full Time","5388","0.617046457377887","0.606685555012062","0.627407359743712","3"
"Strong","2004","Full Time","428","0.0598298848057985","0.0547748062562367","0.0648849633553603","1"
"Strong","2004","Part Time","363","0.0926424417816048","0.0846221446205143","0.100662738942695","1"
"Strong","2004","Not Working","2073","0.29323058809487","0.283356124683243","0.303105051506498","1"
"A little","2005","Part Time","","","","","2"
"A little","2005","Full Time","","","","","2"
"A little","2005","Not Working","","","","","2"
"Not at all","2005","Not Working","","","","","3"
"Not at all","2005","Part Time","","","","","3"
"Not at all","2005","Full Time","","","","","3"
"Strong","2005","Full Time","","","","","1"
"Strong","2005","Part Time","","","","","1"
"Strong","2005","Not Working","","","","","1"
"A little","2006","Part Time","1700","0.346271853160581","0.333106478334188","0.359437227986974","2"
"A little","2006","Full Time","2704","0.32279179370131","0.312811785572039","0.332771801830581","2"
"A little","2006","Not Working","3277","0.386455415767691","0.376145484215554","0.396765347319828","2"
"Not at all","2006","Not Working","3022","0.320050706730297","0.310173578814426","0.329927834646168","3"
"Not at all","2006","Part Time","2917","0.56250607281745","0.548779071899316","0.576233073735584","3"
"Not at all","2006","Full Time","5246","0.617792070248717","0.607419663053754","0.628164477443679","3"
"Strong","2006","Full Time","481","0.0594161360499736","0.0543699935444509","0.0644622785554963","1"
"Strong","2006","Part Time","400","0.0912220740219694","0.0832548891201728","0.099189258923766","1"
"Strong","2006","Not Working","2270","0.293493877502012","0.28385246848144","0.303135286522584","1"
"A little","2007","Part Time","","","","","2"
"A little","2007","Full Time","","","","","2"
"A little","2007","Not Working","","","","","2"
"Not at all","2007","Not Working","","","","","3"
"Not at all","2007","Part Time","","","","","3"
"Not at all","2007","Full Time","","","","","3"
"Strong","2007","Full Time","","","","","1"
"Strong","2007","Part Time","","","","","1"
"Strong","2007","Not Working","","","","","1"
"A little","2008","Part Time","1508","0.366570625469375","0.352361636888847","0.380779614049903","2"
"A little","2008","Full Time","2378","0.32452826305703","0.313917266390874","0.335139259723187","2"
"A little","2008","Not Working","2922","0.39614627025528","0.385060188859469","0.407232351651091","2"
"Not at all","2008","Not Working","2520","0.310221050356759","0.29973589183057","0.320706208882948","3"
"Not at all","2008","Part Time","2583","0.547471513072321","0.532794456774519","0.562148569370122","3"
"Not at all","2008","Full Time","4699","0.611647919160567","0.600602304355423","0.622693533965712","3"
"Strong","2008","Full Time","402","0.0638238177824021","0.058283986888999","0.0693636486758053","1"
"Strong","2008","Part Time","327","0.0859578614583046","0.0776925134279019","0.0942232094887073","1"
"Strong","2008","Not Working","2035","0.293632679387961","0.283309775255049","0.303955583520873","1"
"A little","2009","Full Time","","","","","2"
"A little","2009","Part Time","","","","","2"
"A little","2009","Not Working","","","","","2"
"Not at all","2009","Not Working","","","","","3"
"Not at all","2009","Part Time","","","","","3"
"Not at all","2009","Full Time","","","","","3"
"Strong","2009","Full Time","","","","","1"
"Strong","2009","Part Time","","","","","1"
"Strong","2009","Not Working","","","","","1"
"A little","2010","Full Time","2179","0.353238844538537","0.341566880988319","0.364910808088754","2"
"A little","2010","Part Time","1439","0.381034574396227","0.365796859407172","0.396272289385281","2"
"A little","2010","Not Working","2631","0.419743048490341","0.407600775594927","0.431885321385756","2"
"Not at all","2010","Part Time","2151","0.528249321911128","0.512586132522513","0.543912511299742","3"
"Not at all","2010","Not Working","1938","0.264047926033531","0.253202060788342","0.27489379127872","3"
"Not at all","2010","Full Time","3901","0.582850478402652","0.570809488717917","0.594891468087387","3"
"Strong","2010","Full Time","362","0.0639106770588109","0.0579378067364559","0.0698835473811659","1"
"Strong","2010","Part Time","312","0.0907161036926456","0.0817046178924033","0.0997275894928879","1"
"Strong","2010","Not Working","1777","0.316209025476128","0.304768476356189","0.327649574596066","1"
"A little","2011","Full Time","","","","","2"
"A little","2011","Part Time","","","","","2"
"A little","2011","Not Working","","","","","2"
"Not at all","2011","Full Time","","","","","3"
"Not at all","2011","Part Time","","","","","3"
"Not at all","2011","Not Working","","","","","3"
"Strong","2011","Not Working","","","","","1"
"Strong","2011","Full Time","","","","","1"
"Strong","2011","Part Time","","","","","1"
"A little","2012","Full Time","2524","0.340614093179634","0.329972657087385","0.351255529271884","2"
"A little","2012","Part Time","1711","0.36456924653539","0.351062482171348","0.378076010899432","2"
"A little","2012","Not Working","3291","0.411766707335751","0.401014329364793","0.422519085306709","2"
"Not at all","2012","Full Time","4655","0.602728822781","0.591741203242721","0.613716442319279","3"
"Not at all","2012","Part Time","2714","0.537797649618483","0.523806522006737","0.551788777230229","3"
"Not at all","2012","Not Working","2488","0.278907716360313","0.269109888699126","0.2887055440215","3"
"Strong","2012","Not Working","2269","0.309325576303936","0.299227266050574","0.319423886557297","1"
"Strong","2012","Part Time","453","0.0976331038461274","0.0893036348040175","0.105962572888237","1"
"Strong","2012","Full Time","440","0.056657084039366","0.0514659647369043","0.0618482033418276","1"
"A little","2013","Full Time","","","","","2"
"A little","2013","Not Working","","","","","2"
"A little","2013","Part Time","","","","","2"
"Not at all","2013","Full Time","","","","","3"
"Not at all","2013","Part Time","","","","","3"
"Not at all","2013","Not Working","","","","","3"
"Strong","2013","Not Working","","","","","1"
"Strong","2013","Part Time","","","","","1"
"Strong","2013","Full Time","","","","","1"
"A little","2014","Full Time","3083","0.311567318964495","0.302589169300576","0.320545468628414","2"
"A little","2014","Not Working","3558","0.407674055564695","0.397722642678714","0.417625468450677","2"
"A little","2014","Part Time","2411","0.328229390369593","0.317645198485997","0.338813582253188","2"
"Not at all","2014","Full Time","6564","0.630345375496284","0.620987710141161","0.639703040851408","3"
"Not at all","2014","Part Time","4456","0.569453820577452","0.558292962197921","0.580614678956984","3"
"Not at all","2014","Not Working","3441","0.296445507397831","0.287197053463365","0.305693961332296","3"
"Strong","2014","Not Working","2368","0.295880437037474","0.286637092058289","0.305123782016659","1"
"Strong","2014","Part Time","694","0.102316789052955","0.0954856445133861","0.109147933592523","1"
"Strong","2014","Full Time","575","0.0580873055392207","0.0535528401272023","0.0626217709512392","1"
"A little","2015","Full Time","","","","","2"
"A little","2015","Not Working","","","","","2"
"A little","2015","Part Time","","","","","2"
"Not at all","2015","Full Time","","","","","3"
"Not at all","2015","Part Time","","","","","3"
"Not at all","2015","Not Working","","","","","3"
"Strong","2015","Not Working","","","","","1"
"Strong","2015","Part Time","","","","","1"
"Strong","2015","Full Time","","","","","1"
"A little","2016","Full Time","2834","0.327712136840424","0.3181046233478","0.337319650333048","2"
"A little","2016","Not Working","4295","0.392049306871813","0.383493203158542","0.400605410585084","2"
"A little","2016","Part Time","2206","0.328602899730791","0.3175719486909","0.339633850770682","2"
"Not at all","2016","Full Time","5810","0.612510060516","0.60253825192792","0.622481869104081","3"
"Not at all","2016","Part Time","4171","0.573909054435581","0.562295632053348","0.585522476817815","3"
"Not at all","2016","Not Working","5699","0.314696118645273","0.30655734809171","0.322834889198836","3"
"Strong","2016","Not Working","2513","0.293254574482914","0.285275997920641","0.301233151045187","1"
"Strong","2016","Part Time","588","0.0974880458336273","0.09052194599285","0.104454145674405","1"
"Strong","2016","Full Time","525","0.0597778026435758","0.0549252268425688","0.0646303784445828","1"
"A little","2017","Not Working","728","0.22823184665781","0.212951597023869","0.24351209629175","2"
"A little","2017","Part Time","","","","","2"
"A little","2017","Full Time","","","","","2"
"Not at all","2017","Full Time","","","","","3"
"Not at all","2017","Part Time","","","","","3"
"Not at all","2017","Not Working","1888","0.690952724802413","0.674128482020585","0.707776967584242","3"
"Strong","2017","Not Working","282","0.080815428539777","0.0708923277257885","0.0907385293537655","1"
"Strong","2017","Part Time","","","","","1"
"Strong","2017","Full Time","","","","","1"
"A little","2018","Not Working","4283","0.403906204957515","0.395124807550453","0.412687602364576","2"
"A little","2018","Part Time","2553","0.349836596356712","0.339321253005712","0.360351939707712","2"
"A little","2018","Full Time","3075","0.310044783005789","0.301013973591289","0.319075592420288","2"
"Not at all","2018","Full Time","6423","0.634245188677367","0.624840863745008","0.643649513609725","3"
"Not at all","2018","Part Time","4642","0.546521424172363","0.535544982825649","0.557497865519076","3"
"Not at all","2018","Not Working","5080","0.306463349138033","0.298212663335341","0.314714034940724","3"
"Strong","2018","Not Working","2631","0.289630445904453","0.281512795480995","0.29774809632791","1"
"Strong","2018","Part Time","707","0.103641979470925","0.0969216868747986","0.110362272067051","1"
"Strong","2018","Full Time","578","0.055710028316845","0.0512316230696337","0.0601884335640564","1"
"A little","2019","Not Working","60","0.191661430763566","0.145392474088513","0.237930387438619","2"
"A little","2019","Part Time","","","","","2"
"A little","2019","Full Time","","","","","2"
