"ple0005","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Strong","2002","(0) in school","8","","",""
"Strong","2002","(1a) inadequately completed","70","0.263218110594345","0.212707336993594","0.313728884195096"
"Strong","2002","(1b) general elementary school","566","0.27734412951992","0.258988036696656","0.295700222343183"
"Strong","2002","(1c) basic vocational qualification","1290","0.207077408246478","0.197335373395997","0.216819443096959"
"Strong","2002","(2b) intermediate general qualification","44","0.104260314969466","0.0809457912768154","0.127574838662116"
"Strong","2002","(2a) intermediate vocational","506","0.111064891870366","0.102633402290665","0.119496381450067"
"Strong","2002","(2c_gen) general maturity certificate","15","","",""
"Strong","2002","(2c_voc) vocational maturity certificate","145","0.111786522778393","0.0962982520331862","0.1272747935236"
"Strong","2002","(3a) lower tertiary education","181","0.127221754809267","0.111828002811335","0.142615506807199"
"Strong","2002","(3b) higher tertiary education","179","0.0815959163129314","0.0713682867164219","0.091823545909441"
"A little","2002","(0) in school","65","0.123689820521405","0.0976698715143323","0.149709769528479"
"A little","2002","(1a) inadequately completed","114","0.357449991069787","0.302480998508239","0.412418983631335"
"A little","2002","(1b) general elementary school","838","0.378446593364616","0.358560635517966","0.398332551211267"
"A little","2002","(1c) basic vocational qualification","2621","0.405617539567557","0.393812722039057","0.417422357096058"
"A little","2002","(2b) intermediate general qualification","146","0.220903737345889","0.189253773698993","0.252553700992784"
"A little","2002","(2a) intermediate vocational","1874","0.353755211399744","0.34092508812122","0.366585334678267"
"A little","2002","(2c_gen) general maturity certificate","161","0.20661920558074","0.180019350349993","0.233219060811487"
"A little","2002","(2c_voc) vocational maturity certificate","481","0.318792430921012","0.295886747080523","0.341698114761501"
"A little","2002","(3a) lower tertiary education","647","0.363549474850759","0.341327844249548","0.385771105451969"
"A little","2002","(3b) higher tertiary education","900","0.34544032742427","0.327674517266262","0.363206137582278"
"Not at all","2002","(0) in school","542","0.863813214455918","0.836705809763357","0.890920619148479"
"Not at all","2002","(1a) inadequately completed","108","0.379331898335868","0.323677939748702","0.434985856923034"
"Not at all","2002","(1b) general elementary school","881","0.344209277115464","0.324728830530594","0.363689723700333"
"Not at all","2002","(1c) basic vocational qualification","2735","0.387305052185965","0.375593440799393","0.399016663572536"
"Not at all","2002","(2b) intermediate general qualification","470","0.674835947684646","0.639098256532204","0.710573638837088"
"Not at all","2002","(2a) intermediate vocational","2955","0.535179896729891","0.521796288162255","0.548563505297526"
"Not at all","2002","(2c_gen) general maturity certificate","714","0.775677016986414","0.748271977303137","0.803082056669692"
"Not at all","2002","(2c_voc) vocational maturity certificate","964","0.569421046300595","0.545082609258135","0.593759483343054"
"Not at all","2002","(3a) lower tertiary education","972","0.509228770339974","0.486134308192935","0.532323232487013"
"Not at all","2002","(3b) higher tertiary education","1673","0.572963756262799","0.554482996572366","0.591444515953232"
"Strong","2003","(0) in school","","","",""
"Strong","2003","(1a) inadequately completed","","","",""
"Strong","2003","(1b) general elementary school","","","",""
"Strong","2003","(1c) basic vocational qualification","","","",""
"Strong","2003","(2b) intermediate general qualification","","","",""
"Strong","2003","(2a) intermediate vocational","","","",""
"Strong","2003","(2c_gen) general maturity certificate","","","",""
"Strong","2003","(2c_voc) vocational maturity certificate","","","",""
"Strong","2003","(3a) lower tertiary education","","","",""
"Strong","2003","(3b) higher tertiary education","","","",""
"A little","2003","(0) in school","","","",""
"A little","2003","(1a) inadequately completed","","","",""
"A little","2003","(1b) general elementary school","","","",""
"A little","2003","(1c) basic vocational qualification","","","",""
"A little","2003","(2b) intermediate general qualification","","","",""
"A little","2003","(2a) intermediate vocational","","","",""
"A little","2003","(2c_gen) general maturity certificate","","","",""
"A little","2003","(2c_voc) vocational maturity certificate","","","",""
"A little","2003","(3a) lower tertiary education","","","",""
"A little","2003","(3b) higher tertiary education","","","",""
"Not at all","2003","(0) in school","","","",""
"Not at all","2003","(1a) inadequately completed","","","",""
"Not at all","2003","(1b) general elementary school","","","",""
"Not at all","2003","(1c) basic vocational qualification","","","",""
"Not at all","2003","(2b) intermediate general qualification","","","",""
"Not at all","2003","(2a) intermediate vocational","","","",""
"Not at all","2003","(2c_gen) general maturity certificate","","","",""
"Not at all","2003","(2c_voc) vocational maturity certificate","","","",""
"Not at all","2003","(3a) lower tertiary education","","","",""
"Not at all","2003","(3b) higher tertiary education","","","",""
"Strong","2004","(0) in school","4","","",""
"Strong","2004","(1a) inadequately completed","60","0.240631325898645","0.18916447750068","0.29209817429661"
"Strong","2004","(1b) general elementary school","503","0.283348059125117","0.263648145404906","0.303047972845328"
"Strong","2004","(1c) basic vocational qualification","1240","0.221288335850848","0.210852305234781","0.231724366466914"
"Strong","2004","(2b) intermediate general qualification","43","0.0972788644803966","0.0737818038485486","0.120775925112245"
"Strong","2004","(2a) intermediate vocational","473","0.11623810143588","0.107362159222843","0.125114043648918"
"Strong","2004","(2c_gen) general maturity certificate","20","","",""
"Strong","2004","(2c_voc) vocational maturity certificate","133","0.115618478117405","0.0998012011631479","0.131435755071662"
"Strong","2004","(3a) lower tertiary education","189","0.144348372536542","0.127651976046451","0.161044769026633"
"Strong","2004","(3b) higher tertiary education","187","0.0857255329192868","0.0749478851778362","0.0965031806607373"
"A little","2004","(0) in school","78","0.127549398266241","0.101684707391423","0.153414089141058"
"A little","2004","(1a) inadequately completed","117","0.438887411076808","0.379138950213723","0.498635871939892"
"A little","2004","(1b) general elementary school","740","0.357672611915372","0.3367184099503","0.378626813880445"
"A little","2004","(1c) basic vocational qualification","2426","0.401994051486818","0.389667820313098","0.414320282660538"
"A little","2004","(2b) intermediate general qualification","145","0.262728325310732","0.22783079371089","0.297625856910575"
"A little","2004","(2a) intermediate vocational","1774","0.362332813444819","0.349021422362708","0.37564420452693"
"A little","2004","(2c_gen) general maturity certificate","146","0.203310898792761","0.176254910875168","0.230366886710354"
"A little","2004","(2c_voc) vocational maturity certificate","481","0.311939083388394","0.289022672236836","0.334855494539953"
"A little","2004","(3a) lower tertiary education","620","0.370238941534502","0.347298738245666","0.393179144823338"
"A little","2004","(3b) higher tertiary education","824","0.315380819807379","0.297492367709239","0.333269271905519"
"Not at all","2004","(0) in school","557","0.862117657146777","0.83538542283925","0.888849891454304"
"Not at all","2004","(1a) inadequately completed","88","0.320481263024547","0.264295382155281","0.376667143893814"
"Not at all","2004","(1b) general elementary school","767","0.358979328959511","0.338008248802207","0.379950409116814"
"Not at all","2004","(1c) basic vocational qualification","2412","0.376717612662335","0.364535625621436","0.388899599703233"
"Not at all","2004","(2b) intermediate general qualification","423","0.639992810208871","0.601932649254599","0.678052971163143"
"Not at all","2004","(2a) intermediate vocational","2762","0.521429085119301","0.507595225900119","0.535262944338483"
"Not at all","2004","(2c_gen) general maturity certificate","684","0.762801469824315","0.734205792649426","0.791397146999205"
"Not at all","2004","(2c_voc) vocational maturity certificate","956","0.572442438494201","0.547970888823718","0.596913988164684"
