"ple0008","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Very good","1992","lower secondary degree","no migration background","490","0.0901043816355486","0.0822009552510359","0.0980078080200612"
"Very good","1992","lower secondary degree","direct migration background","124","0.124818019016744","0.099251688239702","0.150384349793787"
"Very good","1992","lower secondary degree","indirect migration background","70","0.291227674031402","0.224484356970124","0.357970991092681"
"Very good","1992","secondary school degree","no migration background","630","0.164696794260286","0.152138648366742","0.17725494015383"
"Very good","1992","secondary school degree","direct migration background","39","0.132676410345632","0.0828424358506999","0.182510384840565"
"Very good","1992","secondary school degree","indirect migration background","34","0.323797270774983","0.223130973084925","0.424463568465041"
"Very good","1992","college entrance qualification","no migration background","327","0.189592666338023","0.170135146504335","0.209050186171712"
"Very good","1992","college entrance qualification","direct migration background","39","0.256949887636123","0.186790106599231","0.327109668673014"
"Very good","1992","college entrance qualification","indirect migration background","16","","",""
"Very good","1992","Other degree","no migration background","11","","",""
"Very good","1992","Other degree","direct migration background","104","0.122995157471009","0.101737841630699","0.14425247331132"
"Very good","1992","Other degree","indirect migration background","8","","",""
"Very good","1992","no degree/no degree yet","no migration background","70","0.322473865458904","0.258488383094838","0.38645934782297"
"Very good","1992","no degree/no degree yet","direct migration background","58","0.123858915953777","0.0971872622850267","0.150530569622527"
"Very good","1992","no degree/no degree yet","indirect migration background","32","0.487260206912598","0.370167982731072","0.604352431094123"
"Good","1992","lower secondary degree","no migration background","1752","0.321342925181771","0.308452826797144","0.334233023566399"
"Good","1992","lower secondary degree","direct migration background","275","0.381779758835874","0.344199597804009","0.41935991986774"
"Good","1992","lower secondary degree","indirect migration background","70","0.421584254371347","0.349040448819637","0.494128059923058"
"Good","1992","secondary school degree","no migration background","1695","0.471161906733721","0.454261104191208","0.488062709276235"
"Good","1992","secondary school degree","direct migration background","71","0.380242534447486","0.308927791465526","0.451557277429447"
"Good","1992","secondary school degree","indirect migration background","38","0.425219470222259","0.318862332762985","0.531576607681533"
"Good","1992","college entrance qualification","no migration background","759","0.477560737842958","0.45276612996476","0.502355345721157"
"Good","1992","college entrance qualification","direct migration background","71","0.467276592271794","0.387165461874771","0.547387722668818"
"Good","1992","college entrance qualification","indirect migration background","13","","",""
"Good","1992","Other degree","no migration background","26","","",""
"Good","1992","Other degree","direct migration background","371","0.401472697013737","0.36974537516922","0.433200018858254"
"Good","1992","Other degree","indirect migration background","8","","",""
"Good","1992","no degree/no degree yet","no migration background","74","0.38019007075172","0.313739179472214","0.446640962031226"
"Good","1992","no degree/no degree yet","direct migration background","188","0.30609436968711","0.268779909838413","0.343408829535808"
"Good","1992","no degree/no degree yet","indirect migration background","29","","",""
"Satisfactory","1992","lower secondary degree","no migration background","1806","0.363563620701108","0.350286179755615","0.376841061646601"
"Satisfactory","1992","lower secondary degree","direct migration background","166","0.311085454940975","0.27527555504834","0.34689535483361"
"Satisfactory","1992","lower secondary degree","indirect migration background","25","","",""
"Satisfactory","1992","secondary school degree","no migration background","762","0.259877948488751","0.245028946550249","0.274726950427253"
"Satisfactory","1992","secondary school degree","direct migration background","50","0.352215254357367","0.28204427645679","0.422386232257944"
"Satisfactory","1992","secondary school degree","indirect migration background","6","","",""
"Satisfactory","1992","college entrance qualification","no migration background","340","0.226574988311651","0.205795247663192","0.24735472896011"
"Satisfactory","1992","college entrance qualification","direct migration background","28","","",""
"Satisfactory","1992","college entrance qualification","indirect migration background","2","","",""
"Satisfactory","1992","Other degree","no migration background","30","0.399781244325564","0.291071924498045","0.508490564153083"
"Satisfactory","1992","Other degree","direct migration background","252","0.253687659853147","0.22552501712911","0.281850302577185"
"Satisfactory","1992","Other degree","indirect migration background","","","",""
"Satisfactory","1992","no degree/no degree yet","no migration background","38","0.164308971993787","0.113583666701848","0.215034277285725"
"Satisfactory","1992","no degree/no degree yet","direct migration background","175","0.279448254807002","0.243116818189728","0.315779691424276"
"Satisfactory","1992","no degree/no degree yet","indirect migration background","5","","",""
"Less good","1992","lower secondary degree","no migration background","722","0.158109943614999","0.148039375940389","0.168180511289609"
"Less good","1992","lower secondary degree","direct migration background","59","0.143967906181514","0.116812366087249","0.17112344627578"
"Less good","1992","lower secondary degree","indirect migration background","11","","",""
"Less good","1992","secondary school degree","no migration background","206","0.0807682356227633","0.0715426554658386","0.089993815779688"
"Less good","1992","secondary school degree","direct migration background","14","","",""
"Less good","1992","secondary school degree","indirect migration background","4","","",""
"Less good","1992","college entrance qualification","no migration background","102","0.0768959030357967","0.0636707114110401","0.0901210946605534"
"Less good","1992","college entrance qualification","direct migration background","7","","",""
"Less good","1992","college entrance qualification","indirect migration background","4","","",""
"Less good","1992","Other degree","no migration background","6","","",""
"Less good","1992","Other degree","direct migration background","138","0.154822425633075","0.131409572576538","0.178235278689612"
"Less good","1992","Other degree","indirect migration background","1","","",""
"Less good","1992","no degree/no degree yet","no migration background","14","","",""
"Less good","1992","no degree/no degree yet","direct migration background","128","0.220482412032215","0.186916440808473","0.254048383255956"
"Less good","1992","no degree/no degree yet","indirect migration background","2","","",""
"Poor","1992","lower secondary degree","no migration background","272","0.0668791288665733","0.0599837056649592","0.0737745520681873"
"Poor","1992","lower secondary degree","direct migration background","18","","",""
"Poor","1992","lower secondary degree","indirect migration background","2","","",""
