"ple0009","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","Not Employed","Urban Area","964","0.209654589909912","0.19865818290461","0.220650996915214"
"Yes, strongly limited","2011","Not Employed","Rural Area","574","0.215817018340391","0.200581996287849","0.231052040392932"
"Yes, strongly limited","2011","Employed","Urban Area","324","0.0417592334715724","0.0374364118093549","0.0460820551337899"
"Yes, strongly limited","2011","Employed","Rural Area","220","0.0536447470128242","0.0469902515208151","0.0602992425048333"
"Yes, somewhat limited","2011","Not Employed","Urban Area","1516","0.308801730999224","0.296321249676029","0.32128221232242"
"Yes, somewhat limited","2011","Not Employed","Rural Area","845","0.313837035511677","0.296651729505206","0.331022341518148"
"Yes, somewhat limited","2011","Employed","Urban Area","1296","0.160973255239459","0.153031463320952","0.168915047157967"
"Yes, somewhat limited","2011","Employed","Rural Area","727","0.172794738503964","0.161628771578522","0.183960705429407"
"No, not limited","2011","Not Employed","Urban Area","2784","0.481543679090864","0.468045845151398","0.495041513030329"
"No, not limited","2011","Not Employed","Rural Area","1382","0.470345946147932","0.451861927859588","0.488829964436276"
"No, not limited","2011","Employed","Urban Area","6606","0.797267511288968","0.788579558589958","0.805955463987979"
"No, not limited","2011","Employed","Rural Area","3457","0.773560514483211","0.761199683662624","0.785921345303799"
"Yes, strongly limited","2012","Not Employed","Urban Area","1131","0.212403572753116","0.202178903651705","0.222628241854527"
"Yes, strongly limited","2012","Not Employed","Rural Area","726","0.242667115380629","0.228468732236032","0.256865498525227"
"Yes, strongly limited","2012","Employed","Urban Area","444","0.0391539773767458","0.0355706195135979","0.0427373352398937"
"Yes, strongly limited","2012","Employed","Rural Area","242","0.0411588943357855","0.0362255196908763","0.0460922689806948"
"Yes, somewhat limited","2012","Not Employed","Urban Area","1957","0.355791166832004","0.343823006378003","0.367759327286005"
"Yes, somewhat limited","2012","Not Employed","Rural Area","1170","0.355931665515075","0.340073998016724","0.371789333013427"
"Yes, somewhat limited","2012","Employed","Urban Area","2226","0.204103290630547","0.196657193463014","0.211549387798079"
"Yes, somewhat limited","2012","Employed","Rural Area","1342","0.232617836978267","0.222125643698561","0.243110030257973"
"No, not limited","2012","Not Employed","Urban Area","3059","0.43180526041488","0.419422739985679","0.444187780844081"
"No, not limited","2012","Not Employed","Rural Area","1606","0.401401219104295","0.38516640658471","0.41763603162388"
"No, not limited","2012","Employed","Urban Area","8585","0.756742731992707","0.748816215217332","0.764669248768083"
"No, not limited","2012","Employed","Rural Area","4645","0.726223268685947","0.715150090906605","0.737296446465289"
"Yes, strongly limited","2013","Not Employed","Urban Area","1245","0.177332424271184","0.169640120282167","0.1850247282602"
"Yes, strongly limited","2013","Not Employed","Rural Area","684","0.212114769445975","0.199824240885666","0.224405298006284"
"Yes, strongly limited","2013","Employed","Urban Area","425","0.045561641357845","0.04162219791686","0.04950108479883"
"Yes, strongly limited","2013","Employed","Rural Area","255","0.0449864185186431","0.039735621640987","0.0502372153962993"
"Yes, somewhat limited","2013","Not Employed","Urban Area","2308","0.296320699543793","0.287124284656342","0.305517114431245"
"Yes, somewhat limited","2013","Not Employed","Rural Area","1196","0.325548426685392","0.311460833154228","0.339636020216557"
"Yes, somewhat limited","2013","Employed","Urban Area","2013","0.18715344052459","0.179785189043495","0.194521692005685"
"Yes, somewhat limited","2013","Employed","Rural Area","1221","0.208226797967654","0.197940752386103","0.218512843549206"
"No, not limited","2013","Not Employed","Urban Area","5918","0.526346876185023","0.516291081429964","0.536402670940083"
"No, not limited","2013","Not Employed","Rural Area","2370","0.462336803868633","0.447347273930109","0.477326333807156"
"No, not limited","2013","Employed","Urban Area","8326","0.767284918117565","0.759302180728089","0.775267655507041"
"No, not limited","2013","Employed","Rural Area","4510","0.746786783513702","0.735770851894465","0.75780271513294"
"Yes, strongly limited","2014","Not Employed","Urban Area","","","",""
