"ple0009","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","Urban Area","West Germany","8237","0.675602663501427","0.667136124820658","0.684069202182195","3"
"No, not limited","2011","Urban Area","East Germany","1153","0.66173828241838","0.639539971491031","0.683936593345729","3"
"No, not limited","2011","Rural Area","West Germany","2804","0.681532919310034","0.667193605998254","0.695872232621814","3"
"No, not limited","2011","Rural Area","East Germany","2035","0.618044090476313","0.601076930287461","0.635011250665166","3"
"Yes, somewhat limited","2011","Urban Area","West Germany","2398","0.217060673770785","0.209605183501275","0.224516164040295","2"
"Yes, somewhat limited","2011","Urban Area","East Germany","414","0.232546583541849","0.212725318490312","0.252367848593387","2"
"Yes, somewhat limited","2011","Rural Area","West Germany","823","0.20417971844732","0.191772727551496","0.216586709343144","2"
"Yes, somewhat limited","2011","Rural Area","East Germany","749","0.264716031086094","0.249309300643478","0.280122761528709","2"
"Yes, strongly limited","2011","Urban Area","West Germany","1110","0.107336662727788","0.101738577917851","0.112934747537725","1"
"Yes, strongly limited","2011","Urban Area","East Germany","178","0.105715134039771","0.0912887696263208","0.120141498453221","1"
"Yes, strongly limited","2011","Rural Area","West Germany","428","0.114287362242646","0.104494758365586","0.124079966119707","1"
"Yes, strongly limited","2011","Rural Area","East Germany","366","0.117239878437593","0.106005427634534","0.128474329240652","1"
"No, not limited","2012","Urban Area","East Germany","1357","0.599578955193617","0.578905931204382","0.620251979182851","3"
"No, not limited","2012","Urban Area","West Germany","10287","0.637867376022958","0.630237848535892","0.645496903510023","3"
"No, not limited","2012","Rural Area","West Germany","3896","0.621012528175245","0.608581826336288","0.633443230014203","3"
"No, not limited","2012","Rural Area","East Germany","2355","0.567580950609313","0.551992658243104","0.583169242975522","3"
"Yes, somewhat limited","2012","Urban Area","West Germany","3608","0.259500116382366","0.252541387814287","0.266458844950446","2"
"Yes, somewhat limited","2012","Urban Area","East Germany","575","0.278378287274919","0.259468142832034","0.297288431717803","2"
"Yes, somewhat limited","2012","Rural Area","West Germany","1425","0.2678751589167","0.256527877276905","0.279222440556495","2"
"Yes, somewhat limited","2012","Rural Area","East Germany","1087","0.301401531343003","0.28696314128848","0.315839921397527","2"
"Yes, strongly limited","2012","Urban Area","West Germany","1349","0.102632507594676","0.0978149572985845","0.107450057890767","1"
"Yes, strongly limited","2012","Urban Area","East Germany","226","0.122042757531464","0.10823207762367","0.135853437439259","1"
"Yes, strongly limited","2012","Rural Area","West Germany","530","0.111112312908054","0.103059685941247","0.119164939874862","1"
"Yes, strongly limited","2012","Rural Area","East Germany","438","0.131017518047684","0.120400503242175","0.141634532853192","1"
"No, not limited","2013","Urban Area","West Germany","12799","0.662754351917732","0.655853930526457","0.669654773309007","3"
"No, not limited","2013","Urban Area","East Germany","1445","0.631185122571732","0.61103751723435","0.651332727909115","3"
"No, not limited","2013","Rural Area","West Germany","4440","0.644517839700929","0.632768855668245","0.656266823733613","3"
"No, not limited","2013","Rural Area","East Germany","2440","0.606387642843925","0.590975466407767","0.621799819280082","3"
"Yes, somewhat limited","2013","Urban Area","West Germany","3763","0.233760307743111","0.227583076640446","0.239937538845777","2"
"Yes, somewhat limited","2013","Urban Area","East Germany","558","0.256025085552506","0.237800349445601","0.274249821659411","2"
"Yes, somewhat limited","2013","Rural Area","West Germany","1417","0.246397006665462","0.235819995617095","0.256974017713829","2"
"Yes, somewhat limited","2013","Rural Area","East Germany","1000","0.273228280410244","0.25917051561007","0.287286045210418","2"
"Yes, strongly limited","2013","Urban Area","West Germany","1470","0.103485340339157","0.0990395983402356","0.107931082338078","1"
