"ple0011","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","(0) in school","2","","",""
"Yes","2011","no migration background","(1a) inadequately completed","15","","",""
"Yes","2011","no migration background","(1b) general elementary school","204","1","1","1"
"Yes","2011","no migration background","(1c) basic vocational qualification","548","1","1","1"
"Yes","2011","no migration background","(2b) intermediate general qualification","22","","",""
"Yes","2011","no migration background","(2a) intermediate vocational","380","1","1","1"
"Yes","2011","no migration background","(2c_gen) general maturity certificate","14","","",""
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","89","1","1","1"
"Yes","2011","no migration background","(3a) lower tertiary education","147","1","1","1"
"Yes","2011","no migration background","(3b) higher tertiary education","174","1","1","1"
"Yes","2011","direct migration background","(0) in school","1","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","18","","",""
"Yes","2011","direct migration background","(1b) general elementary school","51","1","1","1"
"Yes","2011","direct migration background","(1c) basic vocational qualification","60","1","1","1"
"Yes","2011","direct migration background","(2b) intermediate general qualification","2","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","10","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","12","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","18","","",""
"Yes","2011","direct migration background","(3a) lower tertiary education","4","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","31","1","1","1"
"Yes","2011","indirect migration background","(0) in school","1","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","9","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","14","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","5","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","10","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","1","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","3","","",""
"Yes","2012","no migration background","(0) in school","","","",""
"Yes","2012","no migration background","(1a) inadequately completed","","","",""
"Yes","2012","no migration background","(1b) general elementary school","","","",""
"Yes","2012","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","no migration background","(2a) intermediate vocational","","","",""
"Yes","2012","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no migration background","(3a) lower tertiary education","","","",""
"Yes","2012","no migration background","(3b) higher tertiary education","","","",""
"Yes","2012","direct migration background","(0) in school","","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","","","",""
"Yes","2012","direct migration background","(1b) general elementary school","","","",""
"Yes","2012","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2012","indirect migration background","(0) in school","","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2012","indirect migration background","(1b) general elementary school","","","",""
"Yes","2012","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2012","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2012","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2013","no migration background","(0) in school","3","","",""
"Yes","2013","no migration background","(1a) inadequately completed","18","","",""
"Yes","2013","no migration background","(1b) general elementary school","156","1","1","1"
"Yes","2013","no migration background","(1c) basic vocational qualification","473","1","1","1"
"Yes","2013","no migration background","(2b) intermediate general qualification","33","1","1","1"
"Yes","2013","no migration background","(2a) intermediate vocational","400","1","1","1"
"Yes","2013","no migration background","(2c_gen) general maturity certificate","12","","",""
"Yes","2013","no migration background","(2c_voc) vocational maturity certificate","94","1","1","1"
"Yes","2013","no migration background","(3a) lower tertiary education","137","1","1","1"
"Yes","2013","no migration background","(3b) higher tertiary education","169","1","1","1"
"Yes","2013","direct migration background","(0) in school","","","",""
