"ple0011","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2011","in school","West Germany","3","","",""
"Yes","2011","in school","East Germany","1","","",""
"Yes","2011","inadequately","West Germany","22","","",""
"Yes","2011","inadequately","East Germany","2","","",""
"Yes","2011","general elemantary","West Germany","254","1","1","1"
"Yes","2011","general elemantary","East Germany","37","1","1","1"
"Yes","2011","middle vocational","West Germany","763","1","1","1"
"Yes","2011","middle vocational","East Germany","208","1","1","1"
"Yes","2011","vocational + Abi","West Germany","71","1","1","1"
"Yes","2011","vocational + Abi","East Germany","13","","",""
"Yes","2011","higher vocational","West Germany","81","1","1","1"
"Yes","2011","higher vocational","East Germany","43","1","1","1"
"Yes","2011","higher education","West Germany","239","1","1","1"
"Yes","2011","higher education","East Germany","121","1","1","1"
"Yes","2012","in school","West Germany","","","",""
"Yes","2012","in school","East Germany","","","",""
"Yes","2012","inadequately","West Germany","","","",""
"Yes","2012","inadequately","East Germany","","","",""
"Yes","2012","general elemantary","West Germany","","","",""
"Yes","2012","general elemantary","East Germany","","","",""
"Yes","2012","middle vocational","West Germany","","","",""
"Yes","2012","middle vocational","East Germany","","","",""
"Yes","2012","vocational + Abi","West Germany","","","",""
"Yes","2012","vocational + Abi","East Germany","","","",""
"Yes","2012","higher vocational","West Germany","","","",""
"Yes","2012","higher vocational","East Germany","","","",""
"Yes","2012","higher education","West Germany","","","",""
"Yes","2012","higher education","East Germany","","","",""
"Yes","2013","in school","West Germany","3","","",""
"Yes","2013","in school","East Germany","1","","",""
"Yes","2013","inadequately","West Germany","24","","",""
"Yes","2013","inadequately","East Germany","","","",""
"Yes","2013","general elemantary","West Germany","214","1","1","1"
"Yes","2013","general elemantary","East Germany","23","","",""
"Yes","2013","middle vocational","West Germany","706","1","1","1"
"Yes","2013","middle vocational","East Germany","211","1","1","1"
"Yes","2013","vocational + Abi","West Germany","86","1","1","1"
"Yes","2013","vocational + Abi","East Germany","9","","",""
