"ple0011","year","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Male","650","1","1","1"
"Yes","2011","Female","1226","1","1","1"
"Yes","2012","Male","","","",""
"Yes","2012","Female","","","",""
"Yes","2013","Male","638","1","1","1"
"Yes","2013","Female","1115","1","1","1"
"Yes","2014","Male","","","",""
"Yes","2014","Female","","","",""
"Yes","2015","Male","781","1","1","1"
"Yes","2015","Female","1418","1","1","1"
"Yes","2016","Male","","","",""
"Yes","2016","Female","","","",""
"Yes","2017","Male","881","1","1","1"
"Yes","2017","Female","1497","1","1","1"
"Yes","2018","Male","","","",""
"Yes","2018","Female","","","",""
"Yes","2019","Male","943","1","1","1"
"Yes","2019","Female","1390","1","1","1"
