"ple0013","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","1-pers.-HH","72","1","1","1"
"Yes","2009","lower secondary degree","(Married) couple without C. ","140","1","1","1"
"Yes","2009","lower secondary degree","Single parent ","14","","",""
"Yes","2009","lower secondary degree","Couple + C. LE 16 ","32","1","1","1"
"Yes","2009","lower secondary degree","Couple + C. GT 16 ","33","1","1","1"
"Yes","2009","lower secondary degree","Couple + C. LE and GT 16","9","","",""
"Yes","2009","secondary school degree","1-pers.-HH","36","1","1","1"
"Yes","2009","secondary school degree","(Married) couple without C. ","83","1","1","1"
"Yes","2009","secondary school degree","Single parent ","17","","",""
"Yes","2009","secondary school degree","Couple + C. LE 16 ","44","1","1","1"
"Yes","2009","secondary school degree","Couple + C. GT 16 ","29","","",""
"Yes","2009","secondary school degree","Couple + C. LE and GT 16","11","","",""
"Yes","2009","college entrance qualification","1-pers.-HH","52","1","1","1"
"Yes","2009","college entrance qualification","(Married) couple without C. ","78","1","1","1"
"Yes","2009","college entrance qualification","Single parent ","7","","",""
"Yes","2009","college entrance qualification","Couple + C. LE 16 ","49","1","1","1"
"Yes","2009","college entrance qualification","Couple + C. GT 16 ","30","1","1","1"
"Yes","2009","college entrance qualification","Couple + C. LE and GT 16","25","","",""
"Yes","2009","Other degree","1-pers.-HH","6","","",""
"Yes","2009","Other degree","(Married) couple without C. ","20","","",""
"Yes","2009","Other degree","Single parent ","3","","",""
"Yes","2009","Other degree","Couple + C. LE 16 ","4","","",""
"Yes","2009","Other degree","Couple + C. GT 16 ","5","","",""
"Yes","2009","Other degree","Couple + C. LE and GT 16","2","","",""
"Yes","2009","no degree/no degree yet","1-pers.-HH","3","","",""
"Yes","2009","no degree/no degree yet","(Married) couple without C. ","4","","",""
"Yes","2009","no degree/no degree yet","Single parent ","7","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2009","no degree/no degree yet","Couple + C. GT 16 ","10","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE and GT 16","10","","",""
"Yes","2010","lower secondary degree","1-pers.-HH","","","",""
"Yes","2010","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2010","lower secondary degree","Single parent ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","secondary school degree","1-pers.-HH","","","",""
"Yes","2010","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2010","secondary school degree","Single parent ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","college entrance qualification","1-pers.-HH","","","",""
"Yes","2010","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2010","college entrance qualification","Single parent ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2010","Other degree","1-pers.-HH","","","",""
"Yes","2010","Other degree","(Married) couple without C. ","","","",""
"Yes","2010","Other degree","Single parent ","","","",""
"Yes","2010","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2010","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2010","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2010","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2010","no degree/no degree yet","Single parent ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2011","lower secondary degree","1-pers.-HH","90","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","170","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","16","","",""
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","25","","",""
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","40","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE and GT 16","14","","",""
"Yes","2011","secondary school degree","1-pers.-HH","48","1","1","1"
"Yes","2011","secondary school degree","(Married) couple without C. ","121","1","1","1"
"Yes","2011","secondary school degree","Single parent ","22","","",""
"Yes","2011","secondary school degree","Couple + C. LE 16 ","51","1","1","1"
"Yes","2011","secondary school degree","Couple + C. GT 16 ","41","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE and GT 16","16","","",""
"Yes","2011","college entrance qualification","1-pers.-HH","68","1","1","1"
"Yes","2011","college entrance qualification","(Married) couple without C. ","114","1","1","1"
"Yes","2011","college entrance qualification","Single parent ","10","","",""
"Yes","2011","college entrance qualification","Couple + C. LE 16 ","61","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. GT 16 ","47","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. LE and GT 16","12","","",""
"Yes","2011","Other degree","1-pers.-HH","5","","",""
"Yes","2011","Other degree","(Married) couple without C. ","22","","",""
"Yes","2011","Other degree","Single parent ","3","","",""
"Yes","2011","Other degree","Couple + C. LE 16 ","6","","",""
"Yes","2011","Other degree","Couple + C. GT 16 ","10","","",""
"Yes","2011","Other degree","Couple + C. LE and GT 16","2","","",""
"Yes","2011","no degree/no degree yet","1-pers.-HH","7","","",""
"Yes","2011","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Yes","2011","no degree/no degree yet","Single parent ","8","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Yes","2011","no degree/no degree yet","Couple + C. GT 16 ","17","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE and GT 16","6","","",""
"Yes","2012","lower secondary degree","1-pers.-HH","","","",""
"Yes","2012","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2012","lower secondary degree","Single parent ","","","",""
"Yes","2012","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2012","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2012","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","secondary school degree","1-pers.-HH","","","",""
"Yes","2012","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2012","secondary school degree","Single parent ","","","",""
"Yes","2012","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2012","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2012","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","college entrance qualification","1-pers.-HH","","","",""
"Yes","2012","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2012","college entrance qualification","Single parent ","","","",""
"Yes","2012","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2012","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2012","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2012","Other degree","1-pers.-HH","","","",""
"Yes","2012","Other degree","(Married) couple without C. ","","","",""
"Yes","2012","Other degree","Single parent ","","","",""
"Yes","2012","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2012","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2012","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2012","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2012","no degree/no degree yet","Single parent ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2013","lower secondary degree","1-pers.-HH","96","1","1","1"
"Yes","2013","lower secondary degree","(Married) couple without C. ","162","1","1","1"
