"ple0013","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","Male","21","","",""
"Yes","2009","in school","Female","5","","",""
"Yes","2009","inadequately","Male","3","","",""
"Yes","2009","inadequately","Female","7","","",""
"Yes","2009","general elemantary","Male","26","","",""
"Yes","2009","general elemantary","Female","69","1","1","1"
"Yes","2009","middle vocational","Male","195","1","1","1"
"Yes","2009","middle vocational","Female","249","1","1","1"
"Yes","2009","vocational + Abi","Male","21","","",""
"Yes","2009","vocational + Abi","Female","33","1","1","1"
"Yes","2009","higher vocational","Male","43","1","1","1"
"Yes","2009","higher vocational","Female","16","","",""
"Yes","2009","higher education","Male","74","1","1","1"
"Yes","2009","higher education","Female","102","1","1","1"
"Yes","2010","in school","Male","","","",""
"Yes","2010","in school","Female","","","",""
"Yes","2010","inadequately","Male","","","",""
"Yes","2010","inadequately","Female","","","",""
"Yes","2010","general elemantary","Male","","","",""
"Yes","2010","general elemantary","Female","","","",""
"Yes","2010","middle vocational","Male","","","",""
"Yes","2010","middle vocational","Female","","","",""
"Yes","2010","vocational + Abi","Male","","","",""
"Yes","2010","vocational + Abi","Female","","","",""
"Yes","2010","higher vocational","Male","","","",""
"Yes","2010","higher vocational","Female","","","",""
"Yes","2010","higher education","Male","","","",""
"Yes","2010","higher education","Female","","","",""
"Yes","2011","in school","Male","15","","",""
"Yes","2011","in school","Female","12","","",""
"Yes","2011","inadequately","Male","5","","",""
"Yes","2011","inadequately","Female","12","","",""
"Yes","2011","general elemantary","Male","37","1","1","1"
"Yes","2011","general elemantary","Female","95","1","1","1"
"Yes","2011","middle vocational","Male","248","1","1","1"
"Yes","2011","middle vocational","Female","331","1","1","1"
"Yes","2011","vocational + Abi","Male","30","1","1","1"
"Yes","2011","vocational + Abi","Female","43","1","1","1"
"Yes","2011","higher vocational","Male","41","1","1","1"
"Yes","2011","higher vocational","Female","21","","",""
"Yes","2011","higher education","Male","97","1","1","1"
"Yes","2011","higher education","Female","107","1","1","1"
