"ple0017","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Mecklenburg-Western Pomerania","456","0.954011896208275","0.935195161532393","0.972828630884156","2"
"No","2009","Lower Saxony","1563","0.94875027193574","0.93810092365072","0.959399620220761","2"
"No","2009","Bremen","116","0.986659153802098","0.966131811170162","1.00718649643403","2"
"No","2009","Schleswig-Holstein","484","0.933823992239859","0.912375042282918","0.9552729421968","2"
"No","2009","Hamburg","256","0.96127978634691","0.938309985850532","0.984249586843289","2"
"No","2009","Brandenburg","756","0.953372157329597","0.93871605731044","0.968028257348753","2"
"No","2009","North Rhine-Westphalia","3468","0.953553866871946","0.94672188474004","0.960385849003853","2"
"No","2009","Saxony","1310","0.95147858006668","0.940117464348598","0.962839695784762","2"
"No","2009","Thuringia","782","0.954783988673819","0.940605830896643","0.968962146450996","2"
"No","2009","Saxony-Anhalt","736","0.949129300492218","0.933629147460247","0.964629453524189","2"
"No","2009","Baden-Württemberg","2004","0.944468140539343","0.934714878839751","0.954221402238935","2"
"No","2009","Bavaria","2491","0.944313688521089","0.93554634992739","0.953081027114788","2"
"No","2009","Berlin","639","0.939517264250293","0.9216789369115","0.957355591589086","2"
"No","2009","Hesse","1163","0.953858007154727","0.94211463309658","0.965601381212874","2"
"No","2009","Rhineland-Palatinate,Saarland","973","0.944314020965545","0.930289306824142","0.958338735106947","2"
"Yes","2009","Schleswig-Holstein","32","0.0661760077601411","0.0447270578031997","0.0876249577170825","1"
"Yes","2009","Hamburg","15","","","","1"
"Yes","2009","Lower Saxony","84","0.0512497280642595","0.0406003797792386","0.0618990763492804","1"
"Yes","2009","Bremen","4","","","","1"
"Yes","2009","North Rhine-Westphalia","177","0.0464461331280536","0.039614150996147","0.0532781152599601","1"
"Yes","2009","Hesse","63","0.0461419928452731","0.0343986187871265","0.0578853669034197","1"
"Yes","2009","Rhineland-Palatinate,Saarland","54","0.0556859790344554","0.0416612648930534","0.0697106931758574","1"
"Yes","2009","Baden-Württemberg","114","0.0555318594606566","0.0457785977610647","0.0652851211602486","1"
"Yes","2009","Bavaria","137","0.0556863114789113","0.0469189728852123","0.0644536500726102","1"
"Yes","2009","Berlin","47","0.060482735749707","0.0426444084109139","0.0783210630885001","1"
"Yes","2009","Brandenburg","39","0.0466278426704034","0.0319717426512465","0.0612839426895602","1"
"Yes","2009","Mecklenburg-Western Pomerania","20","","","","1"
"Yes","2009","Saxony","64","0.0485214199333202","0.0371603042152381","0.0598825356514023","1"
"Yes","2009","Saxony-Anhalt","36","0.0508706995077818","0.0353705464758108","0.0663708525397529","1"
"Yes","2009","Thuringia","43","0.0452160113261807","0.0310378535490044","0.0593941691033571","1"
"No","2010","Mecklenburg-Western Pomerania","","","","","2"
"No","2010","Brandenburg","","","","","2"
"No","2010","Schleswig-Holstein","","","","","2"
"No","2010","Hamburg","","","","","2"
"No","2010","Lower Saxony","","","","","2"
"No","2010","Saxony","","","","","2"
"No","2010","North Rhine-Westphalia","","","","","2"
"No","2010","Saxony-Anhalt","","","","","2"
"No","2010","Thuringia","","","","","2"
"No","2010","Bremen","","","","","2"
"No","2010","Hesse","","","","","2"
"No","2010","Rhineland-Palatinate,Saarland","","","","","2"
"No","2010","Baden-Württemberg","","","","","2"
"No","2010","Bavaria","","","","","2"
"No","2010","Berlin","","","","","2"
"Yes","2010","Schleswig-Holstein","","","","","1"
"Yes","2010","Hamburg","","","","","1"
"Yes","2010","Lower Saxony","","","","","1"
"Yes","2010","Bremen","","","","","1"
"Yes","2010","North Rhine-Westphalia","","","","","1"
"Yes","2010","Hesse","","","","","1"
"Yes","2010","Rhineland-Palatinate,Saarland","","","","","1"
"Yes","2010","Baden-Württemberg","","","","","1"
"Yes","2010","Bavaria","","","","","1"
"Yes","2010","Berlin","","","","","1"
"Yes","2010","Brandenburg","","","","","1"
"Yes","2010","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2010","Saxony","","","","","1"
"Yes","2010","Saxony-Anhalt","","","","","1"
"Yes","2010","Thuringia","","","","","1"
"No","2011","North Rhine-Westphalia","3921","0.943109342761286","0.936066239171043","0.95015244635153","2"
"No","2011","Hamburg","295","0.948391693767041","0.923960398755196","0.972822988778885","2"
"No","2011","Lower Saxony","1826","0.956817864567284","0.947725765232408","0.965909963902159","2"
"No","2011","Bremen","122","0.954621923269496","0.918423889983691","0.9908199565553","2"
"No","2011","Mecklenburg-Western Pomerania","487","0.941323115274831","0.921103760252303","0.961542470297358","2"
"No","2011","Schleswig-Holstein","616","0.939161700193793","0.920827995936646","0.957495404450939","2"
"No","2011","Thuringia","834","0.946458921703157","0.931669624751884","0.961248218654429","2"
"No","2011","Brandenburg","842","0.947487050869924","0.932824245947448","0.962149855792399","2"
"No","2011","Saxony","1359","0.965098050638626","0.955518412685505","0.974677688591747","2"
"No","2011","Saxony-Anhalt","827","0.949298646011912","0.934720587999999","0.963876704023825","2"
"No","2011","Hesse","1329","0.936266470995089","0.923547649133939","0.948985292856239","2"
"No","2011","Rhineland-Palatinate,Saarland","1140","0.936830570176026","0.923134978903989","0.950526161448063","2"
"No","2011","Baden-Württemberg","2354","0.948025117724212","0.939322064447124","0.956728171001301","2"
"No","2011","Bavaria","3015","0.941773416269719","0.933661207429735","0.949885625109703","2"
"No","2011","Berlin","733","0.943869352939972","0.927747194798559","0.959991511081385","2"
"Yes","2011","Schleswig-Holstein","37","0.0608382998062075","0.0425045955490607","0.0791720040633543","1"
