"ple0017","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Full Time","10","","",""
"Yes","2009","Schleswig-Holstein","Part Time","10","","",""
"Yes","2009","Schleswig-Holstein","Not Working","12","","",""
"Yes","2009","Hamburg","Full Time","8","","",""
"Yes","2009","Hamburg","Part Time","6","","",""
"Yes","2009","Hamburg","Not Working","1","","",""
"Yes","2009","Lower Saxony","Full Time","23","","",""
"Yes","2009","Lower Saxony","Part Time","30","1","1","1"
"Yes","2009","Lower Saxony","Not Working","31","1","1","1"
"Yes","2009","Bremen","Full Time","1","","",""
"Yes","2009","Bremen","Part Time","","","",""
"Yes","2009","Bremen","Not Working","3","","",""
"Yes","2009","North Rhine-Westphalia","Full Time","58","1","1","1"
"Yes","2009","North Rhine-Westphalia","Part Time","61","1","1","1"
"Yes","2009","North Rhine-Westphalia","Not Working","58","1","1","1"
"Yes","2009","Hesse","Full Time","22","","",""
"Yes","2009","Hesse","Part Time","23","","",""
"Yes","2009","Hesse","Not Working","18","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Full Time","16","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Part Time","23","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Not Working","15","","",""
"Yes","2009","Baden-Württemberg","Full Time","37","1","1","1"
"Yes","2009","Baden-Württemberg","Part Time","33","1","1","1"
"Yes","2009","Baden-Württemberg","Not Working","44","1","1","1"
"Yes","2009","Bavaria","Full Time","48","1","1","1"
"Yes","2009","Bavaria","Part Time","45","1","1","1"
"Yes","2009","Bavaria","Not Working","44","1","1","1"
"Yes","2009","Berlin","Full Time","16","","",""
"Yes","2009","Berlin","Part Time","17","","",""
"Yes","2009","Berlin","Not Working","14","","",""
"Yes","2009","Brandenburg","Full Time","14","","",""
"Yes","2009","Brandenburg","Part Time","9","","",""
"Yes","2009","Brandenburg","Not Working","16","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Full Time","9","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Part Time","4","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Not Working","7","","",""
"Yes","2009","Saxony","Full Time","19","","",""
"Yes","2009","Saxony","Part Time","18","","",""
