"ple0019","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","Male","1","","",""
"Yes","2009","(0) in school","Female","4","","",""
"Yes","2009","(1a) inadequately completed","Male","3","","",""
"Yes","2009","(1a) inadequately completed","Female","15","","",""
"Yes","2009","(1b) general elementary school","Male","16","","",""
"Yes","2009","(1b) general elementary school","Female","70","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Male","91","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Female","150","1","1","1"
"Yes","2009","(2b) intermediate general qualification","Male","1","","",""
"Yes","2009","(2b) intermediate general qualification","Female","13","","",""
"Yes","2009","(2a) intermediate vocational","Male","62","1","1","1"
"Yes","2009","(2a) intermediate vocational","Female","179","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","Male","6","","",""
"Yes","2009","(2c_gen) general maturity certificate","Female","19","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Male","22","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Female","50","1","1","1"
"Yes","2009","(3a) lower tertiary education","Male","26","","",""
"Yes","2009","(3a) lower tertiary education","Female","32","1","1","1"
"Yes","2009","(3b) higher tertiary education","Male","58","1","1","1"
"Yes","2009","(3b) higher tertiary education","Female","66","1","1","1"
"Yes","2010","(0) in school","Male","","","",""
"Yes","2010","(0) in school","Female","","","",""
"Yes","2010","(1a) inadequately completed","Male","","","",""
"Yes","2010","(1a) inadequately completed","Female","","","",""
"Yes","2010","(1b) general elementary school","Male","","","",""
"Yes","2010","(1b) general elementary school","Female","","","",""
"Yes","2010","(1c) basic vocational qualification","Male","","","",""
"Yes","2010","(1c) basic vocational qualification","Female","","","",""
"Yes","2010","(2b) intermediate general qualification","Male","","","",""
"Yes","2010","(2b) intermediate general qualification","Female","","","",""
"Yes","2010","(2a) intermediate vocational","Male","","","",""
"Yes","2010","(2a) intermediate vocational","Female","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2010","(3a) lower tertiary education","Male","","","",""
"Yes","2010","(3a) lower tertiary education","Female","","","",""
"Yes","2010","(3b) higher tertiary education","Male","","","",""
"Yes","2010","(3b) higher tertiary education","Female","","","",""
"Yes","2011","(0) in school","Male","1","","",""
"Yes","2011","(0) in school","Female","4","","",""
"Yes","2011","(1a) inadequately completed","Male","4","","",""
"Yes","2011","(1a) inadequately completed","Female","16","","",""
"Yes","2011","(1b) general elementary school","Male","28","","",""
"Yes","2011","(1b) general elementary school","Female","102","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Male","126","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Female","195","1","1","1"
"Yes","2011","(2b) intermediate general qualification","Male","6","","",""
"Yes","2011","(2b) intermediate general qualification","Female","21","","",""
"Yes","2011","(2a) intermediate vocational","Male","91","1","1","1"
"Yes","2011","(2a) intermediate vocational","Female","239","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","Male","10","","",""
"Yes","2011","(2c_gen) general maturity certificate","Female","32","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Male","37","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Female","57","1","1","1"
"Yes","2011","(3a) lower tertiary education","Male","28","","",""
"Yes","2011","(3a) lower tertiary education","Female","61","1","1","1"
"Yes","2011","(3b) higher tertiary education","Male","71","1","1","1"
"Yes","2011","(3b) higher tertiary education","Female","96","1","1","1"
"Yes","2012","(0) in school","Male","","","",""
"Yes","2012","(0) in school","Female","","","",""
"Yes","2012","(1a) inadequately completed","Male","","","",""
"Yes","2012","(1a) inadequately completed","Female","","","",""
"Yes","2012","(1b) general elementary school","Male","","","",""
"Yes","2012","(1b) general elementary school","Female","","","",""
"Yes","2012","(1c) basic vocational qualification","Male","","","",""
"Yes","2012","(1c) basic vocational qualification","Female","","","",""
"Yes","2012","(2b) intermediate general qualification","Male","","","",""
"Yes","2012","(2b) intermediate general qualification","Female","","","",""
"Yes","2012","(2a) intermediate vocational","Male","","","",""
"Yes","2012","(2a) intermediate vocational","Female","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2012","(3a) lower tertiary education","Male","","","",""
"Yes","2012","(3a) lower tertiary education","Female","","","",""
"Yes","2012","(3b) higher tertiary education","Male","","","",""
"Yes","2012","(3b) higher tertiary education","Female","","","",""
"Yes","2013","(0) in school","Male","2","","",""
"Yes","2013","(0) in school","Female","1","","",""
"Yes","2013","(1a) inadequately completed","Male","7","","",""
"Yes","2013","(1a) inadequately completed","Female","22","","",""
"Yes","2013","(1b) general elementary school","Male","29","","",""
"Yes","2013","(1b) general elementary school","Female","95","1","1","1"
"Yes","2013","(1c) basic vocational qualification","Male","131","1","1","1"
"Yes","2013","(1c) basic vocational qualification","Female","218","1","1","1"
"Yes","2013","(2b) intermediate general qualification","Male","5","","",""
"Yes","2013","(2b) intermediate general qualification","Female","30","1","1","1"
"Yes","2013","(2a) intermediate vocational","Male","106","1","1","1"
"Yes","2013","(2a) intermediate vocational","Female","254","1","1","1"
"Yes","2013","(2c_gen) general maturity certificate","Male","14","","",""
"Yes","2013","(2c_gen) general maturity certificate","Female","23","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","Male","41","1","1","1"
"Yes","2013","(2c_voc) vocational maturity certificate","Female","75","1","1","1"
"Yes","2013","(3a) lower tertiary education","Male","38","1","1","1"
"Yes","2013","(3a) lower tertiary education","Female","74","1","1","1"
"Yes","2013","(3b) higher tertiary education","Male","81","1","1","1"
"Yes","2013","(3b) higher tertiary education","Female","93","1","1","1"
"Yes","2014","(0) in school","Male","","","",""
"Yes","2014","(0) in school","Female","","","",""
"Yes","2014","(1a) inadequately completed","Male","","","",""
"Yes","2014","(1a) inadequately completed","Female","","","",""
"Yes","2014","(1b) general elementary school","Male","","","",""
"Yes","2014","(1b) general elementary school","Female","","","",""
"Yes","2014","(1c) basic vocational qualification","Male","","","",""
"Yes","2014","(1c) basic vocational qualification","Female","","","",""
"Yes","2014","(2b) intermediate general qualification","Male","","","",""
"Yes","2014","(2b) intermediate general qualification","Female","","","",""
"Yes","2014","(2a) intermediate vocational","Male","","","",""
"Yes","2014","(2a) intermediate vocational","Female","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2014","(3a) lower tertiary education","Male","","","",""
"Yes","2014","(3a) lower tertiary education","Female","","","",""
"Yes","2014","(3b) higher tertiary education","Male","","","",""
"Yes","2014","(3b) higher tertiary education","Female","","","",""
"Yes","2015","(0) in school","Male","","","",""
"Yes","2015","(0) in school","Female","9","","",""
"Yes","2015","(1a) inadequately completed","Male","15","","",""
"Yes","2015","(1a) inadequately completed","Female","30","1","1","1"
"Yes","2015","(1b) general elementary school","Male","51","1","1","1"
"Yes","2015","(1b) general elementary school","Female","122","1","1","1"
"Yes","2015","(1c) basic vocational qualification","Male","148","1","1","1"
"Yes","2015","(1c) basic vocational qualification","Female","265","1","1","1"
"Yes","2015","(2b) intermediate general qualification","Male","10","","",""
"Yes","2015","(2b) intermediate general qualification","Female","40","1","1","1"
"Yes","2015","(2a) intermediate vocational","Male","137","1","1","1"
"Yes","2015","(2a) intermediate vocational","Female","374","1","1","1"
"Yes","2015","(2c_gen) general maturity certificate","Male","17","","",""
"Yes","2015","(2c_gen) general maturity certificate","Female","45","1","1","1"
"Yes","2015","(2c_voc) vocational maturity certificate","Male","52","1","1","1"
"Yes","2015","(2c_voc) vocational maturity certificate","Female","141","1","1","1"
"Yes","2015","(3a) lower tertiary education","Male","51","1","1","1"
"Yes","2015","(3a) lower tertiary education","Female","91","1","1","1"
"Yes","2015","(3b) higher tertiary education","Male","97","1","1","1"
"Yes","2015","(3b) higher tertiary education","Female","149","1","1","1"
"Yes","2016","(0) in school","Male","","","",""
"Yes","2016","(0) in school","Female","","","",""
"Yes","2016","(1a) inadequately completed","Male","","","",""
"Yes","2016","(1a) inadequately completed","Female","","","",""
"Yes","2016","(1b) general elementary school","Male","","","",""
"Yes","2016","(1b) general elementary school","Female","","","",""
"Yes","2016","(1c) basic vocational qualification","Male","","","",""
"Yes","2016","(1c) basic vocational qualification","Female","","","",""
"Yes","2016","(2b) intermediate general qualification","Male","","","",""
"Yes","2016","(2b) intermediate general qualification","Female","","","",""
"Yes","2016","(2a) intermediate vocational","Male","","","",""
"Yes","2016","(2a) intermediate vocational","Female","","","",""
"Yes","2016","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2016","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2016","(3a) lower tertiary education","Male","","","",""
"Yes","2016","(3a) lower tertiary education","Female","","","",""
"Yes","2016","(3b) higher tertiary education","Male","","","",""
"Yes","2016","(3b) higher tertiary education","Female","","","",""
"Yes","2017","(0) in school","Male","3","","",""
"Yes","2017","(0) in school","Female","6","","",""
"Yes","2017","(1a) inadequately completed","Male","27","","",""
"Yes","2017","(1a) inadequately completed","Female","49","1","1","1"
"Yes","2017","(1b) general elementary school","Male","56","1","1","1"
"Yes","2017","(1b) general elementary school","Female","122","1","1","1"
"Yes","2017","(1c) basic vocational qualification","Male","155","1","1","1"
"Yes","2017","(1c) basic vocational qualification","Female","246","1","1","1"
"Yes","2017","(2b) intermediate general qualification","Male","21","","",""
"Yes","2017","(2b) intermediate general qualification","Female","60","1","1","1"
"Yes","2017","(2a) intermediate vocational","Male","147","1","1","1"
"Yes","2017","(2a) intermediate vocational","Female","401","1","1","1"
"Yes","2017","(2c_gen) general maturity certificate","Male","30","1","1","1"
"Yes","2017","(2c_gen) general maturity certificate","Female","52","1","1","1"
