"ple0019","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Urban Area","Male","210","0.0458762955262715","0.0404044849418435","0.0513481061106995"
"Yes","2009","Urban Area","Female","412","0.074633991364439","0.0681187098197797","0.0811492729090984"
"Yes","2009","Rural Area","Male","79","0.0259692028922842","0.0203043868706252","0.0316340189139432"
"Yes","2009","Rural Area","Female","193","0.066436177800509","0.0578502597092837","0.0750220958917343"
"No","2009","Urban Area","Male","5406","0.954123704473729","0.9486518938893","0.959595515058157"
"No","2009","Urban Area","Female","5838","0.925366008635561","0.918850727090902","0.93188129018022"
"No","2009","Rural Area","Male","2949","0.974030797107716","0.968365981086057","0.979695613129375"
"No","2009","Rural Area","Female","3039","0.933563822199491","0.924977904108266","0.942149740290716"
"Yes","2010","Urban Area","Male","","","",""
"Yes","2010","Urban Area","Female","","","",""
"Yes","2010","Rural Area","Male","","","",""
"Yes","2010","Rural Area","Female","","","",""
"No","2010","Urban Area","Male","","","",""
"No","2010","Urban Area","Female","","","",""
"No","2010","Rural Area","Male","","","",""
"No","2010","Rural Area","Female","","","",""
"Yes","2011","Urban Area","Male","281","0.0488437491125663","0.0435477542090446","0.0541397440160881"
"Yes","2011","Urban Area","Female","553","0.0804504704293316","0.0741823011625413","0.0867186396961218"
"Yes","2011","Rural Area","Male","127","0.0383120007536525","0.0319309423187868","0.0446930591885181"
"Yes","2011","Rural Area","Female","284","0.0761387141624547","0.0676927495166029","0.0845846788083065"
"No","2011","Urban Area","Male","6082","0.951156250887434","0.945860255983912","0.956452245790955"
"No","2011","Urban Area","Female","6680","0.919549529570668","0.913281360303878","0.925817698837459"
"No","2011","Rural Area","Male","3349","0.961687999246348","0.955306940811482","0.968069057681213"
"No","2011","Rural Area","Female","3504","0.923861285837545","0.915415321191694","0.932307250483397"
"Yes","2012","Urban Area","Male","","","",""
"Yes","2012","Urban Area","Female","","","",""
"Yes","2012","Rural Area","Male","","","",""
"Yes","2012","Rural Area","Female","","","",""
"No","2012","Urban Area","Male","","","",""
"No","2012","Urban Area","Female","","","",""
"No","2012","Rural Area","Male","","","",""
"No","2012","Rural Area","Female","","","",""
"Yes","2013","Urban Area","Male","323","0.0615264245001759","0.0552910559264325","0.0677617930739193"
"Yes","2013","Urban Area","Female","602","0.094483442031667","0.0874160172439913","0.101550866819343"
"Yes","2013","Rural Area","Male","136","0.0496674219404831","0.0421032639877276","0.0572315798932385"
"Yes","2013","Rural Area","Female","296","0.0929402598029262","0.0833444464148153","0.102536073191037"
"No","2013","Urban Area","Male","5382","0.938473575499824","0.932238206926081","0.944708944073568"
"No","2013","Urban Area","Female","5978","0.905516557968333","0.898449133180657","0.912583982756009"
"No","2013","Rural Area","Male","3033","0.950332578059517","0.942768420106761","0.957896736012272"
"No","2013","Rural Area","Female","3221","0.907059740197074","0.897463926808963","0.916655553585185"
"Yes","2014","Urban Area","Male","","","",""
"Yes","2014","Urban Area","Female","","","",""
"Yes","2014","Rural Area","Male","","","",""
"Yes","2014","Rural Area","Female","","","",""
"No","2014","Urban Area","Male","","","",""
"No","2014","Urban Area","Female","","","",""
"No","2014","Rural Area","Male","","","",""
"No","2014","Rural Area","Female","","","",""
"Yes","2015","Urban Area","Male","413","0.0651155468977092","0.0595260399058394","0.070705053889579"
"Yes","2015","Urban Area","Female","850","0.100929152954288","0.0946869351775183","0.107171370731057"
"Yes","2015","Rural Area","Male","186","0.0568818842108155","0.0497326774104666","0.0640310910111644"
"Yes","2015","Rural Area","Female","451","0.102394806378656","0.0937340138555738","0.111055598901739"
"No","2015","Urban Area","Male","7072","0.934884453102291","0.929294946110421","0.940473960094161"
"No","2015","Urban Area","Female","8096","0.899070847045712","0.892828629268943","0.905313064822482"
"No","2015","Rural Area","Male","3846","0.943118115789185","0.935968908988836","0.950267322589534"
"No","2015","Rural Area","Female","4256","0.897605193621344","0.888944401098261","0.906265986144426"
"Yes","2016","Urban Area","Male","","","",""
"Yes","2016","Urban Area","Female","","","",""
"Yes","2016","Rural Area","Male","","","",""
"Yes","2016","Rural Area","Female","","","",""
"No","2016","Urban Area","Male","","","",""
"No","2016","Urban Area","Female","","","",""
"No","2016","Rural Area","Male","","","",""
"No","2016","Rural Area","Female","","","",""
"Yes","2017","Urban Area","Male","473","0.0674645055464289","0.0619436137123321","0.0729853973805256"
"Yes","2017","Urban Area","Female","944","0.107080870082757","0.10081054338763","0.113351196777885"
"Yes","2017","Rural Area","Male","198","0.0547495242147308","0.0480353528217392","0.0614636956077224"
"Yes","2017","Rural Area","Female","471","0.103748086847663","0.0953311946143695","0.112164979080957"
"No","2017","Urban Area","Male","7456","0.932535494453571","0.927014602619474","0.938056386287668"
"No","2017","Urban Area","Female","8398","0.892919129917243","0.886648803222115","0.89918945661237"
"No","2017","Rural Area","Male","4212","0.945250475785269","0.938536304392278","0.951964647178261"
"No","2017","Rural Area","Female","4571","0.896251913152337","0.887835020919043","0.904668805385631"
"Yes","2018","Urban Area","Male","","","",""
"Yes","2018","Urban Area","Female","","","",""
"Yes","2018","Rural Area","Male","","","",""
"Yes","2018","Rural Area","Female","","","",""
"No","2018","Urban Area","Male","","","",""
"No","2018","Urban Area","Female","","","",""
"No","2018","Rural Area","Male","","","",""
"No","2018","Rural Area","Female","","","",""
"Yes","2019","Urban Area","Male","460","0.066725978722997","0.0610045974981981","0.0724473599477959"
"Yes","2019","Urban Area","Female","937","0.121189047176761","0.114111713979556","0.128266380373966"
"Yes","2019","Rural Area","Male","228","0.0646196371132089","0.0572368614321805","0.0720024127942372"
"Yes","2019","Rural Area","Female","491","0.115376141219427","0.106164915264851","0.124587367174002"
"No","2019","Urban Area","Male","6848","0.933274021277003","0.927552640052204","0.938995402501802"
"No","2019","Urban Area","Female","7231","0.878810952823239","0.871733619626034","0.885888286020444"
"No","2019","Rural Area","Male","4032","0.935380362886791","0.927997587205763","0.94276313856782"
"No","2019","Rural Area","Female","4130","0.884623858780573","0.875412632825998","0.893835084735149"
