"ple0020","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","West Germany","4980","0.991565367445638","0.989033779626118","0.994096955265158","2"
"No","2009","Full Time","West Germany","5203","1","1","1","2"
"No","2009","Full Time","East Germany","1811","1","1","1","2"
"No","2009","Not Working","East Germany","1854","0.991685732275147","0.987566891845862","0.995804572704431","2"
"No","2009","Part Time","West Germany","3343","0.997971585160514","0.996447329865452","0.999495840455575","2"
"No","2009","Part Time","East Germany","885","1","1","1","2"
"Yes","2009","Full Time","West Germany","","","","","1"
"Yes","2009","Full Time","East Germany","","","","","1"
"Yes","2009","Part Time","West Germany","4","","","","1"
"Yes","2009","Part Time","East Germany","","","","","1"
"Yes","2009","Not Working","West Germany","33","0.0084346325543619","0.00590304473484194","0.0109662203738819","1"
"Yes","2009","Not Working","East Germany","13","","","","1"
"No","2010","Not Working","West Germany","","","","","2"
"No","2010","Full Time","West Germany","","","","","2"
"No","2010","Not Working","East Germany","","","","","2"
"No","2010","Full Time","East Germany","","","","","2"
"No","2010","Part Time","West Germany","","","","","2"
"No","2010","Part Time","East Germany","","","","","2"
"Yes","2010","Full Time","West Germany","","","","","1"
"Yes","2010","Full Time","East Germany","","","","","1"
"Yes","2010","Part Time","West Germany","","","","","1"
"Yes","2010","Part Time","East Germany","","","","","1"
"Yes","2010","Not Working","West Germany","","","","","1"
"Yes","2010","Not Working","East Germany","","","","","1"
"No","2011","Full Time","West Germany","5860","0.999685374457312","0.999231337830664","1.00013941108396","2"
"No","2011","Not Working","West Germany","6080","0.988438712322145","0.985762434116717","0.991114990527574","2"
"No","2011","Not Working","East Germany","2005","0.994644781372527","0.991459720412149","0.997829842332905","2"
"No","2011","Full Time","East Germany","1948","0.999008454228311","0.997611175213321","1.0004057332433","2"
"No","2011","Part Time","West Germany","3937","0.999743223178183","0.999242805804622","1.00024364055174","2"
"No","2011","Part Time","East Germany","966","1","1","1","2"
"Yes","2011","Full Time","West Germany","1","","","","1"
"Yes","2011","Full Time","East Germany","1","","","","1"
"Yes","2011","Part Time","West Germany","1","","","","1"
"Yes","2011","Part Time","East Germany","","","","","1"
"Yes","2011","Not Working","West Germany","49","0.0115612876778546","0.00888500947242614","0.014237565883283","1"
"Yes","2011","Not Working","East Germany","12","","","","1"
"No","2012","Full Time","West Germany","","","","","2"
"No","2012","Full Time","East Germany","","","","","2"
"No","2012","Not Working","West Germany","","","","","2"
"No","2012","Not Working","East Germany","","","","","2"
"No","2012","Part Time","West Germany","","","","","2"
"No","2012","Part Time","East Germany","","","","","2"
"Yes","2012","Full Time","West Germany","","","","","1"
"Yes","2012","Full Time","East Germany","","","","","1"
"Yes","2012","Part Time","West Germany","","","","","1"
"Yes","2012","Part Time","East Germany","","","","","1"
"Yes","2012","Not Working","West Germany","","","","","1"
