"ple0021","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Not Employed","direct migration background","601","0.686758487881501","0.655669491136342","0.71784748462666","2"
"No","2011","Not Employed","no migration background","4728","0.643980449033515","0.632815280749101","0.65514561731793","2"
"No","2011","Not Employed","indirect migration background","213","0.921406703983423","0.886322445133474","0.956490962833372","2"
"No","2011","Employed","no migration background","9612","0.873158185528638","0.866932262750818","0.879384108306458","2"
"No","2011","Employed","direct migration background","1032","0.887417078385658","0.869266716983017","0.905567439788298","2"
"No","2011","Employed","indirect migration background","541","0.949003108025094","0.930990506081549","0.967015709968639","2"
"Yes","2011","Not Employed","no migration background","2337","0.356019550966484","0.34485438268207","0.367184719250899","1"
"Yes","2011","Not Employed","direct migration background","254","0.313241512118499","0.28215251537334","0.344330508863658","1"
"Yes","2011","Not Employed","indirect migration background","13","","","","1"
"Yes","2011","Employed","no migration background","1364","0.126841814471362","0.120615891693542","0.133067737249182","1"
"Yes","2011","Employed","direct migration background","133","0.112582921614342","0.0944325602117016","0.130733283016983","1"
"Yes","2011","Employed","indirect migration background","32","0.0509968919749057","0.0329842900313606","0.0690094939184509","1"
"No","2012","Not Employed","no migration background","","","","","2"
"No","2012","Not Employed","direct migration background","","","","","2"
"No","2012","Not Employed","indirect migration background","","","","","2"
"No","2012","Employed","no migration background","","","","","2"
"No","2012","Employed","direct migration background","","","","","2"
"No","2012","Employed","indirect migration background","","","","","2"
"Yes","2012","Not Employed","no migration background","","","","","1"
"Yes","2012","Not Employed","direct migration background","","","","","1"
"Yes","2012","Not Employed","indirect migration background","","","","","1"
"Yes","2012","Employed","no migration background","","","","","1"
"Yes","2012","Employed","direct migration background","","","","","1"
"Yes","2012","Employed","indirect migration background","","","","","1"
"No","2013","Not Employed","no migration background","4326","0.640589141205851","0.628950289356605","0.652227993055096","2"
"No","2013","Not Employed","direct migration background","473","0.653297348294283","0.617605275625175","0.688989420963391","2"
"No","2013","Not Employed","indirect migration background","154","0.928687576393093","0.889301421623787","0.968073731162399","2"
"No","2013","Employed","no migration background","8692","0.864924325582384","0.858235109078331","0.871613542086437","2"
"No","2013","Employed","direct migration background","864","0.831128322826475","0.808057885996536","0.854198759656414","2"
"No","2013","Employed","indirect migration background","519","0.942042984790297","0.922550512853099","0.961535456727494","2"
"Yes","2013","Not Employed","no migration background","2203","0.359410858794149","0.347772006944904","0.371049710643395","1"
"Yes","2013","Not Employed","direct migration background","210","0.346702651705717","0.311010579036609","0.382394724374825","1"
"Yes","2013","Not Employed","indirect migration background","10","","","","1"
"Yes","2013","Employed","no migration background","1338","0.135075674417616","0.128386457913563","0.141764890921669","1"
"Yes","2013","Employed","direct migration background","149","0.168871677173525","0.145801240343586","0.191942114003464","1"
"Yes","2013","Employed","indirect migration background","33","0.0579570152097033","0.0384645432725058","0.0774494871469009","1"
"No","2014","Not Employed","no migration background","","","","","2"
"No","2014","Not Employed","direct migration background","","","","","2"
"No","2014","Not Employed","indirect migration background","","","","","2"
"No","2014","Employed","no migration background","","","","","2"
"No","2014","Employed","direct migration background","","","","","2"
"No","2014","Employed","indirect migration background","","","","","2"
"Yes","2014","Not Employed","no migration background","","","","","1"
"Yes","2014","Not Employed","direct migration background","","","","","1"
"Yes","2014","Not Employed","indirect migration background","","","","","1"
"Yes","2014","Employed","no migration background","","","","","1"
"Yes","2014","Employed","direct migration background","","","","","1"
"Yes","2014","Employed","indirect migration background","","","","","1"
"No","2015","Not Employed","no migration background","4514","0.633508529356465","0.622003419846376","0.645013638866554","2"
"No","2015","Not Employed","direct migration background","1030","0.730816505363049","0.706943630799615","0.754689379926482","2"
"No","2015","Not Employed","indirect migration background","412","0.92837391837799","0.904361091488046","0.952386745267934","2"
"No","2015","Employed","no migration background","10926","0.8699748224334","0.864073590685817","0.875876054180983","2"
"No","2015","Employed","direct migration background","2701","0.879414924593524","0.867752378500274","0.891077470686774","2"
"No","2015","Employed","indirect migration background","1137","0.947502207618311","0.934830497010773","0.960173918225848","2"
"Yes","2015","Not Employed","no migration background","2224","0.366491470643535","0.354986361133446","0.377996580153624","1"
"Yes","2015","Not Employed","direct migration background","296","0.269183494636951","0.245310620073518","0.293056369200385","1"
"Yes","2015","Not Employed","indirect migration background","31","0.07162608162201","0.0476132547320663","0.0956389085119538","1"
"Yes","2015","Employed","no migration background","1552","0.1300251775666","0.124123945819017","0.135926409314183","1"
"Yes","2015","Employed","direct migration background","294","0.120585075406476","0.108922529313225","0.132247621499726","1"
"Yes","2015","Employed","indirect migration background","53","0.0524977923816892","0.0398260817741516","0.0651695029892269","1"
"No","2016","Not Employed","no migration background","","","","","2"
"No","2016","Not Employed","direct migration background","","","","","2"
"No","2016","Not Employed","indirect migration background","","","","","2"
"No","2016","Employed","no migration background","","","","","2"
"No","2016","Employed","direct migration background","","","","","2"
"No","2016","Employed","indirect migration background","","","","","2"
"Yes","2016","Not Employed","no migration background","","","","","1"
"Yes","2016","Not Employed","direct migration background","","","","","1"
"Yes","2016","Not Employed","indirect migration background","","","","","1"
"Yes","2016","Employed","no migration background","","","","","1"
"Yes","2016","Employed","direct migration background","","","","","1"
"Yes","2016","Employed","indirect migration background","","","","","1"
"No","2017","Not Employed","no migration background","4544","0.630375549383319","0.618861929162575","0.641889169604063","2"
"No","2017","Not Employed","direct migration background","1112","0.691258906194154","0.667331579949345","0.715186232438962","2"
"No","2017","Not Employed","indirect migration background","424","0.94452956734396","0.923381027415581","0.965678107272339","2"
"No","2017","Employed","no migration background","11710","0.854486304529492","0.848557395180143","0.860415213878841","2"
"No","2017","Employed","direct migration background","2912","0.86437600393351","0.852579224655397","0.876172783211623","2"
"No","2017","Employed","indirect migration background","1175","0.94026086248467","0.927200462370793","0.953321262598547","2"
"Yes","2017","Not Employed","no migration background","2208","0.369624450616681","0.358110830395937","0.381138070837425","1"
