"ple0024","year","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","4214","1","1","1"
"Yes","2009","Part Time","2342","1","1","1"
"Yes","2009","Not Working","2255","1","1","1"
"Yes","2010","Full Time","","","",""
"Yes","2010","Part Time","","","",""
"Yes","2010","Not Working","","","",""
"Yes","2011","Full Time","3905","1","1","1"
"Yes","2011","Part Time","2226","1","1","1"
"Yes","2011","Not Working","1959","1","1","1"
"Yes","2012","Full Time","","","",""
"Yes","2012","Part Time","","","",""
"Yes","2012","Not Working","","","",""
"Yes","2013","Full Time","3307","1","1","1"
"Yes","2013","Part Time","1911","1","1","1"
"Yes","2013","Not Working","1491","1","1","1"
"Yes","2014","Full Time","","","",""
"Yes","2014","Part Time","","","",""
"Yes","2014","Not Working","","","",""
"Yes","2015","Full Time","4842","1","1","1"
"Yes","2015","Part Time","3234","1","1","1"
"Yes","2015","Not Working","2145","1","1","1"
"Yes","2016","Full Time","","","",""
"Yes","2016","Part Time","","","",""
"Yes","2016","Not Working","","","",""
"Yes","2017","Full Time","5022","1","1","1"
"Yes","2017","Part Time","3355","1","1","1"
"Yes","2017","Not Working","2208","1","1","1"
"Yes","2018","Full Time","","","",""
"Yes","2018","Part Time","","","",""
"Yes","2018","Not Working","","","",""
"Yes","2019","Full Time","4471","1","1","1"
"Yes","2019","Part Time","2694","1","1","1"
"Yes","2019","Not Working","1750","1","1","1"
