"ple0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","16-34 y.","West Germany","4496","0.976579792423495","0.972201799822139","0.980957785024851","2"
"No","1984","35-65 y.","West Germany","5509","0.844684654045462","0.835744190600344","0.853625117490579","2"
"No","1984","16-34 y.","East Germany","","","","","2"
"No","1984","35-65 y.","East Germany","","","","","2"
"No","1984","66 and older","West Germany","988","0.784567951182025","0.761966009321863","0.807169893042188","2"
"No","1984","66 and older","East Germany","","","","","2"
"Yes","1984","16-34 y.","West Germany","88","0.0234202075765051","0.0190422149751495","0.0277982001778607","1"
"Yes","1984","16-34 y.","East Germany","","","","","1"
"Yes","1984","35-65 y.","West Germany","796","0.155315345954538","0.146374882509421","0.164255809399656","1"
"Yes","1984","35-65 y.","East Germany","","","","","1"
"Yes","1984","66 and older","West Germany","283","0.215432048817975","0.192830106957812","0.238033990678138","1"
"Yes","1984","66 and older","East Germany","","","","","1"
"No","1985","16-34 y.","West Germany","4072","0.974437962966446","0.969643147687665","0.979232778245228","2"
"No","1985","16-34 y.","East Germany","","","","","2"
"No","1985","35-65 y.","West Germany","5030","0.84399038697107","0.834601540251809","0.853379233690331","2"
"No","1985","35-65 y.","East Germany","","","","","2"
"No","1985","66 and older","West Germany","861","0.798425190133914","0.774696041013448","0.822154339254379","2"
"No","1985","66 and older","East Germany","","","","","2"
"Yes","1985","16-34 y.","West Germany","90","0.0255620370335536","0.020767221754772","0.0303568523123352","1"
"Yes","1985","16-34 y.","East Germany","","","","","1"
"Yes","1985","35-65 y.","West Germany","708","0.15600961302893","0.146620766309669","0.165398459748191","1"
"Yes","1985","35-65 y.","East Germany","","","","","1"
"Yes","1985","66 and older","West Germany","237","0.201574809866086","0.177845660745621","0.225303958986552","1"
"Yes","1985","66 and older","East Germany","","","","","1"
"No","1986","16-34 y.","East Germany","","","","","2"
"No","1986","16-34 y.","West Germany","419","0.991522653907291","0.982785717294561","1.00025959052002","2"
"No","1986","35-65 y.","East Germany","","","","","2"
"No","1986","35-65 y.","West Germany","44","0.955245604359221","0.89549469110851","1.01499651760993","2"
"No","1986","66 and older","West Germany","6","","","","2"
"No","1986","66 and older","East Germany","","","","","2"
"Yes","1986","16-34 y.","West Germany","4","","","","1"
"Yes","1986","16-34 y.","East Germany","","","","","1"
"Yes","1986","35-65 y.","West Germany","2","","","","1"
"Yes","1986","35-65 y.","East Germany","","","","","1"
"Yes","1986","66 and older","West Germany","2","","","","1"
"Yes","1986","66 and older","East Germany","","","","","1"
"No","1987","16-34 y.","West Germany","3928","0.975547787005885","0.9707757647103","0.980319809301471","2"
"No","1987","16-34 y.","East Germany","","","","","2"
"No","1987","35-65 y.","East Germany","","","","","2"
"No","1987","35-65 y.","West Germany","4709","0.854786087793055","0.845341860093821","0.864230315492288","2"
"No","1987","66 and older","West Germany","820","0.771813221483431","0.746738085268906","0.796888357697957","2"
"No","1987","66 and older","East Germany","","","","","2"
"Yes","1987","16-34 y.","West Germany","96","0.0244522129941148","0.0196801906985292","0.0292242352897003","1"
"Yes","1987","16-34 y.","East Germany","","","","","1"
"Yes","1987","35-65 y.","West Germany","637","0.145213912206945","0.135769684507712","0.154658139906179","1"
"Yes","1987","35-65 y.","East Germany","","","","","1"
"Yes","1987","66 and older","West Germany","256","0.228186778516569","0.203111642302043","0.253261914731094","1"
"Yes","1987","66 and older","East Germany","","","","","1"
"No","1988","16-34 y.","West Germany","3742","0.974192911260689","0.969179828332575","0.979205994188803","2"
"No","1988","16-34 y.","East Germany","","","","","2"
"No","1988","35-65 y.","West Germany","4436","0.847209631690918","0.837324663031078","0.857094600350759","2"
"No","1988","35-65 y.","East Germany","","","","","2"
"No","1988","66 and older","West Germany","744","0.723007454314398","0.69580946181462","0.750205446814177","2"
"No","1988","66 and older","East Germany","","","","","2"
"Yes","1988","16-34 y.","West Germany","101","0.0258070887393108","0.020794005811197","0.0308201716674246","1"
