"ple0040","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","West Germany","26","","",""
"Yes","1984","Schleswig-Holstein","East Germany","","","",""
"Yes","1984","Hamburg","West Germany","27","","",""
"Yes","1984","Hamburg","East Germany","","","",""
"Yes","1984","Lower Saxony","West Germany","121","0.112748029229816","0.0950796370499613","0.13041642140967"
"Yes","1984","Lower Saxony","East Germany","","","",""
"Yes","1984","Bremen","West Germany","19","","",""
"Yes","1984","Bremen","East Germany","","","",""
"Yes","1984","North Rhine-Westphalia","West Germany","372","0.151753984513892","0.139420932251378","0.164087036776405"
"Yes","1984","North Rhine-Westphalia","East Germany","","","",""
"Yes","1984","Hesse","West Germany","117","0.125862442357822","0.107452482909024","0.144272401806619"
"Yes","1984","Hesse","East Germany","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","West Germany","85","0.109999618230451","0.0890022791863211","0.130996957274582"
"Yes","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","1984","Baden-Württemberg","West Germany","152","0.0869334937686298","0.0753102570057849","0.0985567305314746"
"Yes","1984","Baden-Württemberg","East Germany","","","",""
"Yes","1984","Bavaria","West Germany","193","0.115034700733173","0.101352485266191","0.128716916200155"
"Yes","1984","Bavaria","East Germany","","","",""
"Yes","1984","Berlin","West Germany","55","0.175050653105574","0.138177224738799","0.211924081472349"
"Yes","1984","Berlin","East Germany","","","",""
"Yes","1984","Brandenburg","West Germany","","","",""
"Yes","1984","Brandenburg","East Germany","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"Yes","1984","Saxony","West Germany","","","",""
"Yes","1984","Saxony","East Germany","","","",""
"Yes","1984","Saxony-Anhalt","West Germany","","","",""
"Yes","1984","Saxony-Anhalt","East Germany","","","",""
"Yes","1984","Thuringia","West Germany","","","",""
"Yes","1984","Thuringia","East Germany","","","",""
"No","1984","Schleswig-Holstein","West Germany","360","0.924695668727025","0.898370944609655","0.951020392844396"
"No","1984","Schleswig-Holstein","East Germany","","","",""
"No","1984","Hamburg","West Germany","279","0.892269990948159","0.857532066249501","0.927007915646818"
"No","1984","Hamburg","East Germany","","","",""
"No","1984","Lower Saxony","West Germany","1110","0.887251970770184","0.86958357859033","0.904920362950039"
"No","1984","Lower Saxony","East Germany","","","",""
"No","1984","Bremen","West Germany","113","0.815504322182339","0.74933337409596","0.881675270268719"
"No","1984","Bremen","East Germany","","","",""
"No","1984","North Rhine-Westphalia","West Germany","2879","0.848246015486108","0.835912963223595","0.860579067748622"
"No","1984","North Rhine-Westphalia","East Germany","","","",""
"No","1984","Hesse","West Germany","1130","0.874137557642178","0.855727598193381","0.892547517090976"
"No","1984","Hesse","East Germany","","","",""
"No","1984","Rhineland-Palatinate,Saarland","West Germany","768","0.890000381769549","0.869003042725418","0.910997720813679"
"No","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","1984","Baden-Württemberg","West Germany","2105","0.91306650623137","0.901443269468525","0.924689742994215"
"No","1984","Baden-Württemberg","East Germany","","","",""
"No","1984","Bavaria","West Germany","1896","0.884965299266827","0.871283083799845","0.898647514733809"
"No","1984","Bavaria","East Germany","","","",""
"No","1984","Berlin","West Germany","353","0.824949346894426","0.788075918527651","0.861822775261201"
"No","1984","Berlin","East Germany","","","",""
"No","1984","Brandenburg","West Germany","","","",""
"No","1984","Brandenburg","East Germany","","","",""
"No","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"No","1984","Saxony","West Germany","","","",""
"No","1984","Saxony","East Germany","","","",""
"No","1984","Saxony-Anhalt","West Germany","","","",""
"No","1984","Saxony-Anhalt","East Germany","","","",""
"No","1984","Thuringia","West Germany","","","",""
"No","1984","Thuringia","East Germany","","","",""
"Yes","1985","Schleswig-Holstein","West Germany","34","0.111295052839861","0.0783469208018224","0.144243184877899"
"Yes","1985","Schleswig-Holstein","East Germany","","","",""
"Yes","1985","Hamburg","West Germany","20","","",""
"Yes","1985","Hamburg","East Germany","","","",""
"Yes","1985","Lower Saxony","West Germany","109","0.110922589110778","0.0923898282451349","0.12945534997642"
"Yes","1985","Lower Saxony","East Germany","","","",""
"Yes","1985","Bremen","West Germany","18","","",""
"Yes","1985","Bremen","East Germany","","","",""
