"ple0040","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Full Time","(Married) couple without C. ","1046","0.881238265679842","0.862597388257364","0.89987914310232","2"
"No","1984","Full Time","Single parent ","239","0.969789666390042","0.948400341649528","0.991178991130557","2"
"No","1984","Part Time","1-pers.-HH","123","0.890640820244798","0.838189363199848","0.943092277289747","2"
"No","1984","Full Time","1-pers.-HH","504","0.909680996115723","0.885549592790674","0.933812399440772","2"
"No","1984","Full Time","Couple + C. GT 16 ","890","0.92539162419989","0.908717981964003","0.942065266435777","2"
"No","1984","Full Time","Couple + C. LE and GT 16","754","0.938488288359755","0.921797190946276","0.955179385773234","2"
"No","1984","Full Time","Couple + C. LE 16 ","1586","0.943171361639568","0.932020797179644","0.954321926099493","2"
"No","1984","Part Time","(Married) couple without C. ","288","0.850808693865083","0.81231072121676","0.889306666513407","2"
"No","1984","Part Time","Single parent ","95","0.903758961221277","0.846803425927148","0.960714496515407","2"
"No","1984","Part Time","Couple + C. LE 16 ","511","0.966974240200169","0.951760218983101","0.982188261417238","2"
"No","1984","Not Working","1-pers.-HH","511","0.78979482111522","0.758495390049703","0.821094252180737","2"
"No","1984","Not Working","(Married) couple without C. ","891","0.730090756556538","0.704995412101064","0.755186101012011","2"
"No","1984","Part Time","Couple + C. GT 16 ","316","0.926853034183581","0.899094704030376","0.954611364336786","2"
"No","1984","Part Time","Couple + C. LE and GT 16","286","0.946225721708663","0.920868832728922","0.971582610688405","2"
"No","1984","Not Working","Single parent ","197","0.839823571992311","0.792216222854554","0.887430921130067","2"
"No","1984","Not Working","Couple + C. LE 16 ","852","0.95094701781577","0.936733644948471","0.965160390683069","2"
"No","1984","Not Working","Couple + C. GT 16 ","597","0.852534461790139","0.826039999264778","0.879028924315501","2"
"No","1984","Not Working","Couple + C. LE and GT 16","577","0.961256658142317","0.945815115480959","0.976698200803676","2"
"Yes","1984","Full Time","1-pers.-HH","38","0.090319003884277","0.066187600559228","0.114450407209326","1"
"Yes","1984","Full Time","(Married) couple without C. ","111","0.118761734320158","0.10012085689768","0.137402611742636","1"
"Yes","1984","Full Time","Single parent ","7","","","","1"
"Yes","1984","Full Time","Couple + C. LE 16 ","70","0.0568286383604314","0.0456780739005066","0.0679792028203562","1"
"Yes","1984","Full Time","Couple + C. GT 16 ","64","0.07460837580011","0.0579347335642231","0.091282018035997","1"
"Yes","1984","Full Time","Couple + C. LE and GT 16","42","0.0615117116402448","0.0448206142267655","0.0782028090537241","1"
"Yes","1984","Part Time","1-pers.-HH","13","","","","1"
"Yes","1984","Part Time","(Married) couple without C. ","41","0.149191306134917","0.110693333486593","0.18768927878324","1"
"Yes","1984","Part Time","Single parent ","8","","","","1"
"Yes","1984","Part Time","Couple + C. LE 16 ","19","","","","1"
"Yes","1984","Part Time","Couple + C. GT 16 ","22","","","","1"
"Yes","1984","Part Time","Couple + C. LE and GT 16","18","","","","1"
"Yes","1984","Not Working","1-pers.-HH","140","0.21020517888478","0.178905747819263","0.241504609950297","1"
"Yes","1984","Not Working","(Married) couple without C. ","311","0.269909243443462","0.244813898987989","0.295004587898936","1"
"Yes","1984","Not Working","Single parent ","31","0.160176428007689","0.112569078869933","0.207783777145446","1"
"Yes","1984","Not Working","Couple + C. LE 16 ","35","0.0490529821842298","0.0348396093169311","0.0632663550515285","1"
"Yes","1984","Not Working","Couple + C. GT 16 ","91","0.147465538209861","0.1209710756845","0.173960000735222","1"
"Yes","1984","Not Working","Couple + C. LE and GT 16","23","","","","1"
"No","1985","Full Time","(Married) couple without C. ","933","0.881390252186853","0.861692247841298","0.901088256532408","2"
"No","1985","Full Time","Single parent ","228","0.965732466407647","0.942424198467298","0.989040734347996","2"
"No","1985","Full Time","Couple + C. LE and GT 16","655","0.93800396907347","0.920010793124041","0.955997145022898","2"
"No","1985","Part Time","1-pers.-HH","131","0.894064526758616","0.843623350001814","0.944505703515417","2"
"No","1985","Full Time","Couple + C. GT 16 ","874","0.921670498937152","0.904475696301613","0.938865301572691","2"
"No","1985","Full Time","1-pers.-HH","432","0.921105022903388","0.896550197636987","0.945659848169788","2"
"No","1985","Full Time","Couple + C. LE 16 ","1319","0.954559982080963","0.943511499785701","0.965608464376225","2"
"No","1985","Part Time","(Married) couple without C. ","272","0.873296301176015","0.83608675610663","0.910505846245401","2"
"No","1985","Part Time","Single parent ","92","0.945330706160486","0.900090368428982","0.990571043891989","2"
"No","1985","Part Time","Couple + C. LE 16 ","516","0.957190919397063","0.940085875679024","0.974295963115101","2"
"No","1985","Not Working","1-pers.-HH","459","0.821068750181689","0.789435676104122","0.852701824259256","2"
"No","1985","Not Working","(Married) couple without C. ","778","0.713307773212703","0.686287583579339","0.740327962846067","2"
"No","1985","Part Time","Couple + C. GT 16 ","368","0.934158971786456","0.909732586962677","0.958585356610236","2"
"No","1985","Part Time","Couple + C. LE and GT 16","259","0.964523227833292","0.94229342208998","0.986753033576603","2"
"No","1985","Not Working","Single parent ","185","0.863983454337054","0.817618799925955","0.910348108748153","2"
"No","1985","Not Working","Couple + C. LE 16 ","723","0.938102382099239","0.920981826676996","0.955222937521483","2"
"No","1985","Not Working","Couple + C. GT 16 ","592","0.848621837347714","0.821722311793307","0.87552136290212","2"
"No","1985","Not Working","Couple + C. LE and GT 16","501","0.952402130144257","0.934154722079959","0.970649538208555","2"
"Yes","1985","Full Time","1-pers.-HH","31","0.0788949770966123","0.0543401518302116","0.103449802363013","1"
"Yes","1985","Full Time","(Married) couple without C. ","102","0.118609747813147","0.0989117434675924","0.138307752158702","1"
"Yes","1985","Full Time","Single parent ","6","","","","1"
"Yes","1985","Full Time","Couple + C. LE 16 ","46","0.0454400179190365","0.0343915356237745","0.0564885002142986","1"
"Yes","1985","Full Time","Couple + C. GT 16 ","64","0.0783295010628484","0.0611346984273095","0.0955243036983874","1"
"Yes","1985","Full Time","Couple + C. LE and GT 16","35","0.0619960309265304","0.0440028549771023","0.0799892068759586","1"
"Yes","1985","Part Time","1-pers.-HH","12","","","","1"
"Yes","1985","Part Time","(Married) couple without C. ","35","0.126703698823985","0.0894941537545995","0.16391324389337","1"
"Yes","1985","Part Time","Single parent ","5","","","","1"
"Yes","1985","Part Time","Couple + C. LE 16 ","22","","","","1"
"Yes","1985","Part Time","Couple + C. GT 16 ","28","","","","1"
