"ple0044_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1985","35-65 y.","indirect migration background","7","","","","2"
"No","1985","66 and older","indirect migration background","1","","","","2"
"No","1985","16-34 y.","no migration background","1263","0.435995830738275","0.417975674347626","0.454015987128925","2"
"No","1985","35-65 y.","no migration background","1582","0.39419871941945","0.379079261896238","0.409318176942662","2"
"No","1985","35-65 y.","direct migration background","768","0.390737618451141","0.367910330085715","0.413564906816567","2"
"No","1985","66 and older","direct migration background","8","","","","2"
"No","1985","16-34 y.","indirect migration background","41","0.326697566638659","0.243130829066087","0.410264304211231","2"
"No","1985","66 and older","no migration background","355","0.33266132822199","0.304508874044282","0.360813782399697","2"
"No","1985","16-34 y.","direct migration background","420","0.363800124467232","0.336031034410524","0.391569214523939","2"
"Yes","1985","16-34 y.","no migration background","1646","0.564004169261725","0.545984012871075","0.582024325652375","1"
"Yes","1985","16-34 y.","direct migration background","733","0.636199875532768","0.608430785476061","0.663968965589476","1"
"Yes","1985","16-34 y.","indirect migration background","80","0.673302433361341","0.589735695788769","0.756869170933913","1"
"Yes","1985","35-65 y.","no migration background","2431","0.60580128058055","0.590681823057338","0.620920738103762","1"
"Yes","1985","35-65 y.","direct migration background","987","0.609262381548859","0.586435093183433","0.632089669914285","1"
"Yes","1985","35-65 y.","indirect migration background","11","","","","1"
"Yes","1985","66 and older","no migration background","721","0.66733867177801","0.639186217600303","0.695491125955718","1"
"Yes","1985","66 and older","direct migration background","29","","","","1"
"Yes","1985","66 and older","indirect migration background","4","","","","1"
"No","1986","16-34 y.","indirect migration background","80","0.654767687114135","0.572402736095588","0.737132638132682","2"
"No","1986","35-65 y.","direct migration background","1071","0.633823817947345","0.610745737237241","0.656901898657448","2"
"No","1986","16-34 y.","no migration background","1803","0.638144894702756","0.620371248088721","0.655918541316792","2"
"No","1986","66 and older","no migration background","917","0.931968055565794","0.916275022117261","0.947661089014326","2"
"No","1986","35-65 y.","indirect migration background","13","","","","2"
"No","1986","35-65 y.","no migration background","2273","0.617948574006434","0.602342978907663","0.633554169105205","2"
"No","1986","66 and older","indirect migration background","4","","","","2"
"No","1986","16-34 y.","direct migration background","703","0.665762151245499","0.637834772264954","0.693689530226045","2"
"No","1986","66 and older","direct migration background","47","0.944603536747249","0.881197750583215","1.00800932291128","2"
"Yes","1986","16-34 y.","no migration background","1005","0.361855105297244","0.344081458683208","0.379628751911279","1"
"Yes","1986","16-34 y.","direct migration background","393","0.334237848754501","0.306310469773955","0.362165227735046","1"
"Yes","1986","16-34 y.","indirect migration background","48","0.345232312885865","0.262867361867318","0.427597263904412","1"
"Yes","1986","35-65 y.","no migration background","1451","0.382051425993566","0.366445830894795","0.397657021092337","1"
"Yes","1986","35-65 y.","direct migration background","603","0.366176182052655","0.343098101342552","0.389254262762759","1"
"Yes","1986","35-65 y.","indirect migration background","8","","","","1"
"Yes","1986","66 and older","no migration background","72","0.0680319444342066","0.052338910985674","0.0837249778827391","1"
"Yes","1986","66 and older","direct migration background","3","","","","1"
"Yes","1986","66 and older","indirect migration background","","","","","1"
"No","1987","16-34 y.","no migration background","1853","0.669555334005868","0.65198469341181","0.687125974599926","2"
"No","1987","16-34 y.","indirect migration background","108","0.754608144251305","0.6845667300325","0.82464955847011","2"
"No","1987","35-65 y.","direct migration background","1143","0.686059550104708","0.6638740726539","0.708245027555516","2"
"No","1987","35-65 y.","indirect migration background","16","","","","2"
"No","1987","66 and older","no migration background","997","0.980195387970321","0.971653337364306","0.988737438576336","2"
"No","1987","66 and older","direct migration background","54","0.98072553297631","0.944715874078738","1.01673519187388","2"
"No","1987","66 and older","indirect migration background","4","","","","2"
"No","1987","35-65 y.","no migration background","2274","0.643283460388635","0.6275322728228","0.659034647954471","2"
"No","1987","16-34 y.","direct migration background","747","0.697115885421521","0.669570428788871","0.724661342054171","2"
"Yes","1987","16-34 y.","no migration background","900","0.330444665994132","0.312874025400074","0.34801530658819","1"
"Yes","1987","16-34 y.","direct migration background","322","0.302884114578479","0.275338657945829","0.330429571211129","1"
"Yes","1987","16-34 y.","indirect migration background","37","0.245391855748695","0.17535044152989","0.3154332699675","1"
"Yes","1987","35-65 y.","no migration background","1279","0.356716539611365","0.340965352045529","0.3724677271772","1"
"Yes","1987","35-65 y.","direct migration background","538","0.313940449895292","0.291754972444484","0.3361259273461","1"
"Yes","1987","35-65 y.","indirect migration background","9","","","","1"
"Yes","1987","66 and older","no migration background","25","","","","1"
"Yes","1987","66 and older","direct migration background","2","","","","1"
"Yes","1987","66 and older","indirect migration background","","","","","1"
"No","1988","16-34 y.","no migration background","1696","0.648458286672517","0.630038544645066","0.666878028699968","2"
"No","1988","35-65 y.","indirect migration background","15","","","","2"
"No","1988","66 and older","no migration background","957","0.97552695806204","0.965872805519747","0.985181110604334","2"
"No","1988","16-34 y.","indirect migration background","133","0.66246300386467","0.595047669282932","0.729878338446408","2"
"No","1988","35-65 y.","no migration background","2143","0.637957163012146","0.621814868314553","0.65409945770974","2"
"No","1988","35-65 y.","direct migration background","1101","0.694938140429345","0.672191735950576","0.717684544908113","2"
"No","1988","66 and older","direct migration background","60","0.962020325216231","0.914819938053148","1.00922071237931","2"
"No","1988","66 and older","indirect migration background","4","","","","2"
"No","1988","16-34 y.","direct migration background","697","0.672283626210123","0.643321673156736","0.70124557926351","2"
"Yes","1988","16-34 y.","no migration background","885","0.351541713327483","0.333121971300032","0.369961455354934","1"
"Yes","1988","16-34 y.","direct migration background","312","0.327716373789877","0.29875442073649","0.356678326843264","1"
"Yes","1988","16-34 y.","indirect migration background","56","0.33753699613533","0.270121661553592","0.404952330717068","1"
"Yes","1988","35-65 y.","no migration background","1262","0.362042836987854","0.34590054229026","0.378185131685447","1"
"Yes","1988","35-65 y.","direct migration background","473","0.305061859570655","0.282315455091887","0.327808264049424","1"
"Yes","1988","35-65 y.","indirect migration background","8","","","","1"
"Yes","1988","66 and older","no migration background","27","","","","1"
"Yes","1988","66 and older","direct migration background","3","","","","1"
"Yes","1988","66 and older","indirect migration background","","","","","1"
"No","1989","35-65 y.","indirect migration background","16","","","","2"
"No","1989","16-34 y.","no migration background","1749","0.684911784889813","0.666919898450108","0.702903671329517","2"
"No","1989","35-65 y.","no migration background","2067","0.638831400303685","0.622372926385978","0.655289874221393","2"
"No","1989","35-65 y.","direct migration background","1117","0.716987490219763","0.694605335156285","0.739369645283241","2"
"No","1989","66 and older","no migration background","929","0.979565870567561","0.970583384891801","0.98854835624332","2"
"No","1989","16-34 y.","indirect migration background","168","0.764094716743108","0.708864392294026","0.81932504119219","2"
"No","1989","66 and older","direct migration background","68","1","1","1","2"
"No","1989","66 and older","indirect migration background","4","","","","2"
"No","1989","16-34 y.","direct migration background","667","0.706822124374817","0.677996016949146","0.735648231800488","2"
"Yes","1989","16-34 y.","no migration background","812","0.315088215110187","0.297096328670483","0.333080101549892","1"
"Yes","1989","16-34 y.","direct migration background","291","0.293177875625183","0.264351768199512","0.322003983050854","1"
"Yes","1989","16-34 y.","indirect migration background","59","0.235905283256892","0.18067495880781","0.291135607705975","1"
"Yes","1989","35-65 y.","no migration background","1205","0.361168599696315","0.344710125778608","0.377627073614022","1"
"Yes","1989","35-65 y.","direct migration background","439","0.283012509780237","0.260630354716759","0.305394664843715","1"
"Yes","1989","35-65 y.","indirect migration background","10","","","","1"
"Yes","1989","66 and older","no migration background","24","","","","1"
"Yes","1989","66 and older","direct migration background","","","","","1"
"Yes","1989","66 and older","indirect migration background","","","","","1"
"No","1990","35-65 y.","indirect migration background","","","","","2"
"No","1990","16-34 y.","no migration background","","","","","2"
"No","1990","35-65 y.","no migration background","","","","","2"
"No","1990","66 and older","indirect migration background","","","","","2"
"No","1990","35-65 y.","direct migration background","","","","","2"
"No","1990","66 and older","no migration background","","","","","2"
"No","1990","66 and older","direct migration background","","","","","2"
"No","1990","16-34 y.","indirect migration background","","","","","2"
"No","1990","16-34 y.","direct migration background","","","","","2"
"Yes","1990","16-34 y.","no migration background","","","","","1"
"Yes","1990","16-34 y.","direct migration background","","","","","1"
"Yes","1990","16-34 y.","indirect migration background","","","","","1"
"Yes","1990","35-65 y.","no migration background","","","","","1"
"Yes","1990","35-65 y.","direct migration background","","","","","1"
"Yes","1990","35-65 y.","indirect migration background","","","","","1"
"Yes","1990","66 and older","no migration background","","","","","1"
"Yes","1990","66 and older","direct migration background","","","","","1"
"Yes","1990","66 and older","indirect migration background","","","","","1"
"No","1991","35-65 y.","indirect migration background","11","","","","2"
"No","1991","16-34 y.","no migration background","3217","0.761506161127173","0.748222889567388","0.774789432686957","2"
"No","1991","35-65 y.","no migration background","4203","0.736470397078862","0.724641116467441","0.748299677690283","2"
"No","1991","35-65 y.","direct migration background","1155","0.721442243627252","0.699619216335871","0.743265270918632","2"
"No","1991","66 and older","no migration background","1336","0.986647101439569","0.980537864862179","0.992756338016959","2"
"No","1991","66 and older","direct migration background","120","0.97611539739382","0.949131472029434","1.00309932275821","2"
"No","1991","66 and older","indirect migration background","5","","","","2"
"No","1991","16-34 y.","indirect migration background","222","0.723069275779126","0.673731442339216","0.772407109219037","2"
"No","1991","16-34 y.","direct migration background","640","0.69683056049737","0.666514410711848","0.727146710282892","2"
"Yes","1991","16-34 y.","no migration background","737","0.238493838872827","0.225210567313043","0.251777110432612","1"
"Yes","1991","16-34 y.","direct migration background","243","0.30316943950263","0.272853289717108","0.333485589288152","1"
"Yes","1991","16-34 y.","indirect migration background","94","0.276930724220874","0.227592890780963","0.326268557660784","1"
"Yes","1991","35-65 y.","no migration background","1125","0.263529602921138","0.251700322309717","0.275358883532559","1"
"Yes","1991","35-65 y.","direct migration background","466","0.278557756372748","0.256734729081368","0.300380783664128","1"
"Yes","1991","35-65 y.","indirect migration background","15","","","","1"
"Yes","1991","66 and older","no migration background","20","","","","1"
"Yes","1991","66 and older","direct migration background","3","","","","1"
"Yes","1991","66 and older","indirect migration background","","","","","1"
"No","1992","35-65 y.","indirect migration background","18","","","","2"
"No","1992","16-34 y.","no migration background","2403","0.652375806518474","0.637113639198364","0.667637973838584","2"
"No","1992","16-34 y.","indirect migration background","276","0.757313775193279","0.713748835990795","0.800878714395764","2"
"No","1992","35-65 y.","no migration background","3022","0.614926184030504","0.60175448952243","0.628097878538578","2"
"No","1992","35-65 y.","direct migration background","1119","0.689245513606048","0.666272354995503","0.712218672216594","2"
"No","1992","66 and older","no migration background","1319","0.989090316804486","0.983520140945873","0.9946604926631","2"
"No","1992","66 and older","direct migration background","137","0.998096643363212","0.990824625605506","1.00536866112092","2"
"No","1992","66 and older","indirect migration background","4","","","","2"
"No","1992","16-34 y.","direct migration background","586","0.695604249828368","0.664204837314919","0.727003662341817","2"
"Yes","1992","35-65 y.","direct migration background","440","0.310754486393952","0.287781327783406","0.333727645004497","1"
"Yes","1992","35-65 y.","indirect migration background","8","","","","1"
"Yes","1992","66 and older","no migration background","17","","","","1"
"Yes","1992","66 and older","direct migration background","1","","","","1"
"Yes","1992","66 and older","indirect migration background","","","","","1"
"Yes","1992","16-34 y.","no migration background","1337","0.347624193481526","0.332362026161416","0.362886360801636","1"
"Yes","1992","16-34 y.","direct migration background","239","0.304395750171632","0.272996337658183","0.335795162685081","1"
"Yes","1992","16-34 y.","indirect migration background","96","0.242686224806721","0.199121285604236","0.286251164009205","1"
"Yes","1992","35-65 y.","no migration background","2221","0.385073815969496","0.371902121461422","0.39824551047757","1"
"No","1993","35-65 y.","indirect migration background","","","","","2"
"No","1993","16-34 y.","no migration background","","","","","2"
"No","1993","16-34 y.","indirect migration background","","","","","2"
"No","1993","35-65 y.","no migration background","","","","","2"
"No","1993","35-65 y.","direct migration background","","","","","2"
"No","1993","66 and older","no migration background","","","","","2"
"No","1993","66 and older","direct migration background","","","","","2"
"No","1993","66 and older","indirect migration background","","","","","2"
"No","1993","16-34 y.","direct migration background","","","","","2"
"Yes","1993","35-65 y.","direct migration background","","","","","1"
"Yes","1993","35-65 y.","indirect migration background","","","","","1"
"Yes","1993","66 and older","no migration background","","","","","1"
"Yes","1993","66 and older","direct migration background","","","","","1"
"Yes","1993","66 and older","indirect migration background","","","","","1"
"Yes","1993","16-34 y.","no migration background","","","","","1"
"Yes","1993","16-34 y.","direct migration background","","","","","1"
"Yes","1993","16-34 y.","indirect migration background","","","","","1"
"Yes","1993","35-65 y.","no migration background","","","","","1"
"No","1994","35-65 y.","indirect migration background","21","","","","2"
"No","1994","16-34 y.","no migration background","2419","0.69039295028436","0.675222821674299","0.705563078894422","2"
"No","1994","16-34 y.","direct migration background","522","0.73644028806247","0.704825741372874","0.768054834752065","2"
"No","1994","16-34 y.","indirect migration background","333","0.720618847840734","0.679615384982203","0.761622310699265","2"
"No","1994","35-65 y.","no migration background","3176","0.647475313352611","0.634354292436809","0.660596334268414","2"
"No","1994","35-65 y.","direct migration background","1015","0.689277339178247","0.665215184398211","0.713339493958284","2"
"No","1994","66 and older","no migration background","1320","0.98442735636171","0.977798040660745","0.991056672062676","2"
"No","1994","66 and older","direct migration background","170","0.995690202674404","0.985900389405735","1.00548001594307","2"
"No","1994","66 and older","indirect migration background","4","","","","2"
