"ple0044_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","1-pers.-HH","204","0.35335026089817","0.314211412635999","0.392489109160342","2"
"No","1985","Not Employed","(Married) couple without C. ","345","0.315415470107211","0.287842042794136","0.342988897420286","2"
"No","1985","Not Employed","Single parent ","60","0.289717500360436","0.228797315676819","0.350637685044054","2"
"No","1985","Employed","(Married) couple without C. ","650","0.478150469797092","0.451444804696116","0.504856134898069","2"
"No","1985","Not Employed","Couple + C. LE 16 ","204","0.277680509455517","0.246170060137228","0.309190958773806","2"
"No","1985","Not Employed","Couple + C. GT 16 ","206","0.304284457414116","0.27002841312998","0.338540501698251","2"
"No","1985","Not Employed","Couple + C. LE and GT 16","159","0.283231726995845","0.244980548197724","0.321482905793965","2"
"No","1985","Employed","1-pers.-HH","284","0.457608075821269","0.418007659766122","0.497208491876416","2"
"No","1985","Employed","Single parent ","162","0.495704329562648","0.442003629158378","0.549405029966917","2"
"No","1985","Employed","Couple + C. LE 16 ","890","0.462216263682532","0.4398335321185","0.484598995246563","2"
"No","1985","Employed","Couple + C. GT 16 ","589","0.444372272485267","0.417727605706562","0.471016939263972","2"
"No","1985","Employed","Couple + C. LE and GT 16","433","0.435158853860318","0.403797157233638","0.466520550486999","2"
"Yes","1985","Not Employed","1-pers.-HH","369","0.64664973910183","0.607510890839658","0.685788587364001","1"
"Yes","1985","Not Employed","(Married) couple without C. ","746","0.684584529892789","0.657011102579714","0.712157957205864","1"
"Yes","1985","Not Employed","Single parent ","153","0.710282499639564","0.649362314955946","0.771202684323181","1"
"Yes","1985","Not Employed","Couple + C. LE 16 ","572","0.722319490544483","0.690809041226194","0.753829939862772","1"
"Yes","1985","Not Employed","Couple + C. GT 16 ","487","0.695715542585884","0.661459498301749","0.72997158687002","1"
"Yes","1985","Not Employed","Couple + C. LE and GT 16","374","0.716768273004155","0.678517094206035","0.755019451802276","1"
"Yes","1985","Employed","1-pers.-HH","324","0.542391924178731","0.502791508123584","0.581992340233878","1"
"Yes","1985","Employed","(Married) couple without C. ","694","0.521849530202908","0.495143865101932","0.548555195303884","1"
"Yes","1985","Employed","Single parent ","171","0.504295670437352","0.450594970033083","0.557996370841622","1"
"Yes","1985","Employed","Couple + C. LE 16 ","1016","0.537783736317468","0.515401004753437","0.5601664678815","1"
"Yes","1985","Employed","Couple + C. GT 16 ","747","0.555627727514733","0.528983060736028","0.582272394293438","1"
"Yes","1985","Employed","Couple + C. LE and GT 16","527","0.564841146139682","0.533479449513001","0.596202842766362","1"
"No","1986","Not Employed","1-pers.-HH","504","0.94938665783436","0.930724398235131","0.968048917433589","2"
"No","1986","Not Employed","(Married) couple without C. ","951","0.948413812274389","0.934731897311058","0.96209572723772","2"
"No","1986","Not Employed","Single parent ","175","0.920078531863972","0.881621515885108","0.958535547842835","2"
"No","1986","Not Employed","Couple + C. LE 16 ","630","0.945971020968908","0.928814174272359","0.963127867665457","2"
"No","1986","Not Employed","Couple + C. GT 16 ","632","0.92772915328938","0.908422755912541","0.947035550666219","2"
"No","1986","Employed","(Married) couple without C. ","695","0.49790453111908","0.47131171097001","0.52449735126815","2"
"No","1986","Not Employed","Couple + C. LE and GT 16","453","0.912746191805735","0.887885529075215","0.937606854536256","2"
"No","1986","Employed","Single parent ","151","0.510665057824329","0.454838105681204","0.566492009967455","2"
"No","1986","Employed","1-pers.-HH","296","0.504597410093532","0.463552216528944","0.545642603658121","2"
"No","1986","Employed","Couple + C. LE 16 ","835","0.4830969638236","0.459418976602949","0.50677495104425","2"
"No","1986","Employed","Couple + C. GT 16 ","680","0.477072389232382","0.450814874446181","0.503329904018583","2"
"No","1986","Employed","Couple + C. LE and GT 16","425","0.475359050958084","0.442512968085363","0.508205133830804","2"
"Yes","1986","Not Employed","1-pers.-HH","26","","","","1"
"Yes","1986","Not Employed","(Married) couple without C. ","53","0.0515861877256108","0.0379042727622801","0.0652681026889416","1"
"Yes","1986","Not Employed","Single parent ","16","","","","1"
