"ple0053","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","Rural Area","780","0.854664331375048","0.831840725961831","0.877487936788265","2"
"No","1985","Employed","Rural Area","1221","0.894065861513798","0.87773968487348","0.910392038154116","2"
"No","1985","Not Employed","Urban Area","2852","0.859134275148761","0.847273978572086","0.870994571725435","2"
"No","1985","Employed","Urban Area","4949","0.912443308147381","0.90495979666888","0.919926819625882","2"
"Yes","1985","Not Employed","Urban Area","453","0.140865724851239","0.129005428274565","0.152726021427913","1"
"Yes","1985","Not Employed","Rural Area","136","0.145335668624952","0.122512063211735","0.168159274038169","1"
"Yes","1985","Employed","Urban Area","531","0.0875566918526192","0.0800731803741179","0.0950402033311205","1"
"Yes","1985","Employed","Rural Area","144","0.105934138486202","0.0896079618458838","0.12226031512652","1"
"No","1986","Not Employed","Rural Area","696","0.859258551795479","0.835295243807118","0.88322185978384","2"
"No","1986","Employed","Rural Area","1217","0.893234459192145","0.876869937017454","0.909598981366835","2"
"No","1986","Not Employed","Urban Area","2634","0.840238184375362","0.827377983972197","0.853098384778527","2"
"No","1986","Employed","Urban Area","4768","0.90148304794406","0.89347424954446","0.90949184634366","2"
"Yes","1986","Not Employed","Urban Area","484","0.159761815624638","0.146901615221473","0.172622016027803","1"
"Yes","1986","Not Employed","Rural Area","113","0.140741448204521","0.11677814021616","0.164704756192882","1"
"Yes","1986","Employed","Urban Area","551","0.0985169520559403","0.0905081536563405","0.10652575045554","1"
"Yes","1986","Employed","Rural Area","151","0.106765540807855","0.0904010186331649","0.123130062982546","1"
"No","1987","Not Employed","Rural Area","639","0.833501372729602","0.807137518761641","0.859865226697564","2"
"No","1987","Employed","Rural Area","1247","0.900613453573152","0.88487411879817","0.916352788348135","2"
"No","1987","Not Employed","Urban Area","2590","0.845317745725327","0.832414746376107","0.858220745074547","2"
"No","1987","Employed","Urban Area","4761","0.89688963743524","0.888708695805332","0.905070579065148","2"
"Yes","1987","Not Employed","Rural Area","128","0.166498627270398","0.140134773302436","0.19286248123836","1"
"Yes","1987","Employed","Urban Area","547","0.10311036256476","0.0949294209348525","0.111291304194668","1"
"Yes","1987","Employed","Rural Area","141","0.0993865464268476","0.0836472116518654","0.11512588120183","1"
"Yes","1987","Not Employed","Urban Area","427","0.154682254274673","0.141779254925453","0.167585253623893","1"
"No","1988","Not Employed","Rural Area","595","0.852484369801989","0.826251743838357","0.878716995765622","2"
"No","1988","Employed","Rural Area","1190","0.900998299793049","0.884868145718235","0.917128453867863","2"
"No","1988","Not Employed","Urban Area","2418","0.837475068776177","0.823937423062086","0.851012714490268","2"
"No","1988","Employed","Urban Area","4578","0.895841348536454","0.887471769618891","0.904210927454017","2"
"Yes","1988","Not Employed","Rural Area","107","0.147515630198011","0.121283004234378","0.173748256161643","1"
"Yes","1988","Employed","Urban Area","539","0.104158651463546","0.0957890725459832","0.112528230381109","1"
"Yes","1988","Employed","Rural Area","127","0.0990017002069507","0.0828715461321365","0.115131854281765","1"
"Yes","1988","Not Employed","Urban Area","435","0.162524931223823","0.148987285509732","0.176062576937914","1"
"No","1989","Not Employed","Urban Area","2359","0.846826928519583","0.833368593461436","0.860285263577731","2"
"No","1989","Not Employed","Rural Area","561","0.832106693719171","0.803825806520876","0.860387580917465","2"
"No","1989","Employed","Rural Area","1115","0.890445280121906","0.873130688652592","0.907759871591219","2"
"No","1989","Employed","Urban Area","4491","0.901622770982126","0.893371786340769","0.909873755623483","2"
"Yes","1989","Not Employed","Rural Area","110","0.167893306280829","0.139612419082535","0.196174193479124","1"
