"ple0081_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Full Time","in school","1","","",""
"Yes","2002","Full Time","inadequately","30","0.505480361066761","0.382021651985399","0.628939070148122"
"Yes","2002","Full Time","general elemantary","361","0.533126206454174","0.496246692169837","0.570005720738511"
"Yes","2002","Full Time","middle vocational","1980","0.427800414774788","0.41351366774592","0.442087161803657"
"Yes","2002","Full Time","vocational + Abi","194","0.322718074810958","0.284065687641825","0.361370461980092"
"Yes","2002","Full Time","higher vocational","291","0.317431814171675","0.286919329216393","0.347944299126957"
"Yes","2002","Full Time","higher education","640","0.262845337696377","0.246290967778883","0.279399707613872"
"Yes","2002","Part Time","in school","37","0.298490134468838","0.217948742561285","0.379031526376391"
"Yes","2002","Part Time","inadequately","32","0.550356241291828","0.42233255531084","0.678379927272816"
"Yes","2002","Part Time","general elemantary","295","0.462106607765285","0.423719995853248","0.500493219677322"
"Yes","2002","Part Time","middle vocational","1018","0.381338577745554","0.363263642432226","0.399413513058881"
"Yes","2002","Part Time","vocational + Abi","90","0.310821059330351","0.258963915281572","0.362678203379129"
"Yes","2002","Part Time","higher vocational","95","0.275026288693671","0.229650430224306","0.320402147163036"
"Yes","2002","Part Time","higher education","195","0.227414778253828","0.200135869857005","0.25469368665065"
"Yes","2002","Not Working","in school","100","0.220236230940163","0.18350634576826","0.256966116112065"
"Yes","2002","Not Working","inadequately","45","0.28187153722013","0.213013783810776","0.350729290629485"
"Yes","2002","Not Working","general elemantary","319","0.161141739896371","0.142966919113105","0.179316560679637"
"Yes","2002","Not Working","middle vocational","950","0.212293690250436","0.200023890498741","0.224563490002132"
"Yes","2002","Not Working","vocational + Abi","75","0.239413541468094","0.192063600276932","0.286763482659256"
"Yes","2002","Not Working","higher vocational","85","0.16398951741239","0.131002783623072","0.196976251201709"
"Yes","2002","Not Working","higher education","145","0.149793196790154","0.127076129999661","0.172510263580647"
"No","2002","Full Time","in school","3","","",""
"No","2002","Full Time","inadequately","33","0.494519638933239","0.371060929851878","0.617978348014601"
"No","2002","Full Time","general elemantary","342","0.466873793545826","0.429994279261488","0.503753307830163"
"No","2002","Full Time","middle vocational","2627","0.572199585225212","0.557912838196343","0.58648633225408"
"No","2002","Full Time","vocational + Abi","368","0.677281925189042","0.638629538019908","0.715934312358175"
"No","2002","Full Time","higher vocational","603","0.682568185828325","0.652055700873043","0.713080670783608"
"No","2002","Full Time","higher education","2076","0.737154662303623","0.720600292386128","0.753709032221117"
"No","2002","Part Time","in school","87","0.701509865531162","0.620968473623609","0.782051257438715"
"No","2002","Part Time","inadequately","26","","",""
"No","2002","Part Time","general elemantary","353","0.537893392234715","0.499506780322678","0.576280004146752"
"No","2002","Part Time","middle vocational","1756","0.618661422254447","0.600586486941119","0.636736357567774"
"No","2002","Part Time","vocational + Abi","216","0.689178940669649","0.637321796620871","0.741036084718428"
"No","2002","Part Time","higher vocational","277","0.724973711306329","0.679597852836964","0.770349569775694"
"No","2002","Part Time","higher education","712","0.772585221746172","0.74530631334935","0.799864130142995"
"No","2002","Not Working","in school","389","0.779763769059837","0.743033883887935","0.81649365423174"
"No","2002","Not Working","inadequately","119","0.71812846277987","0.649270709370515","0.786986216189224"
"No","2002","Not Working","general elemantary","1253","0.838858260103629","0.820683439320363","0.857033080886895"
"No","2002","Not Working","middle vocational","3317","0.787706309749563","0.775436509997868","0.799976109501259"
"No","2002","Not Working","vocational + Abi","237","0.760586458531906","0.713236517340744","0.807936399723068"
"No","2002","Not Working","higher vocational","399","0.836010482587609","0.803023748798291","0.868997216376928"
"No","2002","Not Working","higher education","803","0.850206803209846","0.827489736419352","0.872923870000339"
"Yes","2003","Full Time","in school","","","",""
"Yes","2003","Full Time","inadequately","","","",""
"Yes","2003","Full Time","general elemantary","","","",""
"Yes","2003","Full Time","middle vocational","","","",""
"Yes","2003","Full Time","vocational + Abi","","","",""
"Yes","2003","Full Time","higher vocational","","","",""
"Yes","2003","Full Time","higher education","","","",""
"Yes","2003","Part Time","in school","","","",""
"Yes","2003","Part Time","inadequately","","","",""
"Yes","2003","Part Time","general elemantary","","","",""
"Yes","2003","Part Time","middle vocational","","","",""
"Yes","2003","Part Time","vocational + Abi","","","",""
"Yes","2003","Part Time","higher vocational","","","",""
"Yes","2003","Part Time","higher education","","","",""
"Yes","2003","Not Working","in school","","","",""
"Yes","2003","Not Working","inadequately","","","",""
"Yes","2003","Not Working","general elemantary","","","",""
"Yes","2003","Not Working","middle vocational","","","",""
"Yes","2003","Not Working","vocational + Abi","","","",""
"Yes","2003","Not Working","higher vocational","","","",""
"Yes","2003","Not Working","higher education","","","",""
"No","2003","Full Time","in school","","","",""
"No","2003","Full Time","inadequately","","","",""
"No","2003","Full Time","general elemantary","","","",""
"No","2003","Full Time","middle vocational","","","",""
"No","2003","Full Time","vocational + Abi","","","",""
"No","2003","Full Time","higher vocational","","","",""
"No","2003","Full Time","higher education","","","",""
"No","2003","Part Time","in school","","","",""
"No","2003","Part Time","inadequately","","","",""
"No","2003","Part Time","general elemantary","","","",""
"No","2003","Part Time","middle vocational","","","",""
"No","2003","Part Time","vocational + Abi","","","",""
"No","2003","Part Time","higher vocational","","","",""
"No","2003","Part Time","higher education","","","",""
"No","2003","Not Working","in school","","","",""
"No","2003","Not Working","inadequately","","","",""
"No","2003","Not Working","general elemantary","","","",""
"No","2003","Not Working","middle vocational","","","",""
"No","2003","Not Working","vocational + Abi","","","",""
"No","2003","Not Working","higher vocational","","","",""
"No","2003","Not Working","higher education","","","",""
"Yes","2004","Full Time","in school","1","","",""
"Yes","2004","Full Time","inadequately","23","","",""
"Yes","2004","Full Time","general elemantary","295","0.510936093215952","0.47107073052905","0.550801455902854"
"Yes","2004","Full Time","middle vocational","1667","0.417513596455773","0.402231029644598","0.432796163266948"
"Yes","2004","Full Time","vocational + Abi","179","0.332822430508733","0.292929796875524","0.372715064141942"
"Yes","2004","Full Time","higher vocational","261","0.328598252005767","0.296311327631803","0.360885176379731"
"Yes","2004","Full Time","higher education","535","0.271410959668507","0.253545482514847","0.289276436822168"
"Yes","2004","Part Time","in school","19","","",""
"Yes","2004","Part Time","inadequately","26","","",""
"Yes","2004","Part Time","general elemantary","234","0.415793310184255","0.374640992146038","0.456945628222472"
"Yes","2004","Part Time","middle vocational","979","0.371200849148126","0.352809919589861","0.389591778706391"
"Yes","2004","Part Time","vocational + Abi","100","0.305758525932848","0.256857781907612","0.354659269958085"
"Yes","2004","Part Time","higher vocational","88","0.237818040815275","0.192630091554527","0.283005990076022"
"Yes","2004","Part Time","higher education","185","0.227400487216593","0.200403487121136","0.25439748731205"
"Yes","2004","Not Working","in school","130","0.230116716649073","0.194811547304888","0.265421885993258"
"Yes","2004","Not Working","inadequately","52","0.360754187989829","0.284411766078587","0.43709660990107"
"Yes","2004","Not Working","general elemantary","282","0.184344791667009","0.16429598860806","0.204393594725958"
"Yes","2004","Not Working","middle vocational","937","0.220375229802802","0.207799068405806","0.232951391199797"
"Yes","2004","Not Working","vocational + Abi","60","0.192951696762714","0.147217701774352","0.238685691751075"
"Yes","2004","Not Working","higher vocational","85","0.155689563071745","0.123652966783408","0.187726159360082"
"Yes","2004","Not Working","higher education","160","0.149959782930616","0.127786726610378","0.172132839250854"
"No","2004","Full Time","in school","","","",""
"No","2004","Full Time","inadequately","29","","",""
"No","2004","Full Time","general elemantary","309","0.489063906784048","0.449198544097146","0.52892926947095"
"No","2004","Full Time","middle vocational","2333","0.582486403544227","0.567203836733052","0.597768970355402"
"No","2004","Full Time","vocational + Abi","357","0.667177569491267","0.627284935858058","0.707070203124476"
"No","2004","Full Time","higher vocational","552","0.671401747994233","0.639114823620269","0.703688672368197"
"No","2004","Full Time","higher education","1845","0.728589040331493","0.710723563177832","0.746454517485153"
"No","2004","Part Time","in school","73","0.734436832858087","0.64419345940239","0.824680206313785"
"No","2004","Part Time","inadequately","24","","",""
"No","2004","Part Time","general elemantary","317","0.584206689815745","0.543054371777528","0.625359007853961"
"No","2004","Part Time","middle vocational","1672","0.628799150851874","0.610408221293609","0.647190080410139"
"No","2004","Part Time","vocational + Abi","241","0.694241474067152","0.645340730041915","0.743142218092388"
"No","2004","Part Time","higher vocational","253","0.762181959184725","0.716994009923978","0.807369908445473"
"No","2004","Part Time","higher education","741","0.772599512783407","0.74560251268795","0.799596512878864"
"No","2004","Not Working","in school","416","0.769883283350927","0.734578114006742","0.805188452695113"
"No","2004","Not Working","inadequately","100","0.639245812010171","0.56290339009893","0.715588233921413"
"No","2004","Not Working","general elemantary","1155","0.815655208332991","0.795606405274042","0.83570401139194"
"No","2004","Not Working","middle vocational","3236","0.779624770197198","0.767048608800203","0.792200931594194"
"No","2004","Not Working","vocational + Abi","226","0.807048303237286","0.761314308248925","0.852782298225648"
"No","2004","Not Working","higher vocational","407","0.844310436928255","0.812273840639918","0.876347033216592"
"No","2004","Not Working","higher education","836","0.850040217069384","0.827867160749146","0.872213273389622"
"Yes","2005","Full Time","in school","","","",""
"Yes","2005","Full Time","inadequately","","","",""
"Yes","2005","Full Time","general elemantary","","","",""
"Yes","2005","Full Time","middle vocational","","","",""
"Yes","2005","Full Time","vocational + Abi","","","",""
"Yes","2005","Full Time","higher vocational","","","",""
"Yes","2005","Full Time","higher education","","","",""
"Yes","2005","Part Time","in school","","","",""
"Yes","2005","Part Time","inadequately","","","",""
"Yes","2005","Part Time","general elemantary","","","",""
"Yes","2005","Part Time","middle vocational","","","",""
"Yes","2005","Part Time","vocational + Abi","","","",""
"Yes","2005","Part Time","higher vocational","","","",""
"Yes","2005","Part Time","higher education","","","",""
"Yes","2005","Not Working","in school","","","",""
"Yes","2005","Not Working","inadequately","","","",""
"Yes","2005","Not Working","general elemantary","","","",""
"Yes","2005","Not Working","middle vocational","","","",""
"Yes","2005","Not Working","vocational + Abi","","","",""
"Yes","2005","Not Working","higher vocational","","","",""
"Yes","2005","Not Working","higher education","","","",""
"No","2005","Full Time","in school","","","",""
"No","2005","Full Time","inadequately","","","",""
"No","2005","Full Time","general elemantary","","","",""
"No","2005","Full Time","middle vocational","","","",""
"No","2005","Full Time","vocational + Abi","","","",""
"No","2005","Full Time","higher vocational","","","",""
"No","2005","Full Time","higher education","","","",""
"No","2005","Part Time","in school","","","",""
"No","2005","Part Time","inadequately","","","",""
"No","2005","Part Time","general elemantary","","","",""
"No","2005","Part Time","middle vocational","","","",""
"No","2005","Part Time","vocational + Abi","","","",""
"No","2005","Part Time","higher vocational","","","",""
"No","2005","Part Time","higher education","","","",""
"No","2005","Not Working","in school","","","",""
"No","2005","Not Working","inadequately","","","",""
"No","2005","Not Working","general elemantary","","","",""
"No","2005","Not Working","middle vocational","","","",""
"No","2005","Not Working","vocational + Abi","","","",""
"No","2005","Not Working","higher vocational","","","",""
"No","2005","Not Working","higher education","","","",""
"Yes","2006","Full Time","in school","3","","",""
"Yes","2006","Full Time","inadequately","29","","",""
"Yes","2006","Full Time","general elemantary","260","0.525958437606456","0.482707349860324","0.569209525352588"
"Yes","2006","Full Time","middle vocational","1612","0.411850491548545","0.396569638766826","0.427131344330265"
"Yes","2006","Full Time","vocational + Abi","179","0.297289597588056","0.259501243072089","0.335077952104023"
"Yes","2006","Full Time","higher vocational","242","0.318787685710924","0.286556051040992","0.351019320380857"
"Yes","2006","Full Time","higher education","543","0.260077810061009","0.242657570432917","0.2774980496891"
"Yes","2006","Part Time","in school","18","","",""
"Yes","2006","Part Time","inadequately","17","","",""
"Yes","2006","Part Time","general elemantary","205","0.424194792903081","0.381259971529249","0.467129614276912"
"Yes","2006","Part Time","middle vocational","930","0.363262828625784","0.344927441178224","0.381598216073343"
"Yes","2006","Part Time","vocational + Abi","103","0.301482287387792","0.253945898198867","0.349018676576716"
"Yes","2006","Part Time","higher vocational","90","0.305472996187732","0.256222633538536","0.354723358836928"
"Yes","2006","Part Time","higher education","179","0.216473751399622","0.190675745253715","0.242271757545529"
"Yes","2006","Not Working","in school","66","0.206047483981811","0.16234249001755","0.249752477946073"
"Yes","2006","Not Working","inadequately","55","0.406211482389481","0.327616565904473","0.484806398874489"
"Yes","2006","Not Working","general elemantary","344","0.218908606465208","0.19783463690222","0.239982576028196"
"Yes","2006","Not Working","middle vocational","998","0.228427144578698","0.216158384007485","0.240695905149911"
"Yes","2006","Not Working","vocational + Abi","63","0.255055396435377","0.205648025544569","0.304462767326186"
"Yes","2006","Not Working","higher vocational","73","0.134087916597861","0.104772495725294","0.163403337470428"
"Yes","2006","Not Working","higher education","161","0.130580377207813","0.111290122433747","0.149870631981879"
"No","2006","Full Time","in school","1","","",""
"No","2006","Full Time","inadequately","26","","",""
"No","2006","Full Time","general elemantary","252","0.474041562393544","0.430790474647412","0.517292650139676"
"No","2006","Full Time","middle vocational","2373","0.588149508451455","0.572868655669735","0.603430361233175"
"No","2006","Full Time","vocational + Abi","383","0.702710402411944","0.664922047895977","0.740498756927911"
"No","2006","Full Time","higher vocational","561","0.681212314289076","0.648980679619143","0.713443948959008"
"No","2006","Full Time","higher education","1893","0.739922189938991","0.7225019503109","0.757342429567083"
"No","2006","Part Time","in school","46","0.68088982510595","0.566689628342046","0.795090021869853"
"No","2006","Part Time","inadequately","20","","",""
"No","2006","Part Time","general elemantary","304","0.575805207096919","0.532870385723088","0.618740028470751"
"No","2006","Part Time","middle vocational","1713","0.636737171374216","0.618401783926656","0.655072558821776"
"No","2006","Part Time","vocational + Abi","255","0.698517712612208","0.650981323423284","0.746054101801133"
"No","2006","Part Time","higher vocational","246","0.694527003812268","0.645276641163072","0.743777366461464"
"No","2006","Part Time","higher education","800","0.783526248600378","0.757728242454471","0.809324254746285"
"No","2006","Not Working","in school","263","0.793952516018189","0.750247522053927","0.83765750998245"
"No","2006","Not Working","inadequately","95","0.593788517610519","0.515193601125511","0.672383434095527"
"No","2006","Not Working","general elemantary","1135","0.781091393534792","0.760017423971804","0.80216536309778"
"No","2006","Not Working","middle vocational","3500","0.771572855421302","0.759304094850089","0.783841615992515"
"No","2006","Not Working","vocational + Abi","236","0.744944603564623","0.695537232673814","0.794351974455431"
